"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b22cc348-3684-4e45-ad16-9af618d7af7d","","no-status-not-started","","folder","TRUE","FALSE","Decommissioning"
"38313ebe-8122-435e-acc6-dc239565b463","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 7","Basement"
"d6a9f2db-073a-4d17-b1b1-441ac2a4721f","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 7","Ground"
"c27b5825-b35e-40b0-9fe5-cd8dfc4aacee","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 7","Level 1"
"b06a4523-8d1e-4578-9e31-f00c94906e4c","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 8"
"192f67dd-378d-4acb-8d77-6dbcecbae5ee","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 8","Basement"
"794ff315-3028-4822-92f9-3061d606a4dd","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 8","Ground"
"be45e1e2-3a02-461b-8da6-02f3061466e8","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 9"
"7dd56583-71d0-4763-9518-1edfe81b3a61","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 9","Roof"
"25811ead-316d-440e-a661-897a069f5d18","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 9","Ground"
"c332ccde-365c-4dc8-8561-253628301a75","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 10"
"cbde39a6-d5fa-4f76-bd46-5f3e2c80a273","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 10","Basement"
"5ff1db8b-a65e-4ce4-b64d-194060a4848a","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 10","Ground"
"e1647b7a-0ab1-49d7-83cc-282b513f3e7b","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 10","Level 1"
"9dd234c9-d0e2-4a6e-b83f-418295fc2092","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 10","Level 2"
"cd3ac795-d0fd-45cf-a1d2-9ea62d0a4a98","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 11"
"d1a0a15a-3cee-4492-aa51-e3bce546d0a6","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 12"
"e49cf0ab-fa00-498e-b62c-473ac7c7940f","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 12","Ground"
"1463a295-4946-4ea4-b467-b3c455d0350c","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Building 13"
"163c36c5-7562-4220-bdf4-4bfc0bb4a2f1","","no-status-not-started","","folder","TRUE","FALSE","Rough In","BOH"
"4c47fbb0-1bb5-413c-bf4e-a4939369f533","","no-status-not-started","","folder","TRUE","FALSE","Rough In","BOH","Ground"
"afe416c3-0d23-429f-9547-a8f53b329196","","no-status-not-started","","folder","TRUE","FALSE","Rough In","BOH","Roof"
"a025b940-1c8e-4a5d-8f66-c29fd386b924","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Ryot St"
"204fc2d5-bb37-4584-b6c6-1825423e03dc","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Hider St"
"4ffc2ad8-de89-49a7-a3bc-f06fbef87749","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Fire Tank Enclosure"
"50c74799-dbb7-4f00-8cfd-dddd56e38d91","","no-status-not-started","","folder","TRUE","FALSE","Rough In","Water Meter Enclosure"
"42e0705f-d0e6-4c55-b8da-a768a6d01849","","no-status-not-started","","folder","TRUE","FALSE","Fit Off"
"ab8367a4-f55e-47c2-8ca5-a13ad59e269c","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 1"
"f1c68300-7237-49db-aff3-930e0fce4453","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 2"
"63781c6d-471b-496b-bf5e-29e45380c05b","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 3"
"f8df3579-7fb2-44ef-84df-2ba5ed06767e","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 4"
"26d152b9-0efb-4931-98ab-a3235d0692f2","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 4","Roof"
"4bfd6fc0-2651-45b7-8a56-760011951dd2","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 4","Ground"
"48cd5fa2-2108-4cb1-9e55-96e07a7849ff","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 5"
"52c5d87a-c416-46b0-9100-b632b94c6ad2","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 6"
"943a4c15-b051-4720-8c78-2c76d6d055a1","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 6","Basement"
"1c1134c1-5f43-4cb6-9168-0af0b7c186d5","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 6","Ground"
"4e455629-ab7a-47c7-94fd-456bbeb66af9","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 6","Level 1"
"bb9e42a7-3712-43d1-a11c-04a3b5c4b172","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 6","Level 2"
"51aab037-d9c3-4954-9f45-f7416a805063","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 7"
"602b2c6d-a942-4bd8-835a-8c84029ffb0e","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 7","Basement"
"5d4bd0d9-5f2d-4349-b040-0c83a8510f5b","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 7","Ground"
"77ed0a63-e805-4e5a-997e-64dc1ae73353","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 7","Level 1"
"92d74f60-07e3-41e7-8d0d-e5f14b6b6ee4","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 8"
"8e814dda-317f-4701-8d45-fdaf83eaed1b","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 8","Basement"
"dcfa8108-d333-4e90-842e-57ef8f16c6c8","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 8","Ground"
"afc63a8d-0240-4d57-9c1c-b8f963897eeb","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 9"
"2ac943ff-4563-40ce-8658-b99fa69595e0","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 9","Ground"
"5976a00a-c967-417a-836a-1f22cef55a23","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 10"
"5da74cbb-b43b-495c-be39-9cdeee965ac5","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 10","Basement"
"8646c8f0-00ad-42a4-930a-3c98c28ba8be","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 10","Ground"
"5f202f9b-da07-4b66-9465-be67e9d12ac2","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 10","Level 1"
"e7d36f07-e8f2-4349-9274-b7886ab1f115","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 11"
"fa3774b5-abca-4039-9eee-97a24fe59bfe","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 12"
"d7d06d6f-93bd-4634-a753-a1c03e6341c2","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 12","Ground"
"5c95ef48-3abd-492f-ba31-5ef711af254f","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Building 13"
"8ffbf8c9-1874-4a44-8c60-5fd7c1c0da9c","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","BOH"
"4625a028-d3c6-4c54-9447-643595eef6a5","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","BOH","Roof"
"40ee6a36-05c8-4c6e-95f8-fe38bab11dfc","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","BOH","Ground"
"18952cf3-8dd1-4717-996a-a59b360270c0","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Ryot St"
"56aee54e-f8c4-4e5c-8dd1-bbf772058126","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Hider St"
"d11d9bac-7002-4a75-9f27-854998d7a72b","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Fire Tank Enclosure"
"6d7cf276-1ef2-4c7c-b4e7-591ea6c98252","","no-status-not-started","","folder","TRUE","FALSE","Fit Off","Water Meter Enclosure"
"7ad029be-74b8-4604-a89e-8b9346859baa","","no-status-not-started","","folder","TRUE","FALSE","Commissioning"
"04e2b20a-57e1-4914-afee-90c16f03d3ba","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 1"
"fb5da447-92da-43e9-898f-51b1059f84f0","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 2"
"27b6ade7-cc2b-4092-b2bc-f0e9f284a5f2","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 3"
"3180f959-f537-4418-a7fe-56714b6935fe","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 4"
"03b4d326-1567-4e66-a904-efdab525f55f","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 5"
"05088265-e10c-4659-a4b3-fb3dcf03a698","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 6"
"1ff705d6-1d09-47c8-82ea-7ce539908624","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 7"
"ea31e366-874a-446a-ba5f-94b6bb7399b3","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 8"
"3b2e52d2-d9bd-45a4-a5b4-6c4a6a5bdd19","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 9"
"62f6fea0-a72f-4c97-8538-fb5631ce0f6c","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 10"
"b15382bd-4853-4538-9302-e0aaff7f0486","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 11"
"0007c678-539b-4d88-aab3-f11e4f94566b","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 12"
"c061d64e-91f7-4ad9-8211-9cfdcaef2a80","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Building 13"
"b60f1249-d0a6-420f-bd67-f79c957b39f9","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","BOH"
"22656c9a-59e8-4f8e-96f6-bce492fd3c9e","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Ryot St"
"ef83b740-e56d-40e5-b401-78f5897f99e1","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Hider St"
"224fd679-3df4-47bd-850f-a9b3feff5f98","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Fire Tank Enclosure"
"6091b335-7b3a-4f68-9e82-fb311e977a85","","no-status-not-started","","folder","TRUE","FALSE","Commissioning","Water Meter Enclosure"
"7ca71fbd-de7f-4e18-98cc-1042bcf07fe8","","not-started","","folder","TRUE","FALSE","Toolboxes"
"3ac4973f-5089-42f0-adeb-9b29e736da67","","not-started","","folder","TRUE","FALSE","Toolboxes","February 25"
"bb6a7ae2-af89-4fa6-9076-43b8b6ee8aa9","","not-started","Pre-Start Meeting","checklist","FALSE","FALSE","Toolboxes","February 25","Pre-Start Meeting"
"8359e05c-2b89-4458-96e9-2a4e23a6539d","","not-started","Toolbox Meeting","checklist","FALSE","FALSE","Toolboxes","February 25","Toolbox Meeting 27/02/25"
"ec550632-bb3c-4155-8854-ebd812d468da","","no-status-not-started","","folder","TRUE","FALSE","Toolboxes","March 25"
"ebc21ebf-afe1-4a99-ad6f-b374161bb566","","no-status-not-started","","folder","TRUE","FALSE","Toolboxes","April 25"
"50f4eebe-20e3-4e95-a517-2756bf190a4c","","no-status-not-started","","folder","TRUE","FALSE","Toolboxes","May 25"
"8394eb99-bb8d-4177-b719-227aa921bbee","","no-status-not-started","","folder","TRUE","FALSE","Toolboxes","June 25"
"129138bc-5748-4871-8ea3-a0e0317ffd2e","","no-status-not-started","","folder","TRUE","FALSE","Toolboxes","July 25"
"9da2dcb5-a6f8-4023-9e79-eec21c922e41","","no-status-not-started","","folder","TRUE","FALSE","Toolboxes","August 25"
"98a7d670-c9f2-406e-9895-3e42957c86c0","","no-status-not-started","","folder","TRUE","FALSE","Toolboxes","September 25"
