"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Bathroom Progress"
,"Scope",,
,"Rows"
,,"Ground Floor - G1",,"ground floor","g1"
,,"Ground Floor - G2",,"ground floor","g2"
,,"Ground Floor - G3",,"ground floor","g3"
,,"Ground Floor - G4",,"ground floor","g4"
,,"Ground Floor - G5",,"ground floor","g5","bathroom"
,,"Ground Floor - G7",,"ground floor","g7"
,,"Ground Floor - G9",,"ground floor","g9"
,,"Seq # 6 - Final Cleaning",,"seq # 6 - final cleaning"
,,"Seq # 7 - Install the floor finish protection (RAMBOARD)",,"seq # 7 - install the floor finish protection (ramboard)"
,,"Seq # 8 - Handover",,"seq # 8 - handover"

"Kitchen Floor Progress"
,"Scope",,
,"Rows"
,,"Ground Floor - G5",,"ground floor","kitchen floor","g5"
,,"Level 1 - 111",,"111","kitchen floor","level 1"
,,"Level 1 - 113",,"113","kitchen floor","level 1"
,,"Level 1 - 115",,"115","kitchen floor","level 1"
,,"Level 2 - 215",,"215","kitchen floor","level 2"
,,"Level 3 - 301",,"301","kitchen floor","level 3"
,,"Level 4 - 405",,"405","level 4","kitchen floor"
,,"Level 4 - 407",,"407","level 4","kitchen floor"
,,"Level 4 - 410",,"410","level 4","kitchen floor"
,,"Level 4 - 411",,"411","level 4","kitchen floor"
,,"Level 5 - 512",,"512","kitchen floor","level 5"
,,"Level 5 - 518",,"518","kitchen floor","level 5"
,,"Level 6 - 622",,"622","kitchen floor","level 6"
,,"Level 8 - 811",,"811","level 8","kitchen floor"
,,"Level 9 - 907",,"907","kitchen floor","level 9"
,,"Level 9 - 910",,"910","kitchen floor","level 9"
,,"Level 10 - 1001",,"1001","kitchen floor","level 10"
,,"Level 10 - 1006",,"1006","kitchen floor","level 10"
,,"Level 10 - 1007",,"1007","kitchen floor","level 10"
,,"Level 10 - 1008",,"1008","kitchen floor","level 10"
,,"Level 10 - 1009",,"1009","kitchen floor","level 10"
,,"Level 10 - 1019",,"1019","kitchen floor","level 10"
,,"Level 11 - 1106",,"1106","kitchen floor","level 11"
,,"Level 11 - 1107",,"1107","kitchen floor","level 11"
,,"Level 11 - 1113",,"1113","kitchen floor","level 11"
,,"Level 11 - 1122",,"1122","kitchen floor","level 11"
,,"Level 12 - 1201",,"1201","level 12","kitchen floor"
,"Columns"
,,"Pre-Start - Area tidy & Accessible- Free from any foreign objects",,"pre-start - area tidy and accessible- free from any foreign objects"
,,"Kitchen floor ready for tiling work",,"kitchen floor ready for tiling work"
,,"Seq # 1 - Remove floor tiles",,"seq # 1 - remove floor tiles"
,,"Seq # 2 - Substrate preparation",,"seq # 2 - substrate preparation"
,,"Seq # 3 Install Regupol 4515 Acoustic Under Lay",,"seq # 3 install regupol 4515 acoustic under lay"
,,"Seq # 4 - Lay the floor, as per drawings",,"seq # 4 - lay the floor, as per drawings"
,,"Seq # 5 - Apply Grouting",,"seq # 5 - apply grouting"
,,"Seq # 6 - Apply Silicon",,"seq # 6 - apply silicon"
,,"Seq # 7 - Final Cleaning",,"seq # 7 - final cleaning"
,,"Seq # 8 - Install the floor finish protection (RAMBOARD)",,"seq # 8 - install the floor finish protection (ramboard)"
,,"Seq # 9 - Handover",,"seq # 9 - handover"

