resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,,,Level-6,,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A608,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A609,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A610,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A611,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A612,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A613,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A614,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A615,,,,,
Common Area Fitoff Checklist [D],Sign Off,,,folder-with-checklists,,,,,,Common Area,,,,,
,,,,step,,,,,Level-7,,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A708,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A709,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A710,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A711,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A712,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A713,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A714,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A715,,,,,
Common Area Fitoff Checklist [D],Sign Off,,,folder-with-checklists,,,,,,Common Area,,,,,
,,,,step,,,,,Level-8,,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A807,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A808,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A809,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A810,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A811,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A812,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A813,,,,,
Common Area Fitoff Checklist [D],Sign Off,,,folder-with-checklists,,,,,,Common Area,,,,,
,,,,step,,,,,Level-9,,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A907,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A908,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A909,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A910,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A911,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A912,,,,,
Apartment Fitoff Checklist [E],Sign Off,,,folder-with-checklists,,,,,,A913,,,,,
