"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9a33ba0f-145b-44d4-9a28-fce685cfdcd4","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","Jun 23","Toolbox Meeting 16/6/23"
"de2d4ff7-f62a-46f0-adce-8913096dbfd7","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","Jun 23","Toolbox Meeting23/6"
"76a7f77e-a1a5-4ced-8160-72c24abaa7d3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Toolbox","Jul 23"
"3af31fc9-d9d5-447c-a108-4896ae4591ae","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Toolbox","Jul 23","Daily Pre Start4/7"
"2ff3b593-3919-4932-95d1-06d9e94cf733","","checklist-flat","work-in-progress","Daily Pre Start","checklist-flat","FALSE","FALSE","Toolbox","Jul 23","Daily Pre Start5/7"
"e9fd3130-2225-4bb0-85f4-f00893ffa400","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Aug 23"
"97000d4c-f17f-4df8-99db-86777e1ca7c7","","checklist-flat","not-started","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","Toolbox Meeting16/6/23"
"1df847fb-8f79-400a-9b50-20ae1e8cbfd6","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","Toolbox Meeting 28/7"
"50ddfdd0-2134-4a40-84ca-d3fe8e19f95a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Toolbox","September 2023"
"dfe52e72-408d-40f5-a823-de67a3250e60","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","September 2023","Toolbox Meeting 22/9"
"682ec2d9-06e3-4136-b34e-afc754e35bd1","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","September 2023","Toolbox Meeting Wet Weather toolbox 05/10/2023"
"02307538-8c72-4ba8-8710-54cb4d553966","","folder-normal","work-in-progress","","step","TRUE","FALSE","Toolbox","October 23"
"1b2bcb61-a103-422b-9e7a-a51388e2bd52","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","October 23","Toolbox Meeting 13/10/2023"
"f645a4c2-7667-4097-85e8-1cf82a5be9d4","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","October 23","Toolbox Meeting 20/10/23"
"b4b73b12-1013-4382-9fae-b6af53972111","","checklist-flat","work-in-progress","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","October 23","Toolbox Meeting 27/10/23"
