"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"998aab5d-840c-4b2b-8803-50b67447b46c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)"
"99f71ef6-3143-447e-be97-4ea3f78cda7e","","folder-normal","pass","","step","TRUE","FALSE","Tower 1 (West)","Level 1"
"961d673d-2114-4474-b70b-396532174e0f","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 7","Apartment 1004"
"d61b132f-34e0-4728-9e34-4ced2fcb8c2d","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 7","Apartment 1005"
"0528f3fd-4698-4d85-baf2-fc777ea855f1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 1 (West)","Level 8"
"3b9fae48-ebba-489f-8f33-59fc9d30d735","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 8","Apartment 1101"
"cae5635b-7e1e-4945-9fb3-1944681f6dbb","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 8","Apartment 1102"
"7d000700-ece9-4ac1-ad63-2029f3e945c7","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 8","Apartment 1103"
"7c4decac-b50f-486f-8eb9-6fe613d0d708","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 8","Apartment 1104"
"a06ce797-eca5-4266-9857-a2e78fa08a85","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 1 (West)","Level 8","Apartment 1105"
"3e977bdf-c2e5-4d24-9304-b44a1875a098","","folder-normal","not-started","","step","TRUE","FALSE","Tower 1 (West)","Level 9"
"e1168cbd-89c4-4d48-8756-b51401362d50","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 9","Apartment 1201"
"2c69237d-13ca-4619-a6d2-e0b1d36a0b24","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 9","Apartment 1202"
"5f2425fc-a673-4dc1-b74c-c017894a30ee","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 9","Apartment 1203"
"cc2ee3a0-6fe5-41ff-b0e5-380118730dc7","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 9","Apartment 1204"
"a2475f19-9b7a-4b05-82e2-8535c909d775","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 9","Apartment 1205"
"ba15d523-fbd5-4e22-97c3-109e9c29dadb","","folder-normal","not-started","","step","TRUE","FALSE","Tower 1 (West)","Level 10"
"e821e4a8-2b6e-4db2-bc50-515d5f9f7773","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 10","Apartment PH01"
"97f05192-a532-4911-b8a9-cf56e012188d","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 1 (West)","Level 10","Apartment PH02"
"81744f5c-a1bc-488c-b531-e0155a21b46c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 2 (East)"
"298be522-647b-43ce-b166-257375796490","","folder-normal","pass","","step","TRUE","FALSE","Tower 2 (East)","Level 1"
"e85931aa-1a5b-4e5e-98d4-f44d3a28e8b6","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 1","Apartment 407"
"5630bea7-5b66-4058-a6c2-3ef9fc9dc9f9","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 1","Apartment 408"
"4c7180a0-9351-4220-9d0e-db4778d66468","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 1","Apartment 409"
"1fabc0fd-ca68-4fe2-a9b1-50987cd39ada","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 1","Apartment 410"
"a8700143-6fc6-4d37-9954-b863339ddbf1","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 1","Apartment 411"
"b00bf95d-a3a8-48c4-a9d0-7f544a55f3fc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 2 (East)","Level 2"
"cee8776b-0163-4cc6-aa79-03f0c74e9c33","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 2","Apartment 507"
"0963c741-154e-4be4-b702-3d64b7737b4c","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 2","Apartment 508"
"9908fdfe-0770-4dc2-8965-042d66d20e8e","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 2","Apartment 509"
"112d308a-c221-42b5-8a1c-345a1bfc3397","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 2","Apartment 510"
"db3b3504-db6f-4de8-8d3d-a35e3ff60c7e","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 2","Apartment 511"
"bef79867-b5a6-43be-84e3-446ed0807230","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 2","Apartment 512"
"b25bced8-4fb3-423e-a848-7701780932ea","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 2 (East)","Level 3"
"957cf3a7-0003-461d-ae0b-2cce1b57112a","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 3","Apartment 607"
"5c70367b-a766-41c7-abd3-48d2b1707bbb","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 3","Apartment 608"
"01fd4824-dfe5-44ec-a571-716b5891ee0c","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 3","Apartment 609"
"8514cb24-bf47-45a4-9e95-605960825d47","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 3","Apartment 610"
"b2bb9085-5766-4e24-a17b-ebcabce339f8","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 3","Apartment 611"
"48819869-4b0a-4e26-b1ba-4840867dbedd","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 3","Apartment 612"
"cb021ffc-df12-4b37-8594-9eac283243f2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 2 (East)","Level 4"
"cae2c9a7-f487-42c6-8d90-d9adba331838","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 4","Apartment 707"
"0f68bc83-ffb3-4248-987f-aedf184448a8","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 4","Apartment 708"
"f4a18e42-71cc-4cfb-ba3c-d8d4b29777fc","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 4","Apartment 709"
"52d0262e-1be4-493b-a30a-b16aa36a7c80","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 4","Apartment 710"
"37580f11-c95c-4fb3-97cb-ed24f715562a","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 4","Apartment 711"
"60be6942-ad22-47bb-8cea-156bfcaaf528","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 4","Apartment 712"
"1c021ac1-b419-46ca-a04c-aa6fec9b10e0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 2 (East)","Level 5"
"06fb9d67-9516-42d2-b477-637c8fc3a64f","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 5","Apartment 807"
"297e21b5-3fb6-4da9-b910-91b54517f841","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 5","Apartment 808"
"6d47bbc3-26e0-41bd-8e79-39f550bd8010","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 5","Apartment 809"
"29c519ae-62a1-45ed-9e0c-862bddeb1387","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 5","Apartment 810"
"4d6f01b3-a343-4c3b-99fd-a44aafd93359","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 5","Apartment 811"
"d07bf6c8-e156-4c76-a99a-25761883ab48","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 5","Apartment 812"
"728a87cf-a7ae-42f1-9c08-1dbff7f1404e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Tower 2 (East)","Level 6"
"773db99d-b7cf-49af-bff0-9040d20b335d","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 6","Apartment 906"
"af7e5973-f801-4b20-9917-a9985f22eeee","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 6","Apartment 907"
"9f83cc4a-9309-471d-aeb2-422e03d700f7","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 6","Apartment 908"
"3d2c0dba-f389-4113-9fb4-47af6effcf8e","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 6","Apartment 909"
"a85acdf2-6bff-4012-8788-07468f29f94e","","checklist-sectioned","work-in-progress","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Tower 2 (East)","Level 6","Apartment 910"
"f67d035e-1dbc-47e1-927d-65bb96b25257","","folder-normal","not-started","","step","TRUE","FALSE","Tower 2 (East)","Level 7"
"54884c45-d5f6-469f-bec4-c4bafe618d15","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 7","Apartment 1006"
"462d27a8-d1b8-4378-9d1c-b0ac492cdf2b","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 7","Apartment 1007"
"de29b403-30d8-4071-bbdd-50eaa733e351","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 7","Apartment 1008"
"f56d83ae-b6dd-416d-8e04-112ba00c1b66","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 7","Apartment 1009"
"148b40bb-6051-4a31-aef9-bb6bac84320d","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 7","Apartment 1010"
"77feb7c9-595a-4cb0-b058-d40878dbdc6f","","folder-normal","not-started","","step","TRUE","FALSE","Tower 2 (East)","Level 8"
"334d603f-22bf-4f3e-ad45-d5b08eac73c2","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 8","Apartment 1106"
"9a85a470-38f5-46ed-b938-f5d5f45c028c","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 8","Apartment 1107"
"7384c98e-8782-43f6-9cdc-d35cc10212d7","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 8","Apartment 1108"
"511f0751-fd89-4874-93d4-5575167daa71","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 8","Apartment 1109"
"f7db299e-469c-4aa1-9d35-3629127e2dad","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 8","Apartment 1110"
"3d8e155c-7143-40ed-9154-647884ee6cd9","","folder-normal","not-started","","step","TRUE","FALSE","Tower 2 (East)","Level 9"
"1ae26121-27ce-4f9b-8bac-e7a345c81c78","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 9","Apartment PH07"
"521f6687-4524-486f-afe9-fcf3c9f66412","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Tower 2 (East)","Level 9","Apartment PH08"
"30815ec0-00a6-4ba3-a9c6-aeaa5893322d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Town Houses"
"f2173b1a-2692-417e-bf91-03ebb3d356c5","","folder-normal","not-started","","step","TRUE","FALSE","Town Houses","Block 1"
"829945e9-d9c7-402a-b505-c5ec555198c4","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 431"
"ebdbde7b-8f8f-419e-9919-81befba19a4f","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 432"
"87f6f420-8096-48c8-801d-063aa61a283b","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 433"
"9e1ca67b-bc6d-4bde-88a5-025511c92730","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 434"
"a1f63a54-a04c-4cee-b55e-a85f01a30ac0","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 435"
"aef7889a-280c-468a-be33-fbeaa573d8c2","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 436"
"288ed971-a601-4f41-86eb-36e275979fc5","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 437"
"4faedbcd-eb97-4ecd-9a14-f3f88999c9ec","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 438"
"8e7c11cc-6533-4624-91b9-96dab3dd32c4","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 439"
"fb00147a-78fd-4c6f-9e9d-4cf20c02927f","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 440"
"7e28185b-58e6-4e23-b6ad-cba46713edd7","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 441"
"b3aa6f9b-8803-4e97-80f7-b90fe2182afe","","checklist-sectioned","not-started","Farmers Tauranga QA","checklist","FALSE","FALSE","Town Houses","Block 1","Unit 442"
"c302c0c8-bf7b-4ff1-9a02-c5cfc5c0aee4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Town Houses","Block 2"
"db415e82-a0a2-4c04-ba44-83ac0d891b21","","checklist-sectioned","pass","8483d2e47036e421ed7e214002d5701a417ce85b6d55492436046e66874b5ff5","checklist","FALSE","FALSE","Town Houses","Block 2","Unit 420"
