"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4a4637ca-d980-4e4e-b33c-1203ad416978","","folder-normal","work-in-progress","","step","TRUE","FALSE","Ground & Core"
"db7d287a-fb59-46e1-8977-dd2b52fe7049","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","218"
"23d56a1f-7c41-408b-b420-bb237ccf0b33","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","219"
"f5e3d0b6-8f72-4e0f-b490-21d32a6bae62","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","220"
"67299fa7-46db-486f-8033-f0e201478d61","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","221"
"1f4d4180-27de-415d-b360-1181b75b509c","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","222"
"4b6ff662-c678-40d4-a603-d8ed9e889966","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","223"
"51f74de4-b23a-4de3-b2b3-d7f4f834c211","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","224"
"528ae0c9-f7e6-442f-81ac-61504e86d7a6","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","225"
"967ecb5b-cd0a-4599-ac53-c967e584c301","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","226"
"1dc6d2f7-cd18-41f4-aee3-072cf1608dc9","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","227"
"2ccd4595-b752-4547-8f89-58c7a37b165c","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","228"
"d96bd1b6-af8e-4d93-aba2-ca83c3944687","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","229"
"c63db477-b5e4-480d-9464-e229ef29d9e5","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","230"
"05060b15-5c0e-442e-8a91-dc4c24923d08","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","231"
"8a9f5f33-b164-460c-a65b-c0d22dc8154e","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","232"
"0c846e60-ee99-4f06-afb7-9d80d2da75f1","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","233"
"2b5c4d5a-f997-4c21-a03d-798eb4482d50","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","234"
"b411359d-a631-452a-bd40-247f53dfcc71","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","235"
"f5ac9ee6-8a6a-4e79-a467-b003b469f8fe","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","236"
"b1f85607-2bde-45aa-bd97-66f0d4cf881c","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","237"
"d8121432-8291-4a6b-89e7-2a148916c503","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","238"
"984e3511-ddb8-4bdd-b6bb-a95228406a11","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","239"
"38754d0e-d1d9-4d77-a2dd-f6eba98d021d","","checklist-sectioned","pass","7d430f0f5446171ec59abf80fa9aa78f81c991121c23f111cb7cde4506c7db9b","checklist","FALSE","FALSE","Ground & Core","240"
"efd8a3f1-647f-4ce1-9f6f-9fcdd72c4e58","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","241"
"80912a2e-551a-4da1-8080-fb85833a219f","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","304"
"bbf301b7-d2f3-4e2d-bc92-6b804e229c9a","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","305"
"5a94f768-bdd9-4a79-9144-722a99643aab","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","306"
"f58225c9-6604-455a-b1be-fa366cdd7ae3","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","307"
"f16614df-0e8e-4638-91b9-77de3036f2d9","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","308"
"21819b32-e8bb-4851-8fc8-155717e30952","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","309"
"84f920d6-aa08-46e3-af95-073312bfb500","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","310"
"a7145fb2-bc98-44a0-9ec8-2e17cf5e3006","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","311"
"d6d337af-17d1-4cd6-bda6-5f2047b45766","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","312"
"6631ec56-9421-44d3-b538-8c9af777343a","","checklist-sectioned","pass","7d430f0f5446171ec59abf80fa9aa78f81c991121c23f111cb7cde4506c7db9b","checklist","FALSE","FALSE","Ground & Core","313"
"9dc5c959-4e87-4670-9d28-dc0955c0815c","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","314"
"5312c5d0-0a4b-4896-beb7-3badc37b4389","","checklist-sectioned","pass","7d430f0f5446171ec59abf80fa9aa78f81c991121c23f111cb7cde4506c7db9b","checklist","FALSE","FALSE","Ground & Core","315"
"c3f991da-a524-4b63-a247-7f23ac9e15c0","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","316"
"a9d052d5-42c8-4f05-b43b-40cb21fd146e","","checklist-sectioned","pass","7d430f0f5446171ec59abf80fa9aa78f81c991121c23f111cb7cde4506c7db9b","checklist","FALSE","FALSE","Ground & Core","317"
"621e2e92-16f7-422e-b70d-61f5b95a6717","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","318"
"a347a2dc-e82f-4602-9660-f2b9714b2a0f","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","319"
"c8911c8b-d107-458c-b98d-be8d89fd5f5c","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","Ground & Core","320"
"917503cc-dc91-4e28-9884-3628598e0abb","","checklist-sectioned","pass","7d430f0f5446171ec59abf80fa9aa78f81c991121c23f111cb7cde4506c7db9b","checklist","FALSE","FALSE","Ground & Core","321"
"3fae363f-9512-4fb6-97d3-47aa67ccf97a","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","322"
"bc89c004-885e-43f9-8b2c-c266e07c0a35","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","323"
"2a6c539a-6705-411b-be29-ec3580169dca","","checklist-sectioned","pass","7d430f0f5446171ec59abf80fa9aa78f81c991121c23f111cb7cde4506c7db9b","checklist","FALSE","FALSE","Ground & Core","324"
"f9ee1cdb-caaf-4890-8d06-c6d6eb054973","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","325"
"44d83bb7-da5c-45b8-889f-4ce94c4c1703","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","326"
"de1a9897-e7fa-479a-9595-68c58bf2a542","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","327"
"c46f2e84-4998-4711-9677-145c407174ea","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","501"
"7f410477-fcda-4a90-961c-ebee9bbab97e","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","Ground & Core","502"
"6b20782e-e315-49b1-aacf-0b2c58e6f98d","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground & Core","601"
"51bdf3a1-2167-4eb5-b901-e890a1c8f5c2","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground & Core","602"
"6795f7a8-deb0-48b2-a111-ad085adf51ae","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground & Core","603"
"96d54d19-e44e-4f1f-878c-5a65a9c70b75","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground & Core","604"
"2517e3d1-06fa-469f-93b1-9138fde65701","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Ground & Core","605"
