"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5f57980a-e52c-4628-8c36-459c389557b5","","checklist-flat","pass","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"908d648c-fd39-40de-9c23-db367baf12ad","","folder-normal","work-in-progress","","step","TRUE","FALSE","Panel QA"
"4ca95e06-7a29-43b8-b8d3-54062b19aac3","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-037"
"b29065cb-2354-4140-88ce-c363250b2f98","","checklist-sectioned","work-in-progress","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-036"
"fae7a87c-1d9f-477f-bf99-89595648ba94","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-035"
"9a48b7c1-8093-48d8-ac63-20bd717cdeae","","checklist-sectioned","work-in-progress","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-034-2"
"37588635-a1a5-4f5e-bcc9-484f1aca7406","","checklist-sectioned","work-in-progress","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-034-1"
"e42b5e2d-43d4-4b7f-9920-7533f8434434","","checklist-sectioned","work-in-progress","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-1"
"25163f6b-5814-4b39-aa9e-84b23294f6e9","","checklist-sectioned","work-in-progress","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-033-1"
"ab2cbcf5-dd25-418c-bc1a-2044f48d1e12","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-033-2"
"9fa439c3-baf6-4ae9-bbc0-d967f77c0809","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-032"
"5b2ca2bd-c619-4ab0-83ff-fd5ea3a23313","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-28"
"8051524a-2935-4a1d-afa9-20980ef2ec46","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-030 - below"
"6ae41c2c-cc6b-449a-80ec-c6b43d847b24","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-031 - above"
"790b930b-4ad3-4b33-8b5f-462211883324","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-029"
"b8135e51-8ec8-41b0-8ef9-ccdd63829ae1","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-028"
"7aef6e1e-8866-4577-9efd-e8627d3d8595","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-026"
"f1d35a7e-c15c-4f76-94da-c492b70c3a22","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-27"
"0dd05b81-928c-42b0-a501-d6ebbaf7e5aa","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-26"
"cb4ff076-a701-4501-a33c-50bafd6d4a80","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-017-3"
"a039478d-3125-4e86-a3d8-7c1616489354","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-25"
"79b5f941-ebc7-46f8-9872-12cf68390d86","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-24"
"fe0a75f9-8812-4cca-bad0-6e0572c5fc15","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-017-2"
"e9b26d8e-e076-421a-8580-b71c07db39a6","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-017-1"
"0e74e540-9ed3-4bbe-9b0b-7711458450a5","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-23"
"e68cce5f-718c-46ca-871e-0511adcc5931","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-22"
"05e76323-967a-477c-ac9e-fb5bce01f04c","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-025-2"
"cb5dde2d-5dee-47e3-b1ab-ae7d1c13d614","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-022-6"
"add12510-2ead-4160-b10f-bf6ac81ad859","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-024-2"
"389c042a-4b12-4a86-a9ad-5a030107bc64","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-023-2"
"93ee1889-75ad-4c1c-b49c-150d7f503543","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-022-5"
"b3cb99f5-06e4-473f-8722-eff9e730c5f7","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-022-4"
"299fdce4-5770-41ee-ad10-64a74a4043af","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-21"
"946ea8fa-f6f7-4916-b5a0-8772fa1b7a7f","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-20"
"3f3652b2-21ef-4cb0-a02c-9b0369d3b9b7","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-19"
"d8dad4f1-5aa9-48db-87f5-4fd33cd09a2a","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-18"
"871c3bff-4661-42f1-a5fc-ffae9e35c646","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-021"
"01fe1420-c03d-40ed-b05b-80c240cffeea","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-020"
"f2303ba3-179e-406e-912d-276071cd7603","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-019"
"92a008c3-836f-4ab6-be4e-fd09bd2abfd5","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-018"
"5bad3df3-3ee8-4950-ae5c-7f8f210d104f","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-18"
"2a19475f-eba6-47d5-a2dc-ced977d1e8ab","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-17"
"ec552790-45bb-4cf9-a867-88f449fee7ec","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-16"
"2a42bb83-cdb5-4b05-9cf0-fb57839ac55c","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-15"
"5b5a4b0c-3c29-4b34-ba96-74bebb042579","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-14"
"301c57f5-ab94-4ebf-b31f-e0b12214f651","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-13"
"9b5367bb-fef6-4a0a-94d5-8ade8a51b673","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-12"
"0815fba5-6f6c-4dba-a9bb-953774be963d","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-11"
"034ba61b-c8e0-46d7-813e-d42572135078","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-016"
"b69af6fd-850b-4ca9-844c-747795901d8e","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-015"
"bbb74209-c110-4d03-a6de-d4d309efccfe","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-014"
"5ebe4b9f-117a-4652-af3e-29cf39043544","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-002-3"
"8df34f1e-5f1e-4ddb-8db9-0eca396c837f","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-10"
"327d0bd9-f86f-4cc1-95e1-b91d4e1dd789","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-9"
"41f00778-7fcd-4a1b-ba09-27018c7f18d3","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-8"
"0daf18ca-a2cf-40d4-8875-7f62ed06fb41","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-7"
"c43873ee-07d8-4611-9dd1-70c77c3a4496","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-6"
"1fda5c21-0213-4e05-9dca-b51248cb1465","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-5"
"1f614444-cbdc-49d4-87a1-088d29818e1e","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-4"
"c7d343cb-4d81-4844-a1ea-4b893527ac74","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-3"
"329faf94-a7fb-43a7-bcd7-eb85f151c8b3","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-2"
"1e6befb6-5ec3-4501-a60c-6c0765b7c933","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-013-1"
"82a2914c-0e97-4039-967b-5f1938214e32","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-012"
"7b8cf40c-b9dc-45db-b911-aa6d6d98f6ec","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-011"
"cbc67755-5fba-4074-a86f-1659872653d8","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-17"
"8aa95142-9c70-40bc-bd6e-7d8dba3a1c80","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-16"
"a0df9656-170b-439c-8c34-3a0ebee79843","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-010-2"
"c21fecd2-a806-48f9-8154-ca2289b12bf0","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-009"
"ef514dc7-5cc6-4682-abe2-7afe3db3ea62","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-008"
"bb2448da-c790-4760-ba1c-76c230e31b43","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-027-2"
"63a7b4f3-3f32-4cf1-9078-a91263806ed5","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-023-1"
"5beb7876-26b1-46a2-953f-a4fa65a8d201","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-024-1"
"55ced741-800a-44b2-8f19-c1e3bcd6c854","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-022-3"
"23c5292f-1ca8-4128-9318-008850ddc32f","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-025-1"
"0969b283-fc96-4359-bfc9-9628814198ae","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-027-1"
"4302e398-7abd-41f9-9454-824e3a027f71","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-007"
"0a64aebc-0e0d-4e96-808b-d226a0b1c63b","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-15"
"1baff477-c408-427b-9f38-e78b5bd7c5d0","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-14"
"91b3e3ad-4d5b-47de-8080-6b9882eea1e3","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-010-1"
"c5266d90-4a8a-4382-8368-48d7a74704f0","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-006"
"0ee00c92-3e46-4655-bae5-9e1bb5a46ae7","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-13"
"13515c5a-d0e8-4e43-8927-5e497205a4b5","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-005"
"48101b9f-da35-4389-a660-6e64bb440d63","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-004"
"4e582997-e5ff-4542-b58c-9a9503230336","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-12"
"415a6e18-a649-4af9-9cb6-ec3d47a11a23","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-002-2"
"3bff36ce-c522-42ed-acc1-2508b2438592","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-003-11"
"65e6043f-523c-4a56-b22b-2eba37d6b910","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-002-1"
"381a0745-1c1f-4e53-889e-c3305723105b","","checklist-sectioned","not-started","90b93ae24dd60c71f169c2a056cd9de3483505e1d5793309499827dc0ac2d23f","checklist","FALSE","FALSE","Panel QA","PC-001"
