"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14375268-3842-41ff-a0a6-4217f1054078","","no-status-started","SYS - PT - Job Details","checklist","FALSE","FALSE","Job Details"
"65679cbc-a618-49bc-b1a7-c62d1ca7ea7f","","work-in-progress","","folder","FALSE","FALSE","Health & Safety"
"bad3ad5c-efa9-4dea-a0d7-229e1fdd4d23","","work-in-progress","80bf1a3a761da83466809b52e37a98d666edb82060f60bcd505c5d65926fc18c","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis 25/09/24"
"3718349d-39f9-4c0a-a58a-8869ce3acefd","","work-in-progress","80bf1a3a761da83466809b52e37a98d666edb82060f60bcd505c5d65926fc18c","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Task Analysis 14/2/2025"
"f472a28e-34e3-43bc-b115-dc821f6d06ec","","work-in-progress","","folder","TRUE","FALSE","QA"
"7d5ddd4d-beaa-4a80-aedd-8d18e5f972e3","","work-in-progress","009c42034ef5e95f196dd0f3914504cb6c41277a0251bd001ded749cdb25efb2","checklist","FALSE","FALSE","QA","Coloursteel Cladding"
"2652c541-0f21-40cf-951f-fe337d1e80cc","","work-in-progress","QA - Roof Logic SM Membrane System","checklist","FALSE","FALSE","QA","Roof Logic SM Membrane System"
"b4bdcc8c-4416-46d0-b643-d45da6dfd21a","","work-in-progress","QA - Roof Logic SM Membrane System","checklist","FALSE","FALSE","QA","Roof Logic SM Membrane System Andewsim"
"cb1b3172-6788-41a7-9005-8dae3a8f19df","","work-in-progress","QA - Gutters","checklist","FALSE","FALSE","QA","Gutters"
"f1c2a471-a7d9-4aad-be97-82b7ba94df26","","not-started","Final Defects/QA","checklist","FALSE","FALSE","QA","Final Defects/QA"
"692e3990-2551-4b86-b5f1-be2865b03b47","","pass","","folder","TRUE","FALSE","Variations"
"1bc893e1-f197-4b08-8691-7d5de4ba1431","","no-status-not-started","","folder","TRUE","FALSE","Variations","Thu Jun 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"994aa48e-61b6-4a5c-afe6-27344be75ca7","","no-status-not-started","","folder","TRUE","FALSE","Variations","Sat Jul 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"3b35dca0-57f3-49db-9a7f-a1d3bc130dfe","","no-status-not-started","","folder","TRUE","FALSE","Variations","Tue Aug 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"948b6ff1-0b6b-4f51-937c-63d6508f1ba4","","no-status-not-started","","folder","TRUE","FALSE","Variations","Fri Sep 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"45b2b1cf-fda7-4dd5-a16d-4bcd53c107ec","","no-status-not-started","","folder","TRUE","FALSE","Variations","Sun Oct 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"dd8ee04d-5e7b-4bb4-8d35-0755b4631bed","","no-status-not-started","","folder","TRUE","FALSE","Variations","Wed Nov 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"b05ffa40-5731-4611-89cc-91080d7cd572","","no-status-not-started","","folder","TRUE","FALSE","Variations","Fri Dec 01 2023 00:00:00 GMT+0000 (Coordinated Universal Time)"
"e9230f77-6015-4545-a578-381fe0ee6e15","Child Variation Details Approved(2976ab16-75b9-5a7a-a976-6ba21c86bbb9): Signoff Request Variation Acknowledgement(c1de07f9-adc2-5688-9a53-81f809bc5ff5) must be dependant
Child Variation Completed(e84b3fec-b41c-5a54-b6dd-1883a030ca5e): Signoff Request Variation Signoff(d70bdd96-a1e2-5601-9bf5-8648fa6b3028) must be dependant","pass","Add Variation","checklist","TRUE","TRUE","Variations","Variation Details -  26/09/24"
"2b3870e5-8d5e-4813-af81-776a35ecf70d","","no-status-not-started","","folder","TRUE","FALSE","Delays / Damages"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","work-in-progress","","folder","FALSE","FALSE","Variations"
"7006a2e4-6415-4ffe-b194-10118f9a3d59","","not-started","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","Seismic joint"
"c53ccb4e-6398-4fc6-a867-6cefe41c1726","","work-in-progress","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","Seismic joint main roof"
"e93d888e-a5eb-439a-91b6-775dc14d02c5","","work-in-progress","96a2ab11de59cd971925dad4b88213d3a0182dc951cafa8db62df00cbeb7ff97","checklist","FALSE","FALSE","Variations","Removing roof iron for Crane work & reinstall "
