"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8087e01d-514b-47c1-badf-f5eb7fb8b695","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground"
"3710f621-f3f5-42e7-ade2-3f1a1a0fa91d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Footings Ground","Grid 1"
"b5f612a0-5b02-44d8-8af2-d7edb79fe0dd","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 18","Precast Install - Flat Slabs"
"c694f855-7a96-4960-bb6d-b246d8dfed62","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid 18","Window door Opening / Framing"
"cd83ba3b-7bee-4609-a48b-1fc48f92fdf0","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid 18","Framing to steel beam"
"19ac05a1-7ce2-44ab-b503-b3ddcdeed95a","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid 18","GIB Weatherline"
"23884322-8b00-4d8c-9d99-63465a113889","","folder-normal","not-started","","step","TRUE","FALSE","Level 1 Slab","Grid 19"
"c9d2975c-be18-4ec4-9a87-4c260ede449e","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 19","Upper Floor Slab"
"ecdb24c3-3815-48ef-895b-da295237c571","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 19","Precast Install"
"7c522ddd-2e87-4b83-9473-def7e4f32cef","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 19","Precast Install - Flat Slabs"
"4f6c0a73-8e57-4b5c-9906-de4bac2d396c","","checklist-flat","not-started","Precast Install - Balcony","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 19","Balcony Install"
"d7ce3685-a304-4e4d-bec5-8492cff6e432","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid 19","Window door Opening / Framing"
"8b841f5c-b599-4394-90e6-a7782983378e","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid 19","Framing to steel beam"
"d2ac64cc-0828-4848-999d-6f2005cfad59","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid 19","GIB Weatherline"
"b8decdcd-4c92-4d9f-ae34-105f11507fa7","","checklist-sectioned","not-started","Balcony Soffit Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid 19","Balcony soffit framing"
"2c8278e6-e4e4-4090-a128-5191bd8d51b0","","folder-normal","not-started","","step","TRUE","FALSE","Level 1 Slab","Grid 20"
"8313ee05-ab73-4558-9a91-579137df1665","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 20","Upper Floor Slab"
"7e3b873b-47fe-420f-bf61-7068e793aa16","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 20","Precast Install"
"5047e8c4-e907-4de0-8142-ba18b77b3e2c","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 20","Precast Install - Flat Slabs"
"58594428-c9a9-4747-9730-4ca14d66761b","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid 20","Window door Opening / Framing"
"31c2ca5c-d435-4d2b-9aa5-b7ffcf2da406","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid 20","Framing to steel beam"
"ffe1e865-6534-45bd-b871-5a03bed2f84a","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid 20","GIB Weatherline"
"d5b205e6-184f-49b7-90e0-889dd418bdbc","","folder-normal","not-started","","step","TRUE","FALSE","Level 1 Slab","Grid 21"
"dade285b-0488-496f-aa28-fb06f805d700","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 21","Upper Floor Slab"
"b62143a8-7af4-4c8d-b4dc-b48ac21c13c4","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 21","Precast Install"
"c28f0d9e-9a41-48ad-94ef-f7677232000a","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid 21","Precast Install - Flat Slabs"
"f20a19b3-e506-44b7-9bff-1e746a7f7318","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid 21","Window door Opening / Framing"
"604a0eca-aade-4053-8536-2e991338b937","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid 21","Framing to steel beam"
"52dfb8e1-cbfd-4fd4-9d3e-a2c6f838ec06","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid 21","GIB Weatherline"
"11536474-60ad-48d6-824b-dcf75df6bcbc","","folder-normal","not-started","","step","TRUE","FALSE","Level 1 Slab","Grid A"
"58df01bc-4c52-443c-ab74-5df11bc40065","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid A","Upper Floor Slab"
"4ddd3f7b-b0c5-4596-999b-e2c0117b1bad","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid A","Precast Install"
"db8e8bfe-5718-4ba1-b75c-a8c4c39b25f3","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid A","Precast Install - Flat Slabs"
"94b8eb09-f90f-4d4d-950b-51d4bddd3f99","","checklist-flat","not-started","Precast Install - Balcony","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid A","Balcony Install"
"2e6f4eff-b6a3-4458-bdd7-069c9a1eb185","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid A","Window door Opening / Framing"
"76b630a7-7b02-463f-a08e-e002a96b9204","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid A","Framing to steel beam"
"d0fc6a4c-d6eb-4051-8c70-474ddba6e738","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid A","GIB Weatherline"
"66df054c-8e63-4649-918a-6be7779c866e","","checklist-sectioned","not-started","Balcony Soffit Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid A","Balcony soffit framing"
"9626b4a4-0ba9-47f9-9c75-00c356c9148d","","folder-normal","not-started","","step","TRUE","FALSE","Level 1 Slab","Grid b"
"76b20116-573a-49d1-a950-c70251f16a3a","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid b","Upper Floor Slab"
"478c348e-a600-4221-ab48-77e94260cfb2","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid b","Precast Install"
"58b92551-d363-430b-b526-3033f7946a31","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid b","Precast Install - Flat Slabs"
"7a69b9b2-cc4b-4475-b510-b8045014c270","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid b","Window door Opening / Framing"
"77f64931-6a5f-470c-b923-226f0b6648e6","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid b","Framing to steel beam"
"1ce569e3-decc-4396-b4a3-9f23737faeae","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid b","GIB Weatherline"
"df179458-253c-47bd-b94a-ae7229372524","","folder-normal","not-started","","step","TRUE","FALSE","Level 1 Slab","Grid c"
"41789f2b-66ff-4e24-995a-75df4b857b64","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid c","Upper Floor Slab"
"d6d3baaf-56fe-4dc0-be3c-5c7fcae045b8","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid c","Precast Install"
"b8e32809-d3a7-4699-a937-2fe24e67331d","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid c","Precast Install - Flat Slabs"
"82acb6e1-8702-4d5c-9ce7-efdcc0b4549e","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid c","Window door Opening / Framing"
"f2c53ca3-c34b-4a36-9113-a3596cdcb02a","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid c","Framing to steel beam"
"ec9f8163-4b8c-4811-bccb-f9a4497557df","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid c","GIB Weatherline"
"d8e13222-0f8f-4e67-b2c5-6f411af158d9","","folder-normal","not-started","","step","TRUE","FALSE","Level 1 Slab","Grid d"
"1b473f93-490d-4ed7-9939-e2bcbc74382e","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid d","Upper Floor Slab"
"68ed7a56-892d-4234-b21c-00788b364383","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid d","Precast Install"
"860b8e84-f33b-4c79-a4b4-0225f78fe0ae","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid d","Precast Install - Flat Slabs"
"3cba60a3-af34-4b1c-b4ed-ebaa3c3ecace","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid d","Window door Opening / Framing"
"4b322904-341a-472e-9dd3-7054f4a26ac4","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid d","Framing to steel beam"
"e3631aaa-c4ec-42d5-88a1-fdcb38d05285","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid d","GIB Weatherline"
"35adba06-4c52-42cd-90bf-34630357c15c","","folder-normal","not-started","","step","TRUE","FALSE","Level 1 Slab","Grid e"
"0ccac110-15cb-4f49-8ca0-8d4aa48f88f5","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid e","Upper Floor Slab"
"d3453dad-0261-4d2c-a62b-3aafa3f2edd7","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid e","Precast Install"
"bce8d267-5375-4d73-bd4f-e77e19d42a7f","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid e","Precast Install - Flat Slabs"
"142eea33-6789-4b34-b2b2-a544419c6a03","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid e","Window door Opening / Framing"
"51821ab4-61cb-4f6d-956e-8dcafe7438d5","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid e","Framing to steel beam"
"7b7c2420-bb0e-4240-aefc-c0a823757cf3","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid e","GIB Weatherline"
"d0db4a46-5ad0-4f1c-ba1e-a14359ca47fa","","folder-normal","not-started","","step","TRUE","FALSE","Level 1 Slab","Grid f"
"35cb4dd4-2c36-4ee0-9498-347f8dcb48f7","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid f","Upper Floor Slab"
"55d9e2b1-e5d8-40b5-be85-73eb6748b026","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid f","Precast Install"
"6750c3bb-2902-469e-a8e0-739edef682db","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid f","Precast Install - Flat Slabs"
"a0f1423a-982a-4c6a-943a-dcb43ba9bea8","","checklist-flat","not-started","Precast Install - Balcony","checklist-flat","FALSE","FALSE","Level 1 Slab","Grid f","Balcony Install"
"a81136f3-b168-46c1-91a7-e50795d526d7","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid f","Window door Opening / Framing"
"0b47d359-b638-4c65-8e55-6acb1576e1f8","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 1 Slab","Grid f","Framing to steel beam"
"a7e2bde6-cb64-4ce3-b9b5-a421b4f36b22","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 1 Slab","Grid f","GIB Weatherline"
"71d5e112-0677-410f-870b-cc2ff3497ba1","","checklist-sectioned","not-started","Balcony Soffit Framing","checklist","FALSE","FALSE","Level 1 Slab","Grid f","Balcony soffit framing"
"e8da5a7d-ee25-47be-9a2c-5f7d7343cb3c","","folder-normal","fail","","step","TRUE","FALSE","Level 2 Slab"
"0b37196a-e740-473d-a104-19b0de4a4dbb","","folder-normal","fail","","step","TRUE","FALSE","Level 2 Slab","Grid 1"
"8b08aade-adbe-4caf-a345-f2413173a527","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 1","Upper Floor Slab"
"d9cd3782-3932-45c2-9d6a-461996244bfc","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 1","Precast Install"
"aa448e2e-39cd-4b33-88f6-e6c9ac8c96c5","","checklist-sectioned","fail","022008dc6d8b3dc39ccbc891c3c60c55f8ca9f7f2809adc7dd26f6b88d914951","checklist","FALSE","FALSE","Level 2 Slab","Grid 1","Precast Install - Flashing"
"eed637df-ddfc-45db-a064-1469ea123e54","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 1","Precast Install - Flat Slabs"
"61c96012-6381-4f86-81fc-7b4dfbe24658","","checklist-flat","not-started","Precast Install - Balcony","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 1","Balcony Install"
"473a02f8-bbb3-4873-9f08-57d8f410a76d","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 1","Window door Opening / Framing"
"9a48fc37-8068-405e-82b1-bc5bd9ca5d22","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 1","Framing to steel beam"
"97646a55-1703-433f-9d0f-ede8f050a2e3","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 1","GIB Weatherline"
"867b0cc5-0154-4347-b7bb-78a2d0207b83","","checklist-sectioned","not-started","Balcony Soffit Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 1","Balcony soffit framing"
"6933a061-f2b9-433f-95b1-429569f1533b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2 Slab","Grid 2"
"d1ad84aa-4fbd-4c8c-abd9-13af5aaf8374","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 2","Upper Floor Slab"
"10aa44ec-ea09-41a7-a27f-6200ae5db13c","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 2","Precast Install"
"c59131e5-f390-4d9e-acfc-b86124f44bb1","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 2","Precast Install - Flat Slabs"
"6b5d80f9-572d-4ca1-aef1-22bf8cd2f8b5","","checklist-sectioned","work-in-progress","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 2","Window door Opening / Framing"
"f320c206-815c-4a37-8409-1539c73348ea","","checklist-sectioned","work-in-progress","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 2","Framing to steel beam"
"4e96542f-62e2-4919-b73d-fe4be1da6190","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 2","GIB Weatherline"
"7fe58db1-527c-4c0a-8168-7e46d8511616","","folder-normal","not-started","","step","TRUE","FALSE","Level 2 Slab","Grid 3"
"9727c771-bd9a-4b7b-8cf3-a727c252b072","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 3","Upper Floor Slab"
"5bc47fb8-4d1c-4b29-a111-ff0eaf487f19","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 3","Precast Install"
"ade3adf3-770e-4cd6-949e-f1bb3fcf3baa","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 3","Precast Install - Flat Slabs"
"60769b07-c6c7-47a0-9f1f-8b8adcad1fb1","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 3","Window door Opening / Framing"
"2f634b1d-6bef-4b9e-a6c2-467133764179","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 3","Framing to steel beam"
"2f9cb517-14c5-4140-99c3-f76485176ce1","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 3","GIB Weatherline"
"3dc50931-1ba8-4f02-879f-4311d67ecf08","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2 Slab","Grid 4"
"3df93a66-6dc3-4686-8af0-25efc69ca9e7","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 4","Upper Floor Slab"
"130e326d-e634-4803-a06a-680e0cca3701","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 4","Precast Install"
"866adb14-5729-4531-8a76-269de7dc6fe2","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 4","Precast Install - Flat Slabs"
"de913eac-743b-4bc5-973a-cc2f00a375e9","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 4","Window door Opening / Framing"
"0e10df93-4ce1-4cae-8c2f-635ab1e3e16c","","checklist-sectioned","work-in-progress","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 4","Framing to steel beam"
"d2352702-fa7c-4ddd-b2da-d60d5945bf18","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 4","GIB Weatherline"
"13468439-8ec0-4b47-8cb4-d166a8754947","","folder-normal","fail","","step","TRUE","FALSE","Level 2 Slab","Grid 5"
"06f4ca54-706c-4461-a3d6-e8308bc9aefb","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 5","Upper Floor Slab"
"d051eca7-02cf-46fa-8527-c37a845b4df8","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 5","Precast Install"
"57a8677d-805d-4faa-9870-afdec90fa525","","checklist-sectioned","fail","022008dc6d8b3dc39ccbc891c3c60c55f8ca9f7f2809adc7dd26f6b88d914951","checklist","FALSE","FALSE","Level 2 Slab","Grid 5","Precast Install - Flashing"
"b0622e1e-0857-4d3e-b19a-0d5c36fc0c95","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 5","Precast Install - Flat Slabs"
"d79478b5-b68b-4378-ab4f-17bca217d878","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 5","Window door Opening / Framing"
"00ed8fa3-6607-43d4-82e5-6acb2757b2ea","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 5","Framing to steel beam"
"8bb967e3-6eb9-49cd-9bca-1237b87c3b62","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 5","GIB Weatherline"
"3fcb326c-263f-4422-81d7-3cda31f1cbca","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2 Slab","Grid 6"
"3663a072-da9e-42c3-98ee-5732ae9dbdbb","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 6","Upper Floor Slab"
"f979b0a6-2b0b-48dd-b18a-b95840862645","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 6","Precast Install"
"be0692d3-cd2d-43ea-88a1-0c6ece7bf4b0","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 6","Precast Install - Flat Slabs"
"fb47e398-b723-4bc5-8ea1-109e25c2fd0e","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 6","Window door Opening / Framing"
"03eec381-3c06-4f3f-b8b6-7e2cbea0c156","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 6","Framing to steel beam"
"92703f47-6663-46f2-a8d6-5e314cc56e8a","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 6","GIB Weatherline"
"8d88babe-856c-440d-bbac-2d2cc953eb89","","folder-normal","not-started","","step","TRUE","FALSE","Level 2 Slab","Grid 7"
"01907144-bac6-414d-9d62-fc1a1ba56a1e","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 7","Upper Floor Slab"
"a9721cb8-61ea-495a-9d15-707bdee6a7ef","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 7","Precast Install"
"24ca9363-626c-403e-9f2c-38a5e7f63a7d","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 7","Precast Install - Flat Slabs"
"165d363d-b2e5-48ec-bd5f-20c8f4843b14","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 7","Window door Opening / Framing"
"3e237c1f-cb67-4633-b187-9e432699a373","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 7","Framing to steel beam"
"ddabb876-1c90-496a-bc92-83d0ea9554bc","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 7","GIB Weatherline"
"24cd1cf7-e280-46ac-a3cb-c0f1dd4c194d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2 Slab","Grid 8"
"79aef82e-19b8-4a42-be72-8d75aded231b","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 8","Upper Floor Slab"
"b3974a2a-3905-4d13-be30-a0f4138a4c1d","","checklist-flat","work-in-progress","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 8","Precast Install"
"99e7520d-f26f-4bf6-b583-93bb4ea20ff3","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 8","Precast Install - Flat Slabs"
"1fc9b4d0-1da1-44dc-9aff-ba9a6fcfa73c","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 8","Window door Opening / Framing"
"34128e57-3e48-42b1-aeb0-e979f5ecd0cd","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 8","Framing to steel beam"
"270bdb53-aa93-45c4-a165-3726abe193c7","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 8","GIB Weatherline"
"5d381b2f-eb2a-42f3-97d4-d11cf329f642","","folder-normal","not-started","","step","TRUE","FALSE","Level 2 Slab","Grid 9"
"1ea5e242-96f1-462f-aaf3-724403ed8b53","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 9","Upper Floor Slab"
"7e247df9-1f08-416e-bdd0-285ccfef1267","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 9","Precast Install"
"2dbaac8a-c80a-4d0c-a16b-82342813bfc0","","checklist-flat","not-started","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 9","Precast Install - Flat Slabs"
"f96cea3d-1124-4988-9e45-6a9cea749869","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 9","Window door Opening / Framing"
"bb51e99e-3462-4701-aae2-a98a8a416bbb","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 9","Framing to steel beam"
"336055ec-313e-49b9-a0e9-6398ba676311","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 9","GIB Weatherline"
"3648c450-5d43-4eb0-8d69-61d8dead13ad","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2 Slab","Grid 10"
"ba5d0b8b-7153-434c-a470-331f60bdc80a","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 10","Upper Floor Slab"
"226322f5-4b2c-4cf8-b2a6-1adb77ba369a","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 10","Precast Install"
"515471ac-6721-49eb-9612-b276f8fd2b64","","checklist-flat","work-in-progress","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 10","Precast Install - Flat Slabs"
"e87a9220-02a4-4e7b-a24b-31b728a15813","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 10","Window door Opening / Framing"
"27c22ab7-d9ce-4201-8249-d25ef6764d12","","checklist-sectioned","not-started","Framing to Steel Beam","checklist","FALSE","FALSE","Level 2 Slab","Grid 10","Framing to steel beam"
"c444a928-2be6-4dfe-844a-562260593c8e","","checklist-sectioned","not-started","GIB Weatherline","checklist","FALSE","FALSE","Level 2 Slab","Grid 10","GIB Weatherline"
"787282ff-9265-42f9-ba91-3a9f50aa554e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2 Slab","Grid 11"
"2444d43d-e922-4caa-a725-89d35dc68e6b","","checklist-flat","not-started","Upper Floor Slab","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 11","Upper Floor Slab"
"663b24b1-26dc-47fe-8853-535272af6eb6","","checklist-flat","not-started","Precast Install","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 11","Precast Install"
"1b9af9da-be96-4be1-81be-cb0e3fa440c3","","checklist-flat","work-in-progress","Precast Install - Flat Slabs","checklist-flat","FALSE","FALSE","Level 2 Slab","Grid 11","Precast Install - Flat Slabs"
"cc7e2672-79a7-4418-8317-93ed1a6c787c","","checklist-sectioned","not-started","Window door Opening / Framing","checklist","FALSE","FALSE","Level 2 Slab","Grid 11","Window door Opening / Framing"
