"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"715e4787-11fb-4710-bcab-ef8c4afa3c7c","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.03"
"4d431c1b-c558-4063-a40a-5d02c84afe9c","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.04"
"fb7228f0-4646-4fe2-a419-5a4b52e676f6","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.05"
"4c8efd74-d574-4940-8818-ffb3e375b287","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.06"
"8599395b-df29-483f-9674-d87c26428d75","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.07"
"10158460-b436-44f9-bf4d-1add35019f7e","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.08"
"c6fd03b2-e361-4433-ba82-a5078c584536","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.09"
"ec5c3ca9-899c-4cf9-8289-388af6119a7d","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.10"
"f5a25568-e00e-4614-aa2b-cc72d4f093ce","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.11"
"6fcc3e3e-31ea-4cd8-b630-e59530b2eda7","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.12"
"64242da5-5a67-4622-b881-2663e310470d","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.13"
"4ac9cd02-2207-46e4-acfa-45ee31967824","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.14"
"fa328302-4765-453c-befb-fc4711670d81","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.15"
"fa888cfc-303e-491b-b254-4843f62747f4","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.16"
"9e3c5dba-b915-4ac0-98f9-b03f162c4f82","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.17"
"a60bf1cb-699b-4746-8494-111058492280","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.18"
"8b81081f-3150-4ee9-88c2-7c9db312e37b","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.19"
"2f8a91d8-d5f2-49e4-9751-68e2d4c97736","","not-started","Drains","checklist","FALSE","FALSE","Site QA","Drains.","Novotel","Level 4","4.20"
