"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b7fff5cd-2ee9-4b2e-aae4-ce5752ec2040","","work-in-progress","","folder","TRUE","FALSE","Level 1"
"c3e49f32-5b01-4b96-86f5-bc37657197d9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.9"
"91f2337f-71ce-4248-91d3-248c57ca08b5","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","-W210"
"d3a0fedf-f65f-4c35-aa41-5ab5cfaaf139","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.11"
"6a19b766-a739-4639-adef-d3dc818fd0de","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.12"
"3d02155b-f15b-4fda-ba79-d21c7f150b46","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.13"
"935351ad-a3d7-4dba-b010-bbad144cdec9","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.18"
"b4b219f5-9de5-48eb-9aaa-d22254c54ed4","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.19"
"78efa4fa-d992-4c69-b567-bc2fa05b49bb","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.20"
"0534b69b-1d68-4137-acb6-69b030c9981e","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.28"
"0182a98a-0c99-46b8-98ce-756dbb6ff1f8","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","- W2.14"
"4740b731-c7a5-4697-9fa2-ce881c66adc1","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","W1.16 level 2"
"1740cdd9-ddd5-40b2-abc0-9732fdfa7987","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","W2.22"
"7f8c1a85-ced7-46b2-9bb8-aa74aef1cf01","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","level 2","W2.21"
"affc841a-032b-4c9f-b2db-ccb735d42abd","","pass","9687a030204ad79dbc7f1c854fbd9dd1bbd30e1e31d9f39fd3717bddf9131348","checklist","FALSE","FALSE","level 2","- W2.17"
"f59d8e8a-f17c-43bf-9ca9-a0730ec97b0b","","pass","9687a030204ad79dbc7f1c854fbd9dd1bbd30e1e31d9f39fd3717bddf9131348","checklist","FALSE","FALSE","level 2","W2.36"
"062377c9-554c-44a0-bef7-ab9d48a1815a","","work-in-progress","","folder","TRUE","FALSE","Level 3"
"907689bb-fc50-4aa5-8fd3-6aa806e8f9fb","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","- W3.9"
"1ae50e8a-aabf-45e2-875b-21f36582fa30","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","-W3.8"
"d766448c-0eb3-4b9a-b839-0ae273f12d52","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","- W3.10"
"50801d9d-4cfa-474c-be7d-ee35ad3bdb0b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","- W3.11"
"adca8cdf-5cc2-4ef8-9aa1-43cee52d045b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","- W3.12"
"465dca52-7a8b-4457-a0dc-c60bf5026c2b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","-W3.13"
"9d798108-2cdb-4569-80fc-064dd83b889c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","- W3.14"
"b7ef73a7-b8fd-4fad-872b-5fffeaf9ea80","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3","- W3.15"
"38cb4363-7e58-4544-9631-3fecf34facba","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","-W3.16"
"3dc0ed04-5421-4801-9523-2270d441c3b1","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","- W3.17"
"67fc19a4-5815-4c3b-aa80-c8c66721f470","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","- W3.18"
"9336e4e1-73f5-43d4-852d-13b4ac0ff829","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 3","W1.16 level 3"
"49c4d3e1-bdff-4296-879f-58e2ccb5c847","","pass","9687a030204ad79dbc7f1c854fbd9dd1bbd30e1e31d9f39fd3717bddf9131348","checklist","FALSE","FALSE","Level 3","W3.36"
"4da4d358-b039-4352-b4e1-d1e5ca1f761d","","pass","9687a030204ad79dbc7f1c854fbd9dd1bbd30e1e31d9f39fd3717bddf9131348","checklist","FALSE","FALSE","Level 3","W3.24"
"e59d8ebc-8a54-4f4d-b199-45ebf215addb","","pass","9687a030204ad79dbc7f1c854fbd9dd1bbd30e1e31d9f39fd3717bddf9131348","checklist","FALSE","FALSE","Level 3","W3.28"
"be851338-44e4-4248-beff-99d8cc4d1ce6","","pass","9687a030204ad79dbc7f1c854fbd9dd1bbd30e1e31d9f39fd3717bddf9131348","checklist","FALSE","FALSE","Level 3","W3.31"
"92c33246-44a3-4e32-a6e1-13182b16f8d5","","pass","9687a030204ad79dbc7f1c854fbd9dd1bbd30e1e31d9f39fd3717bddf9131348","checklist","FALSE","FALSE","Level 3","W3.2"
"d75b07f9-d494-4df7-8e1d-c6322ef89de3","","work-in-progress","","folder","TRUE","FALSE","Level 4"
"2f83a5c4-d789-48f0-a58c-541ee843cd89","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.8"
"ebe45aed-aacd-433a-8c13-463d53c26685","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.9"
"5cc9e466-5e95-4f8d-a2c1-df55079ba7a7","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.10"
"d9dfb2f3-c699-4dc8-8405-016f09751bd6","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.11"
"9dfc95f8-d21a-4883-9f53-cb497a7b006f","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.12"
"a7a9a2bd-1b6c-4d24-9f77-0bdebe068191","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.13"
"7572d7f3-8751-41f7-b1b4-3ee94e80cd7b","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.14"
"a36bcaed-9e4f-4348-a36c-8ec050c82204","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.15"
"0822831f-df8c-465c-8f53-e3bda5658fd0","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.16"
"3b835821-c23b-4753-8e25-0dab27542372","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","-W4.17"
"582dfb86-1c4e-4aa2-880e-4072a363a302","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.18"
"83ba2151-9adf-4941-b692-332157ff50c3","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","-W4.18"
"bf1ddda2-9acd-4e7f-8f38-9e8e85645d27","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.19"
"5ba75fb2-5079-4bf2-8505-649cea1f59fb","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.20"
"4c2e28c5-758a-4fe1-88b3-d57e6e46ab10","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.21"
"832fd58e-5bf8-4316-ade9-80a07f545c11","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","-W 4.22"
"8e2a85de-4df6-4005-8f30-2c3f01b0e194","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.23"
"95554291-6202-4f2e-b9ed-fcfd91a14986","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.24"
"74867ebd-c499-4c6e-891a-04587a34028a","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","-W4.25"
"5186bb42-373b-42dc-bd48-2cd170af094d","","not-started","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","- W4.25"
"fc67b40c-91ec-4b02-83e3-1ab8f1cde78c","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 4","W1.16 level 4"
"f84d058d-eb32-4611-987b-e7c15c4ca146","","work-in-progress","","folder","TRUE","FALSE","Level 5"
"70efecba-3d30-4968-9785-145076bf374d","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W1.16 level 5"
"2907eb20-7641-474e-acf0-ea3b9579c3c7","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.22"
"6ff6ccad-42b3-45ad-95d6-2ecb3d71c414","","work-in-progress","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.21"
"d74ccf14-b3e5-403f-a223-38752bf359c1","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.19"
"cef54a73-e3ec-4911-8dc8-bea694c16228","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.20"
"813255a3-9bbd-4155-99de-fc0f550d8615","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.18"
"a675c9b3-c0c5-4c05-8ae7-d7db1d5c28ce","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.13"
"1fdc4f31-22b2-4a49-9b1b-f90c7465097d","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.09"
"653db7f8-948c-43a0-9a10-0dea9b9d70e7","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.08"
"b6d792ff-9250-4cbe-b4bb-bcbdf35d8165","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.10"
"d839aecb-670e-4679-adc9-1fc479964201","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.11"
"1051420e-4633-42c2-b747-14e0b7438612","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 5","W5.12"
"e5954010-0b20-4cf2-a704-dcb9f2b6432f","","pass","","folder","TRUE","FALSE","Level 6"
"93c6cff2-e8aa-4377-ad0d-a61182913e54","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 6","W1.16 level 6"
"bb15e373-9ab2-4844-994d-a0406af668a0","","pass","676ed0c4efa6b3f0b9c86ec6dbb1d8b5e3ec8015ca32891d06b6411b57fb96bc","checklist","FALSE","FALSE","Level 6","W6.18"
