ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hawkins: Building North - Facade"
,"Scope",,
,"Rows"
,,"North Building","grouping","building b201 north","facade","envelope"
,,"Level 4 Circulation","grouping","level 4","fitout","circulation"
,,"201-400c11","expanded","level 4","fitout","circulation","201-400c11"
,,"201-400c10","expanded","level 4","fitout","201-400c10","circulation"
,,"Level 4 Comms","grouping","level 4","comms","fitout"
,,"201-490a","expanded","level 4","comms","fitout","201-490a"
,,"Level 4 DB","grouping","level 4","fitout","db"
,,"201-490","expanded","level 4","fitout","201-490","db"
,,"Level 4 Room","grouping","level 4","fitout","room"
,,"201-479c","expanded","level 4","fitout","201-479c","room"
,,"201-471a","expanded","level 4","201-471a","fitout","room"
,,"201-471b","expanded","level 4","fitout","201-471b","room"
,,"Level 4 WM","grouping","level 4","fitout","wm"
,,"201-479a","expanded","level 4","201-479a","fitout","wm"
,,"Level 4 Stair","grouping","level 4","fitout","stair"
,,"201-400s6","expanded","level 4","fitout","201-400s6","stair"
,,"Level 5 Lobby","grouping","fitout","level 5","lobby"
,,"201-500l4","expanded","fitout","level 5","201-500l4","lobby"
,,"201-500l5","expanded","fitout","level 5","lobby","201-500l5"
,,"Level 5 Circulation","grouping","fitout","level 5","circulation"
,,"201-500c10","expanded","fitout","level 5","201-500c10","circulation"
,,"201-500c8","expanded","fitout","level 5","201-500c8","circulation"
,,"Level 5 Room","grouping","fitout","level 5","room"
,,"201-598","expanded","fitout","level 5","201-598","room"
,,"201-580","expanded","fitout","level 5","201-580","room"
,,"Level 5 Consult","grouping","fitout","level 5","consult"
,,"201-599","expanded","fitout","level 5","consult","201-599"
,,"201-596","expanded","fitout","level 5","consult","201-596"
,,"201-597","expanded","fitout","level 5","consult","201-597"
,,"201-595","expanded","201-595","fitout","level 5","consult"
,,"201-594","expanded","fitout","level 5","201-594","consult"
,,"201-593","expanded","fitout","level 5","201-593","consult"
,,"Level 5 Office","grouping","fitout","level 5","office"
,,"201-562","expanded","201-562","fitout","level 5","office"
,,"201-564","expanded","fitout","level 5","office","201-564"
,,"201-566","expanded","fitout","level 5","office","201-566"
,,"201-569","expanded","fitout","level 5","201-569","office"
,,"201-570","expanded","fitout","level 5","201-570","office"
,,"201-571","expanded","fitout","level 5","201-571","office"
,,"201-586","expanded","fitout","level 5","office","201-586"
,,"201-573","expanded","201-573","fitout","level 5","office"
,,"201-572","expanded","fitout","level 5","201-572","office"
,,"201-574","expanded","fitout","level 5","office","201-574"
,,"201-575","expanded","fitout","level 5","office","201-575"
,,"201-577","expanded","fitout","level 5","office","201-577"
,,"201-576","expanded","fitout","level 5","office","201-576"
,,"Level 5 Riser","grouping","fitout","level 5","riser"
,,"201-560","expanded","fitout","level 5","201-560","riser"
,,"201-568a","expanded","fitout","level 5","201-568a","riser"
,,"201-578","expanded","fitout","level 5","201-578","riser"
,,"Level 5 Control Rool","grouping","fitout","level 5","control rool"
,,"201-592","expanded","fitout","level 5","201-592","control rool"
,,"Level 5 Store","grouping","fitout","level 5","store"
,,"201-591","expanded","fitout","level 5","store","201-591"
,,"201-581","expanded","fitout","level 5","201-581","store"
,,"Level 5 Circulation","grouping","fitout","level 5","circulation"
,,"201-500c10","expanded","fitout","level 5","201-500c10","circulation"
,,"201-500c8","expanded","fitout","level 5","201-500c8","circulation"
,,"Level 5 Breakout","grouping","fitout","level 5","breakout"
,,"201-568","expanded","fitout","level 5","201-568","breakout"
,,"Level 5 SOP","grouping","fitout","level 5","sop"
,,"201-588","expanded","fitout","level 5","201-588","sop"
,,"Level 5 PGR","grouping","fitout","level 5","pgr"
,,"201-584","expanded","201-584","fitout","level 5","pgr"
,,"Level 5 Stair","grouping","fitout","level 5","stair"
,,"201-500s6","expanded","fitout","level 5","stair","201-500s6"
,,"Level 5 One Button","grouping","one button","fitout","level 5"
,,"201-582","expanded","fitout","level 5","201-582","one button"
,,"Level 5 DB","grouping","fitout","level 5","db"
,,"201-590","expanded","fitout","level 5","201-590","db"
,,"Level 5 Comms","grouping","comms","fitout","level 5"
,,"201-590a","expanded","comms","fitout","level 5","201-590a"
,,"Level 6 Stair","grouping","fitout","level 6","stair"
,,"201-600s5","expanded","fitout","level 6","stair","201-600s5"
,,"201-600s6","expanded","fitout","level 6","stair","201-600s6"
,,"Level 6 Lobby","grouping","fitout","level 6","lobby"
,,"201-600l4","expanded","fitout","level 6","lobby","201-600l4"
,,"201-600l5","expanded","fitout","level 6","lobby","201-600l5"
,,"Level 6 Riser","grouping","fitout","level 6","riser"
,,"201-660","expanded","fitout","201-660","level 6","riser"
,,"201-666a","expanded","fitout","level 6","201-666a","riser"
,,"201-678","expanded","fitout","level 6","201-678","riser"
,,"Level 6 Lab","grouping","lab","fitout","level 6"
,,"201-661","expanded","201-661","fitout","level 6","lab"
,,"201-662","expanded","fitout","level 6","lab","201-662"
,,"201-667","expanded","fitout","level 6","201-667","lab"
,,"201-672","expanded","201-672","fitout","level 6","lab"
,,"201-671","expanded","fitout","201-671","level 6","lab"
,,"201-677","expanded","fitout","level 6","201-677","lab"
,,"201-679","expanded","fitout","201-679","level 6","lab"
,,"Level 6 Studio","grouping","studio","fitout","level 6"
,,"201-664","expanded","studio","fitout","level 6","201-664"
,,"201-666","expanded","studio","fitout","level 6","201-666"
,,"Level 6 Store","grouping","fitout","level 6","store"
,,"201-667a","expanded","fitout","level 6","201-667a","store"
,,"201-668","expanded","fitout","201-668","level 6","store"
,,"201-670","expanded","fitout","level 6","201-670","store"
,,"Level 6 Circulation","grouping","fitout","level 6","circulation"
,,"201-600c8","expanded","201-600c8","fitout","level 6","circulation"
,,"Level 6 Freezer","grouping","freezer","fitout","level 6"
,,"201-674","expanded","freezer","fitout","level 6","201-674"
,,"Level 6 XRF","grouping","fitout","xrf","level 6"
,,"201-676","expanded","fitout","level 6","201-676","xrf"
,,"Level 6 DB","grouping","fitout","level 6","db"
,,"201-690","expanded","fitout","level 6","201-690","db"
,,"Level 6 Comms","grouping","comms","fitout","level 6"
,,"201-690a","expanded","comms","201-690a","fitout","level 6"
,,"Level 7 Lobby","grouping","fitout","level 7","lobby"
,,"201-700l4","expanded","fitout","201-700l4","level 7","lobby"
,,"201-700l5","expanded","fitout","201-700l5","level 7","lobby"
,,"201-765b","expanded","fitout","201-765b","level 7","lobby"
,,"201-765","expanded","fitout","level 7","lobby","201-765"
,,"Level 7 Riser","grouping","fitout","riser","level 7"
,,"201-760","expanded","201-760","fitout","level 7","riser"
,,"201-778","expanded","fitout","201-778","level 7","riser"
,,"?","expanded","fitout","level 7","riser","?"
,,"Level 7 MDLS","grouping","fitout","mdls","level 7"
,,"201-761","expanded","fitout","level 7","mdls","201-761"
,,"Level 7 Plant Room","grouping","fitout","plant room","level 7"
,,"201-762","expanded","fitout","plant room","level 7","201-762"
,,"Level 7 Circulation","grouping","fitout","level 7","circulation"
,,"201-700c8","expanded","fitout","level 7","201-700c8","circulation"
,,"Level 7 Lab","grouping","lab","fitout","level 7"
,,"201-767","expanded","fitout","201-767","level 7","lab"
,,"201-765a","expanded","fitout","201-765a","level 7","lab"
,,"201-765c","expanded","201-765c","fitout","level 7","lab"
,,"201-771","expanded","201-771","fitout","level 7","lab"
,,"201-773","expanded","fitout","level 7","lab","201-773"
,,"201-779","expanded","201-779","fitout","level 7","lab"
,,"Level 7 Store","grouping","fitout","level 7","store"
,,"201-771a","expanded","fitout","level 7","store","201-771a"
,,"Level 7 Stair","grouping","fitout","level 7","stair"
,,"201-700s6","expanded","fitout","level 7","stair","201-700s6"
,,"Level 7 DB","grouping","fitout","db","level 7"
,,"201-790","expanded","fitout","level 7","201-790","db"
,,"Level 7 Comms","grouping","comms","fitout","level 7"
,,"201-790a","expanded","comms","fitout","201-790a","level 7"
,,"Level 8 Smoke Extract","grouping","level 8","fitout","smoke extract"
,,"201-862b","expanded","fitout","smoke extract","level 8","201-862b"
,,"Level 8 Riser","grouping","level 8","fitout","riser"
,,"?","expanded","fitout","level 8","riser","?"
,,"Level 8 Plant Room","grouping","level 8","fitout","plant room"
,,"201-862c","expanded","fitout","plant room","level 8","201-862c"
,,"201-862","expanded","fitout","plant room","level 8","201-862"
,,"201-862a","expanded","201-862a","fitout","plant room","level 8"
,"Columns"
,,"Wall Preline",,"wall preline","wall services preline"
,,"Interior Framing Checklist",,"interior framing checklist","wall services preline"
,,"Plumbing Walls First Fix",,"plumbing walls first fix","wall services preline"
,,"Fire Protection Walls (Alarms) First Fix",,"fire protection walls (alarms) first fix","wall services preline"
,,"Mechanical Services Wall First Fix",,"mechanical services wall first fix","wall services preline"
,,"Electrical Wall First Fix",,"electrical wall first fix","wall services preline"
,,"Data/Security Wall First Fix",,"data/security wall first fix","wall services preline"
,,"Insulation/Acoustic Checklist",,"insulation/acoustic checklist","wall services preline"
,,"Preline Inspection Checklist",,"preline inspection checklist","wall services preline"
,,"Ceiling Preline",,"ceiling preline"
,,"QA - Insulation Checklist Prior to Lining",,"ceiling preline","qa - insulation checklist prior to lining"
,,"QA - Plumbing First Fix",,"ceiling preline","qa - plumbing first fix"
,,"Fire Protection (Sprinklers & Alarms) First Fix",,"ceiling preline","fire protection (sprinklers & alarms) first fix"
,,"Mechanical Services First Fix",,"ceiling preline","mechanical services first fix"
,,"Electrical/Data/Security Fix",,"ceiling preline","electrical/data/security fix"
,,"Rondo Ceiling Grid Installation",,"ceiling preline","rondo ceiling grid installation"
,,"Preline Inspection Checklist",,"ceiling preline","preline inspection checklist"
,,"Walls Postline",,"walls postline"
,,"Ceiling Postline",,"ceiling postline"
,,"Flooring",,"flooring"
,,"Final Sign Off",,"final sign off"

"Hawkins: Building East - Facade"
,"Scope",,
,"Rows"
,,"Level 1",,"facade","level 1"
,,"Level 2",,"facade","level 2"
,,"Level 3",,"facade","level 3"
,,"Level 4",,"level 4","facade"
,,"Level 5",,"facade","level 5"
,,"Level 6",,"facade","level 6"
,,"Level 7",,"facade","level 7"
,,"Level 8",,"level 8","facade"
,,"Level 9",,"facade","level 9"
,,"Level 10 & 11 Plantroom North",,"level 10 & 11 plantroom north","facade"
,,"Level 10 & 11 Plantroom South",,"facade","level 10 & 11 plantroom south"
,"Columns"
,,"North Elevation",,"north elevation"
,,"East Elevation",,"east elevation"
,,"West Elevation",,"west elevation"
,,"South Elevation",,"south elevation"
,,"North Elevation GL1",,"north elevation gl1"
,,"East Elevation GL1-11",,"east elevation gl1-11"
,,"East Elevation NCN G11-15",,"east elevation ncn g11-15"
,,"East Elevation GL15-23",,"east elevation gl15-23"
,,"South Elevation GL23",,"south elevation gl23"
,,"West Elevation GL2-4",,"west elevation gl2-4"
,,"West Elevation GL4-16",,"west elevation gl4-16"
,,"West Elevation GL16-22",,"west elevation gl16-22"

"Hawkins: Building East - Fitout (L1-4)"
,"Scope",,
,"Rows"
,,"Level 1 - Zone A Breakout","grouping","fitout","breakout","level 1 - zone a","building b201 east"
,,"201-111","expanded","201-111","fitout","breakout","level 1 - zone a","building b201 east"
,,"201-113","expanded","fitout","breakout","level 1 - zone a","201-113","building b201 east"
,,"201-140","expanded","fitout","breakout","201-140","level 1 - zone a","building b201 east"
,,"210-123","expanded","210-123","fitout","breakout","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A Studio","grouping","studio","fitout","level 1 - zone a","building b201 east"
,,"201-121","expanded","studio","fitout","201-121","level 1 - zone a","building b201 east"
,,"201-120","expanded","studio","fitout","201-120","level 1 - zone a","building b201 east"
,,"201-122","expanded","studio","201-122","fitout","level 1 - zone a","building b201 east"
,,"201-130","expanded","studio","fitout","201-130","level 1 - zone a","building b201 east"
,,"201-132","expanded","studio","fitout","201-132","level 1 - zone a","building b201 east"
,,"201-140a","expanded","studio","fitout","201-140a","level 1 - zone a","building b201 east"
,,"201-140b","expanded","studio","fitout","201-140b","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A Comms","grouping","comms","fitout","level 1 - zone a","building b201 east"
,,"201-124","expanded","comms","fitout","level 1 - zone a","201-124","building b201 east"
,,"Level 1 - Zone A Store","grouping","fitout","store","level 1 - zone a","building b201 east"
,,"201-112a","expanded","fitout","store","level 1 - zone a","201-112a","building b201 east"
,,"201-120a","expanded","201-120a","fitout","store","level 1 - zone a","building b201 east"
,,"201-120b","expanded","fitout","201-120b","store","level 1 - zone a","building b201 east"
,,"201-122a","expanded","fitout","store","level 1 - zone a","201-122a","building b201 east"
,,"201-161","expanded","fitout","store","201-161","level 1 - zone a","building b201 east"
,,"201-140d","expanded","fitout","store","201-140d","level 1 - zone a","building b201 east"
,,"201-191","expanded","201-191","fitout","store","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A Circulation","grouping","fitout","level 1 - zone a","circulation","building b201 east"
,,"201-100c1","expanded","fitout","level 1 - zone a","circulation","building b201 east","201-100c1"
,,"201-100c2","expanded","fitout","201-100c2","level 1 - zone a","circulation","building b201 east"
,,"201-100c3","expanded","fitout","level 1 - zone a","201-100c3","circulation","building b201 east"
,,"201-100c4","expanded","fitout","201-100c4","level 1 - zone a","circulation","building b201 east"
,,"Level 1 - Zone A MECO/Black Box","grouping","fitout","meco/black box","level 1 - zone a","building b201 east"
,,"201-112","expanded","fitout","meco/black box","level 1 - zone a","building b201 east","201-112"
,,"Level 1 - Zone A Stair","grouping","fitout","stair","level 1 - zone a","building b201 east"
,,"201-100s5","expanded","fitout","stair","201-100s5","level 1 - zone a","building b201 east"
,,"201-100s3","expanded","fitout","stair","level 1 - zone a","201-100s3","building b201 east"
,,"Level 1 - Zone A Wind Lobby","grouping","wind lobby","fitout","level 1 - zone a","building b201 east"
,,"201-100l5","expanded","wind lobby","fitout","201-100l5","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A CLNR","grouping","fitout","clnr","level 1 - zone a","building b201 east"
,,"201-133","expanded","201-133","fitout","clnr","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A Services","grouping","fitout","services","level 1 - zone a","building b201 east"
,,"201-134","expanded","fitout","services","level 1 - zone a","building b201 east","201-134"
,,"Level 1 - Zone A Kitchen","grouping","fitout","kitchen","level 1 - zone a","building b201 east"
,,"201-140c","expanded","fitout","201-140c","kitchen","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A DB","grouping","fitout","level 1 - zone a","db","building b201 east"
,,"201-153","expanded","fitout","201-153","level 1 - zone a","db","building b201 east"
,,"201-107","expanded","fitout","201-107","level 1 - zone a","db","building b201 east"
,,"Level 1 - Zone A Toilet - ACC","grouping","fitout","level 1 - zone a","toilet - acc","building b201 east"
,,"201-155","expanded","201-155","fitout","level 1 - zone a","toilet - acc","building b201 east"
,,"201-101b","expanded","fitout","level 1 - zone a","toilet - acc","201-101b","building b201 east"
,,"Level 1 - Zone A Toilet - Male","grouping","fitout","level 1 - zone a","toilet - male","building b201 east"
,,"201-157","expanded","fitout","level 1 - zone a","toilet - male","201-157","building b201 east"
,,"Level 1 - Zone A Toilet - Female","grouping","toilet - female","fitout","level 1 - zone a","building b201 east"
,,"201-158","expanded","toilet - female","fitout","level 1 - zone a","201-158","building b201 east"
,,"Level 1 - Zone A GN","grouping","fitout","level 1 - zone a","gn","building b201 east"
,,"201-156","expanded","fitout","level 1 - zone a","gn","building b201 east","201-156"
,,"Level 1 - Zone A Service Access","grouping","fitout","service access","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A Lift Lobby","grouping","fitout","lift lobby","level 1 - zone a","building b201 east"
,,"201-100l3","expanded","fitout","lift lobby","201-100l3","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A Stair","grouping","fitout","stair","level 1 - zone a","building b201 east"
,,"201-100s5","expanded","fitout","stair","201-100s5","level 1 - zone a","building b201 east"
,,"201-100s3","expanded","fitout","stair","level 1 - zone a","201-100s3","building b201 east"
,,"Level 1 - Zone A Plant Room","grouping","fitout","plant room","level 1 - zone a","building b201 east"
,,"201-192","expanded","fitout","plant room","level 1 - zone a","201-192","building b201 east"
,,"Level 1 - Zone A HV Switchroom","grouping","fitout","hv switchroom","level 1 - zone a","building b201 east"
,,"201-192a","expanded","fitout","hv switchroom","201-192a","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A Transformer Room","grouping","fitout","transformer room","level 1 - zone a","building b201 east"
,,"201-192b","expanded","fitout","transformer room","level 1 - zone a","201-192b","building b201 east"
,,"Level 1 - Zone A Refuse and Recycling","grouping","fitout","level 1 - zone a","refuse and recycling","building b201 east"
,,"201-109","expanded","fitout","level 1 - zone a","refuse and recycling","201-109","building b201 east"
,,"Level 1 - Zone A Lobby","grouping","fitout","lobby","level 1 - zone a","building b201 east"
,,"201-100l2","expanded","fitout","lobby","level 1 - zone a","201-100l2","building b201 east"
,,"Level 1 - Zone A Lift Lobby","grouping","fitout","lift lobby","level 1 - zone a","building b201 east"
,,"201-100l3","expanded","fitout","lift lobby","201-100l3","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A Lift","grouping","fitout","lift","level 1 - zone a","building b201 east"
,,"201-100e1","expanded","fitout","lift","201-100e1","level 1 - zone a","building b201 east"
,,"Level 1 - Zone A End of Trip","grouping","fitout","end of trip","level 1 - zone a","building b201 east"
,,"201-101","expanded","fitout","end of trip","level 1 - zone a","building b201 east","201-101"
,,"Level 1 - Zone A Drying","grouping","fitout","drying","level 1 - zone a","building b201 east"
,,"201-101a","expanded","fitout","drying","level 1 - zone a","201-101a","building b201 east"
,,"Level 1 - Zone A SHWR","grouping","fitout","shwr","level 1 - zone a","building b201 east"
,,"201-101c","expanded","fitout","shwr","level 1 - zone a","building b201 east","201-101c"
,,"201-101e","expanded","fitout","201-101e","shwr","level 1 - zone a","building b201 east"
,,"201-101g","expanded","fitout","201-101g","shwr","level 1 - zone a","building b201 east"
,,"201-101j","expanded","fitout","shwr","level 1 - zone a","201-101j","building b201 east"
,,"Level 1 - Zone A GN","grouping","fitout","level 1 - zone a","gn","building b201 east"
,,"201-156","expanded","fitout","level 1 - zone a","gn","building b201 east","201-156"
,,"Level 1 - Zone A Fire Pump Room","grouping","fitout","fire pump room","level 1 - zone a","building b201 east"
,,"201-190","expanded","fitout","fire pump room","201-190","level 1 - zone a","building b201 east"
,,"Level 2 - Zone A Stair","grouping","fitout","level 2 - zone a","stair","building b201 east"
,,"201-200s3","expanded","201-200s3","fitout","level 2 - zone a","stair","building b201 east"
,,"201-200s4","expanded","fitout","201-200s4","level 2 - zone a","stair","building b201 east"
,,"201-200s5","expanded","fitout","201-200s5","level 2 - zone a","stair","building b201 east"
,,"Level 2 - Zone A Circulation","grouping","fitout","level 2 - zone a","circulation","building b201 east"
,,"201-200c1","expanded","fitout","level 2 - zone a","201-200c1","circulation","building b201 east"
,,"201-200c2","expanded","fitout","level 2 - zone a","circulation","building b201 east","201-200c2"
,,"201-200c3","expanded","201-200c3","fitout","level 2 - zone a","circulation","building b201 east"
,,"201-200c4","expanded","fitout","201-200c4","level 2 - zone a","circulation","building b201 east"
,,"201-200c5","expanded","fitout","201-200c5","level 2 - zone a","circulation","building b201 east"
,,"201-200c6","expanded","fitout","level 2 - zone a","201-200c6","circulation","building b201 east"
,,"Level 2 - Zone A CLNR","grouping","fitout","level 2 - zone a","clnr","building b201 east"
,,"201-206","expanded","fitout","201-206","level 2 - zone a","clnr","building b201 east"
,,"201-205","expanded","fitout","level 2 - zone a","201-205","clnr","building b201 east"
,,"Level 2 - Zone A Lift Lobby","grouping","fitout","lift lobby","level 2 - zone a","building b201 east"
,,"201-200l3","expanded","fitout","lift lobby","level 2 - zone a","201-200l3","building b201 east"
,,"201-200l4","expanded","201-200l4","fitout","lift lobby","level 2 - zone a","building b201 east"
,,"201-200l5","expanded","fitout","lift lobby","201-200l5","level 2 - zone a","building b201 east"
,,"Level 2 - Zone A Studio","grouping","studio","fitout","level 2 - zone a","building b201 east"
,,"201-201","expanded","studio","fitout","level 2 - zone a","201-201","building b201 east"
,,"201-120","expanded","studio","fitout","201-120","level 2 - zone a","building b201 east"
,,"201-122","expanded","studio","201-122","fitout","level 2 - zone a","building b201 east"
,,"201-130","expanded","studio","fitout","level 2 - zone a","201-130","building b201 east"
,,"201-132","expanded","studio","fitout","201-132","level 2 - zone a","building b201 east"
,,"Level 2 - Zone A Lift","grouping","fitout","lift","level 2 - zone a","building b201 east"
,,"201-200e1","expanded","fitout","lift","level 2 - zone a","201-200e1","building b201 east"
,,"201-200e4","expanded","fitout","lift","level 2 - zone a","building b201 east","201-200e4"
,,"201-200e3","expanded","fitout","lift","level 2 - zone a","201-200e3","building b201 east"
,,"201-200e2","expanded","fitout","lift","level 2 - zone a","201-200e2","building b201 east"
,,"201-200e5","expanded","201-200e5","fitout","lift","level 2 - zone a","building b201 east"
,,"Level 2 - Zone A Lobby","grouping","fitout","level 2 - zone a","lobby","building b201 east"
,,"201-200l6","expanded","fitout","level 2 - zone a","201-200l6","lobby","building b201 east"
,,"Level 2 - Zone A DB","grouping","fitout","level 2 - zone a","db","building b201 east"
,,"201-253","expanded","fitout","201-253","level 2 - zone a","db","building b201 east"
,,"Level 2 - Zone A Services","grouping","fitout","level 2 - zone a","services","building b201 east"
,,"201-207","expanded","201-207","fitout","level 2 - zone a","services","building b201 east"
,,"Level 2 - Zone A MECO/Blackbox","grouping","fitout","level 2 - zone a","meco/blackbox","building b201 east"
,,"201-112","expanded","fitout","level 2 - zone a","meco/blackbox","building b201 east","201-112"
,,"Level 2 - Zone A Room","grouping","fitout","level 2 - zone a","room","building b201 east"
,,"201-211","expanded","fitout","level 2 - zone a","room","building b201 east","201-211"
,,"201-213","expanded","fitout","level 2 - zone a","201-213","room","building b201 east"
,,"201-215","expanded","fitout","level 2 - zone a","201-215","room","building b201 east"
,,"201-220","expanded","fitout","201-220","level 2 - zone a","room","building b201 east"
,,"201-233","expanded","fitout","level 2 - zone a","room","building b201 east","201-233"
,,"201-240d","expanded","fitout","level 2 - zone a","201-240d","room","building b201 east"
,,"Level 2 - Zone A Store","grouping","fitout","level 2 - zone a","store","building b201 east"
,,"201-214","expanded","fitout","level 2 - zone a","store","201-214","building b201 east"
,,"201-222","expanded","fitout","level 2 - zone a","store","building b201 east","201-222"
,,"Level 2 - Zone A Recording","grouping","fitout","recording","level 2 - zone a","building b201 east"
,,"201-216","expanded","fitout","recording","level 2 - zone a","201-216","building b201 east"
,,"Level 2 - Zone A Breakout","grouping","fitout","level 2 - zone a","breakout","building b201 east"
,,"201-218","expanded","201-218","fitout","level 2 - zone a","breakout","building b201 east"
,,"201-217","expanded","fitout","201-217","level 2 - zone a","breakout","building b201 east"
,,"201-231","expanded","fitout","201-231","level 2 - zone a","breakout","building b201 east"
,,"Level 2 - Zone A Kitchen","grouping","fitout","level 2 - zone a","kitchen","building b201 east"
,,"201-217a","expanded","fitout","level 2 - zone a","kitchen","201-217a","building b201 east"
,,"Level 2 - Zone A Comms","grouping","comms","fitout","level 2 - zone a","building b201 east"
,,"201-224","expanded","comms","fitout","level 2 - zone a","201-224","building b201 east"
,,"Level 2 - Zone A PGR","grouping","fitout","level 2 - zone a","pgr","building b201 east"
,,"201-240","expanded","fitout","level 2 - zone a","pgr","201-240","building b201 east"
,,"Level 2 - Zone A Office","grouping","fitout","level 2 - zone a","office","building b201 east"
,,"201-240e","expanded","fitout","level 2 - zone a","office","201-240e","building b201 east"
,,"201-240f","expanded","fitout","level 2 - zone a","office","201-240f","building b201 east"
,,"201-240g","expanded","fitout","level 2 - zone a","office","201-240g","building b201 east"
,,"201-240h","expanded","201-240h","fitout","level 2 - zone a","office","building b201 east"
,,"201-240c","expanded","fitout","level 2 - zone a","office","201-240c","building b201 east"
,,"201-240b","expanded","fitout","level 2 - zone a","201-240b","office","building b201 east"
,,"201-240a","expanded","fitout","201-240a","level 2 - zone a","office","building b201 east"
,,"201-240l","expanded","fitout","level 2 - zone a","office","201-240l","building b201 east"
