"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4134de46-be58-4c5d-a856-ba82f3c74bab","","work-in-progress","","folder","FALSE","FALSE","June 2025"
"f01ca10e-7fb8-4840-bffc-314240bf93ae","","no-status-not-started","","folder","FALSE","FALSE","July 2025","12 July"
"a01c05a6-fdc3-4e12-ade6-2af7994da35d","","no-status-not-started","","folder","TRUE","FALSE","July 2025","12 July","Prepour"
"e6e0022a-1c26-4bf9-abbb-5a109bae0ee5","","no-status-not-started","","folder","TRUE","FALSE","July 2025","12 July","Postpour"
"f3e298f3-b4f5-4215-ac60-9344ececc6f1","","no-status-not-started","","folder","FALSE","FALSE","July 2025","13 July"
"37ffee80-c502-4e1e-a962-a1f53e348997","","no-status-not-started","","folder","TRUE","FALSE","July 2025","13 July","Prepour"
"f5de2797-9e82-4e34-a2dc-d38b2e512926","","no-status-not-started","","folder","TRUE","FALSE","July 2025","13 July","Postpour"
"f8e50044-c83a-44b9-b3eb-adbeb73045e1","","no-status-not-started","","folder","FALSE","FALSE","July 2025","14 July"
"319716ca-c61f-426a-b9ab-5c1ef93483b6","","no-status-not-started","","folder","TRUE","FALSE","July 2025","14 July","Prepour"
"5c50ff0f-3d65-46f9-95b3-b51d07d8e71c","","no-status-not-started","","folder","TRUE","FALSE","July 2025","14 July","Postpour"
"270890dd-1ed3-4c96-af8d-1c37d498a86c","","no-status-not-started","","folder","FALSE","FALSE","July 2025","15 July"
"7cd60066-ba2a-4195-9379-31b0949b6e37","","no-status-not-started","","folder","TRUE","FALSE","July 2025","15 July","Prepour"
"9be49187-1a3a-4fb4-86ab-3204d0c4ca20","","no-status-not-started","","folder","TRUE","FALSE","July 2025","15 July","Postpour"
"8df127eb-7f3f-4196-b382-1fe73b560351","","no-status-not-started","","folder","FALSE","FALSE","July 2025","16 July"
"82bdf4de-adf0-4b05-9f1b-c95f905c64ba","","no-status-not-started","","folder","TRUE","FALSE","July 2025","16 July","Prepour"
"7924c13e-e9d3-439f-8d5e-46038ed65c02","","no-status-not-started","","folder","TRUE","FALSE","July 2025","16 July","Postpour"
"839cab88-6dc2-4747-b138-c566a4614cd2","","no-status-not-started","","folder","FALSE","FALSE","July 2025","17 July"
"62585605-fa16-479e-81a3-7bb81b022057","","no-status-not-started","","folder","TRUE","FALSE","July 2025","17 July","Prepour"
"c7fabc37-e98b-42f5-b04b-cf0ef52383ff","","no-status-not-started","","folder","TRUE","FALSE","July 2025","17 July","Postpour"
"68c940e4-4ce3-478c-867a-02461d8b4016","","no-status-not-started","","folder","FALSE","FALSE","July 2025","18 July"
"dee4ebfa-a2c0-4702-928d-0cccd2660c26","","no-status-not-started","","folder","TRUE","FALSE","July 2025","18 July","Prepour"
"0a4852fc-56c1-4a8b-8c6c-4a63667e7cb8","","no-status-not-started","","folder","TRUE","FALSE","July 2025","18 July","Postpour"
"ae0db33b-0a38-4786-b2ef-3c7ff2ed5831","","no-status-not-started","","folder","FALSE","FALSE","July 2025","19 July"
"baaa643c-414e-438a-9eea-33f127605f1b","","no-status-not-started","","folder","TRUE","FALSE","July 2025","19 July","Prepour"
"b3cdf31a-b669-4bb8-8e46-4ccddcb3c9b3","","no-status-not-started","","folder","TRUE","FALSE","July 2025","19 July","Postpour"
"73f7a0d1-63e8-4932-ab78-34cebcd7ba4a","","no-status-not-started","","folder","FALSE","FALSE","July 2025","20 July"
"e44dcec3-39b2-4246-ad1c-194d569a2049","","no-status-not-started","","folder","TRUE","FALSE","July 2025","20 July","Prepour"
"d32eb55c-0d03-4d4d-b4e3-a32fddbab8e1","","no-status-not-started","","folder","TRUE","FALSE","July 2025","20 July","Postpour"
"ecaac449-7028-475b-9ce6-67fe4e8f9e2a","","no-status-not-started","","folder","FALSE","FALSE","July 2025","21 July"
"76a73dea-de08-4571-8e0c-53457efdcdb9","","no-status-not-started","","folder","TRUE","FALSE","July 2025","21 July","Prepour"
"0ce468db-1ad9-4ebf-85cf-b1ec66770763","","no-status-not-started","","folder","TRUE","FALSE","July 2025","21 July","Postpour"
"a535b5f9-148d-44e6-a12c-c390b03bf0f2","","no-status-not-started","","folder","FALSE","FALSE","July 2025","22 July"
"9ef4b906-5165-4cae-93df-ef833e54e42a","","no-status-not-started","","folder","TRUE","FALSE","July 2025","22 July","Prepour"
"264d731a-25aa-4f2f-9a54-b5030c656cab","","no-status-not-started","","folder","TRUE","FALSE","July 2025","22 July","Postpour"
"85028995-f9e1-46af-bc17-5bc331b379a6","","no-status-not-started","","folder","FALSE","FALSE","July 2025","23 July"
"db9d399a-a3df-4b2a-b462-e70b36b12738","","no-status-not-started","","folder","TRUE","FALSE","July 2025","23 July","Prepour"
"04f1fe64-03c6-44be-a86c-4a40e405e65c","","no-status-not-started","","folder","TRUE","FALSE","July 2025","23 July","Postpour"
"4a8b0eae-d191-48fa-bede-1de238b7eef6","","no-status-not-started","","folder","FALSE","FALSE","July 2025","24 July"
"d08f1efe-8bf0-4272-a00b-922a6f8b80c9","","no-status-not-started","","folder","TRUE","FALSE","July 2025","24 July","Prepour"
"0e590caf-9cb8-4d0a-98a8-1ffd2d6a0339","","no-status-not-started","","folder","TRUE","FALSE","July 2025","24 July","Postpour"
"fce46776-9ed6-43e0-a5c5-43b661e3dbc8","","no-status-not-started","","folder","FALSE","FALSE","July 2025","25 July"
"d9a06077-b901-41d8-b756-31a2287214e4","","no-status-not-started","","folder","TRUE","FALSE","July 2025","25 July","Prepour"
"bea6668d-c611-46ac-bddd-bfc9baec4861","","no-status-not-started","","folder","TRUE","FALSE","July 2025","25 July","Postpour"
"748b8c30-b1b7-462a-9cdb-9c360dddd4ce","","no-status-not-started","","folder","FALSE","FALSE","July 2025","26 July"
"26625f4e-18d1-4c24-a67a-d1f2d31c9f3c","","no-status-not-started","","folder","TRUE","FALSE","July 2025","26 July","Prepour"
"0d6aba6c-4975-4555-8e51-902876e75e96","","no-status-not-started","","folder","TRUE","FALSE","July 2025","26 July","Postpour"
"52c86402-a4ec-4dbe-bff2-e6377b353499","","no-status-not-started","","folder","FALSE","FALSE","July 2025","27 July"
"3c463d9c-9a54-476c-bf90-b616f9fcb8b7","","no-status-not-started","","folder","TRUE","FALSE","July 2025","27 July","Prepour"
"2f233c56-b842-412e-8eee-0e9fe673829d","","no-status-not-started","","folder","TRUE","FALSE","July 2025","27 July","Postpour"
"9b557df4-5b12-4ea4-a111-aca1698ff59d","","no-status-not-started","","folder","FALSE","FALSE","July 2025","28 July"
"13f070cb-5a84-4b6b-b3a1-f0cdcf2b9ebc","","no-status-not-started","","folder","TRUE","FALSE","July 2025","28 July","Prepour"
"0df0a360-8afe-4a3e-8460-bad9d4af97bf","","no-status-not-started","","folder","TRUE","FALSE","July 2025","28 July","Postpour"
"57321cbd-b8b4-41fd-9fd5-5fb50ac9f870","","no-status-not-started","","folder","FALSE","FALSE","July 2025","29 July"
"5b2a54b0-a695-44f3-a81f-711ed24dc87c","","no-status-not-started","","folder","TRUE","FALSE","July 2025","29 July","Prepour"
"64db4c77-af75-416a-b9c5-0e6445f1f97d","","no-status-not-started","","folder","TRUE","FALSE","July 2025","29 July","Postpour"
"9720b46e-2845-43c5-90f4-0c06157d2e80","","no-status-not-started","","folder","FALSE","FALSE","July 2025","30 July"
"3f86f27e-c89f-4a03-8cac-970726431c4d","","no-status-not-started","","folder","TRUE","FALSE","July 2025","30 July","Prepour"
"d5b2d821-5e37-4497-ad18-745e64cbea9e","","no-status-not-started","","folder","TRUE","FALSE","July 2025","30 July","Postpour"
"600ad8ba-bb8d-4441-a3a0-52af42a41426","","no-status-not-started","","folder","FALSE","FALSE","July 2025","31 July"
"ae142fb1-fe32-4802-8b64-8eb09c4bbc6c","","no-status-not-started","","folder","TRUE","FALSE","July 2025","31 July","Prepour"
"53f14d6a-f1ed-4104-81b1-571acfdff492","","no-status-not-started","","folder","TRUE","FALSE","July 2025","31 July","Postpour"
"480f853f-dc06-4aa0-80c9-c912562851c8","","no-status-not-started","","folder","FALSE","FALSE","August 2025"
"e91ddb63-a367-46de-a769-f64b9f90da22","","no-status-not-started","","folder","FALSE","FALSE","August 2025","1 August"
"aef4a93b-8acd-4f2a-ab46-bec2b2181d97","","no-status-not-started","","folder","TRUE","FALSE","August 2025","1 August","Prepour"
"8130391c-f617-4c66-8ae0-a95fb1fe6f96","","no-status-not-started","","folder","TRUE","FALSE","August 2025","1 August","Postpour"
"274c5e6b-c742-4713-bb50-e485469c86c3","","no-status-not-started","","folder","FALSE","FALSE","August 2025","2 August"
"d3858751-226a-4bdf-9f15-0dcc57518680","","no-status-not-started","","folder","TRUE","FALSE","August 2025","2 August","Prepour"
"f27b97a1-3526-4659-a8e6-452bb01dd028","","no-status-not-started","","folder","TRUE","FALSE","August 2025","2 August","Postpour"
"7691853d-060e-43ef-bd58-960b2a324388","","no-status-not-started","","folder","FALSE","FALSE","August 2025","3 August"
"a25569f8-d018-4fdc-876b-697a583ed2c6","","no-status-not-started","","folder","TRUE","FALSE","August 2025","3 August","Prepour"
"58d93c69-25fc-4083-974f-5ad0e556a1c0","","no-status-not-started","","folder","TRUE","FALSE","August 2025","3 August","Postpour"
"8ca6784e-153e-440a-954a-aff78b37c8a7","","no-status-not-started","","folder","FALSE","FALSE","August 2025","4 August"
"868a6425-0658-4950-ba23-7f04d2953d31","","no-status-not-started","","folder","TRUE","FALSE","August 2025","4 August","Prepour"
"00bf51d2-9a88-45a6-969a-e6af9d2f6710","","no-status-not-started","","folder","TRUE","FALSE","August 2025","4 August","Postpour"
"8144f545-7382-4ef4-8042-645aa8750509","","no-status-not-started","","folder","FALSE","FALSE","August 2025","5 August"
"8fce0a53-33a5-49ec-9d27-6f861cf49e2d","","no-status-not-started","","folder","TRUE","FALSE","August 2025","5 August","Prepour"
"c32d5e91-a2b2-4f0d-ad42-041762cbe152","","no-status-not-started","","folder","TRUE","FALSE","August 2025","5 August","Postpour"
"92eda54d-f1b4-408f-bdff-c937d93a97a7","","no-status-not-started","","folder","FALSE","FALSE","August 2025","6 August"
"74a23fcf-ac39-4614-b1a4-4b375ab301ea","","no-status-not-started","","folder","TRUE","FALSE","August 2025","6 August","Prepour"
"26c1d1b3-d83d-42de-ae18-931223b9c419","","no-status-not-started","","folder","TRUE","FALSE","August 2025","6 August","Postpour"
"28359486-f217-4780-8197-c84ede24a593","","no-status-not-started","","folder","FALSE","FALSE","August 2025","7 August"
"f01c75fd-b52d-4d34-ae49-82d79924c7e8","","no-status-not-started","","folder","TRUE","FALSE","August 2025","7 August","Prepour"
"50a9033b-637e-47c5-97f4-ef6ece8387d0","","no-status-not-started","","folder","TRUE","FALSE","August 2025","7 August","Postpour"
"1dc0f0d3-50e0-4576-a090-77f025bb8029","","no-status-not-started","","folder","FALSE","FALSE","August 2025","8 August"
"2e8d1842-6b5f-4fe8-9d9b-c0049f966f34","","no-status-not-started","","folder","TRUE","FALSE","August 2025","8 August","Prepour"
"506f4e34-2bfe-4f4e-acc1-5b4de12a5bd3","","no-status-not-started","","folder","TRUE","FALSE","August 2025","8 August","Postpour"
"4e225457-ade2-42e8-875c-ad56b470135d","","no-status-not-started","","folder","FALSE","FALSE","August 2025","9 August"
"78f1d4ff-4112-4c94-aa45-6ade50f79c25","","no-status-not-started","","folder","TRUE","FALSE","August 2025","9 August","Prepour"
"0f8de4c8-f342-41b5-899f-56a1adb4e9e4","","no-status-not-started","","folder","TRUE","FALSE","August 2025","9 August","Postpour"
"9024b005-e5bd-44d3-a617-b6868ae2777c","","no-status-not-started","","folder","FALSE","FALSE","August 2025","10 August"
"dcc74c95-1e89-47a1-b6f2-3c1691433d7b","","no-status-not-started","","folder","TRUE","FALSE","August 2025","10 August","Prepour"
"a30a0d47-fc40-45d1-aeb8-3c9845316d38","","no-status-not-started","","folder","TRUE","FALSE","August 2025","10 August","Postpour"
"81cccb66-c69c-46f3-8cbf-181f62773c02","","no-status-not-started","","folder","FALSE","FALSE","August 2025","11 August"
"1f13ca2c-bab5-4365-b65d-f0737a75b137","","no-status-not-started","","folder","TRUE","FALSE","August 2025","11 August","Prepour"
"5a16307f-d99f-4289-99af-32a305c79385","","no-status-not-started","","folder","TRUE","FALSE","August 2025","11 August","Postpour"
"2a6afe3c-fc2c-40ee-9574-6acb39871a21","","no-status-not-started","","folder","FALSE","FALSE","August 2025","12 August"
"64a7bd45-7e08-4bde-9eea-f924a0142d4c","","no-status-not-started","","folder","TRUE","FALSE","August 2025","12 August","Prepour"
"149f830f-5b87-4423-b095-51305f1b68bb","","no-status-not-started","","folder","TRUE","FALSE","August 2025","12 August","Postpour"
"a5f6c2f5-eac9-41e2-9d97-c03deff7c084","","no-status-not-started","","folder","FALSE","FALSE","August 2025","13 August"
"669711d7-3261-4967-afd4-fc3c6fd42249","","no-status-not-started","","folder","TRUE","FALSE","August 2025","13 August","Prepour"
"7c23c76d-b021-4088-977f-781755d288d2","","no-status-not-started","","folder","TRUE","FALSE","August 2025","13 August","Postpour"
"30a5a520-74cb-4f80-8c2e-9edfe9d40c36","","no-status-not-started","","folder","FALSE","FALSE","August 2025","14 August"
"bee88ed1-be9c-4ac9-b73a-16c54698dbd3","","no-status-not-started","","folder","TRUE","FALSE","August 2025","14 August","Prepour"
"96f52cdf-04c8-4995-889e-2a10001af457","","no-status-not-started","","folder","TRUE","FALSE","August 2025","14 August","Postpour"
"2a28fee0-b962-4617-af3d-cae3ee6e24e5","","no-status-not-started","","folder","FALSE","FALSE","August 2025","15 August"
"f9de42b9-e001-44d1-bb0b-861397050b67","","no-status-not-started","","folder","TRUE","FALSE","August 2025","15 August","Prepour"
"6b8e7ee7-ff84-4581-ae2f-14701e43ecc1","","no-status-not-started","","folder","TRUE","FALSE","August 2025","15 August","Postpour"
"4a26b137-f8bf-4bc2-962f-150f95e1ebbc","","no-status-not-started","","folder","FALSE","FALSE","August 2025","16 August"
"2e4583ac-5532-4f86-a4cb-5fb460417117","","no-status-not-started","","folder","TRUE","FALSE","August 2025","16 August","Prepour"
"f851d51f-6073-4e7f-ab8c-6e95c7441cf7","","no-status-not-started","","folder","TRUE","FALSE","August 2025","16 August","Postpour"
"66ede970-5a26-44af-bc13-c0a7f0d3cc26","","no-status-not-started","","folder","FALSE","FALSE","August 2025","17 August"
"df0a67b6-5c1c-41aa-9e3f-07b2cfc9a71e","","no-status-not-started","","folder","TRUE","FALSE","August 2025","17 August","Prepour"
"427089ae-ae39-41f6-b27d-b502fb8cb056","","no-status-not-started","","folder","TRUE","FALSE","August 2025","17 August","Postpour"
"620389ca-ac39-4c26-b889-405b613feb7a","","no-status-not-started","","folder","FALSE","FALSE","August 2025","18 August"
"0cb6ac61-0055-438c-9b1a-8ea76d9971f3","","no-status-not-started","","folder","TRUE","FALSE","August 2025","18 August","Prepour"
"01054d60-ec1d-4e33-8467-a28321a42ce0","","no-status-not-started","","folder","TRUE","FALSE","August 2025","18 August","Postpour"
"8feaa3db-7db8-4864-95be-3fdd970fe691","","no-status-not-started","","folder","FALSE","FALSE","August 2025","19 August"
"7377b06e-7d42-4d48-8543-9424a4c1083d","","no-status-not-started","","folder","TRUE","FALSE","August 2025","19 August","Prepour"
"090937d6-5879-4df8-8e72-4b46f6db97d5","","no-status-not-started","","folder","TRUE","FALSE","August 2025","19 August","Postpour"
"9954aac3-797d-406f-a302-43ba5c98c6c2","","no-status-not-started","","folder","FALSE","FALSE","August 2025","20 August"
"fd976b99-6dee-449d-a3d4-06b6a5a315e7","","no-status-not-started","","folder","TRUE","FALSE","August 2025","20 August","Prepour"
"5fc0bbd8-8a2f-405f-a18f-b260b2896d2e","","no-status-not-started","","folder","TRUE","FALSE","August 2025","20 August","Postpour"
"d7213c90-af33-4183-b68e-2e416419ea67","","no-status-not-started","","folder","FALSE","FALSE","August 2025","21 August"
"74d12fe7-d443-42ae-a468-f93cf0413fc6","","no-status-not-started","","folder","TRUE","FALSE","August 2025","21 August","Prepour"
"e2a3e5d6-e946-4663-9d9d-8c3e49fbd877","","no-status-not-started","","folder","TRUE","FALSE","August 2025","21 August","Postpour"
"c3660ae8-63da-41e4-9c01-b143f0a4d054","","no-status-not-started","","folder","FALSE","FALSE","August 2025","22 August"
"6cadf8e1-e812-40fa-b848-2a8371c8c4dc","","no-status-not-started","","folder","TRUE","FALSE","August 2025","22 August","Prepour"
"b97ce290-77c1-418a-8ce4-fb86c4828dc1","","no-status-not-started","","folder","TRUE","FALSE","August 2025","22 August","Postpour"
"96895658-9818-4a27-a641-d1c0ce71a9c7","","no-status-not-started","","folder","FALSE","FALSE","August 2025","23 August"
"c01151c1-dbb2-4be6-80fb-15ac2d1e3406","","no-status-not-started","","folder","TRUE","FALSE","August 2025","23 August","Prepour"
"3c5a5016-cb24-41c6-846a-c10fcb461242","","no-status-not-started","","folder","TRUE","FALSE","August 2025","23 August","Postpour"
"18eb58f6-9321-4899-9702-c2764c77c869","","no-status-not-started","","folder","FALSE","FALSE","August 2025","24 August"
"e4be7db2-76b8-4048-86ed-ff821843857c","","no-status-not-started","","folder","TRUE","FALSE","August 2025","24 August","Prepour"
"0792b454-3d9f-42c4-8e5a-8a2f69d09612","","no-status-not-started","","folder","TRUE","FALSE","August 2025","24 August","Postpour"
"13800ce6-0ba6-4550-8d0d-baee6537571c","","no-status-not-started","","folder","FALSE","FALSE","August 2025","25 August"
"f75680b4-a1ea-4427-acf6-3d48bfe2ff55","","no-status-not-started","","folder","TRUE","FALSE","August 2025","25 August","Prepour"
"657cbeea-4ccd-4d41-bc6a-c45b28e9daba","","no-status-not-started","","folder","TRUE","FALSE","August 2025","25 August","Postpour"
"e8da8f43-0b97-4d4e-be03-e15affa8a4db","","no-status-not-started","","folder","FALSE","FALSE","August 2025","26 August"
"ada32f83-42cb-4cf1-9dea-77b0312f514c","","no-status-not-started","","folder","TRUE","FALSE","August 2025","26 August","Prepour"
"9444a115-0f78-45d0-815a-2e732625be84","","no-status-not-started","","folder","TRUE","FALSE","August 2025","26 August","Postpour"
"f29223f7-1902-4794-86f4-ba4012c837c1","","no-status-not-started","","folder","FALSE","FALSE","August 2025","27 August"
"393cbe8c-9c28-4df9-a5ae-5b94cdff5739","","no-status-not-started","","folder","TRUE","FALSE","August 2025","27 August","Prepour"
"c4746ec9-57b7-444e-8e05-6e811337e889","","no-status-not-started","","folder","TRUE","FALSE","August 2025","27 August","Postpour"
