"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"231c46f9-6447-4263-9019-61d906e151c8","","folder-normal","pass","","step","TRUE","FALSE","Nov 22"
"83022954-4240-4b9f-a0b7-633222af6d29","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Joel Gilbody "
"b56a10ad-7972-44c3-84dc-373a43aa0994","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 25-11-22"
"604a6ea9-a1b6-433b-8590-9c4d95f6d7af","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 29-11-22"
"b0fbdb7c-7fdc-470a-bd83-0cecc11f696f","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Joel Gilbody ","Daily Diary / Timesheet 30-11-22"
"aa81340a-f8ef-472f-9db8-12d3ebf06e43","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Wayne Buckingham"
"7ea9b827-02b5-4188-9813-e78b809f87cf","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet9/11/22"
"0fe45812-a1f7-4692-aed4-9b457de255cb","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet10/11/22"
"60ecb595-708d-4400-b33a-8a1846581c0b","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet11/11/22"
"6ae1f0a2-ce69-41d5-9b00-4d4c95e1de0f","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Wayne Buckingham","14/11/22 & 15/11/22"
"b4cc900e-0042-40e6-83f8-dad103914413","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","14/11/22 & 15/11/22","Daily Diary / Timesheet14/11/22"
"e4de26c9-0560-4e94-9ae5-e27c5dcc3aba","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","14/11/22 & 15/11/22","Daily Diary / Timesheet15/11/22"
"a083bb02-7926-40c3-a1a3-8475956d8f9b","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet16/11/22"
"0c52efec-2307-4815-b745-8a3b7324a6b8","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet17/11/22"
"f77357f3-cea1-41ce-8850-a8926fe15c1d","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Wayne Buckingham","18/11/22"
"66b590a4-fd84-4ca7-8415-194e009b3b70","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","18/11/22","Daily Diary / Timesheet18/11/22"
"82b82c9d-12c0-4626-879c-151e5c49a554","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet22/11/22"
"c0521300-369d-4289-bc7f-2b8616702358","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet21/11/22"
"4fa2a143-39de-4cb4-9eb9-f22ef1a61da2","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet231122"
"1fe44a85-0c1a-4168-aadd-028e7ad4909e","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet241122"
"f925f110-24d2-4ffc-9229-d3cec6995b06","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet251122"
"143acb95-36c9-46b1-b050-bb6b8a773061","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet291122"
"56eab7b1-6d32-49a0-aa2d-d460aa487746","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet301122"
"f04c8587-5ab7-4e8c-a18d-33c71b59a878","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet121222"
"270fe9ed-e705-4523-9325-abcbf2b5d5d9","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Wayne Buckingham","Daily Diary / Timesheet131222"
"44f8e2db-deba-4846-bd41-79bc84fda926","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan"
"9b84e028-c2c8-4f30-a43b-3122d395714c","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary / Timesheet. 09/11"
"3d36615f-4696-4034-b21e-8b66bf15b9ba","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily diary/ Timesheet 10/11"
"d0cfd9b5-649d-4d5a-b7e5-5c6d3f9b2282","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily diary/ Timesheet 10/11","Daily Diary / Timesheet 10.11"
"71de1ea9-d483-489a-85a5-f0dc80a5ec69","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 11/11"
"5eca4b6a-7749-4eb8-bc74-96d3a75871ec","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 11/11","Daily Diary / Timesheet 11/11"
"eb4d3fef-18cb-4c8f-9dc9-cfc61d5740b5","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 14/11"
"eef8404c-2cff-4c34-85e8-d64eefa95a0d","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 14/11","Daily Diary / Timesheet 14/11"
"e87e7ee0-5568-44a8-8289-bcc05ba40697","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 15/11"
"68d50e38-241d-4bf8-9f8a-fba46a90be72","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 15/11","Daily Diary / Timesheet 15/11"
"ed77de67-41dc-461d-9e5e-868775bd890a","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 16/11"
"7c7570bf-63f9-4250-a7d8-f6c9371569da","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 16/11","Daily Diary / Timesheet 16/11"
"7a85bc9a-9639-4608-977b-c1661c735d5a","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 17/11"
"46f8507a-f460-47b2-a03e-9b726910efcd","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 17/11","Daily Diary / Timesheet 17/11"
"5e6d0c96-ab89-47f2-8eeb-3be1713f0706","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 18/11"
"8a84dac0-bc16-4931-b93b-082a4f80b63c","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 18/11","Daily Diary / Timesheet"
"516e1f3b-ee4f-4c97-ae47-15b9a0de4e04","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 21/11"
"f2e175f6-3937-48de-a275-6dfe4fe586de","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 21/11","Daily Diary / Timesheet"
"dc9029d7-6f71-4f47-b0fa-8eec0eda8bf3","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily diary/ Timesheet 22/11"
"4545f442-cad2-4e0a-87eb-10fc5bf9c0b1","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily diary/ Timesheet 22/11","Daily Diary / Timesheet"
"e97463e6-ce91-4494-8eca-88eb1cbb4306","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 23/11"
"572bc27f-6fe9-4823-80d6-f27f848af07a","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 23/11","Daily Diary / Timesheet"
"aa6d46b9-3f0f-4d6d-a7d5-59b6ae582770","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 24/11"
"8159b3a8-6c3a-499b-8aac-2304d00bca90","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 24/11","Daily Diary / Timesheet"
"a7b955cd-1265-41d4-9cc1-692711f2210e","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 25/11"
"8afcfc9c-a130-496a-997c-57351be0d810","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 25/11","Daily Diary / Timesheet"
"9f876136-7ca4-4d1d-aa1c-49171615f159","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 28/11"
"8c0cde6f-b3d2-457c-8e5e-39bcc2206fd8","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 28/11","Daily Diary / Timesheet"
"4aace3a6-02c7-47f6-95d9-2889f84bce85","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 29/11"
"630f1169-a7d2-44de-ae53-110927f2975b","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 29/11","Daily Diary / Timesheet"
"eec02c04-4a23-4475-99d5-9ea9b4b01cfb","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 30/11"
"bf4b8a17-e05e-4536-a7c7-50f98b856b23","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Josh Whelan","Daily Diary/ Timesheet 30/11","Daily Diary / Timesheet"
"f30ff24b-7271-43c0-83ad-a7066e10d099","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Taj Greenhalgh "
"f17ad7e3-de04-40e3-8a85-9a528eccdb4d","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 09/11/22"
"5a4b11b2-6adc-47c0-8bcd-d8507e27670b","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 10.11.22"
"843ccc25-6e22-4808-99c2-bcbb1d8b2fa6","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 11.11.22"
"4f3db7e8-b78d-41d5-870d-2f16531afde8","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 14 . 11.22"
"8d18063e-e8ef-4c69-aa1e-26da47de8844","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 15.11.22"
"eb7765dc-e0ae-4db8-af38-2d10e9b19670","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 16.11.22"
"f4129fca-ccf1-4de8-893c-f81ed2183a8d","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 17.11.22"
"f833e579-0b09-44bc-afeb-6eb1742bbe71","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 18.11.22"
"6a35c6ab-baef-475f-975b-8035e564c837","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 21.11.22"
"058f04ee-6b66-4b58-935c-ac402eb807e5","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 22.11.22"
"6e8db70d-19b0-49be-aacd-94081d2a570c","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 23.11.22"
"481da7ff-bcdc-4597-8106-5ffeee115fa0","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 24.11.22"
"0660d8d2-2bc3-45c5-a324-bc4d8e5d3838","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 25.11.22"
"25765368-042b-411a-ad56-544771c0c234","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 28.11.22"
"372feb63-be8c-4185-ac1c-0a4d835f905d","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 29.11.22"
"9e4859f9-64f1-40b8-8767-fb6302016294","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 30.11.22"
"439e5e03-a973-4eee-a72f-a9cf416b0fe3","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Taj Greenhalgh ","Daily Diary / Timesheet 1.12.22"
"5f81827b-dc50-4ea9-8586-be050ab757a6","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Lindsay Dixon"
"445f092c-9068-4ad3-8e58-c378d54df2aa","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 09/11/22"
"e4e20019-ee61-4a4e-a13f-efa63bb791f7","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 10/11/22"
"76eef820-3ab5-4c30-9136-f07debbab573","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 11/11/22"
"107b1a1a-7cc1-4466-b74b-ac38bec4a8c0","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 14/11/22"
"7350a407-a41f-42fe-9854-a8dec9c91fa0","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 15/11/22"
"5b7b181a-8d89-409f-8a94-7819922db911","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 16/11/22"
"bc2ef387-674d-491e-94a9-f292c026a5fb","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 17/11/22"
"6a184766-e154-4433-b838-dfc09ce181db","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 18/11/22"
"a00f502e-c6cb-4c3f-99c0-71880a6f6950","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 21/11/22"
"13244739-6c5b-452c-9763-2f935b31a161","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 22/11/22"
"22d31db2-2c27-4b33-a742-e41a1a57a03c","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 23/11/22"
"eac84710-2d3b-45dd-940c-78026cf35e67","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 24/11/22"
"d9a65e34-1784-4d70-b5b4-3f845cb2bebd","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 25/11/22"
"6fe9667f-491b-4958-bd49-ffb10dff4979","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 29/11/12"
"2f3a9538-0510-475f-bdf8-c99af3d78fec","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Lindsay Dixon","Daily Diary / Timesheet 30/11/12"
"38b1de75-aff2-41f5-8c66-a0ce261e3db3","","folder-normal","pass","","step","TRUE","FALSE","Nov 22","Matthew Perrin"
"44d510a4-06d2-4c64-a30c-c3dcb4bf98d2","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Matthew Perrin","Daily Diary / Timesheet 09/11"
"8ebd828a-78b8-4be0-a662-8f65264a9071","","checklist-flat","pass","ca2a719d4cd5666dfcea58410604be5e24560a7214c19cb0bf10a5c6e31b027b","checklist-flat","FALSE","FALSE","Nov 22","Matthew Perrin","Daily Diary / Timesheet 10/11"
"5372af8b-0a18-4b18-a0db-8e58eb594dbb","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Matthew Perrin","Daily Diary / Timesheet 11/11"
"2c283c50-fb56-4c59-939e-c458601b82ad","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Matthew Perrin","Daily Diary / Timesheet 14/11"
"466f89b8-be51-4356-a0ac-65da7512ec88","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Matthew Perrin","Daily Diary / Timesheet 15/11/22"
"5559322e-6a92-4b25-91cb-a9ee54da5a3b","","checklist-flat","pass","afa493ab4e25a3af49fbc32cd5cafa03d5cfd9244b11c3627befca2be492b40b","checklist-flat","FALSE","FALSE","Nov 22","Matthew Perrin","Daily Diary / Timesheet 16/11/22"
