"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e3b46aa8-0657-41ed-93ab-b64d2061b5eb","","folder-normal","fail","","step","TRUE","FALSE","Project QA"
"b291b5b1-7801-4fa5-96ef-c357d1554b50","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Ground Floor"
"6ade43a0-ad25-4fd4-9786-5c5eb531d68b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Level 1","L1 - AWC Shower - Room 52"
"abc6ad13-0afd-4a24-b9f5-75d41d03117c","","checklist-flat","work-in-progress","Preline Inspection checklist","checklist-flat","FALSE","FALSE","Project QA","Level 1","L1 - AWC Shower - Room 52","Preline Inspection checklist"
"3a6688bc-f7f6-476f-a04b-0462e91cf58b","","folder-normal","fail","","step","TRUE","FALSE","Project QA","Level 1","L1 - WC2 - Room 53 "
"e587c177-2a87-4996-a749-3e87ae0e6073","","checklist-flat","fail","Preline Inspection checklist","checklist-flat","FALSE","FALSE","Project QA","Level 1","L1 - WC2 - Room 53 ","Preline Inspection checklist"
"89f304e7-7d30-4538-97cd-9bfcda6c265f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 1","L1 - Cleaner - Room 54 "
"30a1421f-ce62-4a9b-a666-e4db10f8745f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 1","L1 - Smoke / Lift - Room 62 "
"98316e53-bd3f-4fce-b010-e6ac386bdc9f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 1","L1 - Store - Room 42"
"51c68ace-7a6a-4ee4-bc47-56b9cdfed101","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 1","L1 - Riser A - Room 85 "
"6dcd42d5-f826-4cc3-b4d3-d99d48321a59","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 1","L1 - Server Comms - Room 84"
"a6852374-8622-4d8d-b675-763361d213a6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 1","L1 - Riser B - Room 83"
"683681f7-e92a-46c7-8c52-328ddaf1114a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 1","L1 - DB - Room 82"
"2ee16e47-3211-448a-aa2b-496f5c565294","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 1","L1 - Stair - Room 71"
"6fd34000-a54e-4fcf-b0bd-6070bd92764f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Level 2"
"0ed8ba82-0479-4bb5-9f5b-f29a89218b25","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Level 2","L2 WC1- Room 51"
"520adc56-0299-4005-9e46-c43bfcb31feb","","checklist-flat","work-in-progress","Preline Inspection checklist","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 WC1- Room 51","Preline Inspection checklist"
"979c9970-86a6-48a8-aeba-ff260b19258a","","checklist-flat","not-started","Insulation checklist Prior to Lining","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 WC1- Room 51","Insulation checklist Prior to Lining"
"8227214a-a9b9-4d4f-86d9-564246f2c867","","checklist-flat","not-started","Interior Framing checklist","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 WC1- Room 51","Interior Framing checklist"
"1048126f-0cc7-4bf7-9dad-7ca483cac6cb","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 WC1- Room 51","Timber Doors"
"e75eb95c-ca1c-4498-859e-801e4912f3f7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Level 2","L2 WC 2 - Room 52"
"397d77de-eed7-4c04-90cc-ff0d7a58ef97","","checklist-flat","work-in-progress","Preline Inspection checklist","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 WC 2 - Room 52","Preline Inspection checklist"
"97609d2a-5f7d-43f3-965f-1ae086df2edc","","checklist-flat","not-started","HV Ducts checklist","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 WC 2 - Room 52","HV Ducts checklist"
"12c0cee0-0b12-44f8-b6bc-7044412009bf","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 WC 2 - Room 52","Timber Doors"
"1727ce6a-3288-407b-92d0-5ec0fdb60d0f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Level 2","L2 WC Lobby - Room 64 "
"99e03c5a-7116-46e3-84f5-bbcb5de90b90","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 WC Lobby - Room 64 ","Timber Doors"
"75b5c28f-3832-4404-a9ab-eaca7633d3e2","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Level 2","L2 Cleaners - Room 54"
"2d43f505-0870-4541-87c8-e723d77a105b","","checklist-flat","not-started","Preline Inspection checklist","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 Cleaners - Room 54","Preline Inspection checklist"
"99d17617-4f86-47aa-8d35-dd873ffe4084","","checklist-flat","not-started","Mechanical Services First Fix","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 Cleaners - Room 54","Mechanical Services First Fix"
"6f3267f6-9daa-4310-98b1-8d8f9a73cc11","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 2","L2 Riser A - Room 85"
"4f0419f1-88f1-42b1-9108-36ef015a14f4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 2","L2 S/L Lobby Room 62"
"feff2bf7-da20-48ee-bb1d-3eb54f2ec466","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 2","L2 Stair - Room 71 "
"f7bcf50c-e58a-4500-a81c-38b09a552c19","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Level 2","L2 server/ Comms - Room 84 "
"7342cc5a-85fe-4b66-ba2b-d2ba056e2d35","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 server/ Comms - Room 84 ","Timber Doors"
"8d5dea70-da70-4d69-ac69-ef6d3ee914a3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 2","L2 Riser B Room 83 "
"b34ab648-4d9c-4a95-aa82-a72685ac694e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 2","L2 Store - Room 42 "
"404a01fd-a7ca-48a9-8487-a9f9fc9915d4","","checklist-flat","not-started","Steelwork","checklist-flat","FALSE","FALSE","Project QA","Level 2","Steelwork"
"96372bca-2797-4e1c-8c72-a95f1059f919","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Level 2","L2 AC WC - Room 53"
"f521a5f0-0dec-4a11-999d-dc0c476f1ca4","","checklist-flat","work-in-progress","Preline Inspection checklist","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 AC WC - Room 53","Preline Inspection checklist"
"59384884-f024-4cb5-ae9b-21394978f768","","checklist-flat","work-in-progress","Timber Doors","checklist-flat","FALSE","FALSE","Project QA","Level 2","L2 AC WC - Room 53","Timber Doors"
"cae44347-6cc9-493f-a7e7-e1710186b80c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3"
"fb7707eb-3a71-418a-a021-0b8546dfb5b3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - Server / Comms - Room 84"
"5d04193a-9d0f-4eab-86d1-d0acb9293c4d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - WC 1 - Room 53 "
"104ea1fd-64ac-472a-b136-4a4ad028b946","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - AWC Shower - Room 52"
"f2899c94-5b19-4da4-91b3-5c43c0e6c4cd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - WC2 - Room 51"
"940714d9-11c6-45f0-bfd8-dc56a1b18881","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - WC Lobby - Room 64 "
"38d0d4fc-67b5-40ee-aea5-013c65110b37","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - Cleaner - Room 54"
"0cd06379-60f5-43c7-ab92-cd95850d1a04","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - Riser A - Room 85 "
"5eee3afa-f2e3-4c0c-b4cf-843f3bdb6ffb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - Riser B- Room 83 "
"0affcff6-c861-4c1d-9cfa-7d3a177f1817","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - DB - Room 82 "
"0589883b-330f-4d8f-9f61-aea216bb60ea","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - Stair - Room 71 "
"83ed6c9c-db50-489e-8561-a04a81385a5e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - Smoke Lift - Room 62"
"bd6bd6c4-d6cf-4dd2-aded-5c3d439f03af","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 3","L3 - Store - Room 42"
"b8718c3f-60fe-4634-802d-52e70b955e82","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4"
"dc586f63-3616-4602-a071-768fe0f961d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - Server / Comms - Room 84"
"607153d5-29b3-4fb0-af8d-add86a819cc0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - A WC - Room 51"
"3295a3c0-52bd-408b-bd36-ad9784e33c99","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - WC 1 - Room 52"
"0050ba65-101c-4d25-a502-139284c86ac1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - WC 2 - Room 53 "
"cab3a554-d12e-47eb-9663-b900e4cfa5a6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - WC Lobby - Room 64"
"322fe069-5e86-4a9f-be29-f6542703d7f9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - Cleaner - Room 54"
"10cc1347-2f72-472a-8d5f-ae2b1d681804","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - Smoke / Lift Lobby - Room 62"
"4d6a6792-9ddb-46c7-b8ce-44debcab02d7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - Riser A - Room 85"
"93c88ffc-cf47-45fc-9852-f0c04b674698","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - DB - Room 82"
"da11438e-fe90-4c0f-9db7-0c4d193c9663","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - Riser B - Room 83"
"1881c17d-a416-4445-ad99-1f2e4bb0fe56","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - Store - Room 42"
"0ca1ed47-4f57-4dd9-b66c-4f32341b445a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 4","L4 - Stair - Room 71"
"9b06452e-eac3-44bc-ad9f-0a6507772a82","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5"
"d9e6a125-c618-4239-9850-393f74e50c18","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - Smoke Lobby South - Room 63"
"319a91d9-fbe9-4f25-a696-d1614325d45c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - Lift Room - Room 72 "
"37a73d47-2c35-4287-a2c2-2502059abfda","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - Riser A - Room 85"
"c478e2cd-c84d-48ff-aeda-b19a64a4cb8c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - Void - Room 91"
"7eb2d685-b628-4713-a35e-42563caec807","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - Riser B - Room 83"
"ac4eeb93-1b34-4f53-abcf-50b619548f8d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - Stair - Room 71 "
"dc298b3b-8bf0-4cbf-bd8a-b26440c895cc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - Smoke lobby - Room 62"
"8c0d7f1b-e130-4995-bea9-37f13c1a64df","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - IT Server - Room 84 "
"04cbbce7-15b8-4c6e-99f8-bb78f342c651","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - Storage - Room 45"
"eafb320c-1575-484b-98d4-c5b0d0c5e7e4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","Level 5","L5 - Plant Room - Room 89"
"39e5a8ef-f485-4446-b291-636797c92330","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Project QA","External Cladding"
