"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"58a0dffc-7213-41e0-9695-0a6dd071d51e","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB7","AE-ITCX-001 - Temp DB Checklist"
"66e9f22e-57ed-4dab-8ab4-b665387049db","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB7","AE-ITCX-002 - Monthly RCD Test Sheet"
"2b9df22f-da5b-46ce-822d-47a4d079e801","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB7","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"196bddcc-3123-43f7-8823-e27604b3d2a0","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB8"
"cd4d1a99-6262-4c3f-ad50-d6e4eb616a66","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB8","AE-ITCX-001 - Temp DB Checklist"
"fea6c0a5-4100-4d3d-a9e4-0138e93d4daa","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB8","AE-ITCX-002 - Monthly RCD Test Sheet"
"9f102bcb-cecd-4674-9bf8-aa2ca1bae432","","checklist-sectioned","","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Ground Temp DB8","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"4fca3e02-8355-4799-b3ae-0b0b0564f195","","folder-normal","","","step","TRUE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 1 DB 1"
"89e5e206-f483-4584-901b-e381b6815ebc","","checklist-sectioned","","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 1 DB 1","AE-ITCX-001 - Temp DB Checklist"
"8693589f-a6b9-4d0d-925d-8c1774fdbad8","","checklist-sectioned","","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Temporary DBs","MDB TEMPS","Temp Rising Main 1","Level 1 DB 1","AE-ITCX-002 - Monthly RCD Test Sheet"
