"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9f455d1d-8fd5-44f3-a82f-40c280f160e8","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003"
"07e1122d-8298-56fe-88ac-85d417a19f86","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003","Panel has been installed correctly and is free from defects"
"d0051163-c174-5f4c-9c3e-f12ef9acee82","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003","Bracket Installation"
"4634a503-eb1a-50f0-9921-1ce8e9ff5ccd","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003","Panel"
"f6bb5637-6b14-49ba-8a04-f1b62d500e2f","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003S"
"c88c3d92-8741-5394-8b73-9ad08feb3653","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003S","Panel has been installed correctly and is free from defects"
"8a4a8699-b0ec-5cde-abf3-170536da1066","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003S","Bracket Installation"
"175692cc-758b-5a8c-a508-d9bf0377a5c2","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-003S","Panel"
"9d65e044-41a0-40a4-8822-9196462c2a01","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004"
"7cbf7e69-ca2c-50b3-9684-245ffeb1faa2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004","Panel has been installed correctly and is free from defects"
"72844335-17c3-577d-b51d-209813cf4ece","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004","Bracket Installation"
"fc566c79-c53a-5b39-92d7-2271f220306d","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004","Panel"
"a961d4a1-3f15-492c-8305-6796a8771609","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004"
"4e07e06b-6b00-58d1-a091-cdcc2af38334","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004","Panel has been installed correctly and is free from defects"
"2ca7900d-d608-586a-a5a2-364d363222d6","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004","Bracket Installation"
"8b0b9a2a-9684-5ca0-8465-ff3273b302d2","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004","Panel"
"f5a52737-919e-47b9-b64c-a0db5439dff1","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004"
"e4508464-7f5d-54f2-b0ce-318eeaf15a18","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004","Panel has been installed correctly and is free from defects"
"0e4d823f-6487-5d15-ad0f-607c7758ff1e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004","Bracket Installation"
"444f87e1-389f-50ce-b6d8-a3be6aff09b9","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004","Panel"
"deedd783-4d0a-458c-b43a-f20a0eedd0c8","","checklist-flat","not-started","FT01 Panel completion checklist","checklist-flat","FALSE","FALSE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004S"
"d3b33324-f261-52a1-ab77-3282d0454f5e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004S","Panel has been installed correctly and is free from defects"
"3cf27088-593d-5a93-88d1-31e8dea633a8","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Site QA","FT01","Ground Floor - Level 02","WLC-FT01-GRD-004S","Bracket Installation"
