"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4786889f-17f2-428c-ac7a-33c3f495e1ee","","work-in-progress","","folder","TRUE","FALSE","Level 1 "
"0f9ec8ea-7a41-47a4-952a-9c4a0df94055","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B9 Apt W2.1"
"026d5dfa-6066-499b-98bf-bbcd3d06d7fd","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B10 Apt E2.4"
"d236083d-60cb-4dd5-a246-24e9075479ca","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B11 Apt W2.7"
"f4da9ed4-e0ef-49de-970d-214a2b58ac08","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B12 Apt W2.4"
"35dc3b1d-8e99-4f7e-9a29-4c728ef3977a","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 2 ","Type B13 Apt W2.3"
"155ee617-b5bb-46d1-be4e-04b8700f9dab","","not-started","","folder","TRUE","FALSE","Level 3 "
"5f85489f-6487-43d1-a837-268acc11e39e","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B4 Apt E3.3 "
"a8a509ad-0eae-4296-94e2-2d756ee44b67","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type 5 Apt E3.2"
"b6df792a-6a61-4d18-abd2-ef1f96ef86ec","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B6 Apt E3.1"
"429e0352-c7e8-4734-8930-4269bf5659c8","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B7 Apt W3.5"
"1728cfaa-77cb-4778-afc2-cfd2a93cb97b","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B8 Apt E3.6"
"987cdbee-6b28-4b56-b2ca-b3c7a6258ef4","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B8 Apt E3.7"
"ae29af89-c775-4eca-807c-1cc5eb2fab58","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B8 Apt W3.2"
"8ba52f72-e217-4bd3-8b0c-a18c37e4e38e","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B8 Apt W3.6"
"ccb94882-2a46-4272-a493-650763c9fd67","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B9 Apt W3.1"
"c99228f2-e0a3-49ae-88d6-1a12baed1f04","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B10 Apt W3.4"
"a88d7fce-c321-490b-ab4b-c37db8225279","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B11 Apt W3.7"
"91849752-a6ed-4ec7-bb1a-e7f46e1fcc84","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B12 Apt W3.4"
"57bfb22e-2579-409a-9f2b-79a5d3208eaa","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 3 ","Type B13 Apt W3.3"
"d50bf8d9-ef95-4ba5-8467-4421b11013e4","","not-started","","folder","TRUE","FALSE","Level 4 "
"5e019ddf-448c-45ae-8b3b-017b6ab563bf","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B4 Apt E4.3"
"6e966bdd-8041-449f-848b-f979bd137a49","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B5 Apt E4.2"
"65c4c5ef-f7f4-4403-a69a-909939361635","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B6 Apt E4.1"
"c1c7f9ba-1bd6-442b-b509-c4f7711f7a7e","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B7 Apt W4.5"
"4c2e8128-01fd-43f4-b933-dc65b0a3d4c3","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B8 Apt E4.6"
"60e9fc17-164a-4d29-afc2-d50728987706","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B8 Apt E4.7"
"e88fdd44-3c6e-48a5-bb9f-50115c0b43e4","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B8 Apt W4.2"
"066623bc-3767-4209-a225-63f57c844a4b","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B8 Apt W4.6"
"5d767c7c-286d-4587-ae6c-5b304f6e363f","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B9 Apt E4.5"
"bfc4ba39-0171-47ae-b1d9-b8252208e99c","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B9 Apt W4.1"
"e70ff734-ce09-4767-845a-e82edf1c523d","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B10 Apt E4.4"
"3a1e3260-ac62-4c6b-89aa-060be71a988c","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B11 Apt W4.7"
"ebc45871-b4df-44d9-aea2-aaf7c465f07e","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B12 Apt W4.4"
"75d18fd5-180d-48d0-874a-a0ef41e34c7f","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Level 4 ","Type B12 Apt W4.3"
"55f41006-ba24-4b01-8232-2d9847d15dd6","","not-started","","folder","TRUE","FALSE","Stair 1 - Internal Balustrade "
"2cd49707-8223-42e8-b0af-0a9f54edb996","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Stair 1 - Internal Balustrade ","Stair 1 Internal Balustrade "
"26c57b21-bffa-4a66-bee6-484cdcd05fdb","","not-started","","folder","TRUE","FALSE","Stair 2 - Internal Balustrade "
"1ba0b06e-931d-4338-8c15-b3ac8ab5d0b7","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Stair 2 - Internal Balustrade ","Stair 2 Internal Balustrade "
"34acb163-49eb-491f-ac70-e4cdce5b800a","","not-started","","folder","TRUE","FALSE","Stair 3 - External Balustrade "
"372a6312-fb0f-4b3e-a9eb-ce57fe14dab9","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Stair 3 - External Balustrade ","Stair 3 - External Balustrade "
"d0aaf295-3dfd-4206-9e13-f42ba2cf79e7","","not-started","","folder","TRUE","FALSE","Apartment E1.4 Courtyard "
"5265088a-b0c9-4bcf-8127-e8fc70f5ccaf","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Apartment E1.4 Courtyard ","Apartment E1.4 Courtyard Balustrade "
