Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
,,Terminal - Copper - L0-Ground - FDR-4044.18,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.18,
,,Terminal - Copper - L0-Ground - FDR-4044.19,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.19,
,,Terminal - Copper - L0-Ground - FDR-4044.20,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.20,
,,Terminal - Copper - L0-Ground - FDR-4044.21,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.21,
,,Terminal - Copper - L0-Ground - FDR-4044.22,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.22,
,,Terminal - Copper - L0-Ground - FDR-4044.23,dynamic,Communications,Terminal,Copper,L0-Ground,FDR-4044.23,
,,Terminal - Copper - FLB - FLB-4044.10,dynamic,Communications,Terminal,Copper,FLB,FLB-4044.10,
,,Terminal - Copper - FLB - FLB-4044.13,dynamic,Communications,Terminal,Copper,FLB,FLB-4044.13,
,,Terminal - Copper - FLB - FLB-4044.11,dynamic,Communications,Terminal,Copper,FLB,FLB-4044.11,
,,Terminal - Copper - FLB - FLB-4044.12,dynamic,Communications,Terminal,Copper,FLB,FLB-4044.12,
,,Terminal - Copper - FLB - FLB-4044.01,dynamic,Communications,Terminal,Copper,FLB,FLB-4044.01,
,,Terminal - Copper - FLB - FLB-4044.02,dynamic,Communications,Terminal,Copper,FLB,FLB-4044.02,
,,Terminal - Copper - FLB - FLB-4044.03,dynamic,Communications,Terminal,Copper,FLB,FLB-4044.03,
,,Terminal - Copper - Level 2 - FDR-4244.01,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.01,
,,Terminal - Copper - Level 2 - FDR-4244.02,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.02,
,,Terminal - Copper - Level 2 - FDR-4244.03,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.03,
,,Terminal - Copper - Level 2 - FDR-4244.04,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.04,
,,Terminal - Copper - Level 2 - FDR-4244.12,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.12,
,,Terminal - Copper - Level 2 - FDR-4244.13,dynamic,Communications,Terminal,Copper,Level 2,FDR-4244.13,
