"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"52743680-4689-4491-b35d-b05450e3c820","","folder-normal","fail","","step","TRUE","FALSE","Ground"
"917f91d0-1b0a-4a79-a550-7891423d4bae","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.12"
"93a98aca-f4ac-418e-8014-990b898f0ec5","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.13"
"cc30b579-89df-4958-9834-6bf18532d684","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.14"
"12e3f1c3-dd92-434e-b27f-1236c6b0dfce","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.15"
"8ed8a76d-7778-4d7b-813d-9e7c51ef5e46","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.16"
"ee40af00-8a07-479a-b391-71a2f99b5206","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.17"
"63b03b33-7dbb-4826-9403-aeb89a60884c","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.18"
"18d8abdd-1e90-4f1f-8d15-b96ca5144ecd","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.19"
"75842c93-670a-40b2-88d6-c38498bb3d17","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.20"
"3dd8bf0a-3d32-44c0-8870-42ac40ba63d9","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.21"
"170ac9e0-6f31-4e62-889d-fb115e6e06e5","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 3","W.3.22"
"cd6f9d5f-737e-49b0-92a6-bda6b3f81fb4","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.23"
"a8259ec0-6ff6-4462-96d8-22f29ce79e73","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.24"
"33e2bca3-db7d-443f-bc0c-769ace7c77a6","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.25"
"a8ef00f0-2880-4af6-8efe-dd503ed3786c","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.26"
"d6068584-9303-41ac-8419-ba44e534e59f","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 3","W.3.27"
"479c13ba-9d74-44c6-986d-ed910b033ff8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 4"
"a8a63006-03d0-4110-b423-81bc7bb579ac","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.01"
"0aa6b037-f3ce-437d-9825-513f028d0bfc","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 4","W.4.02"
