"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d4e3b95b-0010-44aa-bc00-eb060a0fe036","","checklist-flat","not-started","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.18"
"3cc5c676-ceaa-4e2e-bcfc-3a6e1012062c","","checklist-flat","not-started","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.19"
"e2788b7e-0cb5-4095-b06a-db30f54298cb","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 6","W.6.20"
"263b3af1-2fd6-434d-9d12-c0b445beb431","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.21"
"24c77312-22d7-4ebf-8823-d641f4f1ff04","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.22"
"e5423659-d2ba-47ec-bd5d-bf7377ce1ea0","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.23"
"062a184f-5a2c-4d52-ab05-ae6032c2a110","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 6","W.6.24"
"a7e8c570-328f-4220-ad87-daeee0e771ab","","folder-normal","fail","","step","TRUE","FALSE","Level 7"
"552d7eac-6a19-47ec-a6ad-8b2aae103a81","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.01"
"b2709ef2-fe85-40d7-85d0-d87a7c968bfd","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.02"
"a0d30f73-b074-472e-b205-62f3a50f7636","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.03"
"26f4eecf-2a8b-4b8c-a2ed-f613ce1e475a","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.04"
"6394192b-6708-4253-9ad7-066ae03c9429","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.05"
"1d378740-d74a-430e-9e33-f3bff6495196","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.06"
"5fa18ea3-cbcc-4aea-ba90-e5978b284d38","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.07"
"ed855aed-046c-4699-99b5-2ceaae49a226","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.08"
"4eb905fb-e5ec-4a99-aabb-c67f8d400413","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.09"
"fa814025-8f56-4995-bd4a-492f5770648c","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.10"
"8ec19f92-d751-4b86-8fd6-d8dd9bdd892f","","checklist-flat","fail","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.11"
"0b4fb126-c478-4d9d-a311-87ead4fb483c","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.12"
"07f80b1b-2898-42ce-9e24-a6857e450902","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.13"
"9fb71e1a-53fd-4cbc-bac5-4dc5c1acc3b4","","checklist-flat","fail","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.14"
"e7bc869f-13c3-4cdd-9b20-4af430bdbf28","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.15"
"e737121f-f453-44d1-b9d8-112f471f08e3","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.16"
"6ec9fcd1-7350-4512-aec2-86b183f88ae7","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.17"
"ed78b673-fedd-44c8-9b21-7309a9c7cdb2","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.18"
"76355450-d382-44a3-b7ab-ebed4c2b5cf1","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.19"
"c3c48608-1a37-4728-bc1d-8d480e051015","","checklist-flat","work-in-progress","Punch windows (site glazed)","checklist-flat","FALSE","FALSE","Level 7","W.7.20"
"fb8b768d-8cf7-4267-adc4-e2215cc9e818","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.21"
"27f6cab7-f5ab-4fbb-8f07-674348ef4f1f","","checklist-flat","fail","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.22"
"a516a21b-1e5d-481f-bf02-d6622afe44b8","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.23"
"38af91c9-9718-4817-84a8-c0becba2b319","","checklist-flat","work-in-progress","Sliders (Partial site glaze)","checklist-flat","FALSE","FALSE","Level 7","W.7.24"
