"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc230ee7-9545-4be8-b360-a1a337cfcc70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"81087b26-ef7d-4218-815e-6bcdae071ab4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B5"
"9bd87ed9-8e1c-4ca5-8dc9-56bd56fbdadc","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B1","Tenant Switchroom"
"448052f5-46c2-4414-8cde-891c9320d0fe","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","B1","Kitchen Exhaust Plant Room"
"f0dce5b6-fab4-4fcf-9394-64beff7c5d9e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","G"
"32606f70-cfeb-4ead-b711-73c7f6e7b958","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","G","Stair 01/02"
"c555f49f-43f9-4bc1-a173-d0564602d495","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","G","Stair 04"
"276de6f5-be98-4954-9db2-3e925f687709","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","G","Stair 05"
"fa23dced-6d8c-4652-ace5-0eed76d198f8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L1"
"871dc1f2-6238-4de7-8762-809d49d7153c","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L1","Stair 01/02"
"1c455ce1-5442-46a2-8f8e-dd013b0c3a58","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L1","Riser cupboards"
"05dc3d3d-8631-4241-8ca8-415cc5e4744e","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L1","Plant room"
"4147d850-7fca-4882-ba6e-ff79b0550a33","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L1","Terrace (North)"
"eec0e29b-1ae2-4168-aa6c-47a63a2555bf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L2"
"e6ed1422-34dc-4080-9142-8564806dea1f","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L2","Stair 01/02"
"cd959808-3b37-4d8f-b151-fe6fb1ecb154","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L2","Riser cupboards"
"f3bd4fc2-9943-4e6d-8120-a3d273dd1943","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L2","Plant room"
"1bbcb867-5dbd-41a9-81ca-cd29b1e4ff12","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L2","Kitchen Exhaust Room Mech Plenum"
"53228cc9-acbf-4dde-834e-16bd81b5a2ed","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L2","Terrace (South)"
"5cc97253-6c16-47c2-b8f5-90d7c7c2d590","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L3"
"5e7de9db-77a7-4973-94db-e9ace1ff5f9b","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L3","Stair 01/02"
"e3b6eac2-0e9d-4fde-b382-9e5f97159905","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L3","Riser cupboards"
"838792c1-4f34-4471-be5b-87f6c7b123a2","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L3","Plant Room"
"d91d4a8b-7daa-4fb0-9fbb-768cf1dbd104","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L3","Switchroom"
"40817f5a-5c33-4814-aa6f-5a35707c7bec","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L4"
"1ade593d-7278-49fc-b40d-1d06f9c9c028","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L4","Stair 01/02"
"6837936c-ced4-43bd-9d37-3eb78da5b776","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L4","Terrace (North/West)"
"ec2f1b07-422a-4fc9-93f6-3d7c7f309f5c","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L4","Riser cupboards"
"4b09d9e4-bb3b-4d68-8eb3-d87887293d85","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L4","Plant Room"
"fdd4c70f-08dc-4c3a-8531-64713dfa2d79","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L5"
"25404488-35a3-4319-876b-786e959cbfda","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L5","Stair 01/02"
"da254b89-2426-4af3-9416-7c12a4e05225","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L5","Riser cupboards"
"b72ed46c-e5ac-484d-b44f-134e776644d5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L6"
"6d1eae7c-9381-4e60-95a8-f48f68c320b5","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L6","Stair 01/02"
"3d6d7aca-e6bf-4375-8476-436342660767","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L6","Riser cupboards"
"52741cb7-38f7-413d-9110-3e47a294c56d","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L6","Plant room"
"011c76ec-6632-4c1a-a03b-85d4382c0b44","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L7"
"9fbc64c6-5c95-4707-922d-a72016670ae0","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L7","Stair 01/02"
"a5b98efa-0793-4281-a070-fdae6a45974f","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L7","Riser cupboards"
"c01f4ba8-16bc-435e-be9e-5673decddd26","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L7","Plant room"
"e2d33937-2a13-454e-8f61-9fef2ea368e6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L8"
"17b16734-36e6-4756-b9f2-3509cefa6828","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L8","Stair 01/02"
"e4a0f172-6d58-4f36-ab69-7cbad9bfae89","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L8","Riser cupboards"
"a6fb67bb-84d4-4cd8-9af4-b4e03c959ca2","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L8","Plant room"
"ba809f4a-407e-4c26-a941-8de174b06dcc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L9"
"14466d68-a6a8-4750-97f8-72e5a6c533ab","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L9","Stair 01/02"
"57a794c9-4252-483b-aea7-14fb52c996a3","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L9","Riser cupboards"
"48d688c0-f659-4a4e-8447-165a45bfc892","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L9","Mech Room"
"4533fc14-3cb9-4a33-a9c4-e2e4ce4314cc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L10"
"23f11151-ff1f-4649-a254-492b289561e0","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L10","Stair 01/02"
"2a0ff68a-e988-4c11-ab32-2a76e60efcf2","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L10","Riser cupboards"
"7cad7168-4672-46ae-af3a-391ab05b0ce8","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L10","Plant room"
"77b0b1dc-5d46-4b48-b697-88778d7a4fd3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L11"
"f40fb190-1878-440d-9c65-4e66e15d2a52","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L11","Stair 01/02"
"aaab5d7d-08fc-4846-81b5-881779798936","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L11","Riser cupboards"
"14d31eda-ccd8-4229-a379-7dbd8c77a024","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L12"
"3f647e67-ff97-4932-a291-bc3a6aa78742","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L12","Stair 01/02"
"d7fb3b9f-df8f-434f-bd4f-5ee982c2f04d","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L12","Riser cupboards"
"249fa647-6d2d-484b-8198-2d35049b05db","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L12","Plant room"
"c41ed94f-9d40-4c9e-8645-42755043e93d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L13"
"7e1a4750-567f-4db8-813a-d4462c374dd9","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L13","Stair 01/02"
"399eeec4-d364-4542-80d5-413e0adb2f51","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L13","Riser cupboards"
"f2e5dc56-ba4b-4288-82c8-de0c418dfdee","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L14"
"79cc9e61-dbba-46da-9206-d70d991cbc07","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L14","Stair 01/02"
"ee819c0e-b020-4b98-ac35-2161a2935a05","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L14","Riser cupboards"
"62b74ed9-b89a-4c20-ac3d-6cde127a6f51","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L14","Plant room"
"e9892e9d-ddbe-48e6-a7a7-6feb9426e20b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L15"
"0e32baca-788e-4868-909f-1e5a244affc1","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L15","Stair 01/02"
"f9ec42ea-f374-4a50-a32f-530c315d9dd0","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L15","Riser cupboards"
"db7048c9-7728-47dc-8f6b-6e90a6a610c9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L16"
"ceabc3af-9d72-49e2-b2f4-a395a9097471","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L16","Stair 01/02"
"04a64ffa-77ab-4f73-8a07-e4c8eabe0d3a","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L16","Riser cupboards"
"9fc3fd97-b5ba-4e95-8f8b-083c0f95b345","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L16","Plant room"
"9bd13970-2d60-4298-9e7f-f70f9d685f29","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L17"
"6a77fc2c-a6b3-47b5-8d14-55d9f1f84276","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L17","Stair 01/02"
"3e3f752a-32fb-42fd-a0f8-9ac7b30364a6","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L17","Riser cupboards"
"e76cbec3-10cc-46cf-a84a-f9435a3cbab8","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L18"
"db8e57d5-98f8-4658-8e72-2fef29353301","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L18","Stair 01/02"
"0b261728-9ca0-4040-a9db-a44d4167daf9","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L18","Riser cupboards"
"ee7993c8-fe2b-4498-b9fe-6f47c98d759b","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L18","Plant room"
"d75cf1d7-981d-4518-9d09-faa12147ad8d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L19"
"a12e6727-154b-4113-a699-998c20b197d8","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L19","Stair 01/02"
"abb59570-89a2-46bc-80c6-ed21a35b1d74","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L19","Riser cupboards"
"3685fc69-ad3f-4d87-af87-7c2e4a02a80d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L20"
"5149dc1e-5c32-462d-8da7-881ac7d9a57f","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L20","Stair 01/02"
"3af38d2a-32b5-4ba7-a587-daf874324908","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L20","Riser cupboards"
"e66f82ec-8e6b-4a43-87ab-171d36826300","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L20","Plant room"
"dd3f3f5d-f548-4064-91c2-4ab21c036eba","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L21"
"4f0f1dd0-e1a4-45c9-a59d-69afd5d5c081","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L21","Stair 01/02"
"4f1ea525-e230-4896-9b07-339f7801eb52","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L21","Riser cupboards"
"904dd34c-596f-4390-ae93-6609233eae8b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L22"
"3e9c1e5f-eb02-4531-8a76-442d8c9766a4","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L22","Stair 01/02"
"1a79e1af-912a-4473-8847-c40b6cd992ab","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L22","Riser cupboards"
"5cfa83d3-012b-4a1b-86fd-9be98194c8e0","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L22","Plant room"
"3a5162d9-7184-426e-a2a6-d56704251c88","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L23"
"2691d469-7f84-43b2-801d-50996b141f4d","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L23","Stair 01/02"
"f51e9c86-70b7-42a9-acd7-e6061d218525","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L23","Riser cupboards"
"b609fe96-9d85-4b9f-b1f9-a894a9ff53b5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L24"
"890e8ad7-a729-48f4-b63c-b8bc9c98efe5","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L24","Stair 01/02"
"eb712c34-5a97-44e5-84d5-81f0bcc24fc3","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L24","Riser cupboards"
"caf2c410-cc37-4cad-9a93-b85733352413","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L24","Plant room"
"730309c8-0a9c-4341-b71d-e32adef8aa38","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L25"
"b4625999-f3e8-422c-872c-ec8181566494","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L25","Stair 01/02"
"bcdaf035-4127-4e23-b790-8b1b42858a13","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L25","Riser cupboards"
"bc9b00d5-4554-4954-853d-bad354418845","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L26"
"f2fb481c-7fce-4648-999c-c44594133b99","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L26","Stair 01/02"
"65267ec3-6474-4906-b985-91f1a8f8681f","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L26","Riser cupboards"
"a8169f1c-0aaa-4108-95b6-85767e712647","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L26","Plant room"
"455d182a-29bd-4b77-913b-d38a0e7d8bb3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L27"
"94fd6f24-3578-4693-9148-b698747fa62b","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L27","Stair 01/02"
"7b2d249a-9393-478d-a33d-691eaf56e93c","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L27","Riser cupboards"
"700be46a-5ab6-411a-9fc0-7e7b029589f2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L28"
"466841ec-08c2-4e40-95d6-c84ed6c4cafb","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L28","Stair 01/02"
"399654aa-79d6-4419-8198-d7d8cee1d9d1","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L28","Riser cupboards"
"f6a39610-fb68-4c32-9c02-9efba62b48cc","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L28","Plant room"
"d82aeec0-ff2d-4980-97ff-be4c9a108ece","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","L29"
"796d1d15-d181-4f21-bb90-1015c12ad4c5","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L29","North"
"b1ef9595-e7a4-40e7-964b-adc04a0ea1c6","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L29","South"
"87b22674-72c1-4a73-ac58-7ccf55ce3a66","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L29","East"
"db42bc78-af59-441d-bc8e-e5b750d69fe3","","checklist-flat","not-started","Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","L29","West"
