"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6532d80-f7d5-4446-8f81-ada97f5061a6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"e6bfef36-bcbc-4e82-811b-d02ea1f4cf47","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Ground","Concrete Pour"
"410145e3-0240-4b94-9d4b-c7adec5cceeb","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Ground","Columns"
"ec74e090-bfad-4dca-b9a1-e74b249cc13a","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Ground","Jump Form"
"637a8dd7-6f7e-4225-a94c-9fced2c59841","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 1"
"df1771f4-0d43-4464-a37f-4912e934bd63","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 1","Precast"
"a793c5f4-c239-40f6-b4e4-c53e06202f62","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 1","Concrete Pour"
"6a27ed40-4dbc-4e1a-b847-f829d24826a9","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 1","Columns"
"7ecad8e2-9216-4c7d-abee-38c9c21d95c3","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 1","Jump Form"
"d0dd3dd1-5b7a-4ef3-ac12-a7eaa21ea022","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 2"
"c755daef-e8f9-43cf-a1fa-ce9d31fef8d5","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 2","Precast"
"942730d9-3118-4de7-9e32-23f7dd2a467f","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 2","Concrete Pour"
"9006d04f-b6eb-475f-80f3-c0d71212c248","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 2","Columns"
"2e5a41d5-d78c-4cf8-a4a7-17b9c99a351b","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 2","Jump Form"
"1fa0f47c-4a60-41cc-9b6c-d3e8ef3b6723","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 3"
"aee9d7f7-8155-4bf6-86bc-2af80f9f87f2","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 3","Precast"
"5f012349-a949-4a76-89d4-1c4d1ca5bbc6","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 3","Concrete Pour"
"9baee85d-a32c-458c-be6e-582aa7d8f02b","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 3","Columns"
"e1b22db9-392a-4bf7-93ab-4063cf7c6cf4","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 3","Jump Form"
"e9e84456-ed96-4841-943e-bf42a0a66de7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 4"
"217b28f6-0345-4851-8e42-123e9f0c3ac1","","checklist-sectioned","not-started","Precast","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 4","Precast"
"7c863c68-6a84-4789-96cb-73e8a2cd0075","","checklist-flat","not-started","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 4","Concrete Pour"
"73f6e4ad-4aad-4045-bb9f-0df84db74e2d","","checklist-sectioned","not-started","Columns","checklist","FALSE","FALSE","Site QA","Structure","West Tower","Level 4","Columns"
"47a397fc-7a63-499c-8492-26e8e8cc4459","","checklist-flat","not-started","Jump Form","checklist-flat","FALSE","FALSE","Site QA","Structure","West Tower","Level 4","Jump Form"
"f2efe7da-63ba-4cfe-ac4e-b4bc65e8c54d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Structure","West Tower","Level 5"
