"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"67107d92-db40-43f3-8f7f-553a737abd47","","folder-normal","","","step","TRUE","FALSE","Documentation"
"4c612945-6c99-4a0d-9f45-3c444403c4a5","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Sprinkler Control Valve Detail"
"868469f7-e035-4f25-a3a3-962c92fd3e43","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Fire Hydrant Detail"
"bf446af2-d1e1-43fe-b34d-d7c64a087c0f","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Hose Reel Detail"
"39bb0de2-7232-4d5d-b8e7-238128792038","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Booster Detail"
"f1e13f20-1018-41f0-99f2-5b4e569a9a21","","folder-normal","","","step","TRUE","FALSE","Shop Drawings"
"24e1a6c1-e5a2-4d8b-a438-85efe270f077","","checklist-flat","","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Shop Drawings","Shop Drawing"
"294a07fa-bc32-4456-9277-cfe19322edbd","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA"
"979e2916-5c28-40fd-a812-6976a1072264","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA","Levels"
"9a384283-a4ab-4478-87f0-f372ca089e53","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire"
"8c94cfcd-a415-4b00-b7c0-83ad1ec0c046","","checklist-flat","","Pre-start checklist (V.090322)","checklist-flat","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Pre-Start"
"aed29306-10ba-46bf-9365-7f2891c484d0","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Basement"
"3deaa4a3-6429-4076-b546-c750a1bd661b","","checklist-sectioned","","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Ground","Hose Reel Installation"
"d4629963-eb8d-4c36-9cff-0b52abf722b7","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 1"
"aa545a82-a7f2-4188-a737-4f8cdd3de600","","checklist-sectioned","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 1","Sprinkler Installation/Fitoff"
"b5921090-3837-4d98-82e0-4fa4261cf8d5","","checklist-sectioned","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 1","Sprinkler & Hydrant Hydrostatic Test"
"f70b0e3d-2de0-4e6f-ab62-288e9dfcc252","","checklist-sectioned","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 1","Sprinkler Control Valve"
"fc47705b-976c-416a-a411-85fac8542bb5","","checklist-sectioned","","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 1","Hydrant Installation"
"0667946f-1cf8-4f7a-bf67-c4e21c928dcb","","checklist-sectioned","","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 1","Hose Reel Installation"
"00868402-d35d-4de2-950f-cf2655484ecb","","folder-normal","","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 2"
"2987f184-66dc-43f4-8333-2379482ce382","","checklist-sectioned","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 2","Sprinkler Installation/Fitoff"
"c538ff21-581b-4d4a-a29a-cde4e7eaf2b5","","checklist-sectioned","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 2","Sprinkler & Hydrant Hydrostatic Test"
