,,"South Wing - Level 2 - APT B106",,"first fix","south wing","level 2","apt b106"
,,"South Wing - Level 2 - APT B107",,"first fix","south wing","level 2","apt b107"
,,"South Wing - Level 3 - APT B201",,"apt b201","first fix","south wing","level 3"
,,"South Wing - Level 3 - APT B202",,"first fix","apt b202","south wing","level 3"
,,"South Wing - Level 3 - APT B203",,"apt b203","first fix","south wing","level 3"
,,"South Wing - Level 3 - APT B204",,"apt b204","first fix","south wing","level 3"
,,"South Wing - Level 3 - APT B205",,"first fix","south wing","apt b205","level 3"
,,"South Wing - Level 3 - APT B206",,"first fix","south wing","level 3","apt b206"
,,"South Wing - Level 3 - APT B207",,"first fix","apt b207","south wing","level 3"
,,"South Wing - Level 3 - APT B208",,"first fix","apt b208","south wing","level 3"
,,"South Wing - Level 4 - APT B301",,"level 4","first fix","apt b301","south wing"
,,"South Wing - Level 4 - APT B302",,"level 4","apt b302","first fix","south wing"
,,"South Wing - Level 4 - APT B303",,"level 4","apt b303","first fix","south wing"
,,"South Wing - Level 4 - APT B304",,"level 4","first fix","south wing","apt b304"
,,"South Wing - Level 4 - APT B305",,"level 4","first fix","south wing","apt b305"
,,"South Wing - Level 4 - APT B306",,"level 4","first fix","apt b306","south wing"
,,"South Wing - Level 5 - APTB401",,"level 5","first fix","aptb401","south wing"
,,"South Wing - Level 5 - APTB402",,"level 5","aptb402","first fix","south wing"
,,"South Wing - Level 5 - APTB403",,"level 5","aptb403","first fix","south wing"
,,"South Wing - Level 5 - APTB404",,"aptb404","level 5","first fix","south wing"
,,"East Wing - Level 5 - APT C401",,"level 5","first fix","apt c401","east wing"
,,"East Wing - Level 5 - APT C402",,"apt c402","level 5","first fix","east wing"
,,"East Wing - Level 5 - APT C403",,"level 5","apt c403","first fix","east wing"
,,"East Wing - Level 5 - APT C404",,"level 5","first fix","east wing","apt c404"
,"Columns"
,,"Oven",,"oven"
,,"Hob",,"hob"
,,"Range",,"range"
,,"Hood",,"hood"
,,"Microwave",,"microwave"
,,"Dish Washer",,"dish washer"
,,"Fridge",,"fridge"
,,"Kitchen Above Bench Power",,"kitchen above bench power"
,,"Lounge",,"lounge"
,,"Bedroom 1",,"bedroom 1"
,,"Bedroom 2",,"bedroom 2"
,,"Bedroom 3",,"bedroom 3"
,,"Bathroom",,"bathroom"
,,"Heater",,"heater"
,,"HTR",,"htr"
,,"Led Strips",,"led strips"
,,"Bonds Run",,"bonds run"
,,"Nogs Marked",,"nogs marked"
,,"Nogs Installed",,"nogs installed"
,,"Flush Boxes Installed",,"flush boxes installed"
,,"Lights Marked Out",,"lights marked out"
,,"Ceiling Nogs For Pendants Installed",,"ceiling nogs for pendants installed"
,,"DB Installed",,"db installed"
,,"Submain",,"submain"

"First Fix - Common Areas Progress"
,"Scope",,,"first fix"
,"Rows"
,,"West Wing - Level 1 - D001 CORRIDOR",,"first fix","west wing","level 1","d001 corridor"
,,"West Wing - Level 1 - D002 PLANTROOM",,"d002 plantroom","first fix","west wing","level 1"
,,"West Wing - Level 1 - D004 RUBBISH ROOM",,"first fix","west wing","level 1","d004 rubbish room"
,,"West Wing - Level 1 - D005 STAIR",,"first fix","west wing","level 1","d005 stair"
,,"West Wing - Level 1 - D006 STORAGE",,"first fix","west wing","level 1","d006 storage"
,,"West Wing - Level 2 - D101 CORRIDOR",,"d101 corridor","first fix","west wing","level 2"
,,"West Wing - Level 2 - D102 CORRIDOR",,"first fix","west wing","d102 corridor","level 2"
,,"West Wing - Level 2 - D103 RISER",,"first fix","west wing","d103 riser","level 2"
,,"West Wing - Level 2 - D104 RUBBISH ROOM",,"first fix","west wing","level 2","d104 rubbish room"
,,"West Wing - Level 2 - D105 STORAGE",,"first fix","west wing","d105 storage","level 2"
,,"West Wing - Level 2 - D106 STAIR",,"first fix","west wing","d106 stair","level 2"
,,"West Wing - Level 3 - D201 CORRIDOR",,"first fix","west wing","d201 corridor","level 3"
,,"West Wing - Level 3 - D202 RISER",,"d202 riser","first fix","west wing","level 3"
,,"West Wing - Level 3 - D203 RUBBISH ROOM",,"d203 rubbish room","first fix","west wing","level 3"
,,"West Wing - Level 3 - D204 SERVICES/STORE",,"first fix","west wing","d204 services/store","level 3"
,,"West Wing - Level 3 - D205 STAIR",,"d205 stair","first fix","west wing","level 3"
,,"West Wing - Level 4 - D301 CORRIDOR",,"level 4","d301 corridor","first fix","west wing"
,,"West Wing - Level 4 - D302 RISER",,"level 4","first fix","west wing","d302 riser"
,,"West Wing - Level 4 - D303 RUBBISH ROOM",,"level 4","d303 rubbish room","first fix","west wing"
,,"West Wing - Level 4 - D304 SERVICES/STORE",,"level 4","d304 services/store","first fix","west wing"
,,"West Wing - Level 4 - D305 STAIR",,"level 4","first fix","west wing","d305 stair"
,,"North Wing - Level 1 - D007 PLANT ROOM",,"north wing","d007 plant room","first fix","level 1"
,,"North Wing - Level 1 - D008 CORRIDOR",,"north wing","first fix","d008 corridor","level 1"
,,"North Wing - Level 1 - D009 STAIR",,"north wing","d009 stair","first fix","level 1"
,,"North Wing - Level 1 - D010 STORAGE",,"north wing","d010 storage","first fix","level 1"
,,"North Wing - Level 1 - DO11 SERVICES",,"north wing","first fix","level 1","do11 services"
,,"North Wing - Level 1 - D012 LOBBY",,"north wing","first fix","d012 lobby","level 1"
,,"North Wing - Level 2 - D107 CORRIDOR",,"north wing","d107 corridor","first fix","level 2"
,,"North Wing - Level 2 - D108 SWIMMING POOL",,"north wing","first fix","level 2","d108 swimming pool"
,,"North Wing - Level 2 - D109 CHANGE",,"north wing","d109 change","first fix","level 2"
,,"North Wing - Level 2 - D110 ACC BATHROOM",,"north wing","first fix","d110 acc bathroom","level 2"
,,"North Wing - Level 2 - D111 GYM",,"north wing","first fix","level 2","d111 gym"
,,"North Wing - Level 2 - D112 STAIR",,"north wing","first fix","level 2","d112 stair"
,,"North Wing - Level 2 - D120 CARPARK",,"north wing","first fix","level 2","d120 carpark"
,,"North Wing - Level 2 - D121 KITCHEN PLANT",,"north wing","first fix","d121 kitchen plant","level 2"
,,"North Wing - Level 2 - D122 STORAGE",,"north wing","first fix","level 2","d122 storage"
,,"North Wing - Level 2 - D123 STAIR",,"north wing","d123 stair","first fix","level 2"
,,"North Wing - Level 2 - D124 LOBBY",,"north wing","first fix","d124 lobby","level 2"
,,"North Wing - Level 3 - D201 CORRIDOR",,"north wing","first fix","d201 corridor","level 3"
,,"North Wing - Level 3 - D207 RISER",,"north wing","first fix","d207 riser","level 3"
,,"North Wing - Level 3 - D208 STAIR",,"north wing","first fix","d208 stair","level 3"
,,"North Wing - Level 3 - D209 STORE ROOM",,"north wing","first fix","d209 store room","level 3"
,,"North Wing - Level 3 - D210 MULTIFUNCTION ROOM",,"north wing","first fix","d210 multifunction room","level 3"
,,"North Wing - Level 3 - D211 CORRIDOR",,"north wing","first fix","d211 corridor","level 3"
,,"North Wing - Level 3 - D212 LOUNGES",,"north wing","d212 lounges","first fix","level 3"
,,"North Wing - Level 3 - D213 POOL ROOM",,"north wing","first fix","d213 pool room","level 3"
,,"North Wing - Level 3 - D215-218 TOILETS",,"north wing","first fix","d215-218 toilets","level 3"
,,"North Wing - Level 3 - D219 WAITING LOUNGE",,"north wing","first fix","d219 waiting lounge","level 3"
,,"North Wing - Level 3 - D22 CORRIDOR",,"north wing","first fix","d22 corridor","level 3"
,,"North Wing - Level 3 - D23 WIND LOBBY",,"north wing","first fix","d23 wind lobby","level 3"
,,"North Wing - Level 3 - D224 LOBBY",,"north wing","first fix","d224 lobby","level 3"
,,"North Wing - Level 3 - D225 CENTRAL SPACE",,"north wing","first fix","d225 central space","level 3"
,,"North Wing - Level 3 - D226 DINING",,"north wing","first fix","d226 dining","level 3"
,,"North Wing - Level 3 - D227 CAFÉ",,"north wing","first fix","d227 café","level 3"
,,"North Wing - Level 3 - D228 ADMIN OFFICE",,"north wing","d228 admin office","first fix","level 3"
,,"North Wing - Level 3 - D229 RECEPTION",,"north wing","first fix","d229 reception","level 3"
,,"North Wing - Level 3 - D230 SALES OFFICE",,"north wing","first fix","d230 sales office","level 3"
,,"North Wing - Level 3 - D231 FM/VM OFFICE",,"north wing","d231 fm/vm office","first fix","level 3"
,,"North Wing - Level 3 - D232 GUEST OFFICE",,"north wing","d232 guest office","first fix","level 3"
,,"North Wing - Level 3 - D233 CORRIDOR",,"north wing","first fix","d233 corridor","level 3"
,,"North Wing - Level 3 - D234 CORRIDOR",,"north wing","d234 corridor","first fix","level 3"
,,"North Wing - Level 3 - D236 CLEANERS",,"north wing","d236 cleaners","first fix","level 3"
,,"North Wing - Level 3 - D237 ELECTRICAL",,"north wing","first fix","d237 electrical","level 3"
,,"North Wing - Level 3 - D238 RISER",,"north wing","first fix","d238 riser","level 3"
,,"North Wing - Level 3 - D239 COMMERCIAL KITCHEN",,"north wing","d239 commercial kitchen","first fix","level 3"
,,"North Wing - Level 3 - D240 OFFICE",,"north wing","d240 office","first fix","level 3"
,,"North Wing - Level 3 - D241 DRY STORE",,"north wing","d241 dry store","first fix","level 3"
,,"North Wing - Level 3 - D242 ALCOHOL STORE",,"north wing","first fix","d242 alcohol store","level 3"
,,"North Wing - Level 3 - D243 STAFFROOM",,"north wing","d243 staffroom","first fix","level 3"
,,"North Wing - Level 3 - D244 CORRIDOR",,"north wing","d244 corridor","first fix","level 3"
,,"North Wing - Level 3 - D247 CARE LOUNGE",,"north wing","d247 care lounge","first fix","level 3"
,,"North Wing - Level 3 - D248 NURSE STATION",,"north wing","first fix","d248 nurse station","level 3"
,,"North Wing - Level 3 - D249 ADMIN OFFICE",,"north wing","d249 admin office","first fix","level 3"
,,"North Wing - Level 3 - D250-253 STAFF CHANGE/WC",,"north wing","first fix","d250-253 staff change/wc","level 3"
,,"North Wing - Level 3 - D254 STAFF CHANGE",,"north wing","first fix","d254 staff change","level 3"
,,"North Wing - Level 4 - D301 CORRIDOR",,"north wing","level 4","d301 corridor","first fix"
,,"North Wing - Level 4 - D308 STAIR",,"north wing","level 4","first fix","d308 stair"
,,"North Wing - Level 4 - D309 LIBRARY",,"north wing","level 4","d309 library","first fix"
,,"North Wing - Level 4 - D310 CORRIDOR",,"north wing","level 4","d310 corridor","first fix"
,,"North Wing - Level 4 - D311 GALLERY WALK",,"north wing","level 4","first fix","d311 gallery walk"
,,"North Wing - Level 4 - D314 STORE",,"north wing","level 4","first fix","d314 store"
,,"North Wing - Level 4 - D316 ACTIVITY LOUNGE",,"north wing","level 4","first fix","d316 activity lounge"
,,"North Wing - Level 4 - D317 CARE LOUNGE",,"north wing","level 4","first fix","d317 care lounge"
,,"North Wing - Level 4 - D318 CARE LINING",,"north wing","level 4","first fix","d318 care lining"
,,"North Wing - Level 4 - D319 PRIVATE DINING",,"north wing","level 4","d319 private dining","first fix"
,,"North Wing - Level 4 - D320-322 ACC WC",,"north wing","level 4","first fix","d320-322 acc wc"
,,"North Wing - Level 4 - D323 CARE CAFÉ",,"north wing","level 4","first fix","d323 care café"
,,"North Wing - Level 4 - D324 CAFÉ CLEANERS",,"north wing","level 4","d324 café cleaners","first fix"
,,"North Wing - Level 4 - D312 CORRIDOR",,"north wing","level 4","first fix","d312 corridor"
,,"North Wing - Level 4 - D327 RISER",,"north wing","level 4","first fix","d327 riser"
,,"North Wing - Level 4 - D328 DIRTY LINEN",,"north wing","level 4","first fix","d328 dirty linen"
,,"North Wing - Level 4 - D329 STAIR",,"north wing","level 4","d329 stair","first fix"
,,"North Wing - Level 4 - D330 TREATMENT ROOM",,"north wing","level 4","first fix","d330 treatment room"
,,"North Wing - Level 4 - D331 NURSES STATION",,"north wing","level 4","d331 nurses station","first fix"
,,"North Wing - Level 5 - D403 STAIR",,"north wing","level 5","first fix","d403 stair"
,,"North Wing - Level 5 - D401 CORRIDOR",,"north wing","level 5","first fix","d401 corridor"
,,"North Wing - Level 5 - D404 CLEANERS",,"north wing","level 5","first fix","d404 cleaners"
,,"North Wing - Level 5 - D408 STAIR",,"north wing","d408 stair","level 5","first fix"
,,"North Wing - Level 6 - D501 CORRIDOR",,"north wing","level 6","first fix","d501 corridor"
,,"North Wing - Level 6 - D502 CLEANER",,"north wing","level 6","first fix","d502 cleaner"
,,"North Wing - Level 6 - D503 RISER",,"north wing","d503 riser","level 6","first fix"
,,"South Wing - Level 1 - D013 CARPARK",,"d013 carpark","first fix","level 1","south wing"
,,"South Wing - Level 2 - D118 CORRIDOR",,"d118 corridor","first fix","south wing","level 2"
,,"South Wing - Level 2 - D119 CORRIDOR",,"d119 corridor","first fix","south wing","level 2"
,,"South Wing - Level 2 - D115 SERVICES",,"d115 services","first fix","south wing","level 2"
,,"South Wing - Level 2 - D117 MULTIPURPOSE ROOM",,"first fix","d117 multipurpose room","south wing","level 2"
,,"South Wing - Level 3 - D201 CORRIDOR",,"first fix","d201 corridor","south wing","level 3"
,,"South Wing - Level 3 - D206 CORRIDOR",,"d206 corridor","first fix","south wing","level 3"
,,"South Wing - Level 4 - D301 CORRIDOR",,"level 4","d301 corridor","first fix","south wing"
,,"South Wing - Level 5 - D401 CORRIDOR",,"level 5","first fix","d401 corridor","south wing"
,,"East Wing - Level 2 - D120 CARPARK",,"first fix","east wing","level 2","d120 carpark"
,,"East Wing - Level 2 - D125 LINEN PICKUP",,"first fix","east wing","d125 linen pickup","level 2"
,,"East Wing - Level 2 - D127 HYDRAULIC PLANT ROOM",,"d127 hydraulic plant room","first fix","east wing","level 2"
,,"East Wing - Level 2 - D128 PROPERTY MANAGER",,"d128 property manager","first fix","east wing","level 2"
,,"East Wing - Level 2 - D129 RUBBISH ROOM",,"d129 rubbish room","first fix","east wing","level 2"
,,"East Wing - Level 3 - D244 CORRIDOR",,"d244 corridor","first fix","east wing","level 3"
,,"East Wing - Level 3 - D248 NURSES STATION",,"d248 nurses station","first fix","east wing","level 3"
,,"East Wing - Level 3 - D249 ADMIN OFFICE",,"d249 admin office","first fix","east wing","level 3"
,,"East Wing - Level 3 - D250-D253 STAFF CHANGE/WC",,"first fix","east wing","level 3","d250-d253 staff change/wc"
,,"East Wing - Level 3 - D255 CORRIDOR",,"d255 corridor","first fix","east wing","level 3"
,,"East Wing - Level 3 - D256 CM OFFICE",,"first fix","d256 cm office","east wing","level 3"
,,"East Wing - Level 3 - D257 DCM OFFICE",,"first fix","d257 dcm office","east wing","level 3"
,,"East Wing - Level 3 - D258 CLEAN LINEN",,"first fix","d258 clean linen","east wing","level 3"
,,"East Wing - Level 3 - D259 CLEANERS CUPBOARD",,"first fix","east wing","d259 cleaners cupboard","level 3"
,,"East Wing - Level 3 - D260 EQUIPMENT",,"first fix","d260 equipment","east wing","level 3"
,,"East Wing - Level 3 - D262 STAIR",,"d262 stair","first fix","east wing","level 3"
,,"East Wing - Level 3 - D263 LOBBY",,"first fix","east wing","d263 lobby","level 3"
,,"East Wing - Level 4 - D332 CORRIDOR",,"level 4","first fix","d332 corridor","east wing"
,,"East Wing - Level 4 - D333 EQUIPMENT",,"level 4","first fix","d333 equipment","east wing"
,,"East Wing - Level 4 - D334 CLEANERS STORAGE",,"level 4","first fix","d334 cleaners storage","east wing"
,,"East Wing - Level 4 - D335 CLEAN LINEN",,"level 4","first fix","d335 clean linen","east wing"
,,"East Wing - Level 4 - D336 GP/DOC MEETING ROOM",,"level 4","d336 gp/doc meeting room","first fix","east wing"
,,"East Wing - Level 4 - D337 SLUICE/LINEN CHUTE",,"level 4","first fix","d337 sluice/linen chute","east wing"
,,"East Wing - Level 4 - D339 SHOWER TROLLEYS",,"level 4","first fix","east wing","d339 shower trolleys"
,,"East Wing - Level 4 - STAIR",,"level 4","first fix","stair","east wing"
,,"East Wing - Level 5 - D409 CORRIDOR",,"level 5","first fix","d409 corridor","east wing"
,,"East Wing - Exterior Lights - FED FROM DB-3A",,"fed from db-3a","first fix","east wing","exterior lights"
,,"East Wing - Exterior Lights - FED FROM DB-3B",,"fed from db-3b","first fix","east wing","exterior lights"
,,"East Wing - Exterior Lights - FED FROM DB-3C",,"first fix","east wing","fed from db-3c","exterior lights"
,,"East Wing - Exterior Lights - FED FROM DB-2A",,"fed from db-2a","first fix","east wing","exterior lights"
,"Columns"
,,"Power Circuits",,"power circuits"
,,"Lighting Circuits",,"lighting circuits"
,,"Lights marked out",,"lights marked out"
,,"Nogs Marked",,"nogs marked"
,,"Nogs Installed",,"nogs installed"
,,"Flush Boxes Installed",,"flush boxes installed"
,,"Dali Circuits",,"dali circuits"
,,"Sensors",,"sensors"
,,"Pipes Bonded",,"pipes bonded"
,,"Submain DB",,"submain db"
,,"Tray Installed",,"tray installed"
,,"Tray Bonded",,"tray bonded"

"First Fix - Care Suites Progress"
,"Scope",,,"first fix"
,"Rows"
,,"North Wing - Level 4 - CS320",,"north wing","level 4","cs320","first fix"
,,"North Wing - Level 4 - CS319",,"north wing","level 4","first fix","cs319"
,,"North Wing - Level 4 - CS318",,"north wing","level 4","cs318","first fix"
,,"North Wing - Level 4 - CS317",,"north wing","level 4","cs317","first fix"
,,"East Wing - Level 3 - CS201",,"first fix","cs201","east wing","level 3"
,,"East Wing - Level 3 - CS202",,"first fix","cs202","east wing","level 3"
,,"East Wing - Level 3 - CS203",,"first fix","east wing","cs203","level 3"
,,"East Wing - Level 3 - CS204",,"first fix","east wing","cs204","level 3"
,,"East Wing - Level 3 - CS205",,"first fix","east wing","level 3","cs205"
,,"East Wing - Level 3 - CS206",,"cs206","first fix","east wing","level 3"
,,"East Wing - Level 3 - CS207",,"cs207","first fix","east wing","level 3"
,,"East Wing - Level 3 - CS208",,"cs208","first fix","east wing","level 3"
,,"East Wing - Level 3 - CS209",,"first fix","cs209","east wing","level 3"
,,"East Wing - Level 3 - CS210",,"cs210","first fix","east wing","level 3"
,,"East Wing - Level 3 - CS211",,"cs211","first fix","east wing","level 3"
,,"East Wing - Level 4 - CS301",,"level 4","first fix","cs301","east wing"
,,"East Wing - Level 4 - CS302",,"level 4","first fix","east wing","cs302"
,,"East Wing - Level 4 - CS303",,"level 4","first fix","east wing","cs303"
,,"East Wing - Level 4 - CS304",,"level 4","first fix","east wing","cs304"
,,"East Wing - Level 4 - CS305",,"level 4","cs305","first fix","east wing"
,,"East Wing - Level 4 - CS306",,"level 4","cs306","first fix","east wing"
,,"East Wing - Level 4 - CS307",,"level 4","cs307","first fix","east wing"
,,"East Wing - Level 4 - CS308",,"level 4","first fix","cs308","east wing"
,,"East Wing - Level 4 - CS309",,"level 4","first fix","cs309","east wing"
,,"East Wing - Level 4 - CS310",,"level 4","cs310","first fix","east wing"
,,"East Wing - Level 4 - CS311",,"level 4","first fix","cs311","east wing"
,,"East Wing - Level 4 - CS312",,"level 4","first fix","cs312","east wing"
,,"East Wing - Level 4 - CS313",,"level 4","first fix","east wing","cs313"
,,"East Wing - Level 4 - CS314",,"level 4","first fix","east wing","cs314"
,,"East Wing - Level 4 - CS315",,"level 4","first fix","east wing","cs315"
,,"East Wing - Level 4 - CS316",,"level 4","cs316","first fix","east wing"
,"Columns"
,,"Lounge Power",,"lounge power"
,,"Bed Power",,"bed power"
,,"Kitchen Power",,"kitchen power"
,,"Wall Light",,"wall light"
,,"Hoist",,"hoist"
,,"Lights Cabling",,"lights cabling"
,,"Lights Marked Out",,"lights marked out"
,,"Emergency Lights",,"emergency lights"
,,"Nogs Marked Out",,"nogs marked out"
,,"Nogs Installed",,"nogs installed"
,,"Flush Boxes Installed",,"flush boxes installed"
,,"Tray Installed",,"tray installed"
,,"Tray Bonded",,"tray bonded"

"Second Fix - Apartments Progress"
,"Scope",,,"second fix"
,"Rows"
,,"West Wing - Level 1 - APT A001",,"west wing","second fix","level 1","apt a001"
,,"West Wing - Level 1 - APT A002",,"apt a002","west wing","second fix","level 1"
,,"West Wing - Level 1 - APT A003",,"apt a003","west wing","second fix","level 1"
,,"West Wing - Level 1 - APT A004",,"west wing","apt a004","second fix","level 1"
,,"West Wing - Level 1 - APT A005",,"apt a005","west wing","second fix","level 1"
,,"West Wing - Level 2 - APT A101",,"apt a101","west wing","second fix","level 2"
,,"West Wing - Level 2 - APT A102",,"apt a102","west wing","second fix","level 2"
,,"West Wing - Level 2 - APT A103",,"west wing","apt a103","second fix","level 2"
,,"West Wing - Level 2 - APT A104",,"apt a104","west wing","second fix","level 2"
,,"West Wing - Level 2 - APT A105",,"west wing","second fix","apt a105","level 2"
,,"West Wing - Level 2 - APT A106",,"west wing","apt a106","second fix","level 2"
,,"West Wing - Level 2 - APT A107",,"west wing","second fix","level 2","apt a107"
,,"West Wing - Level 2 - APT A108",,"west wing","second fix","level 2","apt a108"
,,"West Wing - Level 2 - APT A109",,"apt a109","west wing","second fix","level 2"
,,"West Wing - Level 2 - APT A110",,"west wing","second fix","level 2","apt a110"
,,"West Wing - Level 2 - APT A111",,"west wing","second fix","apt a111","level 2"
,,"West Wing - Level 2 - APT A112",,"apt a112","west wing","second fix","level 2"
,,"West Wing - Level 3 - APT A201",,"apt a201","west wing","second fix","level 3"
,,"West Wing - Level 3 - APT A202",,"west wing","apt a202","second fix","level 3"
,,"West Wing - Level 3 - APT A203",,"apt a203","west wing","second fix","level 3"
,,"West Wing - Level 3 - APT A204",,"west wing","second fix","apt a204","level 3"
,,"West Wing - Level 3 - APT A205",,"west wing","apt a205","second fix","level 3"
,,"West Wing - Level 3 - APT A206",,"west wing","second fix","level 3","apt a206"
,,"West Wing - Level 3 - APT A207",,"west wing","second fix","apt a207","level 3"
,,"West Wing - Level 3 - APT A208",,"apt a208","west wing","second fix","level 3"
,,"West Wing - Level 3 - APT A209",,"apt a209","west wing","second fix","level 3"
,,"West Wing - Level 4 - APT A301",,"level 4","west wing","apt a301","second fix"
,,"West Wing - Level 4 - APT A302",,"level 4","apt a302","west wing","second fix"
,,"West Wing - Level 4 - APT A303",,"level 4","west wing","second fix","apt a303"
,,"West Wing - Level 4 - APT A304",,"level 4","west wing","apt a304","second fix"
,,"North Wing - Level 3 - APT A210",,"north wing","second fix","apt a210","level 3"
,,"North Wing - Level 3 - APT A211",,"north wing","apt a211","second fix","level 3"
,,"North Wing - Level 4 - APT A305",,"north wing","level 4","second fix","apt a305"
,,"North Wing - Level 4 - APT A306",,"north wing","level 4","second fix","apt a306"
,,"North Wing - Level 4 - APT B307",,"north wing","level 4","second fix","apt b307"
,,"North Wing - Level 5 - APT C405",,"north wing","level 5","second fix","apt c405"
,,"North Wing - Level 5 - APT C406",,"north wing","level 5","apt c406","second fix"
,,"North Wing - Level 5 - APT C407",,"north wing","level 5","second fix","apt c407"
,,"North Wing - Level 5 - APT C408",,"north wing","level 5","apt c408","second fix"
,,"North Wing - Level 5 - APT C409",,"north wing","level 5","apt c409","second fix"
,,"North Wing - Level 5 - APT C410",,"north wing","level 5","second fix","apt c410"
,,"North Wing - Level 5 - APT C411",,"north wing","level 5","apt c411","second fix"
,,"North Wing - Level 5 - APT C412",,"north wing","level 5","apt c412","second fix"
,,"North Wing - Level 5 - APT A405",,"north wing","level 5","second fix","apt a405"
,,"North Wing - Level 5 - APT A406",,"north wing","level 5","apt a406","second fix"
,,"North Wing - Level 6 - APT C501",,"north wing","apt c501","level 6","second fix"
,,"North Wing - Level 6 - APT C502",,"north wing","apt c502","level 6","second fix"
,,"North Wing - Level 6 - APT C503",,"north wing","level 6","second fix","apt c503"
,,"North Wing - Level 6 - APT C504",,"north wing","level 6","second fix","apt c504"
