"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"83143aa8-cbeb-4acd-b376-f9e207b6605e","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Stairs"
"6ee0619b-44b9-41ed-ab32-1458c98638b9","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 5","Hoist"
"3a6d8f99-deed-4a8c-9847-5d1435cb5017","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Level 5 pour 2; 06/09/2023"
"9531376b-14a9-4812-9331-5512d954b078","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 6"
"57024c2b-f1f9-4290-9798-76578d2a4a01","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Columns"
"7d9b46c8-b7e2-41a9-a450-44643df60187","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Walls"
"633940b9-e085-4fad-ab35-c9221772ad2f","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Level 6 Pour 1;  13/09/2023"
"fe969a74-6051-4c3e-ad5f-043665001897","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Stairs"
"2823d72f-a64c-48f3-b503-c0e66d4134f8","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 6","Hoist"
"7f815312-f29c-4486-a56f-567a85204730","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Level 6 Pour 2;  15/09/2023"
"ee33191a-7aa8-43c3-9d47-7f1df1578bba","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 7"
"f46c969b-bfc6-493b-b941-e8d8ab524ae1","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Columns"
"0a117cae-fc14-444c-845a-f6d1fe6fb591","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Walls"
"88398d1a-c134-49a6-8a5a-1ecd3feec165","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Level 7 Pour 1;  27/09/2023"
"d4332846-228d-40ca-acbc-63b2ed49591c","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Stairs"
"534e0ae5-8002-4cad-80fb-ab2e260c2e86","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 7","Hoist"
"030edb2f-ae16-43b2-b2c4-adde31bf2acc","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Level 7 Pour 2 ; 29/09/2023"
"38588bd1-4a88-4159-aeed-7f55c7366c6d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 8"
"102eaf9e-d9d2-45d9-9a5b-5e25ed812c36","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Columns"
"fb8f33f5-deac-42be-be54-f086cfdc608e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Walls"
"352ae8e5-c03c-40bb-a4a8-1b9c1a607a2f","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Level 8 Pour 1;  13/10/2023"
"3d2a3b35-1a8f-405d-a0db-21675bbb4cf6","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Stairs"
"b0faa252-3544-41a6-9a94-ebaf956345ca","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 8","Hoist"
"f77868a4-458b-4bb6-b6f0-8e63c40d8930","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Pour 2 Level 8, 18/10/2023"
"0cb4dd3e-346d-4ca1-9965-dc78d41f666e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 9"
"2ac94628-4a03-42bd-9efc-a01c576b94b0","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Columns"
"0b044bee-ed1f-40b7-aa40-967264353c6c","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Walls"
"d74f316e-a40d-4223-ab2e-51b293c59a05","","checklist-flat","work-in-progress","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Level 9 Pour 1;  26/10/2023"
"9d2f252e-8141-42a1-aa08-55dfa9cb3f5b","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Stairs"
"a88d943d-7e5b-48bb-b699-eb91bcc2e712","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 9","Hoist"
"fa42e3e8-23f0-4e10-9688-4a21c54d6315","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9","Level 9  Pour 2 ; 28/10/2023"
"c091f2aa-df7e-4407-acbc-bd6ace97d94f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 10"
"9dc2595a-8e65-4045-b0ee-04d62947568b","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Columns"
"239ce55d-1271-4cf1-b448-ef83c3e917b5","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Walls"
"fa20ece7-0e12-4d09-883e-d1e7e7ddd81f","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Level 10 Pour 1; 10/11/2023 "
"955537b4-69fc-4591-a2fd-8352b237f32e","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 10","Stairs"
"d025d26e-05d4-428d-91bb-d8613c285d0f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 10","Hoist"
"73a21e5c-d31a-44d1-9511-cc2c1da15ef7","","checklist-flat","pass","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10","Level 10 Pour 2; 14/11/2023 "
"a821dc1c-e527-454c-8162-019b58aabc90","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Level 11"
"163c7ab6-3b00-489a-aaf7-b054c566937a","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Columns"
"5e89db67-05dc-435e-8e63-609fa1eabfcf","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Walls"
"cc90f66b-9659-4977-9352-e75213bfecd2","","checklist-flat","fail","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11","Level 11 Pour 1 ;  28/11/2023"
"2746aeac-cd86-43e4-b250-5f566af7315a","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 11","Stairs"
"188a2ee3-a68d-4306-bf65-6ae48aeb2d94","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 11","Hoist"
"66887383-8d62-4b4d-a040-57ec1becede1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 12"
"b050bbb4-e82f-498f-8ff4-08950f430ee6","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Columns"
"e2c27423-7340-4ac3-bd36-6f9f5a4becf6","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Walls"
"008507a6-d864-43bf-9ec0-1fd1fbc1a384","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12","Slab"
"c89e925f-75ae-4015-8913-a8db24601eb3","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 12","Stairs"
"46d14358-380b-47ba-ae90-f37eac2bdfcf","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 12","Hoist"
"e14358a4-b680-4867-a708-03d47e20fa8b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 13"
"65eecaa3-ae55-4c0d-af44-5143ddb3848c","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Columns"
"e2214b4f-6e4e-49f4-aa61-a38878ce43ef","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Walls"
"d9af344c-cb1c-49d8-8471-6fe61f4980a8","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13","Slab"
"b7ca9bbd-0286-48eb-9ed2-644f9114f74e","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 13","Stairs"
