"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c98cd56e-fa8c-4e19-9090-c4f4a06a568c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"909c5ebb-f18f-427e-84e2-e9a18ac26c47","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block A"
"5c6a446f-1ed8-4db7-95ef-b57e9d2fe700","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 40"
"dd8a9e9b-cf0c-4f97-b078-a97e98f6fe4f","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 41"
"80adec8a-4332-4e83-b3ab-d9aef640dc60","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 42"
"21eda96a-628c-4392-ab66-e1dd79400a8e","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 43"
"82a2577f-68dd-4ce5-ba7c-afd6a0da44bb","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 44"
"c4eb3ef4-93db-45cd-a983-0847b82df491","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","House 45"
"e22290d9-d12f-4303-b09e-2b4a3dce5b90","","checklist-flat","pass","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Building B","Windows"
"861b9f4d-7643-4f55-b492-591d39367912","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block C"
"f4424b79-4a71-43ee-8149-75d4657674e9","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 46"
"8695f21c-aaff-4aa9-90fc-f39809938925","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 47"
"8e9d9838-0a3c-41b6-ac03-73701306446c","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 48"
"9a4ba97a-f088-45d6-9caa-72a4e7d8c1c3","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 49"
"07a584bf-e489-4777-9fc1-9029feb5a527","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 50"
"149bcfba-68df-44e3-b27e-20c6bb91d865","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 51"
"0829ec67-ab8f-4a39-a8b4-667308d05130","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 52"
"1e2c4fb3-f77a-4d11-9adc-24c976fbf4f0","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 53"
"b562a0d2-b628-40d1-b2bf-27d3341f4bae","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 54"
"ec69eef0-fb71-4a8d-842c-682876ec4abe","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 55"
"d9061bc1-d7d0-4540-be2d-e5024cfb4d00","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 56"
"02a1a69b-1a95-4f03-9586-592181606eb4","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 57"
"df1e9795-abe1-4d12-a7ec-5b0c33c20ec9","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 58"
"3fe44f20-6afc-4734-8e92-b0e36b654a62","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 59"
"1cc559c4-9277-4fb1-9056-15cdaccc2c66","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 60"
"cff5a98f-884b-4b44-bd19-50f85d842b6c","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 61"
"41eb74f5-e239-4f10-a3bf-f93b780bda3c","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 62"
"21a97a62-12be-442d-a7c3-5b772c6b7a25","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 63"
"4be78c3d-a89e-4ad2-86c1-0f59323b32e5","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 64"
"2c16ed65-d4ee-4141-9478-f254921680e8","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 65"
"a460f24f-37e8-4884-8ce2-29c5519de95a","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 66"
"3bb26441-6cce-4962-9739-1a0e373492e4","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 67"
"051de3ef-3d2b-4f73-a790-3cacedf668fb","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 68"
"41a252d4-3177-49c9-b757-2dee504d2546","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 69"
"3edb32ab-3b8e-4bfb-9ac4-cdaa40cee4f8","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 70"
"1d555ea5-2b8b-47cb-b84c-9d1e67e3854a","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block C","House 71"
"53dc07d5-c05f-4ac6-8912-75274817262c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Block D"
"665d82a6-dcac-4420-bd7c-71b9985c1df6","","checklist-flat","work-in-progress","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 72"
"21be8ba9-0e63-4cf0-b622-6e3f19e8c1a2","","checklist-flat","work-in-progress","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 73"
"9689ec7d-fb2b-4535-9e84-0cc41af0c817","","checklist-flat","work-in-progress","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 74"
"6edc1049-3660-4fd4-bece-05ed6d24204a","","checklist-flat","work-in-progress","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 75"
"ccbb7c91-8732-4830-9fb6-62e4b2ac012a","","checklist-flat","work-in-progress","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 76"
"940a260f-a64c-4c90-9f72-80989c0f69dd","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 77"
"2ec8052f-c3e9-4079-a455-22c0792feb63","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 78"
"802c4f96-c79a-4c59-bb26-3d760c65cd59","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 79"
"d0f5c8fe-f5fc-485b-9d58-3c088c733d5f","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 80"
"01109f11-687f-414b-ad79-db61fe5f433a","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 81"
"f67cca47-ccd8-494a-b90d-8361d588f757","","checklist-flat","work-in-progress","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 82"
"8a17455e-4f3a-4fe7-b280-3254a93dd82f","","checklist-flat","work-in-progress","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 83"
"72d92752-ee75-4cff-a4da-d67f0034129b","","checklist-flat","work-in-progress","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 84"
"12005511-fbda-40b3-9eff-2e19ae0b8c4d","","checklist-flat","work-in-progress","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block D","House 85"
"33fff26f-878d-4f32-9790-3a0a32868a31","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block E"
"2a29e20e-7323-480c-91b9-4f33b2d61d84","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 86"
"19f59865-2c46-4ddb-966f-f96e7aac190d","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 87"
"f2415ca1-d7bb-42a3-b7ff-dc187ee4383a","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 88"
"b0b0c13d-6647-497d-b1b8-1b2dd7d0916b","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 89"
"76bc19ed-f255-4b0e-b7f7-0c05c41401a4","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 90"
"62105e30-d0e6-4335-a705-634218198bfe","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 91"
"3f9203dd-6a30-4785-bf35-966d66cd7f09","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 92"
"94f2edb3-c7f3-4ef3-8d1e-66f8256392e7","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 93"
"2134686b-9931-4220-bfba-d6faa4ef815a","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 94"
"dc21535a-d02b-44ab-bbf3-a290882d1a3b","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block E","House 95"
"aadc51cd-5237-47cb-8256-6863eebf23bd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block F"
"8670d18e-306b-43e2-a2b6-7727af1dc847","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 96"
"c70e5dab-f1ac-46ec-a74b-9a79dd2fc18e","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 97"
"4534f2ba-a3cf-4e4d-8a0a-ce2892645b1b","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 98"
"fe0ef10a-fb5c-41c1-8a38-1d044e613494","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 99"
"2c616f45-9104-4133-b0be-2859456b52bc","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 100"
"b9807973-7127-430c-92e8-7b6b31f20874","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 101"
"00cb7892-a571-463b-a0dd-7bcbd634b191","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 102"
"2e1f8de2-1dc0-4c8f-b343-31dc963b74cd","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 103"
"bfbcc2e1-1810-461d-a718-2206531a2740","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 104"
"9dbfda36-bd86-40c8-afbc-2da50e811b9f","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 105"
"d63fec8e-ebf4-4739-baa6-452a8d8ddde1","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 106"
"2bbc7ad6-f9c0-42c1-b61b-e32931b8eb53","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 107"
"b427404e-00e9-40d6-aaed-b01920fe6edf","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 108"
"78f110b6-6375-443a-8a20-37c5cdfe021a","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 109"
"b2d80044-7ab3-456c-a666-a1ad10ca6936","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 110"
"e6a0a4d3-ab86-4742-b960-c4a4a1935adc","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 111"
"07bb4819-7350-4648-aa0e-15f654cc9489","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 112"
"ce8370da-82a2-4824-8619-315a0aec0702","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 113"
"557455d9-e1b8-430e-a35a-1ed223c40bec","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 114"
"17bd7629-57eb-43ea-b4f4-2e09d91ca4cd","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 115"
"ff8ddcf4-998b-4e35-82c3-50971a111f78","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 116"
"6042600e-71fe-4b59-85b6-e6285293afa0","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 117"
"e78b04cf-7779-4a67-8e86-384857978a4d","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 118"
"a9799fe2-36ef-4bc2-b128-b169be5caf45","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 119"
"847271ed-1e50-4cc0-8a0a-0b8a0fac017e","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 120"
"8093463f-8f4f-4514-9535-0246856c778e","","checklist-flat","not-started","SYS - QA - Alberton V0","checklist-flat","FALSE","FALSE","Site QA","Block F","House 121"
"074e45db-7267-40be-9c06-d6045eff97d7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Window checks"
