"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ec05ca50-59a9-46e8-b256-67fbb922306a","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 9 (FSW-ITR-109)","Sprinkler Installation/Fitoff"
"faed99fb-08f4-45fa-b4bf-e78da32aa732","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 9 (FSW-ITR-109)","Sprinkler Control Valve"
"ebb85875-eec9-4457-bc34-5bffcc9749ef","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 9 (FSW-ITR-109)","Sprinkler & Hydrant Hydrostatic Test"
"66e6223f-ec0d-4f27-905b-9d1835b809d3","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 9 (FSW-ITR-109)","Hydrant Installation"
"46374edc-e60a-4e02-ba56-48a4d27d39d9","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 10 (FSW-ITR-110)"
"6968566d-649c-4616-bc33-33d0229f6724","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 10 (FSW-ITR-110)","Sprinkler Installation/Fitoff"
"f93277d3-5dbb-45e2-8ec1-6a7b0bb82a92","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 10 (FSW-ITR-110)","Sprinkler Control Valve"
"83d08b65-73a8-4578-8187-c5c880b2c1b6","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 10 (FSW-ITR-110)","Sprinkler & Hydrant Hydrostatic Test"
"b36fdc48-1aef-4572-861d-ed3aab8cec9a","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 10 (FSW-ITR-110)","Hydrant Installation"
"74fa5da8-9cfb-489a-b3bf-1ddc4788045a","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 11 (FSW-ITR-111)"
"48f89791-5ae6-49d8-b49c-87f55e4df38f","","checklist-sectioned","fail","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 11 (FSW-ITR-111)","Sprinkler Installation/Fitoff"
"4117101e-751d-4a03-8d62-9bab590678de","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 11 (FSW-ITR-111)","Sprinkler Control Valve"
"9d580120-60e3-4023-a2c4-76275223a97b","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 11 (FSW-ITR-111)","Sprinkler & Hydrant Hydrostatic Test"
"a99ecfee-70ca-4966-8ac5-ed953bd4bd65","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 11 (FSW-ITR-111)","Hydrant Installation"
"8e187f7f-2416-4cca-9674-32a0ff6be8c3","","folder-normal","fail","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 12 (FSW-ITR-112)"
"a71f07ff-78c2-4996-bb15-01ced1b8ccfe","","checklist-sectioned","work-in-progress","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 12 (FSW-ITR-112)","Sprinkler Installation/Fitoff"
"a8b584b8-d232-43c6-ab3f-87ca4463469a","","checklist-sectioned","fail","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 12 (FSW-ITR-112)","Sprinkler Control Valve"
"a12cc622-29c7-4546-919b-cfcb3b9f02c8","","checklist-sectioned","work-in-progress","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 12 (FSW-ITR-112)","Sprinkler & Hydrant Hydrostatic Test"
"a1b6b4cd-8458-41c3-9c11-a3d2d4354625","","checklist-sectioned","fail","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Level 12 (FSW-ITR-112)","Hydrant Installation"
