"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a07f63f4-3b01-4bad-aac8-f6c0b7e21b0d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","CHILLER PLANT ROOM "
"406dd4de-80bd-4abf-91b8-cdfaab94ba11","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","MECH ROOM "
"95a2240a-a38a-4320-b69d-c58249af41fb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","SERVICE CUPBOARD "
"5315c1b2-ce28-4bd3-bc42-eec14634081d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","MECH SWITCHBOARD ROOM "
"a68bf297-d9aa-43cb-a294-a5320727a709","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","EXPOSED ROOF"
"3d0ebe48-fb4d-4dc0-b4e2-d465d62ee8a4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","RISER CUBOARDS"
"6b60052d-6131-4b05-8bc9-69a9e35ca7be","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 10","WATERPROOFING TO SLAB EDGE"
"d299d452-d2fc-4a9a-acfe-fd15af2cd10b","","folder-normal","work-in-progress","","step","TRUE","FALSE","level 27"
"4f05900d-7ed3-4e70-9312-e83228e3d1b3","","checklist-flat","work-in-progress","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","level 27","MARK UP"
"7c524229-6a5f-4054-92b6-11837b69479d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","level 27","SMOKE EXHAUST RETURN AIR TRANSFER "
"ed5707df-5b8e-42b1-8d80-c5f78b5317ee","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 28"
"15d939bd-8cd3-4fab-a5d1-1167d0a39008","","checklist-flat","work-in-progress","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Level 28","LEVEL 28 MARK UP"
"0dd3a978-6117-4d10-84c5-0ef2fa143be9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 28","ESSENTIAL MECH SWITCHBOARD ROOM "
"60dac0e8-96da-4fc5-83b0-01ab2b6a88e2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 28","HOUSE ELEC AND COMMS"
"e8aca9fe-cd3b-4ff0-942f-7238fbc66fe7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 28","KITCHEN PLANT ROOM "
"aab378ef-d289-4bf6-8f4f-bc4a22c15a2d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 28","SWITCHBOARD ROOM "
"35a0198e-b892-4675-aedb-091183a86f50","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 28","FIRE EXTINGUISHER CUPBOARD "
"1ee8afc0-3bb9-4647-8817-3d8fd911f095","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 28","WPM TO HOBS"
"99c719b9-132b-4428-98a5-e68595268e6e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 28","Plantroom"
"eb3bf042-ca4b-4c7b-aca8-b9ab62d1499e","","checklist-sectioned","work-in-progress","Enviro 700X V1.0","checklist","FALSE","FALSE","Level 28","Plantroom","Enviro 700X V1.0"
"b41c0d58-2538-42ed-9ac5-60ea8b415533","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 29"
"d9e63897-67e8-4c79-978d-43ce8ab1f467","","checklist-flat","work-in-progress","SYS - Archived checklist 1","checklist-flat","FALSE","FALSE","Level 29","MARK UP "
"8f208237-1ed1-4020-b1ae-dddf223e03d8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 29","EXPOSED PLANT / BMU "
"919f8092-d790-445e-98e5-489bb40a6836","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 29","EXPOSED PLANT / BMU ","Generator plinth"
"ef0de2c2-fcd1-4d94-a399-5c759e6154f0","","checklist-sectioned","work-in-progress","ZSYS - HP1200+ 800TC V1.1","checklist","FALSE","FALSE","Level 29","EXPOSED PLANT / BMU ","Generator plinth","HP1200+ 800TC V1.1"
"45859438-9cde-4753-a3c5-50341e7b7ccb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 29","PLANT ROOMS"
