"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2c9b3f63-2c95-4eaf-86f3-e6d2aa1287dc","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L01 Balconies","B-103 - (Enviro Primer + 700X)"
"ce1233d4-37b9-4380-838b-5929ede21737","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L01 Balconies","B-104 - (Enviro Primer + 700X)"
"6a38721e-3f54-4ae1-be81-553a3dace504","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L01 Balconies","B-105 - (Enviro Primer + 700X)"
"2ade12d6-e217-4dc2-b86d-0fe80c05f646","","checklist-flat","pass","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L01 Balconies","B-106 - (Enviro Primer + 700X)"
"829bc220-7129-4b01-97fc-3a09173866cb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Balconies","L02 Balconies"
"587837e0-a490-4f90-b452-4ad79602c5a6","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L02 Balconies","B-201 - (Enviro Primer + 700X)"
"fceb7b39-9a6f-403b-89c2-e79ca6f557cc","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L02 Balconies","B-202 - (Enviro Primer + 700X)"
"ee24df03-4979-41fe-9c4d-f75eb2537a7b","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L02 Balconies","B-203 - (Enviro Primer + 700X)"
"5f06ffe9-a2d5-4f3d-b7b4-45a026aa5d87","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L02 Balconies","B-204 - (Enviro Primer + 700X)"
"8f5c0318-37cd-4649-8420-6ffbd63b6265","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L02 Balconies","B-205 - (Enviro Primer + 700X)"
"3ee92526-2218-4a3e-9394-38aa50d3c529","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L02 Balconies","B-206 - (Enviro Primer + 700X)"
"38581c4e-1826-43d3-9e9a-677dcd124c8c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building B","Balconies","L03 Balconies"
"bf9c0124-9593-4c93-a623-5f98ae8ffe9e","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L03 Balconies","B-301 - (Enviro Primer + 700X)"
"d581f6f9-7c12-48a8-a799-0620a07af8a2","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L03 Balconies","B-302 - (Enviro Primer + 700X)"
"b259d0ae-5b93-4f5d-b4bb-25d78cb9ffdb","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L03 Balconies","B-303 - (Enviro Primer + 700X)"
"b5b79ef0-2f95-42ed-8e20-463b1a229717","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L03 Balconies","B-304 - (Enviro Primer + 700X)"
"8e4aa72b-e60e-4284-a1b0-1872d4adfc8c","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L03 Balconies","B-305 - (Enviro Primer + 700X)"
"8790d4d4-6a41-44d0-81a6-941ea7767569","","checklist-flat","work-in-progress","zSYS - APT - A-LG01 - (Enviro Primer + 700X)","checklist-flat","FALSE","FALSE","Site QA","Building B","Balconies","L03 Balconies","B-306 - (Enviro Primer + 700X)"
