PANEL,ISSUE,JOBNUMBER,LEVEL,TYPE,PANEL-ID,ZONE,COLOUR,THK,VOL,MASS,NET_AREA,GROSS_AREA,MPA,REO_KG,KGM3,WIDTH,HEIGHT,TRANSPORT_WIDTH,TRANSPORT_HEIGHT,LIFTING_CLUTCH_TYPE,LIFTER_WLL,FRANNA_REQUIRED,REV,GROUT_M3,M12,M16,M20,M24,PSA12TI,PSA16TI,PSA20TI,PSA25TI,PSA12C,PSA16C,PSA20C,PSA25C,M12_GALV,M16_GALV,M20_GALV,M24_GALV,PSA12TI_GALV,PSA16TI_GALV,PSA20TI_GALV,PSA25TI_GALV,PSA12C_GALV,PSA16C_GALV,PSA20C_GALV,PSA25C_GALV,50_DUCT,60_DUCT,70_DUCT,100_DUCT,EDGE_LIFTER,FACE_LIFTER,FOOT_ANCHOR,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP1_GALV,CP2_GALV,CP3_GALV,CP4_GALV,CP5_GALV,CP6_GALV,CP7_GALV,CP8_GALV,CP9_GALV,CP10_GALV,R6-LENGTH,N8-LENGTH,N10-LENGTH,N12-LENGTH,N16-LENGTH,N20-LENGTH,N24-LENGTH,N28-LENGTH,N32-LENGTH,N36-LENGTH,N40-LENGTH
'RS.24-022,APPROVAL,HUT034,L24,COLUMN,'RS.24-022,RES.TOWER,*GREY CONC,300,0.94,2.25,3.03,3.03,40,145.67,154.17,1285,2380,1285,3659,LMC10 ,10.0T ,NO,A,0.066,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,15200,0,2,,,,,,,,,,,,,,,,,,,,,,,0,0,78374.64,0,0,39550,0,0,0,0,0
'RS.24-024,APPROVAL,HUT034,L24,PANEL,'RS.24-024,RES.TOWER,*GREY CONC,160,2.82,6.94,15.41,15.55,40,243.78,86.37,6590,2360,6590,2760,LMC10 ,8.0T ,NO,A,0.04,,,2,,,,,,,,,,,,,,,,,,,,,,9600,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,0,0,165994.74,109402.85,0,18000,0,0,0,0,0
'RS.24-025,APPROVAL,HUT034,L24,PANEL,'RS.24-025,RES.TOWER,*GREY CONC,160,2.82,6.93,15.41,15.55,40,235.89,83.58,6590,2360,6590,2760,LMC10 ,8.0T ,NO,A,0.04,,,2,,,,,,,,,,,,,,,,,,,,,,9600,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,0,0,165994.71,100522.84,0,18000,0,0,0,0,0
'RS.24-029,APPROVAL,HUT034,L24,PANEL,'RS.24-029,RES.TOWER,*GREY CONC,220,1.38,3.32,6.26,6.26,40,68.13,49.47,2310,2710,2310,2710,LMC10 ,10.0T ,NO,A,0.03,,,2,,,,,,,,,,,,,,,,,,,,,,10200,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,0,109360,0,28080,0,0,0,0,0,0,0
'RS.24-029A,APPROVAL,HUT034,L24,PANEL,'RS.24-029A,RES.TOWER,*GREY CONC,220,0.34,0.79,1.53,1.53,40,27.91,82.85,565,2710,565,2710,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.019,,,2,,,,,,,,,,,,,,,,,,,,,,8400,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,0,26102,0,19820,0,0,0,0,0,0,0
'RS.25-005,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-005,RES.TOWER,*GREY CONC,600,1.27,3.07,2.91,5.17,40,106.24,83.93,1074,4820,1073,4970,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.038,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,41848.67,0,0,28517.75,2882.84,0,0,0,0
'RS.25-006,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-006,RES.TOWER,*GREY CONC,600,1.35,3.26,2.86,5.53,40,96.54,71.68,1170,4730,1170,4885,LMC10 LMC10 ,10.0T 7.0T ,YES,A,0.039,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,43922.12,0,0,28220.03,0,0,0,0,0
'RS.25-007,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-007,RES.TOWER,*GREY CONC,500,1.34,3.23,2.84,2.84,40,91.57,68.47,600,4730,600,4879,LMC10 LMC10 ,10.0T 7.0T ,YES,A,0.031,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,0,0,37010.62,0,0,27930,0,0,0,0,0
'RS.25-008,APPROVAL,HUT034,L25,COLUMN,'RS.25-008,RES.TOWER,*GREY CONC,200,0.85,2.11,4.26,4.26,40,135.71,159.39,900,4729,900,4879,LMC10 ,10.0T ,YES,A,0.022,,,2,,,,,,,,,,,,,,,,,,,,,,0,6600,0,0,3,,,,,,,,,,,,,,,,,,,,,,,0,0,71911.24,0,0,37120,0,0,0,0,0
'RS.25-009,APPROVAL,HUT034,L25,COLUMN,'RS.25-009,RES.TOWER,*GREY CONC,200,0.85,2.11,4.26,4.26,40,135.71,159.39,900,4729,900,4879,LMC10 ,10.0T ,YES,A,0.022,,,2,,,,,,,,,,,,,,,,,,,,,,0,6600,0,0,3,,,,,,,,,,,,,,,,,,,,,,,0,0,71911.24,0,0,37120,0,0,0,0,0
'RS.25-010,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-010,RES.TOWER,*GREY CONC,600,1.34,3.26,2.85,5.05,40,107.85,80.26,1067,4730,1067,4847,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.038,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,45918.58,0,0,28154.69,2882.84,0,0,0,0
'RS.25-011,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-011,RES.TOWER,*GREY CONC,600,1.35,3.21,2.87,2.87,40,96.86,71.52,600,4790,600,4939,LMC10 LMC10 ,10.0T 7.0T ,YES,A,0.058,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,13200,0,1,2,,,,,,,,,,,,,,,,,,,,,,0,0,43922.12,0,0,28350,0,0,0,0,0
'RS.25-012,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-012,RES.TOWER,*GREY CONC,600,0.88,2.1,1.87,1.87,40,86.51,98.38,600,3110,600,3260,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.041,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,8800,0,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,33939.82,0,0,18325.41,5765.69,0,0,0,0
'RS.25-013,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-013,RES.TOWER,*GREY CONC,600,1.35,3.32,2.86,5.76,40,163.97,121.59,1218,4730,1217,4729,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.039,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,43922.12,0,0,28254.14,0,13931.38,0,0,0
'RS.25-016,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-016,RES.TOWER,*GREY CONC,600,0.88,2.13,1.87,2.82,40,86.66,98.08,908,3110,907,3262,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,33939.82,0,0,18387.73,5765.69,0,0,0,0
'RS.25-017,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-017,RES.TOWER,*GREY CONC,600,1.72,4.19,2.86,5.84,40,147.19,85.68,1235,4729,1235,4892,,,NO,A,0.04,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,43750.88,0,0,0,33852.17,0,0,0,0
'RS.25-020,APPROVAL,HUT034,L25,COLUMN ROUND,'RS.25-020,RES.TOWER,*GREY CONC,600,0.88,2.13,1.87,2.76,40,85.2,96.49,888,3110,888,3253,LMC10 LMC10 ,10.0T 7.0T ,NO,A,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,0,8800,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,0,0,32337.61,0,0,18196.15,5765.69,0,0,0,0
'RS.25-021,APPROVAL,HUT034,L25,COLUMN,'RS.25-021,RES.TOWER,*GREY CONC,300,1.86,4.5,6.21,6.21,40,198.45,106.58,1285,4830,1285,4980,LMC10 ,10.0T ,YES,A,0.066,,,6,,,,,,,,,,,,,,,,,,,,,,0,0,15200,0,4,,,,,,,,,,,,,,,,,,,,,,,0,0,132634.01,0,0,47400,0,0,0,0,0
'RS.25-022,APPROVAL,HUT034,L25,COLUMN,'RS.25-022,RES.TOWER,*GREY CONC,300,1.9,4.6,6.34,6.53,40,208.32,109.52,1285,5080,1285,5080,LMC10 ,10.0T ,YES,A,0.066,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,15200,0,4,,,,,,,,,,,,,,,,,,,,,,,0,0,138662.83,0,0,49900,0,0,0,0,0
'RS.25-030,APPROVAL,HUT034,L25,BEAM,'RS.25-030,,GREY,420,1.6,4.29,4.63,4.75,50,522.16,326.19,7925,600,7924,600,LMC10 ,7.0T ,NO,A,0.067,,78,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,128000,0,46374.7,32169.95,0,0,0
'RS.25-031,APPROVAL,HUT034,L25,BEAM,'RS.25-031,,GREY,420,1.6,4.29,4.63,4.75,50,522.16,326.19,7925,600,7924,600,LMC10 ,7.0T ,NO,A,0.067,,78,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,128000,0,46374.7,32169.95,0,0,0
'RS.25-032,APPROVAL,HUT034,L25,BEAM,'RS.25-032,,GREY,250,2.59,6.91,7.63,12.19,50,814.23,314.64,8560,1424,8560,1424,LMC10 ,7.0T ,NO,A,0.043,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,16225.78,506860.67,0,0,0,0,0,0
