"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"38e41d24-bf4a-4ee7-8ce0-98bf17c6ec85","","checklist-flat","work-in-progress","Job Details","checklist-flat","FALSE","FALSE","Mondrian - Job Details"
"6fb5fe2d-f429-48a6-aa16-8b5bc9b55350","","folder-normal","fail","","step","TRUE","FALSE","Podium"
"da5eac98-442e-49b6-a33a-7d2a61228653","","folder-normal","work-in-progress","","step","TRUE","FALSE","Podium","Manufacture QA"
"33549ecf-decd-4032-a640-ef9152fe6e17","","folder-normal","pass","","step","TRUE","FALSE","Podium","Manufacture QA","Level 1"
"066b4929-5bb0-42c2-9255-81d7046faa21","","folder-normal","pass","","step","TRUE","FALSE","Podium","Manufacture QA","Level 1","Column"
"fd19a2be-3cec-4a34-8e15-3f087e6917a0","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-229"
"1c0c03ff-2f67-43fa-8c96-a879eb1df5bf","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-230"
"eaa40c32-c3f5-4bce-a402-8f54e8fc7a62","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-231"
"589142f8-08df-4577-b0e5-ee4e4f497c10","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-232"
"f201baeb-e627-4036-8a08-9762fc13bf4d","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-234"
"9c1a3764-2205-4d19-9838-45ef8015af0a","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-235"
"8c3ec593-a376-44da-93f8-2e37cbc3ddb5","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-236"
"5bb6f7a2-cdf0-4919-beb9-46bee79960bb","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-237"
"b1fd459d-5998-418e-8336-467dc46c8717","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-238"
"b90d00a9-9874-4d6a-8ac7-4af1bd04e5bd","","checklist-sectioned","pass","85036482a5c82322a3da5657b2ce53009d1e5a9dc4b085af76324dcbedc04d80","checklist","FALSE","FALSE","Podium","Manufacture QA","Level 1","Panel","PC.01-239"
