"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ef50d273-6e4b-48a1-baf9-0204bd8f3f23","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G13","QA- Tiling Installation walls"
"47fac2a3-589f-4dd1-933b-f36a0496d017","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G13","QA-Other Information"
"f11d7f41-ed7d-470a-8c25-02949158e8ed","","not-started","","folder","TRUE","FALSE","Level 0 (Ground)","G14"
"ea2c7aab-f3d5-4079-ba78-02f055db2c2a","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G14","QA- Wall/Floor prep"
"093b1be2-2f45-484b-86a6-a66d10ee0088","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G14","QA- waterproofing"
"530384bf-3b8e-48c5-9583-7bac26226a16","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G14","QA- Tiling Installation walls"
"04d807d4-6bac-4d11-8098-ba7ac3b56a9b","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G14","QA-Other Information"
"d89c3a7b-54c6-483d-b323-7e1bcafec9f5","","not-started","","folder","TRUE","FALSE","Level 0 (Ground)","G15"
"9f8aea5a-c57d-4a28-9dd0-cbd1b4d0465b","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G15","QA- Wall/Floor prep"
"ae337d36-7532-48ec-8fc3-22b90325fe05","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G15","QA- waterproofing"
"114378c8-8276-4374-83fb-ca15ed67d5f5","","not-started","QA- Tiling Installation - Walls","checklist","FALSE","FALSE","Level 0 (Ground)","G15","QA- Tiling Installation walls"
"f5001895-3a2a-46c6-b8a6-7b36d7faef88","","not-started","QA-Other Information","checklist","FALSE","FALSE","Level 0 (Ground)","G15","QA-Other Information"
"3587d2ad-1f4b-4e9f-8f58-5c2d52623997","","not-started","","folder","TRUE","FALSE","Level 0 (Ground)","G16"
"2924ee3f-a22b-4468-b28a-526bf591544d","","not-started","Floor/Wall Preparation","checklist","FALSE","FALSE","Level 0 (Ground)","G16","QA- Wall/Floor prep"
"0176298b-9c95-4adb-ad4c-ebdb06f5f52b","","not-started","QA - Waterproofing to floors and walls","checklist","FALSE","FALSE","Level 0 (Ground)","G16","QA- waterproofing"
