PANEL,ISSUE,JOBNUMBER,LEVEL,TYPE,PANEL-ID,ZONE,COLOUR,THK,VOL,MASS,NET_AREA,GROSS_AREA,MPA,REO_KG,KGM3,WIDTH,HEIGHT,TRANSPORT_WIDTH,TRANSPORT_HEIGHT,LIFTING_CLUTCH_TYPE,LIFTER_WLL,FRANNA_REQUIRED,REV,FORM_LINER,GROUT_M3,M12,M16,M20,M24,PSA12TI,PSA16TI,PSA20TI,PSA25TI,PSA12C,PSA16C,PSA20C,PSA25C,M12_GALV,M16_GALV,M20_GALV,M24_GALV,PSA12TI_GALV,PSA16TI_GALV,PSA20TI_GALV,PSA25TI_GALV,PSA12C_GALV,PSA16C_GALV,PSA20C_GALV,PSA25C_GALV,50_DUCT,60_DUCT,70_DUCT,100_DUCT,EDGE_LIFTER,FACE_LIFTER,FOOT_ANCHOR,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP1_GALV,CP2_GALV,CP3_GALV,CP4_GALV,CP5_GALV,CP6_GALV,CP7_GALV,CP8_GALV,CP9_GALV,CP10_GALV,NMB-5,NMB-6,NMB-7,NMB-8,NMB-9,NMB-10,NMB-11,NMB-12,NMB-13,NMB-5_GALV,NMB-6_GALV,NMB-7_GALV,NMB-8_GALV,NMB-9_GALV,NMB-10_GALV,NMB-11_GALV,NMB-12_GALV,NMB-13_GALV,R6-LENGTH,N8-LENGTH,N10-LENGTH,N12-LENGTH,N16-LENGTH,N20-LENGTH,N24-LENGTH,N28-LENGTH,N32-LENGTH,N36-LENGTH,N40-LENGTH
'13-33,CONSTRUCTION,MIR008,L13,PANEL,'13-33,,GREY CONC,200,1.74,4.25,8.7,8.7,40,160.3,92.13,2500,3480,2500,3680,LMC10 ,10.0T ,NO,1,,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,4200,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,144260.8,0,27520,3724.27,0,3882.84,0,0,0
'13-34,CONSTRUCTION,MIR008,L13,PANEL,'13-34,P-C12,GREY CONC,200,0.42,1.04,2.09,2.09,40,119.74,286.74,600,3479,600,3680,LMC10 ,10.0T ,NO,1,,0.03,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,40121.34,0,0,27160,0,5824.27,0,0,0
'13-35,CONSTRUCTION,MIR008,L13,PANEL,'13-35,PW2A,GREY CONC,200,0.84,2.02,4.18,4.17,40,116.36,139.32,1200,3479,1200,3680,LMC10 ,10.0T ,NO,1,,0.041,,,2,,,,,,,,,,,,,,,,,,,,,,0,12800,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,70732.8,0,22320,0,0,7765.69,0,0,0
'13-36,CONSTRUCTION,MIR008,L13,PANEL,'13-36,PW2C,GREY CONC,200,1.74,4.25,8.7,8.7,40,160.3,92.13,2500,3480,2500,3680,LMC10 ,10.0T ,NO,1,,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,4200,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,144260.8,0,27520,3724.27,0,3882.84,0,0,0
'13-37,CONSTRUCTION,MIR008,L13,PANEL,'13-37,PW2A,GREY CONC,200,0.95,2.31,4.82,4.82,50,84.32,88.45,1596,3050,1569,3270,LMC10 ,10.0T ,NO,1,,0.029,,,2,,,,,,,,,,,,,,,,,,,,,,2800,6000,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,80052.35,0,22156.95,0,0,0,0,0,0
'13-39,CONSTRUCTION,MIR008,L13,PANEL,'13-39,PW2A,GREY CONC,200,1.25,3.06,6.26,6.26,40,128.42,102.5,1800,3480,1800,3680,LMC10 ,10.0T ,NO,1,,0.031,,,2,,,,,,,,,,,,,,,,,,,,,,2800,6400,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,104668.8,0,24720,2482.84,0,3882.84,0,0,0
'13-40,CONSTRUCTION,MIR008,L13,COLUMN,'13-40,P-C2,GREY CONC,250,0.7,1.66,2.78,2.78,40,88.76,127.53,800,3480,800,3680,LMC10 ,10.0T ,NO,1,,0.04,,,2,,,,,,,,,,,,,,,,,,,,,,0,12800,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,49576.08,0,0,23642.67,0,0,0,0,0
'13-41,CONSTRUCTION,MIR008,L13,PANEL,'13-41,PW2C,GREY CONC,200,1.14,2.78,5.69,5.69,40,121.62,106.88,1635,3479,1635,3680,LMC10 ,10.0T ,NO,1,,0.03,,,2,,,,,,,,,,,,,,,,,,,,,,2800,6400,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,95336.4,0,24060,2482.84,0,3882.84,0,0,0
'13-42,CONSTRUCTION,MIR008,L13,PANEL,'13-42,PW2A,GREY CONC,200,1.74,4.25,8.7,8.7,40,160.3,92.13,2500,3480,2500,3680,LMC10 ,10.0T ,NO,1,,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,4200,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,144260.8,0,27520,3724.27,0,3882.84,0,0,0
'13-43,CONSTRUCTION,MIR008,L13,PANEL,'13-43,PW2C,GREY CONC,200,0.96,2.34,4.8,4.8,40,111.12,115.69,1380,3480,1380,3680,LMC10 ,10.0T ,NO,1,,0.029,,,2,,,,,,,,,,,,,,,,,,,,,,2800,6400,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,80913.6,0,23040,2482.84,0,3882.84,0,0,0
'13-44,CONSTRUCTION,MIR008,L13,PANEL,'13-44,,GREY CONC,200,2.84,6.96,12.97,12.96,40,266.36,93.81,4225,3070,4224,3669,LMC10 ,10.0T ,NO,1,,0.051,,,2,,,,,,,,,,,,,,,,,,,,,,8400,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,244787.2,0,40417.26,12189.95,0,4482.84,0,0,0
'13-45,CONSTRUCTION,MIR008,L13,PANEL,'13-45,PW6A,GREY CONC,200,1.83,4.52,9.16,9.16,40,226.35,123.59,2983,3070,2983,3670,LMC10 ,10.0T ,NO,1,,0.041,,,2,,,,,,,,,,,,,,,,,,,,,,5600,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,150562.22,0,60024,6965.69,0,4482.84,0,0,0
'13-46,CONSTRUCTION,MIR008,L13,PANEL,'13-46,PW-2A,GREY CONC,200,1.74,4.25,8.7,8.7,40,160.3,92.13,2500,3480,2500,3680,LMC10 ,10.0T ,NO,1,,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,4200,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,144260.8,0,27520,3724.27,0,3882.84,0,0,0
'13-47,CONSTRUCTION,MIR008,L13,COLUMN,'13-47,P-C2,GREY CONC,250,0.65,1.58,2.62,2.85,40,149.7,228.77,800,3560,800,3760,LMC10 LMC10 ,10.0T 7.0T ,NO,1,,0.053,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,12800,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,66383,0,0,36565.97,0,3882.84,0,0,0
'13-48,CONSTRUCTION,MIR008,L13,PANEL,'13-48,PW6A,GREY CONC,200,1.61,3.92,8.04,8.04,40,136.77,85.02,2637,3050,2637,3270,LMC10 ,10.0T ,NO,1,,0.034,,,2,,,,,,,,,,,,,,,,,,,,,,4200,0,4000,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,132842.77,0,26348,5400,0,0,0,0,0
'13-49,CONSTRUCTION,MIR008,L13,COLUMN,'13-49,P-C2,GREY CONC,200,1.4,3.41,6.98,7.12,40,138.41,99.11,2000,3560,2000,3760,LMC10 ,10.0T ,NO,1,,0.032,,,2,,,,,,,,,,,,,,,,,,,,,,2800,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,115980.8,0,26632.83,2482.84,0,3882.84,0,0,0
'13-51,CONSTRUCTION,MIR008,L13,PANEL,'13-51,PW1A,GREY CONC,200,4.04,9.87,20.26,20.25,40,344.46,85.25,6593,3070,6598,3669,LMC10 ,10.0T ,NO,1,,0.078,,,2,,,,,,,,,,,,,,,,,,,,,,12600,9600,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,323958.88,0,46675.61,15672.8,0,6724.27,0,0,0
'13-52,CONSTRUCTION,MIR008,L13,PANEL,'13-52,,GREY CONC,200,3.75,9.17,15.59,15.58,40,309.71,82.67,5077,3070,5077,3669,LMC10 ,10.0T ,NO,1,,0.058,,,2,,,,,,,,,,,,,,,,,,,,,,9800,6400,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,314649.65,0,40589.8,12189.95,0,4482.84,0,0,0
'13-60,CONSTRUCTION,MIR008,L13,PANEL,'13-60,PW2A,GREY CONC,200,1.74,4.24,8.69,8.7,40,163.35,94.01,2500,3480,2500,3680,LMC10 ,10.0T ,NO,1,,0.039,,,2,,,,,,,,,,,,,,,,,,,,,,5600,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,144260.8,0,27520,4965.69,0,3882.84,0,0,0
'13-64,CONSTRUCTION,MIR008,L13,PANEL,'13-64,PW6A,GREY CONC,200,2.58,6.29,12.91,12.91,40,202.93,78.58,4233,3050,4233,3470,LMC10 ,10.0T ,NO,1,,0.049,,,2,,,,,,,,,,,,,,,,,,,,,,8400,0,4000,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,211823.33,0,32738.04,8400,0,0,0,0,0
'13-65,CONSTRUCTION,MIR008,L13,PANEL,'13-65,PW6A,GREY CONC,200,2.85,6.93,13.03,13.03,40,197.45,69.22,4246,3070,4245,3669,LMC10 ,10.0T ,NO,1,,0.052,,,2,,,,,,,,,,,,,,,,,,,,,,8400,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,236155.31,0,32862.35,0,0,0,0,0,0
'13-68,CONSTRUCTION,MIR008,L13,PANEL,'13-68,PW2A,GREY CONC,200,2.6,6.35,13,13,40,206.88,79.59,4275,3040,4275,3260,LMC10 ,10.0T ,NO,1,,0.044,,,2,,,,,,,,,,,,,,,,,,,,,,13800,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,213825.2,0,32900,9400,0,0,0,0,0
'13-71,CONSTRUCTION,MIR008,L13,PANEL,'13-71,PW6A,GREY CONC,200,2.57,6.29,12.33,12.58,40,197.06,76.62,3555,3540,3555,3760,LMC10 ,10.0T ,NO,1,,0.036,,,2,,,,,,,,,,,,,,,,,,,,,,11000,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,203984.4,0,33641.49,7400,0,0,0,0,0
'13-72,CONSTRUCTION,MIR008,L13,PANEL,'13-72,PW6B,GREY CONC,300,3.13,7.56,10.43,10.57,40,171.59,54.82,2985,3540,2985,3759,LMC10 ,10.0T ,NO,1,,0.058,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,10400,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,172702.84,0,31281.62,6400,0,0,0,0,0
'13-73,CONSTRUCTION,MIR008,L13,PANEL,'13-73,PW2A,GREY CONC,200,1.53,3.74,7.65,7.65,40,147.92,96.63,2199,3480,2199,3680,LMC10 ,10.0T ,NO,1,,0.035,,,2,,,,,,,,,,,,,,,,,,,,,,4200,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,127264.52,0,26318,3724.27,0,3882.84,0,0,0
'13-74,CONSTRUCTION,MIR008,L13,PANEL,'13-74,PW2A,GREY CONC,200,2.09,5.1,10.44,10.44,40,186.37,89.22,3402,3070,3402,3269,LMC10 ,10.0T ,NO,1,,0.045,,,2,,,,,,,,,,,,,,,,,,,,,,7000,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,171623.72,0,29476.22,6207.11,0,3882.84,0,0,0
'13-75,CONSTRUCTION,MIR008,L13,PANEL,'13-75,PW6A,GREY CONC,200,1.13,2.77,5.67,5.67,40,96.4,84.96,1860,3050,1860,3270,LMC10 ,10.0T ,NO,1,,0.021,,,2,,,,,,,,,,,,,,,,,,,,,,6800,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,96266,0,23480,0,0,0,0,0,0
'13-76,CONSTRUCTION,MIR008,L13,PANEL,'13-76,PW6A,GREY CONC,200,0.81,1.98,4.54,4.54,40,84.99,104.35,1344,3050,1492,3259,LMC10 ,10.0T ,NO,1,,0.027,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,5400,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,71122.88,0,20768,3400,0,0,0,0,0
'13-78,CONSTRUCTION,MIR008,L13,PANEL,'13-78,PW2A,GREY CONC,200,1.1,2.69,5.5,5.5,40,123.34,112.09,1798,3060,1798,3660,LMC10 ,10.0T ,NO,1,,0.031,,,2,,,,,,,,,,,,,,,,,,,,,,2800,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,91955.28,0,23072,3482.84,0,4482.84,0,0,0
'13-80,CONSTRUCTION,MIR008,L13,COLUMN,'13-80,P-C08,GREY CONC,250,0.99,2.48,3.94,4.12,40,218.71,221.95,1150,3580,1150,3780,LMC10 ,10.0T ,NO,1,,0.035,,,2,,,,,,,,,,,,,,,,,,,,,,0,10400,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,93809.72,0,0,42480,0,11648.53,0,0,0
'13-81,CONSTRUCTION,MIR008,L13,PANEL,'13-81,PW2A,GREY CONC,250,1.3,3.17,5.22,5.22,40,116.04,88.95,1499,3480,1499,3680,LMC10 ,10.0T ,NO,1,,0.031,,,2,,,,,,,,,,,,,,,,,,,,,,2800,6400,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,87672.52,0,23518,2482.84,0,3882.84,0,0,0
'13-82,CONSTRUCTION,MIR008,L13,COLUMN,'13-82,C3,GREY CONC,250,0.71,1.79,2.86,3.99,40,167.43,234.2,1122,3560,1122,3716,LMC10 ,10.0T ,NO,1,,0.033,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,71456.41,0,0,34719.36,0,7843.7,0,0,0
'13-83,CONSTRUCTION,MIR008,L13,COLUMN,'13-83,C3,GREY CONC,250,0.72,1.8,2.87,4.04,40,167.43,233,1130,3578,1130,3734,LMC10 ,10.0T ,NO,1,,0.033,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,71456.41,0,0,34719.36,0,7843.7,0,0,0
'13-84,CONSTRUCTION,MIR008,L13,COLUMN,'13-84,C3,GREY CONC,250,0.72,1.8,2.88,4.04,40,167.43,232.76,1127,3581,1127,3738,,,NO,1,,0.033,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,71456.41,0,0,34719.36,0,7843.7,0,0,0
'13-85,CONSTRUCTION,MIR008,L13,COLUMN,'13-85,C3,GREY CONC,250,0.72,1.78,2.87,4.03,40,167.43,233.21,1127,3574,1127,3731,LMC10 ,10.0T ,NO,1,,0.043,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,9600,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,71456.41,0,0,34719.36,0,7843.7,0,0,0
'13-86,CONSTRUCTION,MIR008,L13,COLUMN,'13-86,C3,GREY CONC,250,0.73,1.82,2.9,4.08,40,171.95,237.14,1131,3610,1131,3766,LMC10 ,10.0T ,NO,1,,0.033,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,76560.44,0,0,35275.46,0,7843.7,0,0,0
'13-87,CONSTRUCTION,MIR008,L13,COLUMN,'13-87,C3,GREY CONC,250,0.72,1.82,2.9,4.08,40,172.12,237.6,1132,3607,1132,3763,LMC10 ,10.0T ,NO,1,,0.033,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,76560.44,0,0,35343.82,0,7843.7,0,0,0
'13-88,CONSTRUCTION,MIR008,L13,COLUMN,'13-88,C3,GREY CONC,250,0.7,1.76,2.8,4.1,40,166.59,237.93,1144,3584,1144,3741,LMC10 ,10.0T ,NO,1,,0.033,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,69211.24,0,0,34941,0,7843.7,0,0,0
'13-89,CONSTRUCTION,MIR008,L13,COLUMN,'13-89,C3,GREY CONC,250,0.69,1.73,2.75,4.03,40,167.37,243.67,1128,3571,1128,3729,LMC10 ,10.0T ,NO,1,,0.033,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,71998.71,0,0,34559.71,0,7843.7,0,0,0
'13-90,CONSTRUCTION,MIR008,L13,COLUMN,'13-90,C3,GREY CONC,250,0.69,1.72,2.74,4.02,40,166.44,242.79,1128,3568,1128,3725,LMC10 ,10.0T ,NO,1,,0.033,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,68961.99,0,0,34941,0,7843.7,0,0,0
'13-91,CONSTRUCTION,MIR008,L13,COLUMN,'13-91,C3,GREY CONC,250,0.72,1.82,2.89,4.07,40,171.87,237.8,1131,3599,1131,3756,LMC10 ,10.0T ,NO,1,,0.033,,,2,,,,,,,,,,,,,,,,,,,,,,0,9600,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,76560.44,0,0,35245.56,0,7843.7,0,0,0
