"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"24efba84-0924-49cc-aa49-9879af8527d5","","folder-normal","","","step","TRUE","FALSE","Building C"
"47d67329-a92a-4103-be50-3f161e168b60","","folder-normal","","","step","TRUE","FALSE","Building C","Level B1"
"5457a4a7-4e08-4226-b38a-20994d533618","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C37"
"bd4de470-2b88-40f3-83b6-0fe25a13031d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C38"
"93203ab3-8ef1-4387-9e1f-5a71ae35a5f8","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C39"
"4941b0c1-941b-44e9-b422-56b84943e8a9","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C40"
"c88fffaf-0393-4a9c-a595-018e4d8e3c14","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C41"
"593c147a-7c6e-44d4-bfa4-fa5602e46b0b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C42"
"25e7c1cc-f1aa-45cd-a4c2-08a88f6b267a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C43"
"0779bd63-72b0-43eb-9d74-50a180d1ffb5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C44"
"ede0d48a-85fa-45dc-8475-bb3543531e31","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C45"
"2f60a3f2-25bb-480b-a888-3a5a2438a45a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C46"
"d7a18b2a-ed2f-4706-847d-9957a862055e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C47"
"8eab564b-3b14-4a5f-a98f-cd1a51fbd8a3","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C48"
"c6f2f904-4f7a-46aa-9b5f-9b0037bbb124","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C49"
"8ae6d69d-ca9d-4ca1-b003-91779ce32486","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C50"
"75bbd192-f243-44cf-9646-bd43dbdaa53d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C51"
"ec2efe7a-dcba-4a76-8afb-5e2dac78234a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C52"
"dca6f785-6b23-4769-b960-17dc67a37cac","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C53"
"b2345db6-71ea-4012-8485-42a14a567e5b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C54"
"59056b81-c468-4f62-ad3c-9149c077298a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C55"
"03dea9f8-1f36-48b4-99fc-b68863bf41d0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C56"
"af189557-bf33-4be5-93d9-932998ac3a61","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C57"
"6c9cd92a-13fc-421d-8750-ee154f7622d5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C58"
"bf06764d-e95e-4185-ba93-a64c583c91e7","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C59"
"ab4f6cd1-cfe8-4010-a42d-f53d09849d8d","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Building C","Level B1","C-B1C60"
"45de242e-b3dd-49f7-8214-e549a6eee215","","folder-normal","","","step","TRUE","FALSE","Building C","Level 1"
"f10513d3-2df1-496d-94e8-23ca637bcf89","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C62"
"df268371-9103-4526-8cd8-d31103400731","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C63"
"b996a497-7b98-451c-bb8e-533df03bdc68","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C64"
"fd6a2e49-8064-4a7f-979c-c233ddc24145","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C65"
"582e91a2-501f-48e6-8824-75040272a52b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C66"
"ad31b975-4b98-4e61-99f1-d1bd972ca973","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C67"
"9ad35d13-caa7-46db-8390-4863a35eab8d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C68"
"01845b33-cbee-42d2-b072-68472315ed28","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C69"
"60e4d369-2dd1-42a3-80b3-782cba365828","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C70"
"0806aecd-3ff3-43d1-9d44-0b02978ac6dc","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C71"
"244fe2e2-38f6-4c77-8e64-dacebed406f7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C72"
"fb514ab4-afe3-41e5-99ff-2033040aabbe","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C73"
"4a1a3ebe-a7b6-464a-b021-210534f4ae3b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C74"
"84c3f2db-3306-416a-bbc2-d0914511b756","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C75"
"31df4e0f-ebc4-4d39-9560-dad6b075eb75","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C76"
"a889e79f-0f43-45bf-8e40-4c49aef6f7eb","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C77"
"35bd15a8-f775-4552-8dec-fff3c89509c8","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C78"
"0ecbc354-32b9-441a-a72a-ea441c879dcf","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C79"
"2917692f-2194-47f8-8647-e28550d59fb7","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C80"
"e9bfd834-3eab-4348-a64f-833ca20b077f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-C81"
"2e67df4d-a114-44cd-ac65-cadbec83ac31","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P01"
"5c02322a-864a-476d-8e1d-676c5e3e59e8","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P02"
"12bb5d1b-ddeb-469b-ba18-7781c0b2a507","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P03"
"e721a1a5-9aaa-4ed2-907c-12d484f89944","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P04"
"08305b3b-0587-4291-a85b-239495424cf0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P05"
"12a6882d-cc83-454c-a963-c37b7b240636","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P06"
"3034dfd7-e728-4b5d-8663-643efaf3f30c","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P07"
"7d06259f-9831-432b-8b7e-4fdfb12ef1e2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P08"
"d8dc893f-c1d4-4f7a-8e1e-7457d6ee6353","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P09"
"638c7ccc-7e37-4271-b343-181228352961","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P10"
"7730f88d-bdfd-4616-85b2-c70996d8e3e1","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P11"
"c9ee0c25-20e4-406f-8bc2-cc763086994d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P12"
"1f80d413-028a-44e1-aaca-b560403ca5c0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P20"
"6ac05cfb-6bcf-4bc0-a1ab-9df8bf648b3a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P21"
"f73d46b5-6b23-4070-8f19-ec870a715d6d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P22"
"4a23d06b-8128-4b00-aa85-7657ce40c908","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P23"
"04c4f7e6-ce86-4b18-8f7d-61fabe417d55","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P24"
"9242231c-471f-4b2e-9b2c-372fb9c8a05a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P24A"
"bd132113-807e-4269-a788-22e672f6abfd","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P24B"
"43ece472-ffc9-4e42-bf61-9b7a9d8e0749","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P25"
"d35513e2-f8b3-4384-b947-5c88f4006a3f","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P26"
"b15a036d-f59e-423f-ae7a-1c7e474454c2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P27"
"9d8ce8d7-936a-4074-8f90-fbb64c206f05","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P28"
"e021f87b-20d1-4b58-8421-b72dab8daaff","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P29"
"b4aa44da-85e0-40a4-84ac-14097891c393","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P30"
"fd411af5-9323-46ef-a230-2232980eec84","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P31"
"b5aa9024-1b27-4280-bfda-d9b05d3a3669","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P32"
"86ee27da-e269-4805-b01b-c55529353220","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P33"
"d8e67c3f-cffa-4e1f-80f3-a18bf5d9b3bb","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P34"
"18bf4d62-00b3-425f-b080-f4c3cee906b6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P35"
"2529a956-3c7d-4678-95e1-003e306ed379","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P36"
"dedcc361-97a8-4abe-9f2f-58f91d138f95","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P37"
"56054f10-0f6d-45a2-bae6-39cd4872c897","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P38"
"135e91a9-0926-40cb-8e5b-0b7b7f02ecc1","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P39"
"f9b033f1-dcd9-46f6-a013-e49e407903c6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P40"
"fd4c6c21-2ad2-4b20-a50a-9f7b920870ae","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P41"
"eac00a4b-b438-4c74-b126-c811b15c30a3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Building C","Level 1","C-L1-P42"
