"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3eb25402-728b-4b63-a739-fb4d5054ecdb","","","","folder","TRUE","FALSE","Wet Fire"
"46c21798-fde0-4328-8d50-cbd98a92e36a","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1X02 - PUMPROOM"
"01637519-79b8-4d56-bb99-c920684be3cf","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1202 - LEVEL 2, NORTH","Hose Reel installation"
"2826c295-fbb4-4135-9742-10a94f39d919","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1301 - LEVEL 3, SOUTH"
"158be969-bcea-4085-b4df-8b1f2ca1350b","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1301 - LEVEL 3, SOUTH","Sprinkler installation/Fitoff"
"124466a0-1ebd-468c-88b9-3bcef3247c2c","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1301 - LEVEL 3, SOUTH","Sprinkler Control Valve"
"7f53266f-fa91-4210-ba03-ef2a28863992","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1301 - LEVEL 3, SOUTH","Sprinkler & Hydrant hydrostatic test"
"cf9704e2-b0f0-48e3-986b-c67e8a3c46e8","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1301 - LEVEL 3, SOUTH","Hydrant installation"
"a6439347-9e22-47c3-a0a9-0292ce1d192b","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1301 - LEVEL 3, SOUTH","Hose Reel installation"
"a330f0bf-125d-42da-a9eb-75d179149fc0","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1302 - LEVEL 3, NORTH"
"279581bd-735e-44a7-a4d6-20d843c4a191","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1302 - LEVEL 3, NORTH","Sprinkler installation/Fitoff"
"2bcfa816-d366-4bf3-afbb-050151c94164","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1302 - LEVEL 3, NORTH","Sprinkler Control Valve"
"666c69ae-50ac-41f8-aa15-adfca39a240d","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1302 - LEVEL 3, NORTH","Sprinkler & Hydrant hydrostatic test"
"919f1716-4b76-4d28-8202-8e51ce275be3","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1302 - LEVEL 3, NORTH","Hydrant installation"
"7a26ba16-f64d-428e-ac45-a1e2c4aea937","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1302 - LEVEL 3, NORTH","Hose Reel installation"
"b7004f18-4eff-41e7-9857-b917c681b8e5","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1401 - LEVEL 4, SOUTH"
"95ff1f58-0d7f-414e-a560-4a252746fa26","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1401 - LEVEL 4, SOUTH","Sprinkler installation/Fitoff"
"9d62a745-20ea-440c-bcc5-77efac48e21d","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1401 - LEVEL 4, SOUTH","Sprinkler Control Valve"
"52b793b0-ea8e-4388-a2b5-26976d107d16","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1401 - LEVEL 4, SOUTH","Sprinkler & Hydrant hydrostatic test"
"cc3a0d4d-a1a3-46f7-9f96-abfdfe307150","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1401 - LEVEL 4, SOUTH","Hydrant installation"
"85949523-7964-4c73-ae92-8c7a0910d0b9","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1401 - LEVEL 4, SOUTH","Hose Reel installation"
"3bdfa424-9467-440f-94a3-89cbb813496f","","","","folder","TRUE","FALSE","Wet Fire","F-SHP-1402 - LEVEL 4, NORTH"
"0a858312-df26-46bf-8f5c-495dba655ff6","","","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Wet Fire","F-SHP-1402 - LEVEL 4, NORTH","Sprinkler installation/Fitoff"
"26900e07-a3ac-44dc-9b2b-a8b9c689cee7","","","LM-FOR-30-ITR-301.1 Sprinkler Control Valve (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1402 - LEVEL 4, NORTH","Sprinkler Control Valve"
"fc1ec8b4-892a-4b6a-a9f5-1d4251d1ab31","","","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1402 - LEVEL 4, NORTH","Sprinkler & Hydrant hydrostatic test"
"811cbf55-01fb-4b29-8f25-c5e8b59047c0","","","LM-FOR-40-ITR-302.2 Hydrant Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1402 - LEVEL 4, NORTH","Hydrant installation"
"3325320d-9a3f-4111-bef5-22e41f04f47b","","","LM-FOR-40-ITR-302.3 Hose Reel Installation (V.171121)","checklist","FALSE","FALSE","Wet Fire","F-SHP-1402 - LEVEL 4, NORTH","Hose Reel installation"
"16ddc6b3-6613-4266-80fc-9b6d869a34f1","","","","folder","TRUE","FALSE","Dry Fire"
"cade6164-ffd4-4452-ac47-4578a005ec3b","","","","folder","TRUE","FALSE","Dry Fire","F-SHP-2X02 - PUMPROOM"
"12e785c1-f4bf-43a3-be03-56edc6b89c7b","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2X02 - PUMPROOM","EWIS Installation"
"89a4da9f-4664-4a5b-af71-faec9eeda9ae","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2X02 - PUMPROOM","EWIS Fit Off"
"69c5dd45-f4bf-4a6c-bcd9-143d83aa93da","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2X02 - PUMPROOM","Fire Detection Installation"
"52d0698e-74e0-4b50-9343-88760108e168","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2X02 - PUMPROOM","Fire Detection Fit Off"
"d660eb41-3228-4f92-83b9-13a37e81569d","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2X02 - PUMPROOM","ASD (Aspirated)"
"9d7f87b4-679e-483b-9e5e-649f8ed9d440","","","","folder","TRUE","FALSE","Dry Fire","F-SHP-2B01 - BASEMENT, SOUTH"
"2517b92a-059a-4f16-80be-4e9d6d165eb4","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B01 - BASEMENT, SOUTH","EWIS Installation"
"c44dcdd3-7951-4205-a31b-5c31d4455275","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B01 - BASEMENT, SOUTH","EWIS Fit Off"
"406d4a80-c853-481d-aaa1-9dd550de1006","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B01 - BASEMENT, SOUTH","Fire Detection Installation"
"bf674b2a-3547-419d-9b12-de4008631b3b","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B01 - BASEMENT, SOUTH","Fire Detection Fit Off"
"6aae5493-928f-4e92-85b4-11c3eeb1ba6e","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B01 - BASEMENT, SOUTH","ASD (Aspirated)"
"037e96fb-786c-4710-9223-48595be9cc1b","","","","folder","TRUE","FALSE","Dry Fire","F-SHP-2B02 - BASEMENT NORTH"
"ab4769bf-15d3-4be5-a991-b1b968df53f1","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B02 - BASEMENT NORTH","EWIS Installation"
"b2c031c9-7015-4148-a378-5845bb296b97","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B02 - BASEMENT NORTH","EWIS Fit Off"
"362ac213-90e4-4608-9b8d-ca13f71ff172","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B02 - BASEMENT NORTH","Fire Detection Installation"
"1aaf65c4-9128-43bf-9773-e855ccc8f598","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B02 - BASEMENT NORTH","Fire Detection Fit Off"
"71659676-b08d-485e-ada7-0cdf530b88f7","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2B02 - BASEMENT NORTH","ASD (Aspirated)"
"d73ebbb2-1c12-46c2-9d7e-c96a09338167","","","","folder","TRUE","FALSE","Dry Fire","F-SHP-2G01 - GROUND, SOUTH"
"7ac72efd-7b64-4991-a9d9-91196ac73e7f","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G01 - GROUND, SOUTH","EWIS Installation"
"d385710d-f878-4b71-8e55-614ebbabf94d","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G01 - GROUND, SOUTH","EWIS Fit Off"
"674e3c26-5458-4b1b-9e08-33e64f7aaf5f","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G01 - GROUND, SOUTH","Fire Detection Installation"
"4f652f7d-5722-4456-a1db-fac448b0a511","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G01 - GROUND, SOUTH","Fire Detection Fit Off"
"99adea3d-6f82-442b-a055-10c84a1e0de3","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G01 - GROUND, SOUTH","ASD (Aspirated)"
"c768b322-bcc4-4295-8ce3-40f094cbe1dc","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G01 - GROUND, SOUTH","Fire Panel Installation"
"68248fda-15d6-4e46-b42d-fb830d7db05c","","","","folder","TRUE","FALSE","Dry Fire","F-SHP-2G02 - GROUND, NORTH"
"99bab372-da28-407c-862f-61542ca30ad8","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G02 - GROUND, NORTH","EWIS Installation"
"09710b2e-5cbb-45ae-99f3-25503de8eeff","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G02 - GROUND, NORTH","EWIS Fit Off"
"b2b72a3c-289f-489e-99be-852972bceb39","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G02 - GROUND, NORTH","Fire Detection Installation"
"bd007221-81a7-45c5-9bb2-5e02a390232e","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G02 - GROUND, NORTH","Fire Detection Fit Off"
"7fa367e0-43e3-4d2a-b4da-2d093cb14153","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G02 - GROUND, NORTH","ASD (Aspirated)"
"08565821-156d-4b45-8ff1-2e7426f04347","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2G02 - GROUND, NORTH","Fire Panel Installation"
"362971e6-eb06-4ca3-8be3-ae72894d0a96","","","","folder","TRUE","FALSE","Dry Fire","F-SHP-2101 - LEVEL 1, SOUTH"
"e5c7769b-2466-49fe-b080-205934c17037","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2101 - LEVEL 1, SOUTH","EWIS Installation"
"c97d1a1e-3da9-4758-bc24-7aa3e76a61ff","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2101 - LEVEL 1, SOUTH","EWIS Fit Off"
"a7ec8f47-a751-4bbf-b778-acf2a8479040","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2101 - LEVEL 1, SOUTH","Fire Detection Installation"
"e1c0c6fd-ba9b-47d1-81db-1b24d3e7e1c3","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2101 - LEVEL 1, SOUTH","Fire Detection Fit Off"
"60695fc1-c470-42fa-ad61-46f5a3648099","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","F-SHP-2101 - LEVEL 1, SOUTH","ASD (Aspirated)"
"c63f08e0-9d8b-4a02-974f-c2483f9b1a1a","","","","folder","TRUE","FALSE","Dry Fire","F-SHP-2102 - LEVEL 1, NORTH"
