"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7b6c3fa3-d59f-4904-851a-c0aa5bd9a1e5","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 2","Fire Detection Installation"
"617b3b87-20e2-4262-9876-04eab9c415d3","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 2","Fire Detection Fit Off"
"2434a43a-667b-4b1b-9d07-c09601357678","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 3"
"1fd2545a-79fb-45fd-9297-9c86471be74f","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 3","Ewis Installation"
"3ec0ed90-001d-4c0b-9a1e-1061f67aeaf0","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 3","Ewis Installation Fit Off"
"e362843d-5c41-41c5-8c69-c8643017df8d","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 3","Fire Detection Installation"
"7df48488-4f07-4bd9-b754-e353d5664c19","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 3","Fire Detection Fit Off"
"3642d7fc-920a-4904-b8f3-05887c3e896f","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 4"
"56370fd8-d799-47c1-bb2d-c708fc779ebd","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 4","Ewis Installation"
"2eb1760a-23e1-408e-bcdc-e9ab40753766","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 4","Ewis Installation Fit Off"
"511a32ec-4a84-437e-b8ff-9667d2e0645b","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 4","Fire Detection Installation"
"119498dc-35c1-4e26-9f09-a9a8caf81e3c","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 4","Fire Detection Fit Off"
"f214af07-0c70-4a70-9711-760091ec804b","","","","folder","TRUE","FALSE","Dry Fire","Retail Tenancy 5"
"faef2ae0-4da1-4011-bd17-b0bcf931abfb","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 5","Ewis Installation"
"7ef0a066-0ffc-4754-9def-028626abc504","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Dry Fire","Retail Tenancy 5","Ewis Installation Fit Off"
