"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"30a4e11f-884a-42a5-b9a1-842952c9bd59","","","","folder","TRUE","FALSE","Fibre Installation and Commissioning"
"bc9d9bc9-d6ed-4064-a8f4-add75312215a","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 6"
"d02f8f94-af94-4f4f-a5c5-bf45ffec8725","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 7"
"0830a1f2-52fb-4a24-be48-618b27a449e8","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 8"
"b309db01-e640-4c92-ba46-e5ac46c39f60","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 9"
"1568a32b-f9d4-4af0-87d4-1203ff7d7cc0","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 10"
"55a0314b-b046-41b0-b692-82f7c6dd156a","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 11"
"c86a73a1-25fd-499c-8a04-d0474076a92c","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 12"
"12b648b5-4ae0-4ed0-9f25-da36d7b549f7","","","LM-FOR-50 ITR 303.7 ASD (Aspirated) Installation (V.171121)","checklist","FALSE","FALSE","NPA Production Building:","LM-FOR-50-ITR-303.7 ASD (Aspirated) installation 13"
"d3cb5d1f-0aa0-4d3b-9fb6-e1b471fc5855","","","","folder","TRUE","FALSE","CCL Production Building:"
"c671a953-fb5e-49f0-9c6a-ff1b35dcf402","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","CCL Production Building:","LM-FOR-50-ITR-303.1 Fire Panel Installation"
"2adbe1a1-2e8a-4bc4-9cd1-15b129b82b77","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","CCL Production Building:","LM-FOR-50-ITR-303.2 Ewis Installation"
"e38a0c55-cc47-4a0c-afdc-a0d1e37aff8b","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","CCL Production Building:","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off"
"2f38bfab-3215-45c9-bf62-63ca36f0b78b","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","CCL Production Building:","LM-FOR-50-ITR-303.4 Fire Detection Installation"
"80b39588-19f8-4532-b564-279245370530","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","CCL Production Building:","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off"
"dcd65e66-d38a-4b20-915a-3972cd7a579b","","","","folder","TRUE","FALSE","CCL R&D Building:"
"706ceb70-d274-47da-a925-32ff69fc205b","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","CCL R&D Building:","LM-FOR-50-ITR-303.1 Fire Panel Installation"
"bf80dd39-4139-48d0-8017-d0256c2df656","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","CCL R&D Building:","LM-FOR-50-ITR-303.2 Ewis Installation"
"c0eba7f2-0e31-44d8-9c64-12ec1813efcc","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","CCL R&D Building:","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off"
"1897035f-108f-420f-8762-60c2732ca7ca","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","CCL R&D Building:","LM-FOR-50-ITR-303.4 Fire Detection Installation"
"5206ebae-6010-42a6-be1f-dcbba401a7e9","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","CCL R&D Building:","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off"
"a9762683-0e5d-4c9d-9fc7-bf5ae6d3b16f","","","","folder","TRUE","FALSE","Services Building:"
"336eb833-192f-4569-afc3-e753a3711105","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","Services Building:","LM-FOR-50-ITR-303.1 Fire Panel Installation"
"972e113c-398f-4206-8dcd-dc73b11ccf4f","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Services Building:","LM-FOR-50-ITR-303.2 Ewis Installation"
"087e97cf-31af-4c9b-b71c-f6460e712064","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Services Building:","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off"
"e705e763-85ea-4c37-97bc-116f02bddb94","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Services Building:","LM-FOR-50-ITR-303.4 Fire Detection Installation"
"51284088-c1dd-4588-9f5e-6a9f637db74b","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Services Building:","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off"
"85170370-dd90-44fe-8b20-e5d1284af4db","","","","folder","TRUE","FALSE","NPA Staff Centre/Mezz:"
"f4f4ca3a-2ca3-4128-92bb-60af5e51ac27","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","NPA Staff Centre/Mezz:","LM-FOR-50-ITR-303.1 Fire Panel Installation"
"359676c0-bf85-4f27-84ca-9c5968b86e8a","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","NPA Staff Centre/Mezz:","LM-FOR-50-ITR-303.2 Ewis Installation"
"4e1f2a2a-32dc-4fec-8957-d2cfdb4016b3","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","NPA Staff Centre/Mezz:","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off"
"9e070f0e-d9d7-4683-a4fe-92d2a26d3df4","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","NPA Staff Centre/Mezz:","LM-FOR-50-ITR-303.4 Fire Detection Installation"
"71215ce2-abb0-49d2-a586-e7a0687cfec5","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","NPA Staff Centre/Mezz:","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off"
"e36e9580-baa3-4b8d-a1d5-970ea47eb7b0","","","","folder","TRUE","FALSE","Pedestrian Entry Building:"
"775ceb41-196a-4687-91d1-e1d4a4faa3a0","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","Pedestrian Entry Building:","LM-FOR-50-ITR-303.1 Fire Panel Installation"
"76fa6d34-f38f-400e-8911-dd18bbeb296b","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Pedestrian Entry Building:","LM-FOR-50-ITR-303.2 Ewis Installation"
"2aaa9317-652e-45d1-a17c-5395fb8951cb","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Pedestrian Entry Building:","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off"
"bae65ada-e76d-442e-a954-2133341b512d","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Pedestrian Entry Building:","LM-FOR-50-ITR-303.4 Fire Detection Installation"
"4b4e4601-3add-44ba-854e-20b1ac53245d","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Pedestrian Entry Building:","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off"
"0790cfdd-496a-4adc-9b58-ad7d6ac44175","","","","folder","TRUE","FALSE","Vehicle Entry Building:"
"28f50f6d-e2ef-4fc5-aa2c-1a3a0baab024","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","Vehicle Entry Building:","LM-FOR-50-ITR-303.1 Fire Panel Installation"
"cc463cfd-7443-48c5-9e4e-6c5deb8af2da","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Vehicle Entry Building:","LM-FOR-50-ITR-303.2 Ewis Installation"
"d75c6d27-b0be-41ac-89a3-055dbe1a20e9","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Vehicle Entry Building:","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off"
"c06f9896-0082-4545-b326-8701abef8cdb","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Vehicle Entry Building:","LM-FOR-50-ITR-303.4 Fire Detection Installation"
"05139232-a2d1-4d70-a6a6-2883456224f9","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Vehicle Entry Building:","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off"
"83f63582-a1ac-49e7-a8c7-d1486747ad14","","","","folder","TRUE","FALSE","Flammable Goods Stores:"
"4dceca11-82f6-4fd5-89fe-68469050b2e6","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Flammable Goods Stores:","LM-FOR-50-ITR-303.2 Ewis Installation"
"0cd605de-8a61-429a-9906-92cb64c7cd66","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Flammable Goods Stores:","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off"
"ae625897-af06-4c70-86b2-1418bd8b4924","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Flammable Goods Stores:","LM-FOR-50-ITR-303.4 Fire Detection Installation"
"c47f2796-2829-4293-8052-6b6c59e816e6","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Flammable Goods Stores:","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off"
"82ae1edb-3415-4cf4-8db0-aa7d862f752c","","","","folder","TRUE","FALSE","Boiler House:"
"61b33fd4-2de8-412b-8e90-dc7f59e393af","","","LM-FOR-50-ITR-303.2 Ewis Installation (V.171121)","checklist","FALSE","FALSE","Boiler House:","LM-FOR-50-ITR-303.2 Ewis Installation"
"dbc81a40-2f49-4eb2-ae25-897471495f8d","","","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off (V.171121)","checklist","FALSE","FALSE","Boiler House:","LM-FOR-50-ITR-303.3 Ewis Installation Fit Off"
"72f6dced-1a2a-4b97-aef1-1530cd54ff3c","","","LM-FOR-50-ITR-303.4 Fire Detection Installation (V.171121)","checklist","FALSE","FALSE","Boiler House:","LM-FOR-50-ITR-303.4 Fire Detection Installation"
"591fde3e-86b6-4414-b754-e6d26810b6bb","","","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off (V160421)","checklist","FALSE","FALSE","Boiler House:","LM-FOR-50-ITR- 303.5 Fire Detection Fit Off"
"bcd30255-4983-4018-abdc-2741d1b17cda","","","","folder","TRUE","FALSE","Foam Deluge:"
"c1443138-08bb-4509-9204-f99b6cd90fb1","","","LM-FOR-50-ITR-303.1 Fire Panel Installation (V.171121)","checklist","FALSE","FALSE","Foam Deluge:","LM-FOR-50-ITR-303.1 Fire Panel Installation"
