"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"93edfc28-6188-48d9-b398-ca944751273f","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.STO","Sprinkler Installation/Fitoff"
"ed46e38d-e1e7-4c24-8ec4-54aa21000843","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.STO","Sprinkler & Hydrant Hydrostatic Test"
"4a15da98-6504-481e-9740-5df0a8ff7bb4","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV8"
"7065cec8-3b17-4b83-83ae-33c434281e5d","","not-started","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV8","Pre-Action Valve"
"5364afe2-4727-48bb-aee4-2929097b7c24","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV8","Sprinkler Installation/Fitoff"
"1fb8e4f9-fbd1-450c-90fe-88cf74e220b2","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV8","Sprinkler & Hydrant Hydrostatic Test"
"e54c0770-8768-4c34-b16f-ce17e72aaf97","","not-started","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV5"
"087ccba0-5626-4f08-bf78-176da27d4f64","","not-started","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV5","Pre-Action Valve"
"61edc6ad-84b0-4215-8bd1-a5cf781b84b0","","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV5","Sprinkler Installation/Fitoff"
"b04fe391-a059-4025-bc38-50acebfbf09b","","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 2 (West)","PAV.LV5","Sprinkler & Hydrant Hydrostatic Test"
"b8f5e8fc-0e4e-4da6-a05b-7e9d9649f03f","","work-in-progress","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)"
"3234ecbe-38d8-432d-bc90-d2886690521d","","work-in-progress","","folder","TRUE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH5"
"4e2eb09e-8bbe-4d09-a4f8-a19fd8c62e3d","","work-in-progress","ITP/R Test Report Pre-Action System (V.260521)","checklist","FALSE","FALSE","Leemark - Site QA","Wet Fire","Pre-Action Sprinkler Conrol Valve Assembly 1 (East)","PAV.DH5","Pre-Action Valve"
