"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"afee1b0a-6450-47ca-84f2-6a6770d90798","","work-in-progress","","folder","TRUE","FALSE","Manufacturing / Off-site QA"
"f7d09670-f9d7-45b6-a769-ba95808ea9f0","","work-in-progress","","folder","TRUE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-003"
"3d1056d7-3f1c-44cf-9011-01e0498c8d3e","","work-in-progress","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-005","H06"
"43b7a5f3-ba26-4ada-9e7d-8d5f403f0ae9","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-005","J06"
"cce217b8-a11f-4dbd-83c9-16448b0c37f1","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-005","J17"
"34b23280-42df-471d-8ec8-feda85ea9d74","","work-in-progress","","folder","TRUE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-006"
"1ea757c8-72a5-42cd-ae4e-a963cb5ecf55","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-006","L05"
"d3c00b77-2a5d-494f-b19d-33f08a72877e","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-006","L07"
"a3a59e78-616f-4b6c-944f-3f045a9f8834","","pass","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-006","L28"
"24d5b516-83e1-46bb-8cc7-0cab20a6a9d1","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-006","L32"
"682cf6a8-210c-426b-a235-50439ee3eae0","","work-in-progress","","folder","TRUE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007"
"71480dac-68c6-47b2-8001-b91ae33ddf78","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007","P09"
"40b9818d-857d-429a-8d22-1d9a2b01ec3e","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007","P10"
"fd2e7eeb-ad6b-4efe-a422-4ceb7d9cebe9","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007","R03"
"df63f087-5247-4329-9f7e-74455416931a","","pass","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007","R08"
"202d371c-80ee-4516-b0a7-a7829853c737","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007","S05"
"e8aafd1a-23ec-443e-874a-c5a78e0e54e7","","work-in-progress","","folder","TRUE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007"
"05c005c5-4fe8-47c8-b323-c37589e80385","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007","T05"
"946706f1-bcb5-4a4c-a129-953edb90fb81","","work-in-progress","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007","U08"
"86eeecf2-2123-487b-aa45-435d9d57e299","","not-started","OFFSITE - Fabrication of ALPOLIC NC Checklist","checklist","FALSE","FALSE","Manufacturing / Off-site QA","Shop Drawing - SKP-GAB-007","U15"
"9300a8f6-235d-44dd-a47c-6c4f05b3eebe","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"faf13af3-d3e2-424f-8f27-9c60684b0126","","work-in-progress","","folder","TRUE","FALSE","Site QA","Shop Drawing - SKP-GAB-003"
"780717e7-992c-4290-9b80-dffc8ba954a4","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-003","D16"
"9f831836-645f-483d-98ef-1dae1dc53ede","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-003","D19"
"9f773a54-f3c0-4879-a239-0ae1afad54c8","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-003","D36"
"983942ed-3528-4393-9d43-e04771525361","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-003","DGF21"
"5572ff8c-55dd-4597-a106-0fe7c92a0bb3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Shop Drawing - SKP-GAB-004"
"296de71c-a9f1-44a3-9e79-0b4a383e4523","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-004","E01"
"1abbb5fc-5486-4a25-8d31-162c51fa41e1","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-004","E12"
"c4186b8e-5f4d-4fbc-b0ce-7c18053fe51d","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-004","EGF04"
"7c0f3404-03ef-4bec-b57c-900b1ba10ceb","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-004","F02"
"4f73a98d-99a0-458a-8e3e-d9185054b7ae","","work-in-progress","","folder","TRUE","FALSE","Site QA","Shop Drawing - SKP-GAB-005"
"43667498-1df0-4132-8d3a-19e5734eea06","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-005","F02"
"a106484f-1060-4e9d-9f40-21cdda640fb0","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-005","F07"
"d6483d79-25d9-4ec8-bab4-5f830590d278","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-005","G10"
"76a62232-1c6e-4a50-af4a-46b31146c6fa","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-005","H06"
"110ccfbf-edc0-46b5-9b84-b1105a1111ea","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-005","J06"
"29fd8d0c-49cb-432a-bae5-c35af8d5fb7d","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-005","J17"
"ccc1992f-1935-479c-9e2c-3ec7c0265353","","not-started","","folder","TRUE","FALSE","Site QA","Shop Drawing - SKP-GAB-006"
"b2477372-3796-41e4-9924-a74661e49f3b","","not-started","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-006","L05"
"6f800e0d-fd72-4bfa-add3-9c75f983d66c","","not-started","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-006","L07"
"cb1d4735-be21-4135-bb4b-6a15c600ea16","","not-started","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-006","L28"
"ddc0f2cc-9149-4d48-a4f2-0564df2fbb4d","","not-started","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-006","L32"
"df1aea69-e898-43e5-8d19-f6d3b6ae341e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Shop Drawing - SKP-GAB-007"
"71dab06b-5f36-4758-85a2-44b3342fc419","","not-started","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-007","P09"
"e910967f-525a-4568-b022-94ca0a5c5034","","not-started","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-007","P10"
"411f1f4b-6351-4341-ac23-225358c88c5f","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-007","R03"
"9d657a5c-faf6-4d98-bcd9-c76ce1e81edc","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-007","R08"
"4202e57a-a2bc-404e-bbef-6b88d01bd7ff","","work-in-progress","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-007","S05"
"73c40ba9-18a5-437d-88f1-f7d042513f5e","","not-started","","folder","TRUE","FALSE","Site QA","Shop Drawing - SKP-GAB-007"
"ab63394d-c4da-4a63-9a7a-6623325f2869","","not-started","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-007","T05"
"852e77d3-7c43-467e-8ce4-6d23d42ee1cc","","not-started","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-007","U08"
"3e728c45-b697-4b75-bd22-6ac34d9c713f","","not-started","ONSITE - Installation of Facade System","checklist","FALSE","FALSE","Site QA","Shop Drawing - SKP-GAB-007","U15"
