Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Detailed Progress Matrix (L31-L37),,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Level 31,grouping,Level 31,,,
,,Circle,grouping,Circle,,,
,,L33-081,,L33-081,Circle,Level 33,Site QA
,,L33-082,,L33-082,Circle,Level 33,Site QA
,,L33-083,,L33-083,Circle,Level 33,Site QA
,,L33-084,,L33-084,Circle,Level 33,Site QA
,,L33-085,,L33-085,Circle,Level 33,Site QA
,,L33-086,,L33-086,Circle,Level 33,Site QA
,,L33-087,,L33-087,Circle,Level 33,Site QA
,,L33-088,,L33-088,Circle,Level 33,Site QA
,,L33-089,,L33-089,Circle,Level 33,Site QA
,,L33-090,,L33-090,Circle,Level 33,Site QA
,,L33-091,,L33-091,Circle,Level 33,Site QA
,,L33-092,,L33-092,Circle,Level 33,Site QA
,,L33-093,,L33-093,Circle,Level 33,Site QA
,,L33-094,,L33-094,Circle,Level 33,Site QA
,,L33-095,,L33-095,Circle,Level 33,Site QA
,,L33-096,,L33-096,Circle,Level 33,Site QA
,,L33-097,,L33-097,Circle,Level 33,Site QA
,,L33-098,,L33-098,Circle,Level 33,Site QA
,,L33-099,,L33-099,Circle,Level 33,Site QA
,,L33-100,,L33-100,Circle,Level 33,Site QA
,,L33-101,,L33-101,Circle,Level 33,Site QA
,,L33-102,,L33-102,Circle,Level 33,Site QA
,,L33-103,,L33-103,Circle,Level 33,Site QA
,,L33-104,,L33-104,Circle,Level 33,Site QA
,,L33-105,,L33-105,Circle,Level 33,Site QA
,,L33-106,,L33-106,Circle,Level 33,Site QA
,,L33-107,,L33-107,Circle,Level 33,Site QA
,,L33-108,,L33-108,Circle,Level 33,Site QA
,,L33-109,,L33-109,Circle,Level 33,Site QA
,,L33-110,,L33-110,Circle,Level 33,Site QA
,,L33-111,,L33-111,Circle,Level 33,Site QA
,,L33-112,,L33-112,Circle,Level 33,Site QA
,,L33-113,,L33-113,Circle,Level 33,Site QA
,,L33-114,,L33-114,Circle,Level 33,Site QA
,,L33-115,,L33-115,Circle,Level 33,Site QA
,,L33-116,,L33-116,Circle,Level 33,Site QA
,,L33-117,,L33-117,Circle,Level 33,Site QA
,,L33-118,,L33-118,Circle,Level 33,Site QA
,,L33-119,,L33-119,Circle,Level 33,Site QA
,,L33-120,,L33-120,Circle,Level 33,Site QA
,,L33-121,,L33-121,Circle,Level 33,Site QA
,,L33-122,,L33-122,Circle,Level 33,Site QA
,,L33-123,,L33-123,Circle,Level 33,Site QA
,,L33-124,,L33-124,Circle,Level 33,Site QA
,,L33-125,,L33-125,Circle,Level 33,Site QA
,,L33-126,,L33-126,Circle,Level 33,Site QA
,,L33-127,,L33-127,Circle,Level 33,Site QA
,,L33-128,,L33-128,Circle,Level 33,Site QA
,,L33-129,,L33-129,Circle,Level 33,Site QA
,,L33-130,,L33-130,Circle,Level 33,Site QA
,,L33-131,,L33-131,Circle,Level 33,Site QA
,,L33-132,,L33-132,Circle,Level 33,Site QA
,,L33-133,,L33-133,Circle,Level 33,Site QA
,,L33-134,,L33-134,Circle,Level 33,Site QA
,,L33-135,,L33-135,Circle,Level 33,Site QA
,,L33-136,,L33-136,Circle,Level 33,Site QA
,,L33-137,,L33-137,Circle,Level 33,Site QA
,,L33-138,,L33-138,Circle,Level 33,Site QA
,,L33-139,,L33-139,Circle,Level 33,Site QA
,,L33-140,,L33-140,Circle,Level 33,Site QA
,,L33-141,,L33-141,Circle,Level 33,Site QA
,,L33-146,,L33-146,Circle,Level 33,Site QA
,,L33-147,,L33-147,Circle,Level 33,Site QA
,,L33-148,,L33-148,Circle,Level 33,Site QA
,,L33-149,,L33-149,Circle,Level 33,Site QA
,,L33-150,,L33-150,Circle,Level 33,Site QA
,,L33-151,,L33-151,Circle,Level 33,Site QA
,,L33-152,,L33-152,Circle,Level 33,Site QA
,,L33-153,,L33-153,Circle,Level 33,Site QA
,,L33-154,,L33-154,Circle,Level 33,Site QA
,,L33-155,,L33-155,Circle,Level 33,Site QA
,,Loading Bay,dynamic,Loading Bay,Level 33,Site QA,
,,Corewall,dynamic,Corewall,Level 33,Site QA,
,,Alimark,dynamic,Alimark,Level 33,Site QA,
,,Level 34,grouping,Level 34,,,
,,Circle,grouping,Circle,,,
,,L34-001,,L34-001,Circle,Level 34,Site QA
,,L34-002,,L34-002,Circle,Level 34,Site QA
,,L34-003,,L34-003,Circle,Level 34,Site QA
,,L34-004,,L34-004,Circle,Level 34,Site QA
,,L34-005,,L34-005,Circle,Level 34,Site QA
,,L34-010,,L34-010,Circle,Level 34,Site QA
,,L34-011,,L34-011,Circle,Level 34,Site QA
,,L34-012,,L34-012,Circle,Level 34,Site QA
,,L34-013,,L34-013,Circle,Level 34,Site QA
,,L34-014,,L34-014,Circle,Level 34,Site QA
,,L34-041,,L34-041,Circle,Level 34,Site QA
,,L34-042,,L34-042,Circle,Level 34,Site QA
,,L34-043,,L34-043,Circle,Level 34,Site QA
,,L34-044,,L34-044,Circle,Level 34,Site QA
,,L34-049,,L34-049,Circle,Level 34,Site QA
,,L34-050,,L34-050,Circle,Level 34,Site QA
,,L34-051,,L34-051,Circle,Level 34,Site QA
,,L34-052,,L34-052,Circle,Level 34,Site QA
,,L34-053,,L34-053,Circle,Level 34,Site QA
,,L34-054,,L34-054,Circle,Level 34,Site QA
,,L34-055,,L34-055,Circle,Level 34,Site QA
,,L34-056,,L34-056,Circle,Level 34,Site QA
,,L34-057,,L34-057,Circle,Level 34,Site QA
,,L34-058,,L34-058,Circle,Level 34,Site QA
