"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"54ee1349-a7ec-491c-9ec8-71dda389b406","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Site EOD","June 2024","05/06/2024"
"58ab8670-11f6-4bcb-a64a-7253281f96f4","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","06/06/2024"
"59d2ada7-51ae-4d1a-9c76-dc9b4c84a239","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Site EOD","June 2024","07/06/2024"
"eb0d3ada-9bd8-40f1-bd72-1bee903ee5fe","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","10/06/2024"
"fd0fdc88-5f36-44f6-b22e-1931dfbca46c","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","11/06/2024"
"f773a65a-7a51-47e8-bab2-9e2191efcd25","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","12/06/2024"
"1d1e4db8-b312-42b5-a0cd-75e5d3bc215d","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","13/06/2024"
"53f9dda7-c2ae-4492-ba9e-dd53e5b69e29","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","14/06/2024"
"6fb11f78-6d4c-4343-ad79-dd341a8dd6a8","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","17/06/2024"
"0a0535ad-364d-44eb-9e98-afd51dd555ff","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Site EOD","June 2024","18/06/2024"
"b81f7efa-d8e4-4bc4-bf74-21cfefdfb902","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","19/06/2024"
"9457c7d7-7923-4f27-b089-f5a2fa9c358e","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","20/06/2024"
"2fa299f8-d9d4-40a5-8b93-ec01dbb45256","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","21/06/2024"
"5b0bd655-9e98-4049-b370-59250f8c692e","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","24/06/2024"
"100d5b06-f243-4a6b-9948-bbfa09ad24fc","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Site EOD","June 2024","25/06/2024"
"d6ddd757-b784-49e0-b524-868dec8f34b0","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Site EOD","June 2024","26/06/2024"
"a71410fa-cc90-43ef-a0cf-9db620548d4e","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","27/06/2024"
"461c7b5a-dfc5-4663-83d3-1d89de9373fe","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","June 2024","28/06/2024"
"3ecf04e6-9049-41d8-b3ef-9e25829669ef","","not-started","","folder","TRUE","FALSE","Site EOD","July 2024"
"bd1e374e-eaa1-40b8-bf56-27a5d8ac071c","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","01/07/2024"
"da6d3902-2969-4277-a339-ea61f12506fc","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Site EOD","July 2024","02/07/2024"
"e7e82eda-94bf-4a5b-b892-1f2426e40758","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Site EOD","July 2024","03/07/2024"
"80e63562-a151-4c96-bfae-2333e19e907c","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","04/07/2024"
"0ced2405-87aa-4149-b938-7e187fdb3fce","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","05/07/2024"
"8d623fc2-20e8-4e73-8a89-1fbc23e324f9","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","08/07/2024"
"74a2f3cb-d0bb-46d8-b872-cc409668ec91","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","09/07/2024"
"fd968d88-721b-42ff-b5c1-4a04aee2fb05","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","10/07/2024"
"100164a6-2c86-45ea-8beb-58c459821e9a","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","11/07/2024"
"820df083-7f88-4933-a54a-528e6f68b547","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","12/07/2024"
"c7ea878f-e345-45a8-b532-4c9fa19dc5e6","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","15/07/2024"
"ffd4ce38-6bce-4baa-b164-a74d42135b5d","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","16/07/2024"
"ef459527-8abf-4f6c-a666-c11fcabdafbb","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","17/07/2024"
"25b6c460-7ea2-414b-b28b-a5bde944313d","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","18/07/2024"
"5f2f9c54-030d-4599-8bcd-edc74a947218","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","Site EOD","July 2024","19/07/2024"
"0aae21cb-24ea-4e72-ba8d-ca3dad78428e","","work-in-progress","","folder","TRUE","FALSE","Toolbox Talks"
"acb80f1c-ca69-4ce5-9d2a-c80e48df41f6","","work-in-progress","","folder","TRUE","FALSE","Toolbox Talks","General"
"7c41e4a9-4007-45a7-bb03-466997c71645","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","General","03/05/24"
"16da1e3d-9777-437f-b479-5ace56bda88f","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","General","17/05/24"
"d6d1768c-bd2e-4856-8d49-874b7024db39","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","General","31/05/24"
"725426d2-bd8f-48f9-932f-272757141f7b","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","General","11/06/24"
"3fd376b3-599a-461b-abea-1e55abb85097","","not-started","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","General","28/06/2024"
"fca8732c-5b34-4027-a9a3-d5ad4ff62fe2","","not-started","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","General","12/07/2024"
"737a3956-4cdc-4f96-84ad-c43c2b3cfef0","","not-started","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","General","26/07/2024"
"ab022644-6d4e-46a9-823a-02679b15d492","","not-started","","folder","TRUE","FALSE","Toolbox Talks","Task Specific"
"e7efa9aa-fe9c-4e10-b4ab-1a5c3d6d55b0","","not-started","FORM-002 Tool Box Talk Platform Ladders","checklist","FALSE","FALSE","Toolbox Talks","Task Specific","FORM-002 Tool Box Talk Platform Ladders"
"e2d43bae-d58f-4731-b1a1-de3e1e25ae2f","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"c6f5d04a-a319-4bc5-9577-3d5132b4577e","","work-in-progress","","folder","TRUE","FALSE","Site QA","TEMPORARY FIRE STRATEGY"
"9f3d943d-853d-4b15-8c8d-4548d62e0902","","work-in-progress","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Basement"
"7fd6d6f9-e4b8-41f1-9cde-cea6d15196a1","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Ground"
"f97e58ed-a829-421a-86ed-334f58b09b3e","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Mezzanine"
"461d8443-2379-4ae6-87fd-199a74b770b0","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 1"
"dbb55fe6-369b-41e7-a3f4-9b7430e7ea73","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 2"
"0811a3fe-4aab-4692-affa-4b10e340075d","","not-started","ITPS-018 Temporary Fire Strategy","checklist","FALSE","FALSE","Site QA","TEMPORARY FIRE STRATEGY","Level 3"
