"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"193a5374-22c7-4e46-b5bf-978df5510b6e","","work-in-progress","010SAF_08 SWMS","checklist","FALSE","FALSE","SWMS"
"02abac51-f17c-46c8-bf43-96859c490843","","work-in-progress","","folder","TRUE","FALSE","Prestarts"
"22c93151-5da7-4a77-ab5c-a0522953659e","","pass","","folder","TRUE","FALSE","Prestarts","April 2024"
"fbd71da5-8723-4860-9b92-7f091ccd40ec","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Prestarts","July 2024","09/07/2024"
"6478e1f3-27bb-4724-839c-b3ae15961321","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","10/07/2024"
"68d2780d-01c0-4f18-8498-e987e3e4f97c","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","11/07/2024"
"c0ac8e39-f467-457c-864b-9028afd47a3b","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","12/07/2024"
"7f717dac-091c-41f4-bb52-7d6fd46ea616","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","15/07/2024"
"138a7c73-ae73-42ad-a493-acfc0ff17b19","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","16/07/2024"
"66539070-e900-4399-a25b-750294c8914e","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","17/07/2024"
"c55acca8-6bc1-406d-95c1-48497251f8a6","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","18/07/2024"
"d955a241-ffc3-4f68-9ae8-046ea3a71379","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","19/07/2024"
"bb58b630-0b90-4ad5-85fa-9b8ec23b8fab","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","22/07/2024"
"5a48a2dc-067c-4c85-a9cd-210511f69d14","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","23/07/2024"
"280901e7-b851-4ba8-8037-78e3082d0433","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","24/07/2024"
"16b7e722-9219-44b4-8b25-b90a313d9e8d","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","25/07/2024"
"a94a327a-6deb-4729-81ac-c9ca25e9510c","","not-started","CHECK-006 Daily Prestart","checklist","FALSE","FALSE","Prestarts","July 2024","26/07/2024"
"283c5303-3e3e-4443-befa-2a7dfa4cea13","","not-started","","folder","TRUE","FALSE","Prestarts","Plant and Equipment"
"ad57c563-bd72-49e0-bcba-112d142dda3e","","not-started","CHECK-004 Prestart Plant and Equipment","checklist","FALSE","FALSE","Prestarts","Plant and Equipment","CHECK-004 Prestart Plant and Equipment"
"3a95075d-0020-47bc-92c9-cee965d1cb79","","work-in-progress","","folder","TRUE","FALSE","EOD"
"d290f3f4-1da9-4412-a5ed-e9632708c056","","work-in-progress","","folder","TRUE","FALSE","EOD","June 2024"
"a6d00735-eb2a-4207-90da-a49ae5c5b2d4","","work-in-progress","4c6dd9790cec5c8b6ce992463093eceeaa51bbc31335dc576e7a13335da4e1d2","checklist","FALSE","FALSE","EOD","June 2024","04/06/2024"
"ed4792a3-a188-415d-9331-77903dae7842","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","EOD","June 2024","05/06/2024"
"e182e35f-aa80-4168-a72c-b457a5c1ded3","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","EOD","June 2024","06/06/2024"
"608b0137-6132-4a43-9867-7c3d6a0c78e3","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","EOD","June 2024","07/06/2024"
"6f15c3a8-28bd-4734-ae5b-150b6ee5cc94","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","EOD","June 2024","10/07/2024"
"4947bddf-e946-4b9d-9c7f-4e8b3c6c9f48","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","EOD","June 2024","11/07/2024"
"52a41f2b-f464-4bef-8fd6-8a59085c51fe","","not-started","CHECK-005 Site EOD","checklist","FALSE","FALSE","EOD","June 2024","12/07/2024"
"eb6699dc-b899-4f81-9424-c31534f57873","","work-in-progress","","folder","TRUE","FALSE","Toolbox Talks"
"9a7e6dc3-ab52-499f-ba7a-e4854f5a4fba","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","08/05/2024"
"0096212f-93f2-4eb1-a67c-289b6ee6f9dc","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","10/05/2024"
"2c9f9ab3-4782-43b9-8e5d-8e8a325b5687","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","17/05/2024"
"0eb2ba9f-00b3-446c-a531-b5a33df831a5","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","24/05/2024"
"85b0be81-ab06-4751-89eb-28738acf3854","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","31/05/2024"
"c2fd3348-cadc-4ac8-910e-7285c7cf898a","","pass","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","07/06/2024"
"b5f6f359-a978-4ccc-a807-6338d3c3bc8a","","not-started","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","21/06/2024"
"6e949af4-fed0-4b5c-967b-55d7557f7e19","","not-started","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","28/06/2024"
"a61c0781-e230-43b3-8c02-c1174e3f1811","","not-started","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","05/07/2024"
"ec02f78c-5209-48a3-a895-24c133f7f668","","not-started","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","12/07/2024"
"d14eb9e7-6393-45c0-8398-418c92676d6a","","not-started","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","19/07/2024"
"34c0c0d7-8442-4547-8497-973e23328442","","not-started","FORM-001 Tool Box Talks","checklist","FALSE","FALSE","Toolbox Talks","26/07/2024"
"5f1f9dbc-815d-4c3a-b6d9-f8eec2d3300f","","work-in-progress","","folder","TRUE","FALSE","Dry Fire"
"d4833417-fdab-4c8a-b5e0-10d321666ecd","","work-in-progress","","folder","TRUE","FALSE","Dry Fire","Conduits in Slab"
"79e4b32e-786c-4662-b902-ba34f8e89d89","","pass","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Lower Ground MPX-GMF-ITR-FIR-LG004.01"
"6bd39312-b6f6-4867-936b-16c53cdcfd06","","pass","d079b1d73ecaf4b45e461f30cfd58eff2cd3259efff6ff39a9ba8c6b8b4500e0","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Ground (South) | Pour P1 | MPX-GMF-ITR-FIR-G001.01"
"a4196cbf-9d6f-4d1d-9281-99dcfd2d3931","","pass","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Ground (Central) | Pour 2A | MPX-GMF-ITR-FIR-G001.02"
"2509488b-7db6-4273-95e6-074b7139cb42","","pass","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Ground (North) | Pour 3 | MPX-GMF-ITR-FIR-G004.03"
"2d39f7b3-21da-4fae-9025-61d1cd0ba83a","","pass","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 1 Stairs (1 & 4) | Pour P1 | MPX-GMF-ITR-FIR-L001.01"
"f01be382-d48d-4ac5-9d1c-5184cf6e0266","","pass","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 1 (Stair 1 & 4) | Pour 2A & R2 | MPX-GMF-ITR-FIR-L001.02A & MPX-GMF-ITR-FIR-L001.0R2"
"fdf99292-d5eb-4dc5-922f-932e89ef8923","","pass","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 1 (Stair 2 & 3) | Pour 2B & R1 | MPX-GMF-ITR-FIR-L001.02B & MPX-GMF-ITR-FIR-L001.0R3"
"90d0652a-e454-488f-936a-21c29f4769c1","","pass","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 1 (North) | Pour 3 | MPX-GMF-ITR-FIR-L001.03"
"c09afb39-f180-4f9b-a3f6-97ef8d4ac54c","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 2 (South) | Pour P1"
"58f92833-5849-4abf-bf0e-71e944f0d71c","","work-in-progress","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 2 (North Ramp) | Pour R1"
"00316aee-c153-4ca4-8bde-5de190c7d0c2","","not-started","010SAF_08 SWMS","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 2 (South Ramp) | Pour R2"
"aa201495-10e9-4b9f-8b98-b07fd9426ffb","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 2 (East & West) | Pour 2A"
"71a3ba2c-6f68-48f9-9a37-955d9f0a9617","","work-in-progress","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 2 (East & West) | Pour 2B"
"a91b014f-0a04-406e-b804-c17b3bca1db0","","work-in-progress","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 2 (North) | Pour 3"
"c6e68f97-d807-4348-9859-ddb644738f49","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 3 (North Ramp) | Pour R1  (POUR DATE 12.06.24)"
"9d315bc4-6983-40bc-86fd-c421a98a0aa0","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 3 (South Ramp) | Pour R2  (POUR DATE 06.06.24)"
"29a73835-ba95-4160-9856-953dfb04ea73","","work-in-progress","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 3 (South) | Pour P1  (POUR DATE 18.06.24)"
"6fb1f3f8-e1c8-4a50-996c-68dcdfbe83cd","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 3  (East & West) | Pour 2A  (POUR DATE 28.06.24)"
"761887ec-c057-470f-b777-8e4852bc8798","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 3 (East & West) | Pour 2B  (POUR DATE 26.06.24)"
"77e02eae-5e12-45a8-8bab-fa593f1f7ffb","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 3 (North) | Pour 3 (POUR DATE 21.06.24)"
"64d0c806-26bb-446c-9991-bc88c882c40f","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 4 (South) | Pour P1  (POUR DATE 17.07.24)"
"45fc5bb8-b45f-43a8-b23b-2ba8a40c71a8","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 4 (North Ramp) | Pour R1 (POUR DATE 18.07.24)"
"53b6085e-818a-49b3-a1e4-53380dd4dfda","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 4 (South Ramp) | Pour R2 (POUR DATE 18.07.24)"
"93fd0d98-0d42-4eab-8478-466bb3d4593b","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 4 (East & West) | Pour 2A  (POUR DATE 12.07.24)"
"51da5a49-946e-40fc-ad03-915294faec6d","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 4 (East & West) | Pour 2B  (POUR DATE 10.07.24)"
"1ff2059e-e21f-497c-8e47-260cd5f29cad","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 4 (North) | Pour 3  (POUR DATE 05.07.24)"
"084821da-927e-46d1-917e-5e061824b2e7","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 5 (South) | Pour P1"
"0ed11798-d04f-4e13-b283-81c7b32fd066","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 5 (North Ramp) | Pour R1"
"a74bd709-ebd3-413d-9d06-a67dfbdfa50b","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 5 (South Ramp) | Pour R2"
"5ec827e7-7680-4917-855e-46f2ac2af965","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 5 (East & West) | Pour 2A"
"9ed1e944-d805-4ef4-b852-65813f301e4b","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 5 (East & West) | Pour 2B"
"a68ad6bf-6e9c-452c-b274-ecc48aecff9a","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 5 (North) | Pour 3"
"7a73d666-0db2-40a9-a724-52ba6d36aa84","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 6 (South) | Pour P1"
"567e6402-11b6-449f-90c7-6aecd676428a","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 6 (North Ramp) | Pour R1"
"47a3ee38-4d3a-497e-a015-956a9cc81b27","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 6 (South Ramp) | Pour R2"
"c51f1f76-e7b7-421e-ad61-ad3665a7ce34","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 6 (East & West) | Pour 2A"
"b2295000-d07c-4a31-aeba-03b5d5e64fe1","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 6 (East & West) | Pour 2B"
"a9a0b765-b142-4012-80a9-fe33f7bc84b7","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 6 (North) | Pour 3"
"b333bd79-dd15-4374-a538-03bf54cfad44","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 7 (South) | Pour P1"
"ab6fdcf7-4aac-4714-887a-4061944a9f54","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 7 (North Ramp) | Pour R1"
"30dd2bec-ff5b-4231-99fb-81cb8f694dd0","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 7 (South Ramp) | Pour R2"
"1229e8bb-9c69-49ea-a507-cda2e0ce530a","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 7 (East & West) | Pour 2A"
"3d0d3929-4f91-416f-9b51-cee409795e87","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 7 (East & West) | Pour 2B"
"ad539276-0568-4a07-a99c-ffceceab3bd8","","not-started","ITPS-012 In Slab Conduit Installation","checklist","FALSE","FALSE","Dry Fire","Conduits in Slab","Level 7 (North) | Pour 3"
"e34f49ec-f80e-4a80-86d6-59920ca2c32b","","work-in-progress","","folder","TRUE","FALSE","Dry Fire","Rough In"
"b52256ce-177e-4831-960b-2671798a7611","","work-in-progress","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Rough In","Lower Ground"
"8e86d06d-5d63-4209-9984-93dab66d444a","","work-in-progress","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Rough In","Ground"
"69270c96-2ed5-4a06-a42e-52a814790f34","","work-in-progress","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Rough In","Level 1"
"f071dc0c-0605-4b5f-87ea-99c5f42cfb12","","work-in-progress","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Rough In","Level 2"
"723a976d-0dfc-49ef-90f7-595cbb26b529","","work-in-progress","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Rough In","Level 3"
"eda19285-0ca9-4db8-b973-ebe65b0e6ab4","","work-in-progress","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Rough In","Level 4"
"635ff77e-4001-4407-8c3d-b4b09830ec20","","work-in-progress","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Rough In","Level 5"
"831ac8e0-9f70-48c4-8cde-5110b3a1aae3","","work-in-progress","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Rough In","Level 6"
"5e24f9bb-3aab-417c-897e-d6a81f1632ef","","work-in-progress","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Rough In","Level 7"
"0dc0f756-0894-4c45-abb8-7f0bc497a6bf","","not-started","","folder","TRUE","FALSE","Dry Fire","Fit Off"
"043df695-c1ba-4605-9f5d-76370a8aa169","","not-started","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Fit Off","Lower Ground"
"a5fcb0a9-e594-4515-ac49-7f69416c4a6f","","not-started","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Fit Off","Ground"
"073d9498-47b7-4653-86fe-c5216a17eaa0","","not-started","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Fit Off","Level 1"
"d55d2dc1-6245-4b19-8908-7357c78714d4","","not-started","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Fit Off","Level 2"
"bc0da095-a9e6-4a53-a27c-ebec21c9af87","","not-started","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Fit Off","Level 3"
"96994776-0410-4d38-9145-a063d9078375","","not-started","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Fit Off","Level 4"
"c7622651-c1ad-49e1-a8b7-e13a7a044207","","not-started","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Fit Off","Level 5"
"cd2b0ba7-c5d5-4e96-805a-da99d047134f","","not-started","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Fit Off","Level 6"
"f1b89389-d01f-492e-b65c-4483664af9df","","not-started","ITPS-003 Fire Alarm and EWIS Installation","checklist","FALSE","FALSE","Dry Fire","Fit Off","Level 7"
"374c8753-0eb5-48a7-a101-667c7153e3fb","","not-started","","folder","TRUE","FALSE","Dry Fire","Alarms and EWIS Commissioning"
"f139cdbe-aad4-4144-8c61-9e916419ebd2","","not-started","ITPS-004 Fire Alarm and EWIS Commissioning","checklist","FALSE","FALSE","Dry Fire","Alarms and EWIS Commissioning","MASDS"
"eaccc794-457a-4e16-8ee1-9af163fbcb47","","not-started","ITPS-004 Fire Alarm and EWIS Commissioning","checklist","FALSE","FALSE","Dry Fire","Alarms and EWIS Commissioning","Level LG-Level 7"
