"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ab6c7918-7310-4ca4-9ab8-7809a7c38097","","folder-normal","pass","","step","TRUE","FALSE","Level 8"
"f6352465-646b-4c44-a189-f92c12be40dc","","checklist-sectioned","pass","f375ec233ed2f5893da1903096d757a30ced3de7471a288ed2ff602b3a25747d","checklist","FALSE","FALSE","Level 10","10c-01"
"af27bbb3-b396-4d75-9bfa-76f29653be26","","folder-normal","pass","","step","TRUE","FALSE","Roof"
"3024d453-758c-483f-9115-e324f5605496","","checklist-sectioned","pass","7d050428083ce5dd79f825a144d759288127b9ee543d0835509745daf16074e6","checklist","FALSE","FALSE","Roof","R-LD01"
"3a64da7e-d5d3-46a2-a40c-72974e9d7fb5","","folder-normal","pass","","step","TRUE","FALSE","4 Level 9"
"b4e70c4c-d416-431c-971c-e1408a1d3292","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","4 Level 9","L9-CP11a"
"e9a40cf6-ed78-45b6-afc5-6f2be6207236","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","4 Level 9","L9-CP11b"
"3c2ae48a-48c4-44c0-ae62-8fccee590db1","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","4 Level 9","L9-CP11c"
"bc59c80b-7cb8-4a89-80e0-02d0eb54ce87","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","4 Level 9","L9-CP11d"
"15a74ee7-6b63-4e5a-adf6-7477ccdb26e4","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","4 Level 9","L9-CP11e"
"ca45aaea-2be7-482c-a71b-d79ae8954f2e","","checklist-sectioned","pass","6cf9b6e17b10282b44594aa471409e7b008d20db6464ac8cfdf03a5860b6ef21","checklist","FALSE","FALSE","4 Level 9","L9-CP11f"
"ac620dd9-1d57-42db-9feb-5308626a6334","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","4 Level 9","L10-LD11"
"3c1518f9-1623-41bb-8919-91744cb2a1e9","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","4 Level 9","L9-LD12"
"166236ed-6dba-4319-bc5e-b9cac4e3d115","","checklist-sectioned","pass","8b19975b390db2488f718d230d6e2ea23acb279f35af32137cdf7fefa695df89","checklist","FALSE","FALSE","4 Level 9","L9-LD13"
