"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c1973f13-9485-487f-a324-c026de0aec93","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P49"
"4698ada3-82c0-4568-9bda-c81fd0712dc9","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P50"
"c5ce8ca0-71fe-43d3-8c63-da6911600d6e","","checklist-sectioned","pass","3d3b478f415757f004a6357a493590072c302c0fdbaa7f742f66164e5b9eba4b","checklist","FALSE","FALSE","Building A","Ground Floor","G-P51"
"0b14eca2-4b04-4789-8f4a-d06c155a2ae8","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P53"
"6f84a4d7-5790-4029-9a17-1b97a801deca","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P54"
"3b8701a7-da46-40fb-91cf-ac2a9fa76f9f","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P55"
"aefa7f95-8277-46c9-a06f-5e1571ce7976","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P56"
"addda0de-c5fc-4c4c-87a8-18a6adcf63a3","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P57"
"01e2dbad-3711-4f1a-ae2c-5480432abc36","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P59"
"210f8fad-12e3-416a-abfd-fe31c3b5e68d","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P60"
"13eb52cb-511b-4e4c-aeb9-7303142df5d7","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P60A"
"3aba32a4-3bf7-4942-97dc-78059b45f994","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P61"
"d8b7803e-4e20-46d6-aa8a-7ba5f1dc12d5","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P62"
"a7a8a522-420c-49d4-bbab-a634234ba61c","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P63"
"5f08c313-1d3a-485d-bc87-cd196f26c8e1","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P64"
"c7a72a2c-ed65-4f4c-a47c-df52bafeb038","","checklist-sectioned","pass","8898460c67d635985b08d1118817ea210659018f887668cc753a761106ce3278","checklist","FALSE","FALSE","Building A","Ground Floor","G-P65"
