"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"824a7aed-a697-42dc-8405-b35316d96706","","folder-normal","fail","","step","TRUE","FALSE","Ground Floor"
"e20c0945-9232-40a8-b751-201c1da3254d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P23"
"d8423c7a-4daa-444b-9cd3-4f03d4ddd6e8","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P24"
"ecb195e4-7097-4ae5-b9ee-1171ebbf4930","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P25"
"95065b02-52b4-4dc3-942f-01acf2ff1fb4","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P26"
"573dda76-300e-45b9-8104-77fa805d1898","","checklist-sectioned","work-in-progress","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P27"
"cc3024f6-ae85-4158-a319-0cf7a6ea3c12","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P28"
"7527adc7-0655-4ea0-825c-955148f52319","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P29"
"06051974-447f-44a1-864d-1a6b8957b438","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 1","L1-P30"
"2e893b58-57fb-4bd9-bfd6-568bfaa8157c","","folder-normal","fail","","step","TRUE","FALSE","Level 2"
"3b8334b8-53ad-49ea-bde9-28f1cd56afe4","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-01"
"47bb2929-1eae-43ac-8be2-0e18ea343cd2","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-01(2)"
"33141038-dc9f-4fc4-8c1d-cbd814fd28cd","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-04"
"5da92445-ec01-42e9-95ae-868a3e513869","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-04(2)"
"42d6ec71-eb23-4442-a7d7-29e04534cd03","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-07"
"3e026f9a-2c8b-482b-a178-cd5f4eddeb3f","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-07(2)"
"af323272-1455-45c8-8ceb-99f8ef82835b","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-10"
"a9e4fb6e-2195-4bc6-a04e-e19b27c84607","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-10(2)"
"0062a063-9676-4b7d-89e2-d82ff17b7e21","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-14"
"c75e19f7-2a4f-4613-bcb4-ede0bf45b91b","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-14(2)"
"7df467d1-c489-441e-a19d-168e28558d5d","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-17"
"1a0cfe46-f52a-4513-aa5b-284215917459","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 2","L2-17(2)"
"b9e5513f-996c-4442-96c0-d8cae38424c3","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-C02"
"9535e5ca-a18e-4030-ad0b-4cf03ecfa6a5","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-C03"
"230a4b99-b9c5-40ff-b222-ba9c432cea38","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-C04"
"e3e19134-0970-47c8-bd8b-f3e72fa59dff","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-C01"
"d2cecadc-fa13-4608-8ea1-823ea1ae1613","","checklist-sectioned","work-in-progress","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 2","L2-C05"
"d3aa5ed4-78a0-4522-879a-c638d4b8612c","","folder-normal","fail","","step","TRUE","FALSE","Level 3"
"7da76918-63c0-4836-af1f-3881b06d436f","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-01"
"93e38d6b-6f9d-44e7-bd13-67b716d1cbaf","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-01(2)"
"bed1cb95-d0a1-4a76-a197-c6c91fb9adda","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-04"
"5bb0e1e6-99c9-44f3-bd4f-7e4130cbb9ed","","checklist-sectioned","fail","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-04(2)"
"c9365a48-7471-45b7-ad5e-94052c160b92","","checklist-sectioned","pass","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-07"
