"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e20f581c-1680-4a2b-93af-feb15e1c56a1","","folder-normal","pass","","step","TRUE","FALSE","Level 7"
"0d3b8305-1940-4dbf-b0fa-62b7b679e7a1","","checklist-sectioned","not-started","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 8","L08-PP16"
"8223409d-562b-4a9e-8506-85c81c57922c","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Level 8","L08-P50"
"8864c94e-fdf5-447f-9da0-af8a028d4d8a","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Level 8","L08-P51"
"d2bf71ce-0425-4e7e-86ee-b1d4cb7689b9","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Level 8","L08-P51a"
"fd701324-982e-434b-b520-41ce6bc03d23","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Level 8","L08-P52"
"7c4a336b-7157-4f0b-8ed0-c2a128b3baf0","","checklist-sectioned","pass","83d4980bde89da0475cea782473feb74bd454b66623e1ef3e89cdeae19b7608f","checklist","FALSE","FALSE","Level 8","L08-P53"
"1af3cfd7-d8d7-4725-ad36-05c434c2f6c2","","checklist-sectioned","pass","83d4980bde89da0475cea782473feb74bd454b66623e1ef3e89cdeae19b7608f","checklist","FALSE","FALSE","Level 8","L08-P54"
"e117db96-82de-4444-99fd-ea98a82223ab","","checklist-sectioned","pass","83d4980bde89da0475cea782473feb74bd454b66623e1ef3e89cdeae19b7608f","checklist","FALSE","FALSE","Level 8","L08-P55"
"6b59f764-3ab0-4b19-9b0b-e91f166e27d9","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Level 8","L08-P56"
"d20adf79-164a-4620-80fe-2f7cd2174c0f","","checklist-sectioned","pass","314394ab013cfc922fa790810d06765e1898e7b51d8da08807fe227427ac11f9","checklist","FALSE","FALSE","Level 8","L08-P57"
"362c7fd4-45af-4177-a355-0cd2b85bb7ad","","folder-normal","pass","","step","TRUE","FALSE","Roof"
"5d469765-8f00-4f74-873c-68b063293605","","checklist-sectioned","pass","83d4980bde89da0475cea782473feb74bd454b66623e1ef3e89cdeae19b7608f","checklist","FALSE","FALSE","Roof","R-LD02"
"c1c38cb3-11d2-472b-8ec2-0d6e0b67db6d","","checklist-sectioned","pass","83d4980bde89da0475cea782473feb74bd454b66623e1ef3e89cdeae19b7608f","checklist","FALSE","FALSE","Roof","R-LD04"
