"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2378c659-7bcd-4197-8483-f0a24388bcdd","","folder-normal","","","step","TRUE","FALSE","Timesheets"
"2f558e5a-af02-4299-8fd6-3c5328ccd5e9","","folder-normal","","","step","TRUE","FALSE","Timesheets","23rd November - 29th November"
"97fd12d5-dce6-491d-a655-9d54bde61c08","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jarrod Bond"
"62f580d3-3235-4811-b5c1-142bbb679b00","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jarryd Adaway"
"b7ccd60d-4f10-4936-a26e-9ffa1e9c8098","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jason Mark"
"e24afbc5-1688-4c66-917c-ccdf66a2a576","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jay Johnson"
"3295ddf2-1910-4c62-a386-d61aa685bbf8","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jayke Mawson"
"f1c4e19b-c9ec-4a5a-b5ca-67f5ac3d8618","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jeremey Corbett-Large"
"8af7c634-75a3-49b1-ab6b-1c25a66b7663","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Joe Malone"
"2ef69807-4701-4cc7-8d86-67f15088f340","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Joel Masters"
"6aa54f00-c552-4b90-a98d-5832b5acd66f","","checklist-flat","","Weekly Timesheet","checklist-flat","FALSE","FALSE","Timesheets","23rd November - 29th November","Jordon Wilson"
"641c3acf-0018-4d61-af22-ac60e2fee74e","","folder-normal","","","step","TRUE","FALSE","Timesheets","29th Dec - 4th Jan"
"054be384-0415-4b3f-af1c-df7a66f3ce26","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Adam"
"19fd4143-df26-4fe4-9310-a14d16e486c9","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Aka"
"a157115f-08aa-4e88-9ec7-40a0972a0d19","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Ben"
"ae6def88-579f-4950-b571-68edddd3cc6c","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Billy J"
"b59d32aa-50e6-41c2-87c0-263c35b7b644","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Barlow"
"7e806865-4361-4e9a-9624-c24bc4e0b880","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Blake"
"8cc1a4cc-2320-45bf-8811-59776ef7290c","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Burger"
"e783e734-16bb-431a-882c-973e6bc8145c","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Batch"
"2df08299-a0fc-4ea9-bb2c-8f95ef2ab635","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Boothy"
"ddbbe139-1eac-4cdb-9457-984921c1c66a","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Bucky"
"4ca5f2b7-14ed-4725-90fb-96b7ff652eff","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Brendan"
"f628d397-d45c-4586-933c-f80e7a9bb9be","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Chris"
"33b68cfc-1d6c-4453-92e9-7413b364cc64","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Daniel"
"255684ba-5ea7-458c-bc98-fea9e3da08ad","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Dave S"
"7bf6da10-79ef-4a5d-b281-12cbecd37a19","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Dinga"
"bc5d2810-31fc-4b89-9915-90228810a436","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Doug"
"aa41ec07-0694-4460-9351-d34d6fd700ce","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Doonga"
"64f0dafa-dc69-40d3-ab1e-e4d2c53127ae","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","General"
"c75cdd5a-04a0-4bec-bf1c-8f1c8deeabfe","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Gary"
"bdd9e322-1c99-44bc-b4f8-39a35ca480af","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","James B"
"2e138adf-dd2d-4565-81ab-dad2eefa24fd","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jarrod B"
"a08498fd-cc0f-4e0e-979d-c4b5154ef27c","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jimmy"
"9c075bfd-d2b2-4914-a1f0-6dc974df88c0","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jay A"
"fbd97fe0-baa3-4cba-add2-fd6481d01f30","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jay J"
"e994e6a4-5178-4762-9fa3-6871145b75ca","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jobbo"
"036b3501-7ebc-4a02-acaa-8c5852944f10","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Josh"
"c4a80018-d548-4ab1-b4f6-d531ddccc52e","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jules"
"5ce32c93-81d4-4544-af48-264242663c59","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jake"
"7fa9a372-4834-4ecb-a5ce-95ccc6792635","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jack B"
"1bac1625-d1ad-4568-ba2c-ac221f3e0734","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jack W"
"2b7ec2ea-5443-4753-82d9-c660407e16c5","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Joe"
"db64cfa5-0300-48a6-b0bd-306aac609305","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Jez"
"72413b8c-316a-4d8a-91f2-1d25fa64aec4","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Joel M"
"e1c72542-611f-4067-a0b1-d26cafe94165","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Kirk"
"ebe33dcb-e4ad-4fa8-8cf8-210837f14f42","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Kyle"
"b73709fd-4fcb-49f3-b33a-2c63fc8c9874","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Marc"
"3797c9f7-9558-4282-9e36-a6fe54a30419","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Mark"
"9e30090d-65af-4f98-8c26-9a281a4ec165","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Mick W"
"b1bef1e3-3f0b-46be-9fea-de2f55a62c1b","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Martin"
"e8b6468b-3f0e-4d30-a0e4-eaa8d6f970e0","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Matt (Bill)"
"dea79f86-5af0-40cf-bc75-017174899ca3","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Nathan K"
"b3927277-66ba-4d40-aeec-ede2fea7607c","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Nathan M"
"beb8987c-ca83-43dc-8565-5234fa2fc1ec","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Neil"
"cc19f040-1faa-4e6d-8880-e8f8a1543304","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Paul M"
"149b8793-a0ba-4d06-84d7-0b79c3bfcb05","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Pat"
"0aa7daa1-c7ac-446d-bff9-a95d454abbe9","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Rosco"
"a9707e80-ea89-427c-b55e-aaace0e58632","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Scottie"
"522d082a-827a-4102-9a98-f520d2b04518","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Simon"
"c38fed74-f48e-4323-a69f-9fbf2a21ebdc","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Shawy"
"fd29a42d-661f-4e82-8743-5516d57775f1","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Slamma"
"ecca9bc6-dbac-4335-a022-a5b38807015c","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Trev B"
"0b0af740-cf58-4a22-b083-367881588de9","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Tom Woodyard"
"ee709ecd-cc6f-4eaf-b810-caebf9a09d8e","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Tom Waller"
"60d77492-e5d7-43e7-9d4f-e75d826b2dcd","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Wayne"
"beb47565-69e2-4d1f-941e-d8dc02a8dbbc","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Wormy"
"cea86c33-2da4-45c9-9007-35531ae2d6a6","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","29th Dec - 4th Jan","Zac"
"e98a5e4c-7e37-488d-9dee-23dd25ea6a87","","folder-normal","","","step","TRUE","FALSE","Timesheets","5th Jan - 11th Jan"
"8059afd9-a6a7-4b75-9ae8-7e05462c8b6e","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Dave S"
"1929130e-253d-4e30-8295-35b41038123f","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Ben"
"fecaab6f-1d90-4af3-b9a6-9e1f81f72377","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Joe"
"daae0552-a563-406e-8306-888958d696ae","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Billy J"
"00d0e4c4-41be-4c8a-bd4c-58c041d42cb4","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Barlow"
"4f4f3162-6899-4f52-a84a-f04754599805","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Batch"
"da9d9d89-3873-48f3-860d-e38e98d88427","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Marc"
"269ec32d-b52d-464b-9429-fae6928e30dc","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Boothy"
"0d65f257-2fc5-4984-88d9-62952bc5cb9f","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Worm"
"cb7c15d5-73db-4de2-884c-13e189e0c4f8","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Brendan"
"d90c7ead-e92b-4f60-bc17-afb8ec887f4a","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Daniel"
"01d547ae-e0ff-44a4-8b0d-0e8402096d2a","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Dinga"
"54d386b4-b5ce-4d23-8420-1e8b02592442","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Doonga"
"5a3fd28f-9576-4845-a619-1b7a35c4ff9d","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","General"
"40afbc63-eabd-4caa-9039-2b08c7a32124","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Gary"
"eab8d627-9f36-473d-af6f-4c4756213cd1","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Chris"
"cfe08c65-1656-48c0-a351-63d0c67ea854","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","James B"
"14949a98-f0f4-48c4-8c69-2baf11389b74","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Adam"
"e39cbb05-9e04-4c8a-8c2b-a052958e6b5e","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Jarrod B"
"576f80d3-bbc0-4ef0-9b31-a7ef4b80b3b0","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Blake"
"3a942fd3-2f6e-42c9-bde6-beb48d4c6892","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Jimmy"
"90167c4b-fbca-4524-93f6-40025a9edd6a","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Jobbo"
"4acf8de3-e7c5-4c27-baf2-b8103704e083","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Bucky"
"9defca93-1832-4a41-82c1-963cd6b53be2","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Josh"
"ada83a03-9dec-438a-a53d-184e045f6651","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Jules"
"be704ddd-9abe-42ca-b8f6-88d603d66a94","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Jake"
"5a621626-3603-4799-b144-d796de008bcf","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Jack B"
"54d11481-b6d5-4326-af39-01d805e1a3da","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Jack W"
"1ab5a0b3-11a3-40d3-a508-2b2161b52bcf","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Jez"
"d025f8c9-2624-498e-9aa9-c22814d58fb2","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Jay"
"82ad96ae-8e20-43c3-ae18-f040206a8dca","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Joel M"
"2639af84-78d1-4112-989b-0083dd67e63b","","checklist-flat","","47ce4c5044ca64ebe85bb86f563b33769b6385219162a449058c6baa730d9fa6","checklist-flat","FALSE","FALSE","Timesheets","5th Jan - 11th Jan","Burger"
