"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c7da3367-6153-4e91-b7b6-3e6d4888b887","","checklist-sectioned","not-started","QA-Fire Rated Bulkhead for Steel penetration to Korok Wall/Promatect","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Floor Based Work","Fire Rated Bulkhead for Steel penetration to Korok Wall/Promatect"
"94c28ef4-21ef-47da-9a0f-9dca5bb09482","","checklist-sectioned","not-started","QA-Steel Stud Internal Wall framing and insulation","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Floor Based Work","Steel Stud Internal Wall framing and insulation"
"868ac49b-e9ae-4c90-950e-dbc529000217","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Floor Based Work","GIB Plasterboard Wall Lining"
"8e5a0228-5a49-4895-a28d-bc4e87629caf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Floor Based Work","Fibrecement Board Wall Lining"
"c2f5ac9e-9ca0-4f95-8b96-a1d2293a937c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Floor Based Work","Ceiling Grid and insulation"
"919963c8-dfd4-46e0-92ba-f152eb6df38c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Floor Based Work","Ceiling Lining"
"7b91aae1-857d-47d8-b368-58f73deb5858","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Floor Based Work","Door Installation"
"1a848875-8414-435e-a7a9-7353f841ed60","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Floor Based Work","Promatect Framing and lining"
"6f4f90d4-fe02-47e6-8b74-64279000703c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Apt Lift Lobby"
"0a003267-ce78-46c8-b891-84c5e4a0c9b4","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Apt Lift Lobby","Fire Rated Timber Bulkhead Framing"
"5eb8457e-153a-492d-b248-3dd8c744a246","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Apt Lift Lobby","Fire Rated Timber Bulkhead lining"
"d53f006a-2863-43ed-a8a7-0d2f9a4ffa60","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Podium Lift Lobby"
"92b64873-7b50-4eb8-b64d-f764d1d11d74","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Podium Lift Lobby","Fire Rated Timber Bulkhead Framing"
"905d336e-3137-445d-99ae-bd0df383d5cd","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Podium Lift Lobby","Fire Rated Timber Bulkhead lining"
"37f65729-97c2-47a5-9896-ede0bc5387cf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","East Stair"
"b28aa6a6-71b7-46f0-87d0-8891f4ab949b","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","East Stair","Fire Rated Timber Bulkhead Framing"
"4e96161d-3043-4e43-bdbf-638907f52a53","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","East Stair","Fire Rated Timber Bulkhead lining"
"48ec2593-24f1-4526-a183-7392649dc91c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Stair lobby"
"c4d8f943-6a62-499e-99a6-9d39b2707e2f","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Stair lobby","Fire Rated Timber Bulkhead Framing"
"1b28da05-5bb8-4480-87bd-c9aea68384fe","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Stair lobby","Fire Rated Timber Bulkhead lining"
"a30abb28-62ad-4726-9cf4-4f088882a9f4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Goods Lift lobby"
"10c1e390-b43e-4f39-ab02-ca5835290f18","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Goods Lift lobby","Fire Rated Timber Bulkhead Framing"
"8e725f16-22c7-4bb8-857c-2e60772e3a95","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Goods Lift lobby","Fire Rated Timber Bulkhead lining"
"00ae8b53-e57b-45d3-9a55-d6d0cebc929c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Fire Control Room"
"39e31c67-b61d-4d5c-ad81-6af8feec6dcc","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Fire Control Room","Fire Rated Timber Bulkhead Framing"
"7d62c55e-ed14-40eb-b7ee-e7cc095327ba","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead lining","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Fire Control Room","Fire Rated Timber Bulkhead lining"
"530b3a19-fe66-4de5-94dd-ca4417c853f9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basebuild","Basement B1","Security/Comms RM"
"f1f45e7d-090b-4459-b12a-aed62eb990a5","","checklist-sectioned","not-started","QA-Fire Rated Timber Bulkhead Framing","checklist","FALSE","FALSE","Site QA","Basebuild","Basement B1","Security/Comms RM","Fire Rated Timber Bulkhead Framing"
