"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bc5835f9-5bc9-40e7-9756-945877f5a7e0","","","","folder","TRUE","FALSE","STAGE 2","LEVEL 2"
"3b89e822-40bb-4791-81a6-0668aee29cc8","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","LEVEL 2","W2.23"
"54066516-18e5-4598-bbd2-2a8e84b53eab","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","LEVEL 2","W2.24"
"ea118055-ae50-4bb6-8c1b-f9ac416bd50f","","","","folder","TRUE","FALSE","STAGE 2","LEVEL 3"
"9feabed0-5200-4b23-86a4-bc743708144f","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","LEVEL 3","W3.23"
"a51e51a3-51f2-434e-9cfa-5a6a71c0d131","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","LEVEL 3","W3.24"
"2ac6787d-6a71-43fc-bce7-f1494658d541","","","","folder","TRUE","FALSE","STAGE 2","LEVEL 4"
"fff2ba3a-f9ef-42e1-8132-b71cc2af8d69","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","LEVEL 4","W4.23"
"c6c5aa30-ebe3-47d5-8d52-8ee1729210e0","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","LEVEL 4","W4.24"
"a354a088-506f-4bb1-a54f-5afe0739020d","","","","folder","TRUE","FALSE","STAGE 2","LEVEL 5"
"4b3ed24b-9292-403e-b26d-5f868ad5a2b8","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","LEVEL 5","W5.23"
"5f27a9ba-b9b9-429d-ae51-53149a32687b","","","Windows Installation Checklist","checklist","FALSE","FALSE","STAGE 2","LEVEL 5","W5.24"
