"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3714c3e8-10c5-4caa-b3d1-f75b8784d974","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA"
"ff4c44d2-9113-497e-bf80-1225617a2058","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations "
"1e9a9708-65c6-454e-9481-a015ecdafa1b","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Retaining Wall"
"4e95ca6c-0864-4eba-bba6-8d437badf41f","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Retaining Wall","Retaining Poles"
"3a34658a-eab8-495a-845c-46b3fa4147c9","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 43"
"ef069164-778a-46be-b922-9425d6e2fd8c","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 44"
"87bd3bab-394b-49a1-a526-5ff5cf677c8f","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 31-45","Pile 45"
"3f40baaf-afb9-4651-8352-737212e6852e","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Piling","Piles 46-58"
"9245b518-fe40-4532-82c6-8177bb40edde","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 46"
"8b6f592c-8e31-4537-bbad-ecfaa5f0b18c","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 47"
"53b61794-01ba-46c1-92d3-83a15be61f6d","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 48"
"630a8453-6daa-4fc9-bf72-c56e3068e67b","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 49"
"d4f06a38-69cc-4a65-9e0d-8bb039fe5832","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 50"
"32528223-3b28-40dc-aeab-6376e510e9a7","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 51"
"65153687-d6d1-4b7b-978a-db27b81036dc","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 52"
"af673e76-8b39-498c-8fc2-2480f5f55463","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 53"
"1f726e93-d8f9-4455-9b40-5b93e80494d8","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 54"
"ca89127e-9209-49bd-bcfb-fe3d2380e2a7","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 55"
"ef86058b-a753-4934-8918-8f44814db304","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 56"
"f5ba8eaf-84d2-4275-bb5e-4508fd16cf0a","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 57"
"c7f04add-e083-4027-9592-209508a8b577","","checklist-sectioned","pass","QA - Piling","checklist","FALSE","FALSE","Project QA","Foundations ","Piling","Piles 46-58","Pile 58"
"988d5e20-e481-4f43-84b2-7f4fefbcc258","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Underslab Services"
"24cb8863-637a-418d-9163-2ede5dbe89c4","","checklist-flat","pass","QA - Underslab Services Install Checklist","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Underslab Services","QA - Underslab Services Install Checklist"
"e8c14295-700e-44c0-a809-944bbd8b668c","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Concrete Foundations"
"4b6b56d3-5e04-455a-a8cb-d0f77cddfe05","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 1"
"efc7ef30-d71c-45c1-a9ac-325994b15439","","checklist-flat","pass","QA - Footings ","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 1","Footings for Area:"
"8e71c5c0-81ab-4d5e-926d-042636a1a126","","checklist-flat","pass","QA - Pile Caps ","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 1","Pile Caps for Area:"
"d8056982-6fde-4672-8822-704e3be3a3c0","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 2"
"1bbaed47-ce3e-41db-b5a7-0b96df4249ae","","checklist-flat","pass","QA - Footings ","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 2","Footings for Area:"
"dd19ca20-ba58-46fe-a3f3-2613a8701e8b","","checklist-flat","pass","QA - Pile Caps ","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 2","Pile Caps for Area:"
"912f2d03-3422-46c1-bd35-51481e7e7d7a","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 3"
"51bccad8-318f-4c3d-9728-7f788191bcaa","","checklist-flat","pass","QA - Footings ","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 3","Footings for Area:"
"46c7a8e4-edec-44d7-82d5-68c024744912","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 4"
"cad1d2ef-af98-4972-b588-8352364f1395","","checklist-flat","pass","QA - Footings ","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 4","Footings for Area:"
"0b2e3628-6823-4c86-9d58-4305639b6be2","","checklist-flat","pass","QA - Pile Caps ","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 4","Pile Caps for Area:"
"6f55e491-01f9-4b0c-92ce-43090a54bd46","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 5"
"0ed8c935-357a-4f5f-8ef1-c433fb5c7630","","checklist-flat","pass","QA - Footings ","checklist-flat","FALSE","FALSE","Project QA","Foundations ","Concrete Foundations","Zone 5","Footings for Area:"
"48763478-b92b-4b45-a5fe-1846d905c490","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Structure"
"ba46692a-b2aa-4184-bbc0-68d3e855620f","checklist-flat has incorrect meta.stepType folder-normal
Unsupported Children: folder-normal AFS Walls(1fe4786a-9961-4a92-986e-8d0d0c6b6643), folder-normal Precast Walls(df19a8d6-819a-4e68-87a8-719aadf1a1b9), folder-normal Structural Steel(2e20e842-4ffe-4e25-802d-a532709810f2), folder-normal DPM(efe3cee9-af05-45d5-8718-91ee27c5f39b), folder-normal Concrete Pour(173c2af8-f89a-453a-89f3-fb7232fb86fe), folder-normal Reinforcing Slab on Grade(1b659be5-718f-4cb5-8397-e01356b5e293), folder-normal Precast Balconies(d6d2697f-faf7-4c42-9781-841f251fa391), folder-normal Precast Stairs(5365fc18-cddf-476d-8228-c19a768b485a), folder-normal Grout(723475f7-c648-4e51-bcf9-036c13e79390)
checklist-flat must be display flat but was normal
Child Date of Concrete Pour(047db112-6068-46f0-acb5-3a58d9bf89c1): checkpoint-no-status has incorrect meta.stepType checkpoint-status
Child Concrete Pour(173c2af8-f89a-453a-89f3-fb7232fb86fe) -- QA - Concrete Pour Checklist(77caada6-3a9f-497b-88e9-d544076c1dfd) -- Concrete - Pre Pour(48f094b2-65f7-572b-8aa4-5e64bbfaa280) -- Reinforcing checked and correct(eed870f5-d459-5cbb-bace-12f3585ab78d): DataPoint Size and type correct to specification(1ca51a32-6077-5c95-8f77-f8a82024ba71) is missing 'button' values","checklist-flat","work-in-progress","c72eadc6518b9b6edb04fa2b6c1847749cb1d7907e7a239d87b02a857685f4f7","checklist-flat","TRUE","FALSE","Project QA","Structure","Lower Ground"
"1fe4786a-9961-4a92-986e-8d0d0c6b6643","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Structure","Lower Ground","AFS Walls"
"b84c7d55-82de-4d47-97e6-82777607abad","","checklist-sectioned","pass","","checklist","FALSE","FALSE","Project QA","Structure","Lower Ground","AFS Walls","QA - AFS Walls Checklist"
"df19a8d6-819a-4e68-87a8-719aadf1a1b9","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Structure","Lower Ground","Precast Walls"
"635a949e-9a7c-4d26-9c7e-957d4fab9a88","","checklist-sectioned","pass","","checklist","FALSE","FALSE","Project QA","Structure","Lower Ground","Precast Walls","QA - Precast Walls Checklist"
"2e20e842-4ffe-4e25-802d-a532709810f2","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Structure","Lower Ground","Structural Steel"
"bd40e319-cff8-4509-9fab-624750c4129c","","checklist-sectioned","pass","","checklist","FALSE","FALSE","Project QA","Structure","Lower Ground","Structural Steel","QA - Structural Steel Checklist"
"efe3cee9-af05-45d5-8718-91ee27c5f39b","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Structure","Lower Ground","DPM"
"11e6cafb-ad0a-4bac-b638-f9e14a438e0d","","checklist-flat","pass","","checklist-flat","FALSE","FALSE","Project QA","Structure","Lower Ground","DPM","QA - Waterproofing Checklist"
"173c2af8-f89a-453a-89f3-fb7232fb86fe","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Structure","Lower Ground","Concrete Pour"
"77caada6-3a9f-497b-88e9-d544076c1dfd","Child Concrete - Pre Pour(48f094b2-65f7-572b-8aa4-5e64bbfaa280) -- Reinforcing checked and correct(eed870f5-d459-5cbb-bace-12f3585ab78d): DataPoint Size and type correct to specification(1ca51a32-6077-5c95-8f77-f8a82024ba71) is missing 'button' values","checklist-sectioned","pass","","checklist","FALSE","FALSE","Project QA","Structure","Lower Ground","Concrete Pour","QA - Concrete Pour Checklist"
"1b659be5-718f-4cb5-8397-e01356b5e293","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Structure","Lower Ground","Reinforcing Slab on Grade"
"5159d8f0-20f1-4e0c-93e1-2e2972f8e00b","","checklist-flat","pass","","checklist-flat","FALSE","FALSE","Project QA","Structure","Lower Ground","Reinforcing Slab on Grade","QA - Concrete Slab on Grade"
"65eb43e5-dafb-4108-b84a-c7c53cf7bf7d","","checklist-flat","pass","","checklist-flat","FALSE","FALSE","Project QA","Structure","Lower Ground","Reinforcing Slab on Grade","QA - Concrete Slab on Grade LG Balconys"
"d6d2697f-faf7-4c42-9781-841f251fa391","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Structure","Lower Ground","Precast Balconies"
"fa4ade20-904b-4299-b533-3164afde6ecc","","checklist-sectioned","work-in-progress","","checklist","FALSE","FALSE","Project QA","Structure","Lower Ground","Precast Balconies","QA - Precast Lower Ground Balconies Checklist"
"5365fc18-cddf-476d-8228-c19a768b485a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Structure","Lower Ground","Precast Stairs"
"4aad711d-eb2f-49bd-ae27-a89ae8f294eb","","checklist-sectioned","work-in-progress","","checklist","FALSE","FALSE","Project QA","Structure","Lower Ground","Precast Stairs","QA - Precast Stairs Checklist"
"723475f7-c648-4e51-bcf9-036c13e79390","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Structure","Lower Ground","Grout"
"7ddc7ed7-abdc-4f29-86c4-bd188f597697","","checklist-flat","not-started","","checklist-flat","FALSE","FALSE","Project QA","Structure","Lower Ground","Grout","QA - Grout"
"2a2ce2ed-0939-49e7-8cac-7362ae31747a","checklist-flat has incorrect meta.stepType folder-normal
Unsupported Children: folder-normal Floor Slab(1926d3d2-ad27-4bc6-af4b-1d63d1e8ca61), folder-normal Precast Balconies(7e09dffb-b49b-45d1-8f82-4af1bc24db5d), folder-normal AFS Walls(457fe61d-37dd-40d7-a473-a66a4bf4453f), folder-normal Steel Angles(d51904fe-b52f-4fd9-9de2-736af1d2e156), folder-normal Backfill Retaining(eeabe838-92a0-4e64-bc44-5d3bb2be5639), folder-normal Footings(d4ca8887-a26a-4663-8241-e8cf71ad8365), folder-normal Precast Walls(a48e5741-f22a-4de4-95bc-f39d16dfdb03), folder-normal Structural Steel(6d6ead01-014c-482f-ba63-4948a1ec0909), folder-normal Precast Stairs(e83a86b4-dd5a-4316-a52e-3ae7b0fdb65c)
checklist-flat must be display flat but was normal
Child Date of Concrete Pour(e044c192-49d9-4415-ae0c-babad24bb88c): checkpoint-no-status has incorrect meta.stepType checkpoint-status
Child Floor Slab(1926d3d2-ad27-4bc6-af4b-1d63d1e8ca61) -- QA - Concrete Pour Checklist(397c95c4-5644-4a15-aa57-ae182035a797) -- Concrete - Pre Pour(35cead7a-63a8-59a1-a1f4-1a8281756fd9) -- Reinforcing checked and correct(221f1606-11ee-5cac-9b71-ec5b1a131977): DataPoint Size and type correct to specification(1ca51a32-6077-5c95-8f77-f8a82024ba71) is missing 'button' values
Child Grout(81ebb749-68f7-4eed-9071-37a3a4061bb3): checkpoint-no-status has incorrect meta.stepType folder-normal","checklist-flat","work-in-progress","a1954a6e326b129ecf49388c38f1676f5215162b38f487a8ace672eb8efed8cd","checklist-flat","TRUE","FALSE","Project QA","Structure","Ground Floor"
"1926d3d2-ad27-4bc6-af4b-1d63d1e8ca61","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Structure","Ground Floor","Floor Slab"
"fd9ec63a-259a-4391-a4ba-7e8e67da0fa0","","checklist-flat","pass","","checklist-flat","FALSE","FALSE","Project QA","Structure","Ground Floor","Floor Slab","QA - Comfloor Checklist"
"397c95c4-5644-4a15-aa57-ae182035a797","Child Concrete - Pre Pour(35cead7a-63a8-59a1-a1f4-1a8281756fd9) -- Reinforcing checked and correct(221f1606-11ee-5cac-9b71-ec5b1a131977): DataPoint Size and type correct to specification(1ca51a32-6077-5c95-8f77-f8a82024ba71) is missing 'button' values","checklist-sectioned","pass","","checklist","FALSE","FALSE","Project QA","Structure","Ground Floor","Floor Slab","QA - Concrete Pour Checklist"
"7e09dffb-b49b-45d1-8f82-4af1bc24db5d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Structure","Ground Floor","Precast Balconies"
"f91e9b80-83bb-4a51-8932-8622a1582867","","checklist-sectioned","work-in-progress","","checklist","FALSE","FALSE","Project QA","Structure","Ground Floor","Precast Balconies","QA - Precast Walls Checklist"
"457fe61d-37dd-40d7-a473-a66a4bf4453f","","folder-normal","pass","","step","TRUE","FALSE","Project QA","Structure","Ground Floor","AFS Walls"
"d4a85be9-5165-43c0-942b-b86069107713","","checklist-sectioned","pass","","checklist","FALSE","FALSE","Project QA","Structure","Ground Floor","AFS Walls","QA - AFS Walls Checklist"
"d51904fe-b52f-4fd9-9de2-736af1d2e156","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Structure","Ground Floor","Steel Angles"
"d72221f4-aab5-45e9-8a3b-c539c7252251","","checklist-sectioned","work-in-progress","","checklist","FALSE","FALSE","Project QA","Structure","Ground Floor","Steel Angles","QA - Structural Steel Angles Checklist"
"eeabe838-92a0-4e64-bc44-5d3bb2be5639","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Structure","Ground Floor","Backfill Retaining"
"d45a88f8-3134-4fed-8922-121340fe5045","","checklist-flat","work-in-progress","","checklist-flat","FALSE","FALSE","Project QA","Structure","Ground Floor","Backfill Retaining","QA - Backfill Checklist"
