"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9e5dea19-2dab-4992-b810-97f15ba6b280","","work-in-progress","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"3777e8fe-e549-4a6b-a013-24631234ab92","","work-in-progress","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/1"
"80167e51-dab5-4004-a7f1-9f3600b84bbc","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/4","Concrete Delivery Checklist"
"05a9b81c-380c-4169-b34a-5240a4b66a9f","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5"
"76ea2194-ca45-4b07-a881-b2ba62e325bf","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist"
"08b57d6f-f0bb-46f6-9782-0a389049ce31","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist"
"741cadc9-5099-4f4b-9d91-ecc81f261f82","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6"
"c855c849-792c-4775-8934-33cd2cdcfee8","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist"
"9c3665d6-d448-4444-a308-9132c1cf202b","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6","Concrete Delivery Checklist"
"5128e5ab-5d57-4f79-acfd-1b8b0eac2c10","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/7"
"de2a0b21-9837-41fc-889e-15fb97c0b1ec","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/7","Pre-Pour Checklist"
"0723abbb-d1d3-4659-bc76-583761cd6be7","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/7","Concrete Delivery Checklist"
"0504cad7-319f-40d4-aa2b-d198d8088fee","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/8"
"0dedb4b6-0e0d-4cab-a6ec-17671fe57960","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/8","Pre-Pour Checklist"
"1aa7fe48-d3ad-4097-8068-1b1244b7629a","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/8","Concrete Delivery Checklist"
"230dbec3-aabe-4d48-a424-e6c187bac459","","work-in-progress","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/9"
"7ca82ce7-4e3e-4e97-90fd-0d8b2b3a0383","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/9","Pre-Pour Checklist"
"d93402ab-053c-44cf-9be6-833a3fb14723","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/9","Concrete Delivery Checklist"
"ce08bedf-770d-42a2-a6e9-2bbdaaaa4e7e","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/10"
"5ea54f4e-6f0d-4278-a2a7-89c685bdec93","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/10","Pre-Pour Checklist"
"93390920-a50a-4538-8d99-8d3010ee9198","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/10","Concrete Delivery Checklist"
"8ec4b214-8b83-493d-a7f5-55c360bab4c6","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/11"
"44fd9fd1-5a9d-489f-bef0-482b1bbedebd","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/11","Pre-Pour Checklist"
"1802e723-323b-4911-8a78-29ace7170a0d","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/11","Concrete Delivery Checklist"
"b9ce751b-9476-4aed-9559-bd6d11f995a2","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/12"
"6ad17d70-4bc8-41bc-a670-7f4d5c0287e0","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/12","Pre-Pour Checklist"
"e76144f3-63e2-4cd5-bff2-b2c04cf8a8cf","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/12","Concrete Delivery Checklist"
"321c2d38-1a74-4038-82d7-4e577e90fa64","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/13"
"2f8b35ad-2612-4a8a-b127-711f84a64638","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/13","Pre-Pour Checklist"
"87ac8c2c-a9a1-4d79-95a9-7d3ec25e5474","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/13","Concrete Delivery Checklist"
"0f7c07b3-4a90-41c7-b4d4-c6cbe13a43bb","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/14"
"ac4fe94b-9cba-4f44-b492-4f43d3a681fa","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/14","Pre-Pour Checklist"
"667b9a7d-a411-4878-8677-0174862a2667","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/14","Concrete Delivery Checklist"
"c9d48377-dc67-469e-b47c-ee2582302889","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/15"
"92e3f37b-c177-4db8-b6fb-2df8f5dea289","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/15","Pre-Pour Checklist"
"9ce0c51d-eef0-4793-9237-35c84e09775f","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/15","Concrete Delivery Checklist"
"bcdd586a-a21c-4c71-9797-2744e4f2a0b8","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/16"
"cb9f96b2-15cb-480a-b060-84eaa329bd88","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/16","Pre-Pour Checklist"
"f2ded389-ad85-4fde-8ede-b46eca2a0577","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/16","Concrete Delivery Checklist"
"2698b258-c0b8-427c-8c8c-487762575c1f","","not-started","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/17"
"f12719b6-1c75-4013-977c-5bdf21dcc3d0","","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/17","Pre-Pour Checklist"
"c0e87a69-d4ed-4f07-9bc3-1837fc050fa6","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/17","Concrete Delivery Checklist"
"38a4dbb1-7082-43b6-bb54-10213b538b27","","no-status-not-started","","folder","TRUE","FALSE","Transport to Site"
