"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a7cc6be7-2302-4de5-bd69-919708adb178","","pass","","folder","TRUE","FALSE","FW/1"
"06686dd7-1229-4e57-8e0c-bdcbd31a351e","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/13","Concrete Delivery Checklist"
"2f02a973-1589-4806-9239-edb7210f3495","","not-started","","folder","TRUE","FALSE","PSCP/14"
"23615b19-2121-4d00-917c-3eaba1ed26ef","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/14","Pre-Pour Checklist"
"b10cc1c4-7a20-45df-878b-948c9c3bcbe6","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/14","Concrete Delivery Checklist"
"60f73656-cbd1-4db8-b958-a6e709ab140f","","not-started","","folder","TRUE","FALSE","PSCP/15"
"9393258b-ac83-49b8-ae91-ec8d49760b81","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/15","Pre-Pour Checklist"
"e589e3fa-cbbd-4f0e-ae06-d504407019c3","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/15","Concrete Delivery Checklist"
"0fff4bab-e4c3-4ef0-92ef-d98b0879b279","","not-started","","folder","TRUE","FALSE","PSCP/16"
"c19320bd-02e1-472f-b67f-6352f17a4a98","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/16","Pre-Pour Checklist"
"97994924-95aa-4673-a7a3-7c49c912cd96","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/16","Concrete Delivery Checklist"
"d472cab6-09b2-4aa7-8480-6c7d53eaa89b","","not-started","","folder","TRUE","FALSE","PSCP/17"
"578d6240-fecf-4c0d-827e-9a6ebaf17fc1","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/17","Pre-Pour Checklist"
"62c0f762-24e9-418a-a538-5f6f7fe805e7","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/17","Concrete Delivery Checklist"
"d159d81c-bc5b-4c8c-9ab2-8b504e03c405","","not-started","","folder","TRUE","FALSE","PSCP/18"
"d6caeaba-b1e9-4162-be72-d2eb5b08dd0d","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/18","Pre-Pour Checklist"
"6d230ae0-d771-43bb-b4c5-c5c303deb4ce","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/18","Concrete Delivery Checklist"
"40c3a80c-8497-437e-8a21-e952fd94933a","","not-started","","folder","TRUE","FALSE","PSCP/19"
"8137af87-4af6-4a91-8953-9f9163376f5a","","not-started","Pre-Pour Checklist Strand","checklist","FALSE","FALSE","PSCP/19","Pre-Pour Checklist"
"8f179493-40e9-4d9b-9b41-af3e8fcf1e75","","not-started","Concrete Delivery Checklist","checklist","FALSE","FALSE","PSCP/19","Concrete Delivery Checklist"
