"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc44f316-65af-4658-a916-8acccb901119","","checklist-flat","","SYS - Job Details Checklist (V1)","checklist-flat","FALSE","FALSE","Job Details"
"a184365c-6c00-4ce8-9630-0f3593ca1e64","","folder-normal","","","step","TRUE","FALSE","Precast Manufacture"
"1149ba57-3fb5-4b6b-92bb-a6ab6eee47ba","","folder-normal","","","step","TRUE","FALSE","Precast Manufacture","Precast Panels"
"13270611-ddca-49d2-bbb2-734b4a5ea9bf","","folder-normal","","","step","TRUE","FALSE","Precast Manufacture","Precast Panels","Building A "
"8f6a35b1-8d7d-431b-a2ab-9e906ab24be6","","folder-normal","","","step","TRUE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05"
"686a0038-180a-4191-a619-836b5a3caa51","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-P28"
"f080a9c1-cc8a-4e0a-98ac-1b35d5b949e0","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-P29"
"dedd1dc4-f3e1-421d-b824-0f20d3260f08","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-P30"
"ebf16759-5d9e-4314-a9f6-c7583aa723a8","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-P31"
"76f5b8ff-c242-4c82-b76b-53fede9871f0","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-P32"
"ba9bc1db-a88c-4926-8033-2d8132117e56","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P33/01"
"3d3677cc-3c49-41f1-bb3c-7b6f8db67928","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P33/02"
"5eeb225d-f715-4ffb-8c05-e512dea61775","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P33/03"
"791c41df-0fe9-422d-8315-4e501349ff8f","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P33/04"
"846ac1ea-10b9-4da2-b739-09afb0072580","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P34/01"
"53670228-bd08-48de-bd02-ee0c548d271d","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P34/02"
"05228e81-f452-4e70-92ae-5456621615e7","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P34/03"
"4a814846-3f55-48a7-9697-2571b21282c7","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P34/04"
"2cd675b0-ff08-4802-b238-70bfd0289c8d","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P35/01"
"0c34f171-5414-44b4-b94b-10185209386e","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P35/02"
"66389560-226d-40ba-aad6-0856d8c3ab9d","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P35/03"
"f84a4475-ad05-4817-a8f6-84732a21b636","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P35/04"
"af6f7782-ac19-4afc-8e93-1b257eadfd61","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P36/01"
"b2c9c438-2ea2-4d4c-b7f4-869fb863b0da","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P37/01"
"fc727e6e-b11e-48f5-8fad-e9329943caa8","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P37/02"
"fa23e59d-466e-43de-bb34-720880c60f36","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P37/02R"
"5f59444d-0123-41e0-a720-1e50f8b949c1","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P37/03"
"861ce196-73dc-48b1-8e7c-af0ac5384e45","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P37/04"
"e8e18bac-2d67-4258-9c49-da0a3975fe68","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P38/01"
"b1d96add-96f8-456c-97de-a6dc44ed2296","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P38/02"
"2349266d-62ac-47a6-8a0b-ef3d23ef776b","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P38/03"
"5f523e6e-0c1a-4d39-90b7-fdeed1b491d2","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P38/04"
"febc4f47-cfe1-4f31-a8d5-7227a4a94e6d","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P39/01"
"0b39af91-1f80-4120-b922-0ef0921ddf82","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P39/02"
"ee8150a3-c8f8-4042-8542-3c53ede20dbd","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P39/03"
"ac24e2f3-de5b-4717-a599-0338e907d80a","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P39/04"
"bbe091ac-615e-4377-8f47-af2c448f7a81","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P40/01"
"7b6c27a3-a94c-420c-a87a-4d9e5b443ff3","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P41/01"
"eddf9618-ad09-41d8-9dbd-004991aca5c1","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P41/02"
"ff57c8b7-bb79-4084-a08c-b3f9233ab7a4","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P41/02R"
"26a75257-b755-4c43-9bfb-1a01c7faa953","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P41/03"
"bf579d25-52ad-4687-9990-6862aa3dfe02","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P41/04"
"c7db0352-c662-43bb-a0b1-d245f279c288","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P42/01"
"02376791-fc56-43d6-bdba-d1344645f458","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P43/01"
"3a30a1f4-0d82-4770-aef0-4e06cd6838db","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P44/01"
"0d061aba-d0c1-444f-a882-8d8b49d18a0b","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P44A/02"
"1f253016-b309-4333-80e2-3c0068fa70ec","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P44A/03"
"9f26703e-5a07-4c27-84d4-eb4ab737f3e9","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P44A/04"
"37817f73-e8a0-4cb2-81f0-870dcbc08fbb","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P45/01"
"39a999e4-262d-436b-a0d2-760b9c9bf887","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P45/02"
"06e841a5-d4e6-4220-b06a-0ec41df5d47d","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P45/03"
"01b493d8-6e3e-4a42-b0a6-180900ebe54a","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P45/04"
"1c5247d3-8f2e-43d2-b61f-3408d1bd0669","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P46/01"
"4595fc12-279a-4fd8-845b-7c9b548ad2e9","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P46/02"
"229ca531-e27f-491b-a61c-28486be3be81","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P46/03"
"427c154f-b89f-4cd2-bb8c-cedf2f7719ae","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P46/04"
"affa6a0a-11b2-40b4-b05b-11aafbee7e87","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P47/01"
"b253e188-f835-4f88-be60-a4fea0e3ae27","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P48/01"
"e5085ff8-582a-418a-a2fa-8981a3904b4e","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P48/02"
"7d79b57d-ffe2-4d28-b0e2-b1edfa62a691","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P48/03"
"d95188c2-c3a2-45d8-9f0d-34dbf5fbbc29","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P48/04"
"3f09aeae-21e9-492f-962f-1763bfc6b6e1","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P49/01"
"c8a9d719-d439-4174-8fb9-ae281fb8f9a0","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P49/02"
"eb522866-76d0-431e-bed1-72f7cbe723b1","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P49/03"
"d3b13aab-d0e2-4b25-89b1-2d4809c064cc","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P49/04"
"1ec3ea7c-fb03-49f9-bf0d-129320c5d8d7","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P50/01"
"89313fa0-3aa1-43b5-a2b4-602550180a13","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P50A/02"
"76fe35a9-9763-4e53-a7d0-3ea0dea6a57f","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P50A/03"
"829ce86d-7a4c-4df4-be27-008b67c9fa20","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P50A/04"
"f1e2249c-a958-4d75-8375-c6ff50344e30","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P51/01"
"2a1edf10-6d2b-4454-bb34-165a7a3bf5ea","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P51/02"
"f3c20e1f-0b9a-40f5-83f4-167e88776dc4","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P51/03"
"76fb5880-939a-4031-b588-27d635b1ce19","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P51/04"
"5b25ba2f-8900-4ee3-8611-19d892a2686a","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P52/01"
"d3265118-7bcf-45db-a528-df5802f2ea4c","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P52/02"
"1d0a7824-c282-4af0-9618-382688cb6ae7","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P52/03"
"7bf60083-a4be-408f-968e-68454332be31","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P52/04"
"bd5d878a-8ebe-46cd-8252-e0faf24df67e","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P53/01"
"462c9541-e86c-4127-9f8c-5be61e627f42","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P53/02"
"5bafac9d-7509-473d-9829-56683a20de12","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P53/03"
"737b1132-e9b6-4d6f-8555-a9cc7befa844","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P53/04"
"7854322a-b6ad-4b7c-986c-9fe28a9c73e1","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P54/01"
"f7629a24-8948-46d9-ab25-0a158644081a","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P54/02"
"12b48a4a-f5d0-444c-8207-78adf6e119bd","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P54/03"
"efb69ea0-923e-4b97-a540-7af4aaab78ef","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P54/04"
"4ce684c8-5e29-4f84-8e09-d6f45ac46e12","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P55/01"
"91f13b26-54bb-451a-a6d2-05d1fbccd2d8","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P55/02"
"387f718c-94f7-4db3-9a5e-1e58e578114e","","checklist-sectioned","","QA - Item Checklist (V6)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","Building A ","782-A-P01 to 782-A-P104/05","782-A-P55/03"
