"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"231d30b6-66bc-48b1-aaa5-e170f674b239","","folder-normal","work-in-progress","","step","TRUE","FALSE","Ground Floor "
"8fa2aeee-cf5f-4160-a030-58094e50c602","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C128"
"1cfb272b-136b-4a2a-8497-75ec6741a8af","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C130"
"aab4ca77-ad14-4b7d-8f6a-aca55b905e57","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C82"
"d0a6e119-416d-41f5-9137-62de3466abee","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C145"
"3cc5af79-c034-4b78-a188-3c53d4b84481","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C118"
"5d4b7cb0-0a86-475a-8267-51118cb87c24","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","L G C136"
"152131e9-7234-454b-a3f8-876bcc07e0c0","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","L G C146"
"7574ff5a-10a3-4583-a27a-446a06c4a247","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","L G C149"
"a355e21b-4179-4bfb-8b4a-60334bc2896c","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","L G C150"
"efdb72bf-a97b-4667-bbc7-f3057d96bfb0","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","L G C161"
"74d9eb47-6cd5-4f58-8ddb-6416e99a00fc","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C155"
"0137ce64-89d3-4f3e-ae7e-fb73931fabbc","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C162"
"d6396dbd-4081-4260-8e04-e8b2686ae63d","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C164"
"de9731e7-9b72-4490-8cd5-ffa59b29f674","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG-C165"
"68bf8f45-af37-44df-bf38-571b1d8671e8","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C48"
"a7f5ecc0-d25d-4d2c-8342-40b0a3bbe7ee","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C160"
"fdf05913-0bc3-4ef0-bb63-11dbe41f61b1","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C173"
"8b2bdedc-0d63-421b-a0a9-bc136cbb7bd2","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C59"
"a2ebdc3c-1829-42cf-bda0-9336246bc722","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C61"
"01ea9bdb-4c30-478c-8ce7-c5b51342c434","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C49"
"43cd850e-6621-40eb-97c5-f3b65dce175b","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C57"
"89372343-30fa-4998-b7fd-57bcf9587725","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C62"
"6fada82a-0ca7-4f0c-8215-1e08516f98b2","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C75"
"c1614a9f-de51-43d7-b412-648cb16dacf4","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C71"
"d703308f-7a40-462e-b3d4-2b57e7bcfe65","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C86"
"d2e210e2-3209-4d13-8d4a-877b99b623f2","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C102"
"0966712a-3697-4127-b587-b51583b746ad","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C167"
"6ab68d2e-1b55-4e98-9f84-770ac3d44c86","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C125"
"2314897a-f6b8-48f1-9a95-ef2e55b7e338","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C119"
"6d514838-85cf-4c2d-b9e4-e25e0dafb32b","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C85"
"b4741e2e-cc4e-44fd-8414-4ee386bf3ebd","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C170"
"31bf82eb-0dbd-4135-a4be-affcb251f3ec","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C106"
"5cd73e08-ebb8-415b-8c31-6e7b3e77c0bd","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C121"
"8f430566-aa78-4f3b-9962-9da2492331de","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C88"
"96c3cddd-e131-4d8d-94d1-a63c47a1bcef","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C104"
"4eadbe41-72f3-4ad5-82f7-e9dd71c6fbb9","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C123"
"132f3745-8a4d-4635-a8e0-11d36ff03236","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C89"
"e7986506-f648-4fec-87c9-33d048385cf1","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C72"
"41559beb-8038-4b32-8918-230b69806428","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C91"
"5fe983b1-8f08-4f89-be7b-5c235755f608","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","Ground Floor ","LG C84"
"884e3f19-71e8-4d20-8f83-e2a46a47cde6","","folder-normal","work-in-progress","","step","TRUE","FALSE","LEVEL 1"
"31a14640-bc2d-4fa8-889f-e563ca4a215d","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C139"
"f9a276d0-e12c-4329-adaf-a5dbaf75f6b2","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C85"
"43b53f6c-8325-4046-b9a7-19e45d615fae","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C83"
"632a5694-527e-44dd-8a94-87ac27127456","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C95"
"133c16d6-3a97-48f2-a8bb-960f6e1f9f36","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C98"
"6702c557-c50b-4586-b454-94b2bff614bb","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C99"
"e8946ad3-78a9-418f-85b5-a24330b5161a","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C100"
"e6f8f669-73b8-42b4-97c5-bbd904e7b77f","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C101"
"6da25b8d-fcbb-4450-a38b-492fc3effbaa","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C88"
"0c165fbc-1d6c-4f2e-ad0e-0646c1bffff5","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C89"
"0426380d-1135-444e-ae32-51f8e021e41b","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C91"
"a1f19884-4033-4159-83fd-0e6cc3aea511","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C134"
"a1bca696-b046-40ca-ac3c-aa461f5bf1e7","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C136"
"266e5cb4-42d4-4856-aaca-7e127354526e","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C117"
"72d0a007-826a-4dae-8100-216be549f4e2","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C150"
"03448f08-0a61-43e0-802b-882e6166a771","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 1","L1 C164"
"b6e7845a-a2cb-4582-9920-0f72e94f1693","","folder-normal","work-in-progress","","step","TRUE","FALSE","LEVEL 2"
"718f73b8-7b41-46be-9c11-cd3557c1f6e4","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C50"
"22bd413c-345d-42bc-bb2c-a3cb3e63dd5d","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C48"
"b50d6e29-21f3-4304-bd7b-0823737127b3","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C49"
"94404b4c-20bf-4b0e-857e-091d91878ae6","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C53"
"7f0d0535-92fb-405d-8142-57a8e5d7baf9","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C100"
"ffb0c787-77c2-4aab-8906-f2269d58b6b3","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C61"
"3809d064-750b-4ad9-a12f-33f33f4418dd","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C94"
"7fb8cffe-b2d2-4fbf-b24c-21066d432e3b","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C99"
"1f28694e-00ed-40d6-ba48-bb5426b65565","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C80"
"1433bcbb-6154-4c62-a9f3-ce54c1a8d90e","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C75"
"3c904ac8-12d4-4dc9-b61c-ea9632cb72fd","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C76"
"4aaa2e86-5d10-4d6a-9f3d-8fa7bb3d0619","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C66"
"6ab8ae92-c5ac-414e-a99c-4b7e0dd1b945","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C68"
"126ab447-91c4-4b55-a8e7-61adf99f8615","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C70"
"db91ad52-7774-44a7-b1b2-fa0dd6db8dc5","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C71"
"9a303cb8-67a5-4aaa-bafa-1fabe06336d1","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C54"
"166ff419-6d49-43b3-9c0f-feec805bf627","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C55"
"1a0ccaec-fbf4-4521-ab73-c2e1d1e65d63","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C97"
"2639c6cf-8838-4777-ae5b-eba238976c6e","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C64"
"596f745e-a274-4a09-8961-0bad2df20ef2","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C62"
"3fc19b4d-34be-4bf3-ae13-2a083935f558","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C72"
"fe21ea76-36d3-4010-88a8-59b178065ec9","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C91"
"860f012e-f283-4447-b22f-2c981defabe3","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C59"
"87520d58-c005-4060-9623-947b8b942c54","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C77"
"55c35cba-527a-481b-aad8-ddbd835e9337","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C79"
"eb83dac4-29a3-4088-aff5-c1aee98643f2","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C82"
"b48a173e-1398-4f19-9638-d378809dfe1a","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C85"
"f671dafe-d6b3-4e70-b20e-f5e77a332540","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C89"
"b23b8687-2c52-483f-b900-e96dd67fc9c3","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C95"
"e21c3144-567e-470b-8646-42470e30d0a5","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C57"
"b964bb69-b6cc-4b34-a06e-7da212359768","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C86"
"5ce98a51-6169-48f7-83be-cfa589634fc9","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C88"
"c675880a-6642-469a-a935-c675dd92396a","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C98"
"233b7db6-30d4-44e4-bd2b-c65af1bf759f","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C109"
"415cef87-fdad-4e2d-9b45-7d98531c6e11","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C114"
"87745025-0700-4110-98af-151d04fc330a","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C110"
"9e4357e7-0047-499b-bf9e-a9b558672917","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C116"
"b77d901b-7857-4fca-abe4-b9973893c1f0","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C157"
"7820801a-2887-425e-b738-bee4c40177d8","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C158"
"77670605-6918-422e-af63-0b61eb6820a5","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C161"
"aaba1c6e-5b16-4725-ac3d-b9d07ad1dd2e","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C163"
"c27314bd-07d0-493d-9fb4-1f680feaa09c","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C165"
"edbbff50-8a6f-439a-9796-8e45318221b2","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C128"
"32b58fab-fba5-4168-9251-58c7401a777b","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C142"
"61cb96a7-b0cd-41c7-a06d-aa65c48887a9","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C156"
"1047278c-b6e8-4120-a64d-04e8a36df42e","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C144"
"59cceece-8e1a-4202-a26f-52925e0a6299","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C159"
"cc637955-0ca2-4a37-9872-33242e7e5d3d","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C169"
"0537b5e0-030c-4a31-8686-d549564ee86f","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C162"
"a6792d25-7bc2-4a2b-8caa-65a74390c2cd","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C112"
"e07a67f2-749e-48a6-ae25-607722d5ea1e","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C113"
"b3132deb-968b-4fcd-a642-068912af1aec","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C160"
"100e3690-c518-4201-8769-c478382ebbf9","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C166"
"a79fbeb3-3214-42fd-bb23-ef555f63152f","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C171"
"8add7428-8298-4c4e-833c-794ce2fc2a54","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C172"
"957989a9-919a-4c64-b8a4-d748af0782c3","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C131"
"07259b27-eecd-4996-9835-ac5e3125fb3b","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C133"
"2c483950-ceb8-42fd-9728-436a5837168e","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C146"
"c711393d-fe0f-4b68-9be6-d18d51545326","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C148"
"4d16863d-4c3e-4cd0-bc71-f76624f72a5f","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C153"
"1e86c80b-77a0-49f8-88eb-733e6d859d7a","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C145"
"41232dc2-3748-4b47-9fc7-2c175e678140","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C102"
"c4efe4b7-a0e6-432f-a7ef-31698e14cbf8","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C137"
"da8590ee-56f4-4900-8f48-e261f71b0ce6","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C138"
"cb71d92a-06aa-4733-b847-dd15210123a5","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C121"
"9f639ef6-d2e8-4613-ba83-85879333d384","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C119"
"1205cab9-66b5-44be-be17-f2c5db2ed6df","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2C120"
"ac9eb9c4-f98f-41b4-987f-0d7dfb9376eb","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C104"
"1e6bc8a6-f1d6-4709-9e09-80cac5143c05","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C125"
"3df32343-f999-470e-90ed-c181e9355f51","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C106"
"4f9e117f-5db0-4b06-9920-89ae85e589d1","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 2","L2 C123"
"4858d550-72f7-4e25-9c4c-4f0ffac2e6ea","","folder-normal","work-in-progress","","step","TRUE","FALSE","LEVEL 3"
"593749ca-e198-4c06-8945-74fe4cc33c81","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 3","L3 C95"
"26a45c06-879a-4146-947b-95d02aaa0e3c","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 3","L3 C98"
"4c11a153-e60f-4bd6-9cbf-390c65d73dd3","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 3","L3 C89"
"9516f681-a27b-4278-805b-ab7f48431585","","checklist-sectioned","work-in-progress","Column Checklist","checklist","FALSE","FALSE","LEVEL 3","L3 C91"
