"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"94ee4214-c098-46ea-9a0d-6847a37405a6","","folder-normal","fail","","step","TRUE","FALSE","External"
"abed18e0-1993-4bde-bae4-caddf28ba021","","folder-normal","not-started","","step","TRUE","FALSE","External","1"
"474bcd09-8a6b-4bb9-9dd3-49094607e7b1","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.09"
"d02724b2-749a-4fd8-a747-8c2372428a8d","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.10"
"73105b1d-c184-4a11-b508-13526b565b8f","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.11"
"d44f9fe6-2942-4037-9ffc-751d334036ba","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.12"
"20d0d311-6be8-4206-a9a1-3ffaa0c10f75","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.13"
"ada0af21-d5c1-4e3c-8155-fe1544371b19","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.14"
"0a518372-93bd-4d2f-a13c-a527729957f7","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.15"
"8ec10727-c908-4b91-baec-5daa8c68bd16","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.16"
"53556fc8-c239-4cf9-8be9-83ff6fa534da","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.17"
"a5f17218-1c50-47d9-be49-70db7357ad70","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.18"
"74285ec7-02a8-4e5e-8946-3d7daa33e344","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.19"
"beed36be-cfd5-47f9-a1b4-8671fadd0e72","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.20"
"12fb427c-e87b-493e-b965-052115d65c3d","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.21"
"3c931ccc-19dd-4655-9fd3-653435e9b472","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.22"
"4a4a506e-a414-4cb3-97ae-8a26624c0ce6","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.23"
"7835f3e8-fc63-41e1-ac15-88149f1ce1da","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.24"
"27d9376c-b53a-4a5c-8b5d-8cf4de8c28a1","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.25"
"be6a34b0-6a00-4691-a732-3901e4941013","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.26"
"2010004c-0a21-4a38-ade8-48b3f884c7c1","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.27"
"80bd1e1d-ecd2-4394-bf2c-a9287e9c358d","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.28"
"85488f64-a3bf-4adb-a90e-681e34e35195","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.29"
"52cd0ee0-c534-4a9b-a42f-3f26c6abfb23","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.30"
"13a6c40c-291d-4dc9-bb7d-61573a794e09","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.31"
"398c55d4-5b23-48bf-88a5-5b0238bbafce","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.32"
"47dae4cd-e159-4b4d-8365-f9bb477f50d4","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.33"
"cab61967-39c5-4939-be4e-8556032bd4bd","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.34"
"47ec647d-c050-406e-90c5-4014603168dc","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.35"
"b7dd6d60-7e27-4e49-95a1-9e0605512b10","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.36"
"3b279ca1-8730-46e3-9835-2ae6e2a45a27","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.37"
"d7e7826c-146e-43eb-8638-adade8c247c3","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.38"
"d7c43f56-8129-4dcb-8e96-85b5a85fa470","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.39"
"5937a11b-b164-4b0b-b02f-0a4cdf9271a1","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.40"
"534c393c-ff2d-4d5b-a1e3-784bd4437028","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.41"
"59189678-6616-4449-ae27-a1af40e56007","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.42"
"c3aa2386-4a83-4f32-919d-075fbf31c6fc","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.43"
"fdbec73d-9326-43bd-b412-2cfa96aabeb6","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.44"
"0a85bea9-15bd-4b80-a0b7-0f2539d1699f","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.45"
"687bbe57-f496-48af-801b-b5f45f251323","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","3","L3.46"
"6fdf34e1-d167-4d6c-8daa-9333ad6f5a10","","folder-normal","fail","","step","TRUE","FALSE","External","4"
"5ed03d38-c3cc-4293-91e8-ddd1c089115e","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.01"
"0f1f5951-497a-4c3d-bd2e-93e96a2e495e","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.02"
"bfdc3444-c644-49fb-9b47-9a350c9b3612","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.03"
"3e53472f-926f-4d55-a1a6-a372c78a0e7e","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.04"
"b81a830b-8e93-4f8e-b3ba-90e685d2e6d2","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.05"
"d4b4baac-9994-4c1b-9b47-2748f15ff870","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.06"
"2ef8cd23-6f1a-47a7-bcd7-bc9a3be99b1b","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.07"
"cb3ab64b-77a1-47a6-849d-91f132118c1c","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.08"
"cca66fc5-d252-4e72-b7d7-85f324d970aa","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.09"
"4acea32b-0f4f-4c79-9e09-6e40234401cd","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.10"
"320ac6e4-1dae-475e-8ba8-1195c49af661","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.11"
"79641014-ed8b-4f32-9675-3a8af3c78d5c","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.12"
"34cf7cee-6de6-4485-8257-2a6a089edfbe","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.13"
"0dc80b5e-98ff-4ca5-89a9-7aaac2332fb4","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.14"
"4700f64f-589e-4414-99f8-9348f9f6c22c","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.15"
"f6e49908-dd3b-4f44-aa3f-ee0ce9b32062","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.16"
"df8a33c9-1d35-44e2-89a6-c61b2e954d11","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.17"
"fc7e08b5-f928-4103-9a34-1f3679d32666","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.18"
"b494bd51-f0ca-46f1-9e08-26049bb94378","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.19"
"1ac70231-8649-49fb-b0cd-4a7616d63511","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.20"
"95de2a15-2833-4f9e-b77e-7635653fe5d4","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.21"
"1bcb4782-e416-4af8-adfc-93d7bc152ec4","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.22"
"dd30b6a2-4eaf-4de0-ab6c-73ef59e7f828","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.23"
"57e3f72e-ebc6-4612-a79d-f3d66e23098c","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.24"
"905a3349-b277-43f7-a668-3ddc92024f19","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.25"
"2b1db586-4831-454d-9ff6-1eb537d4068a","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.26"
"5e9f2544-3b22-480b-9ea2-33f70608e214","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.27"
"e2148ee6-30a1-43e4-8971-b6e2736af7e1","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.29"
"a6fd7209-cfd1-4be7-b7ab-2460ca206b0f","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.30"
"6f361a6b-9a88-4eb6-8081-e3e4729a4a5d","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.31"
"0194779c-00b2-4c81-8bb8-8d13057321fc","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.32"
"43263966-62eb-48e3-82c1-820295efc554","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.33"
"69cd9538-041b-4b4a-a33b-e5702aabea1f","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.34"
"c31309ae-53a0-472c-89a8-5cf61dc32200","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.35"
"88ebb72f-8ecb-4e89-a6b8-9c5f641ba5ce","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.36"
"b561c4e8-a132-4ac6-a545-17fa20ba7308","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.37"
"801add3b-7bf5-4438-a3a0-af9753a4b9bf","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","4","L4.38"
"86db83bd-f6df-491b-b41c-113d26e464cd","","folder-normal","fail","","step","TRUE","FALSE","External","5"
"0c25f1d5-c8f3-4932-9e19-b8489c85f4d2","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.01"
"300d4bab-8d74-4922-b105-b10227d9fdd7","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.02"
"831f3798-cf41-4e99-a808-49f8fd04b5b0","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.03"
"faa2223d-03b6-4352-8dc6-8d481d42abdc","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.04"
"04dfe4d2-52a8-488b-bc31-32d3e3f45ca7","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.05"
"7a45fbc4-9c47-47c8-bfd1-27e00f6923d6","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.06"
"31ade932-1ba8-4f91-88bc-57e62793dbff","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.07"
"939277c8-08f5-4b74-88fd-841766d37fc6","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.08"
"02e21c06-3e2b-40f9-a95b-bfede5f0c2f5","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.09"
"21c24abd-031d-40e2-8225-fa6a8766f2f7","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.10"
"be53ce15-9feb-469a-aaad-36d47b5635a7","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.11"
"58e08193-09c8-4b0b-8e2f-15af7b8458c0","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.12"
"141ac9ef-ef86-49f9-a68b-5e15ff6b48e4","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.13"
"43757067-170b-4535-9662-7885404932f1","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.14"
"fa16e821-5bbd-4e1e-bd18-8c319260234d","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.15"
"2e7b85bc-6a0a-4a09-8708-b4c05e50c89e","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.16"
"3a0dc6ca-b824-4b39-a287-d29753efec92","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.17"
"1420d358-b43a-4575-ad00-38c39daaa11e","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.18"
"8c51f8e3-a83b-4e42-b15b-fdaf7eab388c","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.19"
"4a670588-0e96-4d18-acc6-c846996f4808","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.20"
"11dd1e33-d2ab-4c37-a44e-ae570afc48ca","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.21"
"e8344967-0dd2-4149-8c6a-e0b0b7fe9cbe","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.22"
"78f654aa-d2a2-4e3c-84b5-cc372476671c","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.23"
"ab9a4ab1-63fc-4b0e-8ccd-2a13ba607f9f","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.24"
"44b5ff8e-40d1-4101-965d-039a786d57c5","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.25"
"f4a06c33-e062-416b-a681-cc719daff322","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.26"
"b4d0b8dc-1f5b-4782-9a1a-13eed18cf71c","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.27"
"eb3e8bbd-aa5e-4a46-ace5-e9e7b9b20177","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.28"
"14769b06-f0e3-41bd-9aaf-2aff6b53bf20","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.29"
"ae7fb19a-f992-420d-913f-fe6b5f41c8c9","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.30"
"a2aef9f6-926c-4de7-bef0-25a2e30f6ab1","","checklist-flat","fail","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.31"
"405364d1-a706-4852-841b-a2d138d497b9","","checklist-flat","not-started","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","External","5","L5.32"
"447ce809-c351-4629-b340-3cb09ecdb25f","","folder-normal","not-started","","step","TRUE","FALSE","External","Roof"
"290665a8-3190-4cbf-8e5c-124837a9fd9a","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","External","Roof","Rooflight"
"1d50c7b5-c3ea-4973-b999-7e25224c9588","","folder-normal","not-started","","step","TRUE","FALSE","External","Plant Room"
"bf63e9c4-826f-4016-ae93-ef0bb4b96fb8","","checklist-flat","not-started","Plant Room Screens","checklist-flat","FALSE","FALSE","External","Plant Room","North"
"a1551578-1a0c-4a00-8bb9-addcfe29e0b5","","checklist-flat","not-started","Plant Room Screens","checklist-flat","FALSE","FALSE","External","Plant Room","East"
"cf002169-9f92-49d6-bd5d-ea52d29c6b21","","checklist-flat","not-started","Plant Room Screens","checklist-flat","FALSE","FALSE","External","Plant Room","West"
"e2527340-44b2-4520-9f57-f4da651f371b","","checklist-flat","not-started","Plant Room Screens","checklist-flat","FALSE","FALSE","External","Plant Room","South"
"fc632ce9-cd4e-43ef-9632-8b9bbfc6defe","","folder-normal","not-started","","step","TRUE","FALSE","Internal"
"44b55486-d2d2-4a46-93c9-cb3c4789dfbb","","folder-normal","not-started","","step","TRUE","FALSE","Internal","1"
"2e35dbcc-4adb-409c-aa72-7fa90dd0121c","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","1","WL1-001"
"bea502d0-e39a-44f0-85c6-04abbe2635b3","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","1","WL1-002"
"cfb36202-fea5-4c9c-98b0-618f1e5b3744","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","1","WL1-003"
"2461111f-0184-47e5-95ac-59bd351bc9b2","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","1","WL1-004"
"d6f09d9b-84e3-488f-97d8-940d33dd85da","","folder-normal","not-started","","step","TRUE","FALSE","Internal","2"
"679d8b72-3f7e-4b09-9e3f-6605f9753c16","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","2","WL2-001"
"c4040122-ef58-4087-8534-6a76a449edae","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","2","WL2-002"
"61bc3849-4b40-462a-9cea-db3fea9ec76e","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","2","WL2-003"
"586be28d-5f9c-4b47-b5e9-ec3fa539995e","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","2","WL2-004"
"d26e3b44-9943-4d1c-b5ee-c3a294fc958a","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","2","WL2-005"
"d1a88ab0-3c7c-4426-86fb-c047b2034635","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","2","WL2-006"
"de83addd-ae7e-46e5-97b1-2a7df22515ca","","folder-normal","not-started","","step","TRUE","FALSE","Internal","3"
"4ceb8030-1ea2-476c-8cd6-f6cfc1a4a027","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","3","WL3-001"
"684b581c-18f4-4fbd-9888-e03850750c15","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","3","WL3-002"
"48765e60-e30c-4140-84cf-2e4e0ef48a02","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","3","WL3-003"
"f08f03f0-6b7d-4a7d-8d85-98327467ae20","","checklist-flat","not-started","Commercial/Domestic (Internal)","checklist-flat","FALSE","FALSE","Internal","3","WL3-004"
