"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"62d8b48f-57ff-4a0b-8789-33fb6902c47c","","not-started","QA_TEM_015_Accessories Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSB-CP","Accessories Installation"
"12b428fd-c798-481a-a9a8-fd2f8b0ad8f0","","not-started","QA_TEM_078_Cable Installation Checksheet","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSB-CP","Cable Installation Checksheet"
"d68013a9-c3fc-4599-be7b-ced81872e035","","not-started","Final Installation Checklist","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSB-CP","Final Installation Test Sheet"
"6fb8ff55-7874-4306-8c7a-60b444684c5f","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Switchboards","MSSB-1 (T)"
"ca1a4672-8435-45ca-8502-d3bcbdfd974a","","not-started","QA_TEM_011_Mains & Submains Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-1 (T)","Mains & Submains Installation"
"3ecc0b1e-e832-4faf-bd37-ee3de536c3af","","not-started","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-1 (T)","Switchboard & DB Installation"
"07702122-05a3-4f3c-af77-ac6a17bec8ab","","not-started","QA_TEM_013_Switchboard & Distribution Board Assembly","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-1 (T)","Switchboard & Distribution Board Assembly"
"79a5f6ee-8097-4ca3-b4f8-f90f1a32a19f","","not-started","QA_TEM_014_Cable Terminations","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-1 (T)","Cable Terminations"
"81767d0f-4498-4f5f-95a7-240c0dcfc3d2","","not-started","QA_TEM_078_Cable Installation Checksheet","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-1 (T)","Cable Installation Checksheet"
"a769b111-06f9-46f0-861e-859a960a2058","","not-started","Final Installation Checklist","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-1 (T)","Final Installation Test Sheet"
"85943a2a-2201-4194-b816-8935dedd5266","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Switchboards","MSSB-2 (T)"
"a9150c06-f668-4e7b-a733-a07d04cc337b","","not-started","QA_TEM_011_Mains & Submains Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-2 (T)","Mains & Submains Installation"
"d46a9b10-5780-425c-abd8-d1819596b198","","not-started","QA_TEM_012_Switchboard & Distribution Board Installation","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-2 (T)","Switchboard & DB Installation"
"dd08ff9c-ade1-4e93-bade-a6295699cbe2","","not-started","QA_TEM_013_Switchboard & Distribution Board Assembly","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-2 (T)","Switchboard & Distribution Board Assembly"
"f3b9b2f7-d8bc-4ecb-88e9-07e48bcf30c9","","not-started","QA_TEM_014_Cable Terminations","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-2 (T)","Cable Terminations"
"591ff46b-2d1f-4ee2-8c99-6aec9d3d4e92","","not-started","QA_TEM_078_Cable Installation Checksheet","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-2 (T)","Cable Installation Checksheet"
"e54f965b-1ece-4744-a82b-4601ac42bb4f","","not-started","Final Installation Checklist","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","MSSB-2 (T)","Final Installation Test Sheet"
"15c25847-c769-43fd-939d-e37c9f5d4eae","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Switchboards","ISO-TX-STN (T)"
"eb953be2-192c-4a9f-a01f-a9cabca5e338","","not-started","QA_TEM_003_Earth Electrode","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","ISO-TX-STN (T)","Earth Electrode"
"1c84e96b-936c-452b-a458-f15b82cb1021","","not-started","QA_TEM_014_Cable Terminations","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","ISO-TX-STN (T)","Cable Terminations"
"2dd7c5a4-c2a1-454b-9865-56966fa59fe2","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Switchboards","ISO-TX-SER (T)"
"0267ff0d-e132-4f99-abe8-c7a02282d940","","not-started","QA_TEM_003_Earth Electrode","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","ISO-TX-SER (T)","Earth Electrode"
"c02deca6-2dec-444b-bd16-0774de83aa82","","not-started","QA_TEM_014_Cable Terminations","checklist","FALSE","FALSE","Site QA","Electrical","Switchboards","ISO-TX-SER (T)","Cable Terminations"
"15233e9c-8233-4f70-89ab-f9cfa400e78c","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Pole Lights"
"7947a7fa-1822-4039-82c1-adf8e5f8358c","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Pole Lights","Carpark"
"5c6ed01d-addd-4233-8da9-f4b1a0adc8ea","","not-started","QA_TEM_020(QR)_Lighting & CCTV Poles","checklist","FALSE","FALSE","Site QA","Electrical","Pole Lights","Carpark","Lighting and CCTV Poles"
"69568ea9-2516-4132-9b41-c80c94b1426d","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Pole Lights","Platform 1"
"8cdc9c2c-4923-4f80-a079-5ecd9d3e1913","","not-started","QA_TEM_020(QR)_Lighting & CCTV Poles","checklist","FALSE","FALSE","Site QA","Electrical","Pole Lights","Platform 1","Lighting and CCTV Poles"
"6746e074-2259-4761-83d0-159f7271aea6","","not-started","","folder","TRUE","FALSE","Site QA","Electrical","Pole Lights","Platform 2"
"98e7c267-9e2c-40f4-82d6-7b616a38ac78","","not-started","QA_TEM_020(QR)_Lighting & CCTV Poles","checklist","FALSE","FALSE","Site QA","Electrical","Pole Lights","Platform 2","Lighting and CCTV Poles"
