Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
,,Level 18,,Sundries,Level 18,Wake Carpentry Site QA
,,Level 19,,Sundries,Level 19,Wake Carpentry Site QA
,,Level 20,,Sundries,Level 20,Wake Carpentry Site QA
,,Level 21,,Sundries,Level 21,Wake Carpentry Site QA
,,Level 22,,Sundries,Level 22,Wake Carpentry Site QA
,,Level 23,,Sundries,Level 23,Wake Carpentry Site QA
,,Level 24,,Sundries,Level 24,Wake Carpentry Site QA
,,Level 25,,Sundries,Level 25,Wake Carpentry Site QA
,,Level 26,,Sundries,Level 26,Wake Carpentry Site QA
,,Level 27,,Sundries,Level 27,Wake Carpentry Site QA
,Columns,,,,,
,,All sundries are at correct height,,All sundries are at correct height,,
,,All sundries are level,,All sundries are level,,
,,All sundries are fastened correctly,,All sundries are fastened correctly,,
,,All sundries are free of damage,,All sundries are free of damage,,
