"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c8a4f35d-80b4-44a8-ad67-58f81fa7c6de","","checklist-flat","no-status-not-started","3b75876e962375e1fa84b90877f13bd8bad55be56e3a5558f873021cdd8ea4fb","checklist-flat","FALSE","FALSE","Job Details"
"4ce1eb48-b75b-4167-9ce8-b915bdde0419","","folder-normal","pass","","step","TRUE","FALSE","Site QA"
"271800cd-e956-42df-8125-0865ecc2c2f8","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Basement "
"73b6e19e-c85d-4317-9711-899b9e7ec9c9","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Level 2"
"07e6fe22-bf95-4cf3-a23f-9c31253c79b9","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Pour 1"
"0274a2d7-bade-4a64-9c05-5d9ab6a82fe6","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Pour 2"
"fbc51192-92eb-4d3f-91b0-52969c6c6da1","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Pour 3"
"9bf503ca-8e83-4c40-b915-a42cf08a8d88","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Pour 4 "
"63f221ca-f0a3-48df-852b-0cf94a7137f9","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Pour 5 "
"2adb29e4-e477-40b5-a691-d81b412a0b37","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Pour 6"
"9c83b9de-9f8f-416f-9a6a-b44e85e2167a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Crane base "
"0636908e-9879-40c6-a74a-9080e1505161","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Crane base ","Crane base "
"22605c6b-08fe-47a5-b31e-a23349f85a37","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Pool and spa "
"6dae1b56-049b-4dfc-a646-0455d06f52b6","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Pool and spa ","Pool and spa "
"41f9ccc9-3c2f-41c0-bc15-7f36af54630a","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Detention Tank "
"cac708df-5d58-4b39-a5ab-69a8ef4f10ab","","checklist-sectioned","pass","Full - Excavation/Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Detention Tank ","Full - Excavation/Formwork/Concrete"
"e3842050-afa8-4915-855e-f6dbd57d3ee2","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Plant Deck 1"
"87b30940-c2a5-4447-ab3d-a0e1b271c289","","checklist-sectioned","pass","d7c73001732fdd2848a312dd60fe9bc18d9c777e47695c4ce65c50c68762c9ff","checklist","FALSE","FALSE","Site QA","Plant Deck 1","Full - Excavation/Formwork/Concrete"
"ed505803-51eb-4899-ae4c-b8b633391e9f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Plant Deck 2"
"b5f6f3b1-5e7d-4ab6-ada6-0b76447eb92c","","checklist-sectioned","pass","L2/L3 & Roof Formwork/Concrete Checklist","checklist","FALSE","FALSE","Site QA","Plant Deck 2","Formwork/Reo/Concrete"
"b53e6284-9306-4731-94f5-d5c25ff78a8e","","folder-normal","work-in-progress","","step","TRUE","FALSE","OH&S"
"8c1f524e-1e8f-4f11-85c9-c44296df20f3","","checklist-flat","work-in-progress","Toolbox meeting","checklist-flat","FALSE","FALSE","OH&S","Toolbox meeting - working at heights "
"025f895e-700f-481e-824b-085cb532935d","","checklist-flat","pass","Toolbox meeting","checklist-flat","FALSE","FALSE","OH&S","Toolbox meeting - formwork around existing handrail. "
"2d55c295-b597-4113-82e8-cb4ac638a0f3","","checklist-flat","work-in-progress","Toolbox meeting","checklist-flat","FALSE","FALSE","OH&S","Toolbox meeting -wed 15/6/22"
"2fedfd72-da02-450d-af51-37b20ab5ec77","","folder-normal","work-in-progress","","step","TRUE","FALSE","Variations"
"413263f0-77a2-4ae1-9de8-cf365b522d14","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) -blinding docket "
"9ab6d3b4-e6d9-4c2b-be87-9fc38842dc63","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) - blinding around tanks "
"9d3e5540-f4a0-4a2d-b8d8-d88020a4f3c4","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) -additional raft slab reo supply and install "
"a7a4cb43-ec25-4027-8e39-3dc8c73b749c","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) - concrete supply "
"ad19b41e-3330-4a0a-8f06-b2d09a12e4d2","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) - concrete supply "
"8948ce2b-565b-49eb-badb-5ed000622aeb","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) -panel dowell bar rectification. "
"aafd5965-ba93-42c0-be58-9b766cc17755","","checklist-flat","pass","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Cut window rebates "
"79112266-8753-4d3e-b7db-e9915663c3ab","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) - patios "
"d230b966-3926-4704-ab70-891c02bed73a","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) -patios "
"17162c79-6c77-4bd6-b637-dba5e51092e8","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) -pour driveways tuckers "
"6451663d-becd-4b23-bf6b-821d11638a9f","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) -screeds, lift infills"
"138cbfb4-6673-4ea6-b236-d3b0c1a92e38","","checklist-flat","pass","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) - misc hobs"
"6de7d723-4ba8-4200-91f8-1c13f2f2c2e5","","checklist-flat","pass","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) -misc hobs"
"5a2e0473-efd1-464b-94cf-f70264ecca96","","checklist-flat","work-in-progress","Daysheets (Labour & Materials)","checklist-flat","FALSE","FALSE","Variations","Daysheets (Labour & Materials) - freezer room. "
"047e92b8-d725-44e5-840a-0a6d024d2a3d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Full Activity Timesheets"
"ab6ac02d-0beb-4b28-9bda-1d7bb10ce92f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Full Activity Timesheets","July 2021"
"755c1e57-9206-5853-a4d6-8b711dea343b","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -tues 6/7"
"a57e2b9a-a79c-5002-b2dc-274a302be296","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -wed7/7"
"5a60533b-da4d-59f2-af12-1fc46986d039","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -thurs 8/7"
"d8afa9a2-6ab7-5256-81a0-5b57f35d8641","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -fri 9/7 "
"2d961de0-64d5-54b7-956e-7c5c1bf0014c","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -tues 13/7"
"6bf78e18-8c93-5e57-929e-5995aa2836b9","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -wed 14/7"
"4570f427-5e3d-51d8-ad28-087012af27e4","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -thurs 15/7"
"5f4db6d0-a998-5128-8cc8-440201d2fe85","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -fri 16/7"
"dadad90b-73d0-57fe-8c2d-0e8eefb3d5cd","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -mon 19/7"
"484a5c4c-dc56-5901-b2f1-a139d6b3f2fb","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","July 2021","Daily Full Activity Timesheet -fri 23/7"
"8c874c94-b037-4e6e-8017-abec5d9e7246","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Full Activity Timesheets","Aug2021"
"09958f1d-581d-4613-b8f3-eb8f99f017c4","","checklist-flat","not-started","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -sat 7/8"
"781fd6ba-9d64-40bf-ba90-adcf23b67482","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -wed 11/8"
"57f0d3ca-c959-4e29-b403-e1bd0c1d26ed","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -thurs 12/8"
"0a7375ac-cee2-45b9-a8a9-ae37f9380ed9","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -fri 13/8"
"05a26f2d-f2e5-431e-9ed9-3719902176b0","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -sat 14/8"
"5a2e65e0-6661-4b39-bfad-243ba2f2951d","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -mon16/8"
"aaa45663-0bbe-4c32-b50f-52482a6a9c02","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -tues 17/8"
"5d4e8e88-daa5-48df-a1e7-d688ca7901f2","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -wed 18/8"
"76ed9a9f-a1dd-4227-bc76-d7944b165807","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -thurs 19/8"
"3831f162-0db3-49c0-b8c6-fd8b03e21454","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -fri20/8"
"cba72784-f3bd-435e-a5f7-805ad9219def","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -sat 21/8"
"9a3701c7-c22f-4773-adc2-341f1408c29b","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -mon 23/8"
"8cc96cf1-fc55-4b6b-be7f-a7a1ea89eccc","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -tues 24/8"
"49a8f805-2902-4fef-bffd-98ee561911e1","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -wed 25/8"
"037fb492-5172-4050-a089-aa574ef09063","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -thurs 26/8"
"d5891918-1a90-424c-bc92-1e6dc2bb0f76","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -fri 27/8"
"1920306a-dd1f-47aa-a25c-7ecfd67d534a","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -sat 27/8"
"4503c309-d169-4c76-8f32-8dcc7c25ce99","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -mon 30/8"
"b925e652-bc0d-41a5-beda-54a4e9f09ebc","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Aug2021","Daily Full Activity Timesheet -tues 31/8"
"c4d194a5-2d70-41bd-aea3-7d56e91bfd59","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Full Activity Timesheets","Sep 21"
"25c3bf93-8427-4a09-abdb-b0c7706e1e13","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -wed 1/9"
"30ae0fc6-df99-4f9e-82cc-6775a0b6826e","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -thurs 2=9"
"acbda344-4d9a-443b-9c53-321dcd94c510","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -fri 3/9"
"4cde6158-ffcb-45f5-994f-1374641f6569","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -mon 6/9"
"72f8a621-90e0-4ff1-b809-670fd4b377e7","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -tues 7/9"
"2f4c6ddd-4e16-4542-862e-884d302b3480","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -wed 8/9"
"69ebaf8c-d50f-4b75-9375-6b51efc5ee0f","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -thurs 9/9"
"5f1b42a3-2090-4093-9837-415f400fa04e","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -fri 10/9"
"d6e63161-06c1-4a45-88c6-45a7e3314b67","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -sat 11/9"
"e8fcbb48-ca4d-4371-83f6-2c35fb1ba026","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -tues 14/9"
"40006ecb-85c3-4d1d-89b2-92e64c142778","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -wed 15/9"
"271a2451-ad52-4b17-bfc8-82d93b381451","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -thurs 16/9"
"6886193d-8fb6-4632-977d-368bfb33e8dd","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -fri 17/9"
"4ff9bc31-42dd-4898-9118-8987e0e68d9f","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -sat18/9"
"092f2ddd-b8fe-4bbd-b5db-e4cfede4a426","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -mon 20/9"
"16868e81-3987-490b-81d7-5ad28461d53a","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -tues 21/9"
"49cb1694-416e-4583-8dde-70746e19a13e","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -tues 28/9"
"c27b013d-035c-44e2-974b-51429fac5afd","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -wed29/9"
"1b486972-7687-4712-a97f-4302c643c567","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Sep 21","Daily Full Activity Timesheet -thurs 30/9"
"c972d699-94db-4bf1-94ce-090ab7baef38","","folder-normal","work-in-progress","","step","TRUE","FALSE","Daily Full Activity Timesheets","Oct 21"
"8ff3588b-5acb-4514-87e2-1dafbfdf2679","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Oct 21","Daily Full Activity Timesheet -fri 1/10"
"ceb347b6-4926-476f-b203-43c2a519fe74","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Oct 21","Daily Full Activity Timesheet -sat 2/10"
"75d587c7-f433-4f54-a54b-ba3c3621015f","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Oct 21","Daily Full Activity Timesheet -mon4/10"
"0003091d-dc2d-4a93-af5a-bb5a157e228f","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Oct 21","Daily Full Activity Timesheet -tues 5/10"
"12d7c2db-0eff-4601-8ed0-f9502cc39e5d","","checklist-flat","work-in-progress","Daily Full Activity Timesheet","checklist-flat","FALSE","FALSE","Daily Full Activity Timesheets","Oct 21","Daily Full Activity Timesheet -wed 6/10"
