resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,,Facade,,,,,,,,,,
,step,,,,,Ground level,,,,,,,,,
,step,,,,,,North Elevation,,,,,,,,
FC - S - RAB,checklist,,,,,,,Ecoply,,,,,,,
FC - S - Flashing installation ,checklist,,,,,,,Flashing Installation,,,,,,,
FC - S - Tapes,checklist,,,,,,,Tapes / barrier protection,,,,,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,"Windows, Sliders & Sealants",,,,,,,
FC - S - External Envelope,checklist,,,,,,,External Envelope,,,,,,,
FC - S - Soffits ,checklist,,,,,,,Soffits,,,,,,,
,step,,,,,,East Elevation,,,,,,,,
FC - S - RAB,checklist,,,,,,,Ecoply,,,,,,,
FC - S - Flashing installation ,checklist,,,,,,,Flashing Installation,,,,,,,
FC - S - Tapes,checklist,,,,,,,Tapes / barrier protection,,,,,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,"Windows, Sliders & Sealants",,,,,,,
FC - S - External Envelope,checklist,,,,,,,External Envelope,,,,,,,
FC - S - Soffits ,checklist,,,,,,,Soffits,,,,,,,
,step,,,,,,South Elevation,,,,,,,,
FC - S - RAB,checklist,,,,,,,Ecoply,,,,,,,
FC - S - Flashing installation ,checklist,,,,,,,Flashing Installation,,,,,,,
FC - S - Tapes,checklist,,,,,,,Tapes / barrier protection,,,,,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,"Windows, Sliders & Sealants",,,,,,,
FC - S - External Envelope,checklist,,,,,,,External Envelope,,,,,,,
FC - S - Soffits ,checklist,,,,,,,Soffits,,,,,,,
,step,,,,,,West Elevation,,,,,,,,
FC - S - RAB,checklist,,,,,,,Ecoply,,,,,,,
FC - S - Flashing installation ,checklist,,,,,,,Flashing Installation,,,,,,,
FC - S - Tapes,checklist,,,,,,,Tapes / barrier protection,,,,,,,
"FC - S - Windows, Sliders and Sealants",checklist,,,,,,,"Windows, Sliders & Sealants",,,,,,,
FC - S - External Envelope,checklist,,,,,,,External Envelope,,,,,,,
FC - S - Soffits ,checklist,,,,,,,Soffits,,,,,,,
,step,,,,,Ground Level,,,,,,,,,
,step,,,,,,Grid E to F - 1 to 9,,,,,,,,
FC - S - Eyebrow - Canopy,checklist,,,,,,,Entrance Canopy,,,,,,,
,step,,,,,Level 1,,,,,,,,,
,step,,,,,,Grid E to F - 1 to 9,,,,,,,,
FC - S - Hatches,checklist,,,,,,,Roof Hatch,,,,,,,
,step,,,,Completion Documents,,,,,,,,,,
CST - S - Completion Documents,checklist,,,,,Completion Documents,,,,,,,,,
