"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a69b818f-9722-459c-81c3-6e9c0c0d9281","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","702"
"3d87e77f-fce7-4d4a-a56b-31b19018bda5","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","703"
"a376f02a-5606-4ae8-b54f-221fa5bbfc8f","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","704"
"f85df2f7-3653-4131-a1b5-0400b0977491","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","705"
"355699b9-68dc-44ca-8ac2-f2af2325d478","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","706"
"e8cfefc9-a7a6-4c66-9086-c9b0aeb2b56e","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","707"
"15e9a929-94a2-4edb-a8f9-22ca1acff68f","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","708"
"aa2421f7-40b7-49d1-acb7-c7d242a48bc2","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","709"
"649d395f-9d55-452a-a96d-fb8a0aa36b92","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 7","710"
"152cabf5-26a7-4fe2-93fb-c0bfa5a9869a","","folder-normal","","","step","TRUE","FALSE","External","Level 8"
"a96f8319-f694-43b1-8079-3fefc860c771","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 8","801"
"dcd52231-32e8-4f00-ada9-cb5fb94ad557","","folder-normal","","","step","TRUE","FALSE","External","Level 9"
"2763e69c-b8a5-41e5-ab20-66b2584ab4f0","","checklist-flat","","Framed Baluster Checklist","checklist-flat","FALSE","FALSE","External","Level 9","900"
"d7fbec93-df71-4dde-b0dd-3a2007db8555","","folder-normal","","","step","TRUE","FALSE","Internal"
"6f6dbea6-4b66-4a7c-869b-b00fc1bd4cd3","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs"
"f298a68b-a77a-48a4-8212-44dd5a6f3f82","","folder-normal","","","step","TRUE","FALSE","Internal","Stairs","Flight 1"
