"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"External Progress"
,"Scope",,
,"Rows"
,,"Site QA","dynamic","site qa"
,"Columns"
,,"Slab edge installation Completed",,"slab edge installation completed","westside"
,,"Vertical Full height sunshades installed",,"westside","vertical full height sunshades installed"
,,"BMU Brackets installed",,"bmu brackets installed","westside"
,,"All end caps to feature completed",,"all end caps to feature completed","westside"
,,"All external trimming completed",,"all external trimming completed","westside"
,,"All external sealing completed",,"all external sealing completed","westside"
,,"Horizontal sunshade installed",,"eastside","horizontal sunshade installed"
,,"Vertical fins detail installed",,"eastside","vertical fins detail installed"
,,"All end caps to feature completed",,"eastside","all end caps to feature completed"
,,"All external trimming completed",,"all external trimming completed","eastside"
,,"All external sealing completed",,"all external sealing completed","eastside"

"Windows/Doors Installation Progress (Levels 1-20)"
,"Scope",,
,"Rows"
,,"(Attach photo)",,"(attach photo)"
,,"Installation of sub-head and caulked",,"installation of sub-head and caulked"
,,"Install frames including trims to doors",,"install frames including trims to doors"
,,"Install windows and trimming",,"install windows and trimming"
,,"Install door panels",,"install door panels"
,,"Installation of all hardware",,"installation of all hardware"
,,"Ensure all external and internal angles are sealed",,"ensure all external and internal angles are sealed"
,,"Handover",,"handover"

"Windows/Doors Installation Progress (Levels 21-38)"
,"Scope",,
,"Rows"
,,"Level 21 - Lobby","dynamic","level 21","site qa","lobby"
,,"Level 21 - 2101","dynamic","2101","level 21","site qa"
,,"Level 21 - 2102","dynamic","2102","level 21","site qa"
,,"Level 21 - 2103","dynamic","2103","level 21","site qa"
,,"Level 21 - 2104","dynamic","2104","level 21","site qa"
,,"Level 21 - 2105","dynamic","2105","level 21","site qa"
,,"Level 21 - 2106","dynamic","2106","level 21","site qa"
,,"Level 21 - 2107","dynamic","2107","level 21","site qa"
,,"Level 21 - 2108","dynamic","2108","level 21","site qa"
,,"Level 21 - 2109","dynamic","2109","level 21","site qa"
,,"Level 22 - Lobby","dynamic","level 22","site qa","lobby"
,,"Level 22 - 2201","dynamic","2201","level 22","site qa"
,,"Level 22 - 2202","dynamic","2202","level 22","site qa"
,,"Level 22 - 2203","dynamic","2203","level 22","site qa"
,,"Level 22 - 2204","dynamic","2204","level 22","site qa"
,,"Level 22 - 2205","dynamic","2205","level 22","site qa"
,,"Level 22 - 2206","dynamic","2206","level 22","site qa"
,,"Level 22 - 2207","dynamic","2207","level 22","site qa"
,,"Level 22 - 2208","dynamic","2208","level 22","site qa"
,,"Level 22 - 2209","dynamic","2209","level 22","site qa"
,,"Level 23 - Lobby","dynamic","level 23","site qa","lobby"
,,"Level 23 - 2301","dynamic","2301","level 23","site qa"
,,"Level 23 - 2302","dynamic","2302","level 23","site qa"
,,"Level 23 - 2303","dynamic","2303","level 23","site qa"
,,"Level 23 - 2304","dynamic","2304","level 23","site qa"
,,"Level 23 - 2305","dynamic","2305","level 23","site qa"
,,"Level 23 - 2306","dynamic","2306","level 23","site qa"
,,"Level 23 - 2307","dynamic","2307","level 23","site qa"
,,"Level 23 - 2308","dynamic","2308","level 23","site qa"
,,"Level 23 - 2309","dynamic","2309","level 23","site qa"
,,"Level 24 - Lobby","dynamic","site qa","level 24","lobby"
,,"Level 24 - 2401","dynamic","2401","site qa","level 24"
,,"Level 24 - 2402","dynamic","2402","site qa","level 24"
,,"Level 24 - 2403","dynamic","2403","site qa","level 24"
,,"Level 24 - 2404","dynamic","2404","site qa","level 24"
,,"Level 24 - 2405","dynamic","2405","site qa","level 24"
,,"Level 24 - 2406","dynamic","2406","site qa","level 24"
,,"Level 24 - 2407","dynamic","2407","site qa","level 24"
,,"Level 24 - 2408","dynamic","2408","site qa","level 24"
,,"Level 24 - 2409","dynamic","2409","site qa","level 24"
,,"Level 25 - Lobby","dynamic","level 25","site qa","lobby"
,,"Level 25 - 2501","dynamic","2501","level 25","site qa"
,,"Level 25 - 2502","dynamic","2502","level 25","site qa"
,,"Level 25 - 2503","dynamic","2503","level 25","site qa"
,,"Level 25 - 2504","dynamic","2504","level 25","site qa"
,,"Level 25 - 2505","dynamic","2505","level 25","site qa"
,,"Level 25 - 2506","dynamic","2506","level 25","site qa"
,,"Level 25 - 2507","dynamic","2507","level 25","site qa"
,,"Level 25 - 2508","dynamic","2508","level 25","site qa"
,,"Level 25 - 2509","dynamic","2509","level 25","site qa"
,,"Level 26 - Lobby","dynamic","level 26","site qa","lobby"
,,"Level 26 - 2601","dynamic","2601","level 26","site qa"
,,"Level 26 - 2602","dynamic","2602","level 26","site qa"
,,"Level 26 - 2603","dynamic","2603","level 26","site qa"
,,"Level 26 - 2604","dynamic","2604","level 26","site qa"
,,"Level 26 - 2605","dynamic","2605","level 26","site qa"
,,"Level 26 - 2606","dynamic","2606","level 26","site qa"
,,"Level 26 - 2607","dynamic","2607","level 26","site qa"
,,"Level 26 - 2608","dynamic","2608","level 26","site qa"
,,"Level 26 - 2609","dynamic","2609","level 26","site qa"
,,"Level 27 - Lobby","dynamic","level 27","site qa","lobby"
,,"Level 27 - 2701","dynamic","2701","level 27","site qa"
,,"Level 27 - 2702","dynamic","2702","level 27","site qa"
,,"Level 27 - 2703","dynamic","2703","level 27","site qa"
,,"Level 27 - 2704","dynamic","2704","level 27","site qa"
,,"Level 27 - 2705","dynamic","2705","level 27","site qa"
,,"Level 27 - 2706","dynamic","2706","level 27","site qa"
,,"Level 27 - 2707","dynamic","2707","level 27","site qa"
,,"Level 27 - 2708","dynamic","2708","level 27","site qa"
,,"Level 27 - 2709","dynamic","2709","level 27","site qa"
,,"Level 28 - Lobby","dynamic","site qa","level 28","lobby"
,,"Level 28 - 2801","dynamic","2801","site qa","level 28"
,,"Level 28 - 2802","dynamic","2802","site qa","level 28"
,,"Level 28 - 2803","dynamic","2803","site qa","level 28"
,,"Level 28 - 2804","dynamic","2804","site qa","level 28"
,,"Level 28 - 2805","dynamic","2805","site qa","level 28"
,,"Level 28 - 2806","dynamic","2806","site qa","level 28"
,,"Level 28 - 2807","dynamic","2807","site qa","level 28"
,,"Level 28 - 2808","dynamic","2808","site qa","level 28"
,,"Level 28 - 2809","dynamic","2809","site qa","level 28"
,,"Level 29 - Lobby","dynamic","level 29","site qa","lobby"
,,"Level 29 - 2901","dynamic","2901","level 29","site qa"
,,"Level 29 - 2902","dynamic","2902","level 29","site qa"
,,"Level 29 - 2903","dynamic","2903","level 29","site qa"
,,"Level 29 - 2904","dynamic","2904","level 29","site qa"
,,"Level 29 - 2905","dynamic","2905","level 29","site qa"
,,"Level 29 - 2906","dynamic","2906","level 29","site qa"
,,"Level 29 - 2907","dynamic","2907","level 29","site qa"
,,"Level 29 - 2908","dynamic","2908","level 29","site qa"
,,"Level 29 - 2909","dynamic","2909","level 29","site qa"
,,"Level 30 - Lobby","dynamic","level 30","site qa","lobby"
,,"Level 30 - 3001","dynamic","3001","level 30","site qa"
,,"Level 30 - 3002","dynamic","3002","level 30","site qa"
,,"Level 30 - 3003","dynamic","3003","level 30","site qa"
,,"Level 30 - 3004","dynamic","3004","level 30","site qa"
,,"Level 30 - 3005","dynamic","3005","level 30","site qa"
,,"Level 30 - 3006","dynamic","3006","level 30","site qa"
,,"Level 30 - 3007","dynamic","3007","level 30","site qa"
,,"Level 30 - 3008","dynamic","3008","level 30","site qa"
,,"Level 30 - 3009","dynamic","3009","level 30","site qa"
,,"Level 31 - Lobby","dynamic","site qa","level 31","lobby"
,,"Level 31 - 3101","dynamic","3101","site qa","level 31"
,,"Level 31 - 3102","dynamic","3102","site qa","level 31"
,,"Level 31 - 3103","dynamic","3103","site qa","level 31"
,,"Level 31 - 3104","dynamic","3104","site qa","level 31"
,,"Level 31 - 3105","dynamic","3105","site qa","level 31"
,,"Level 31 - 3106","dynamic","3106","site qa","level 31"
,,"Level 31 - 3107","dynamic","3107","site qa","level 31"
,,"Level 31 - 3108","dynamic","3108","site qa","level 31"
,,"Level 31 - 3109","dynamic","3109","site qa","level 31"
,,"Level 32 - Lobby","dynamic","level 32","site qa","lobby"
,,"Level 32 - 3201","dynamic","3201","level 32","site qa"
,,"Level 32 - 3202","dynamic","3202","level 32","site qa"
,,"Level 32 - 3203","dynamic","3203","level 32","site qa"
,,"Level 32 - 3204","dynamic","3204","level 32","site qa"
,,"Level 32 - 3205","dynamic","3205","level 32","site qa"
,,"Level 32 - 3206","dynamic","3206","level 32","site qa"
,,"Level 32 - 3207","dynamic","3207","level 32","site qa"
,,"Level 32 - 3208","dynamic","3208","level 32","site qa"
,,"Level 32 - 3209","dynamic","3209","level 32","site qa"
,,"Level 33 - Lobby","dynamic","level 33","site qa","lobby"
,,"Level 33 - 3301","dynamic","3301","level 33","site qa"
