"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6dbd32f-05db-4e7f-8ded-5f30bd2196e4","","not-started","SYS - Job Details Checklist (V1)","checklist","FALSE","FALSE","Job Details"
"b4e56f4e-2e17-4667-bfeb-b6e6b69325fd","","fail","","folder","TRUE","FALSE","Precast Manufacture"
"187dbaa7-4c89-4de6-9032-a44e5263fb43","","fail","","folder","TRUE","FALSE","Precast Manufacture","Precast Panels"
"ba4c6ebb-a1cf-4fe3-8673-bf9667bd6582","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P43"
"5b5ad3cf-0705-47e3-b806-5dbedb02cf98","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P44"
"d20dc287-3da5-418b-a295-c2303d8b931b","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P45"
"9935d6f0-5c33-40c0-816c-0a8e231db7b3","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P46"
"f37435f4-be10-4569-ae7c-b1827e17d886","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P47"
"bb1763dc-1359-4dc8-be9a-8e16f96a483a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P48"
"da8e13b3-95e3-40f0-af9c-890fa73adf90","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P49"
"4bcf5cbd-b584-45cd-8415-d1b80637d3a5","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P50"
"2c06387b-8ed6-467a-99f9-9eeb8c5cf8e5","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P51"
"6e06d9ad-91d7-46ca-ba4e-981d3554c21d","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P52"
"874f849a-d937-467a-9f4f-2e70ffca51c9","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P53"
"42353748-a5cb-4829-bdde-8d4ffd00232d","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P54"
"cc0ef43c-42da-42e9-bf56-8101689da7a1","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P55"
"7475631f-939b-4a17-8e90-4b54c017ac84","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P56"
"c22e83b2-ad81-4b74-87d9-1d30bb797618","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P57"
"d80cd0aa-2741-4454-a576-599806a576b7","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P58"
"077079b5-3de7-4290-89e6-96a1bed6b403","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P59"
"a25cdf32-7c7a-44d1-a3c0-4dbda415633f","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P60"
"367af0b7-e03f-46a1-b31d-7a6e0b72851a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P61"
"4edf3ef0-ec02-4905-b25b-1b1368c1841d","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P62"
"296bb776-24a7-452f-a2b5-06984b098bdf","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P63"
"ca7a5a38-8cbf-4bc0-bfb8-c131e7845848","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P64"
"0a11a5fc-378a-4555-954e-d5a74563e328","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P65"
"f5bc463b-1237-48f3-a9e8-3fab0b3c45bb","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P66"
"45940e12-5291-455a-8d42-0f833320cd77","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P67"
"93dc1b30-858a-43fb-a86e-724c9e97db63","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P68"
"1b6dbf21-29da-40da-957d-78cc7134334a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P69"
"70097361-b089-4b68-b985-f62e69309092","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P70"
"06bf81ff-6888-4541-bda5-aca549d175a3","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P71"
"d3c6e39d-b552-4e8f-917c-6103f8ef2aee","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P72"
"08968b51-f4aa-4401-877f-5629ff325549","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P73"
"4373384c-9193-4e94-9e0b-98ccadda1e27","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P74"
"9d2b0324-acf4-4112-940b-4aee1e7d12a4","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P75"
"3e87870d-4799-4239-9dc1-8292a065179e","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P76"
"949a76af-8ef2-4bb0-b53c-5c88c35c220f","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P77"
"9cc1df60-5ee0-4539-9c74-7feb0e6f3a11","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P78"
"2c2bc4a8-f865-4c95-bae3-70302f43c4b6","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P79"
"f618005c-93c5-4706-80ef-c96aae3925ad","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P80"
"81626a78-9961-4aab-a886-e73ab052019e","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P81"
"dd2c2714-5ad9-4ad3-ba2a-df6a0cf7dd91","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P82"
"c94f8997-96c0-4baf-986e-9373796c2230","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P83"
"21c1903a-3de6-42a1-b942-438532fe346a","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P84"
"841c008f-6a4c-4bd7-a7b6-32775946ed57","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P85"
"cd5f7508-7230-42fc-a6de-9d1240d43d0b","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P86"
"8c344c3c-48c9-404a-9b46-1fbcae1a4705","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P87"
"df54cf9e-5acf-4c14-b2da-75cb9ea32d4c","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P88"
"d4236ba2-3639-4303-b578-5806e56dd2b0","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P89"
"8ad08c45-9b31-4d1b-ba47-19080ac6f238","","fail","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P90"
"3ef8f397-39c8-4a09-919e-20fb6e1ec767","","fail","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P91"
"35c73542-134c-4a82-853e-3eb2934299b1","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P92"
"0b178c03-562d-4a22-9761-2287881bf672","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P93"
"f57ac6a8-00e5-47a4-adb4-65d9c9e84728","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P94"
"272ca61f-c121-4097-b3ee-7caff882e22d","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P95"
"aac02f27-124e-4177-90fd-92c5d84901f1","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P96"
"feb5f9fe-d90c-4d22-abed-7455dd0f80df","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P97"
"e8c23ae3-90a5-434c-8cc7-fb93edce2827","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P98"
"dc1f7ed2-bc23-4c98-bdef-917a0ae5d8b6","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P99"
"f58e2590-1cdf-45df-86a1-fce521909e47","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P100"
"751be8f3-92f5-4840-b88b-f66d4c05e4a3","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P101"
"06398368-8506-4f41-971e-11c013397402","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P102"
"f6c44c76-8815-4cf1-ba06-c3120e06048a","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P103"
"c6d201a3-8f5e-4f0a-acb2-d8ab517a67bf","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P104"
"b202df5e-7798-4f09-860c-628300b81b89","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P105"
"b6d45fa6-1701-487c-ba6e-3946677cec24","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P106"
"9f3cb954-9fa6-4509-b780-27bd75df3aea","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P107"
"348fcec0-67a7-4ea1-8eb5-1ce9ec3af4f2","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P108"
"69ba4a8f-6890-4518-81f6-a03370ebf026","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P109"
"a8c24c41-c59a-4095-846a-5fe676aec599","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P110"
"0675527a-713d-465f-a944-8fec540787d0","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P111"
"b9adc473-9da2-498a-aaea-3776902a34bc","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P112"
"ee1fb437-843d-4040-a1ff-36322ff575c3","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P113"
"8c191c03-f6a3-43b8-b1e8-26699b9b6b60","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P114"
"957505ac-15a4-4067-ad43-9d67bb679120","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P115"
"e5bf0d08-18de-4f71-a488-c08d0ab57dc2","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P116"
"9094bf04-2b57-4254-96c1-e98a25c3b57b","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P117"
"7c229e70-2f1e-4ef5-a1dd-67b0e7da185e","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P118"
"cd50bb24-69bd-4df7-97ba-54eca8d90f2a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P119"
"a47619f9-b1c4-4112-a895-d7b61977ce30","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P120"
"03fb54f9-5275-4f50-b901-bf364044cef6","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P121"
"8e83e51f-31f2-4f54-bf27-48c9e71fad33","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P122"
"b80dff87-6321-41d6-9aac-ac536ea05074","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P123"
"0d5cba3d-74f5-4136-8a63-4382ba318a1a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P124"
"cd1f496c-c531-40f7-8d91-1dd0e1875dc9","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P125"
"249687eb-6f7c-4c0e-8040-78d85c7fa1b1","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P126"
"2890e186-9d17-4aa9-89cd-1831597198c0","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P127"
"39ac1e44-53bf-46c4-a41f-1fe1475e2a0a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P128"
"d1d74591-2355-4467-bde3-3f44a95efcbc","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P129"
"53de8d07-718a-499c-98dc-b5a4e8d990a1","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P130"
"b90d7615-ceb6-42d3-baab-88f547e20e4f","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P131"
"19a77cf6-26da-4583-9805-0b3886699859","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P132"
"6580c1ab-8591-4219-8670-0c2b93b011ca","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P133"
"be5818e0-dac2-4dec-8b58-3ae9fa33d63a","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P134"
"ec09a4db-5f5c-4b59-b15a-210b4ab8f64f","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P135"
"5a54dbb3-42f9-4fc4-b4f9-8072c32c2e34","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P136"
"24e60f25-eb93-4ed3-9e4a-1a0e877a04eb","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P137"
"a16fd4da-8749-45d4-a07b-d2422fa1f0ab","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P138"
"0bef157c-ee5e-426a-8ee6-8e5171596f56","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P139"
"fb1a8b37-7c09-412e-8508-f33139dba13c","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P140"
"1a3b2816-d428-4675-91da-37d3bd69f606","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P141"
"1f45fc72-ae4f-416a-b812-902fa6286a4b","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P142"
"b26063b3-3132-48e3-8e48-fd5c389e8178","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P143"
"0cc00855-afe9-4a36-ae86-cc2ba88d5c3d","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P144"
"a8eaf7fa-e2a4-4955-ab91-47da61660428","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P145"
"d5a97d87-2cda-4b9b-83fb-d5f7fb37330f","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P146"
"d7a28f6c-d290-47bb-87ff-81cd387624c8","","fail","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P147"
"d101a491-acaa-45ef-b6fd-d0609948bc87","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P148"
"b11e7001-9255-4e88-831d-5621a1338cef","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P149"
"db7a2ffd-06d1-4645-810f-40031367d2d8","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P150"
"faae6325-3b44-4564-86fd-2c524aab8f20","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P151"
"7f18cb9d-9160-4eac-be77-50bd7c1915ff","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P152"
"1602c73b-b8da-4f44-9d4e-094852d3d88e","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P153"
"6243dff2-3f1c-45f7-b694-9f7490acd7ad","","work-in-progress","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P154"
"9412ebcd-5002-4418-aa94-59e67ffa8095","","not-started","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Panels","844-P155"
"6d3cf4b8-7f27-4392-b7b2-0b03be833bba","","work-in-progress","","folder","TRUE","FALSE","Precast Manufacture","Precast Columns"
"9e013cd0-c63f-45fb-b3d2-674597a3ddea","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Columns","844-C01"
"dd5edab6-86b0-485a-9f15-7b4f6b7d06aa","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Columns","844-C02"
"f6c1831f-9ce5-4ffc-b253-cfee6b17cda9","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Columns","844-C03"
"2dea30b1-2e71-4674-9de1-161485f04e81","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Columns","844-C04"
"0d28ab7c-0ddd-4ab2-a6dc-191e04514186","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Columns","844-C05"
"7f04f7c7-838f-4f4a-b30b-bc8ad8cafa4a","","pass","QA - Item Checklist (V7)","checklist","FALSE","FALSE","Precast Manufacture","Precast Columns","844-C06"
