"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0391b5eb-f372-4b64-83c9-a381e48e443c","","not-started","","folder","TRUE","FALSE","Chipseal"
"e44836b4-358c-4708-9c94-b0b3d69c6444","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Leonard Rd Curves I"
"f80ebdc8-9168-4f7a-bcfd-a58fd18fe730","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Awakeri West"
"c6affd29-1a40-45b6-b94a-38adda035fcb","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Western Drain East"
"bc347e9f-49bc-4134-898e-8e4f9334e0c0","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Hydro Road East"
"5629a294-32d6-4443-ae1b-f5afeb158595","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Thirteen Curves"
"2d3a2b8b-a0dd-42a0-a03c-52c57f481e92","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Opato Bridge West II A"
"5ee479c0-2c1c-493f-848f-7cd5a9a131d0","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Opato Bridge"
"483ed2c1-c347-479f-a5b0-ee1c4bcb9483","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Opato Bridge East"
"a7380505-4ec0-40f8-914d-93cd6cb5895d","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Apirana dTIMS Site"
"8e4afbce-79d5-401f-a06b-3e4718fea080","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Pekepeke OBridge East I"
"57425a6f-6a69-4168-bfc1-eebbceb2c7a0","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Phillips Cattle Underpass"
"f8ea0544-c025-4ccd-bbf8-8687143b875a","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Frosts"
"691f4d83-37ef-4851-ab51-e854f651fdc9","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Regional Boundary West 1"
"415e7dcb-fe2f-4c0c-81a3-1ae2a178b7a2","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Kaharoa Rd South 1"
"46721562-5b07-43c8-8890-bcdd61234241","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Jackson SCRIM SITE"
"e8ba56fe-ca97-46e0-94fa-0b6282fbe68e","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Tupapakurua 1"
"1a621545-83d8-4d15-b7a0-74b712ba36c3","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Tupapakurua 3"
"67e8938b-dfa7-4b35-8aae-878d9a99b80d","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Ngongotaha Rd Straight"
"6313b795-187d-4b8c-a765-2cc26f7bd91f","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Waiotapu I D"
"a20dbd12-e85a-4b29-afde-41e8756c838f","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Wharepapa Bridge South II"
"d8d08fd3-3bea-4d2d-8046-73eeeb42ebf5","","no-status-not-started","","folder","TRUE","FALSE","Chipseal","Boundary"
"3e81f885-5862-429d-b12c-6a80becba837","","not-started","Approved Design Report","checklist","FALSE","FALSE","Chipseal","Approved Design Report"
"94d084c1-af36-49e1-81ad-da7c9dc078ca","","not-started","","folder","TRUE","FALSE","AC"
"1677dfff-2c3f-4aee-a8bd-d2a5797495ea","","not-started","Approved Design Report","checklist","FALSE","FALSE","AC","Approved Design Report"
"471c6890-5194-47f3-b8e6-15d04c4c57be","","not-started","Approved JMF","checklist","FALSE","FALSE","AC","Approved JMF"
"abf392e6-e268-4aef-94cd-31a2610cbdf4","","not-started","Production and Testing ITPs","checklist","FALSE","FALSE","AC","Production and Testing ITPs"
"80b13754-71e0-423e-8a0d-675ac53a06c2","","not-started","QMP","checklist","FALSE","FALSE","AC","QMP"
"c6f16c5c-3b09-4351-b02c-ada464c68cad","","not-started","Verified Program","checklist","FALSE","FALSE","AC","Verified Program"
"25b5f1c3-135b-4779-8b6c-d558a8a3ce39","","not-started","Overarching ITP items","checklist","FALSE","FALSE","AC","Overarching ITP items"
"e4bd8ecb-2056-4d57-9f8b-cb6e54766747","","no-status-not-started","","folder","TRUE","FALSE","AC","Sala street"
"d47b51c1-1640-4bce-9a49-28af07088e36","","no-status-not-started","","folder","TRUE","FALSE","AC","Puarenga Bridge East - D"
"2528503f-fca8-4f50-b891-82bfdde133e6","","no-status-not-started","","folder","TRUE","FALSE","AC","Puarenga Bridge - I"
"289c0101-56d8-47f3-b032-cbed233a4d11","","no-status-not-started","","folder","TRUE","FALSE","AC","Hamiora place D and I"
"28b63105-2cc1-4d91-8e49-87d7efab102c","","no-status-not-started","","folder","TRUE","FALSE","AC","Ngapuna - I"
"868a0b6a-3a82-4bdc-b77b-f135cb9c6ca5","","no-status-not-started","","folder","TRUE","FALSE","AC","Tarawera to Tennyson"
"566491d1-bda8-4727-b909-2e8867fa301e","","no-status-not-started","","folder","TRUE","FALSE","AC","Eruera street"
"26114797-bb34-4f55-84c4-b09796c1ff9d","","no-status-not-started","","folder","TRUE","FALSE","AC","Cochrane St Pedestrian Xing"
"ac78049e-6281-4d22-a343-20334bd0c60b","","no-status-not-started","","folder","TRUE","FALSE","AC","Rainbow Farm to Cochrane"
"4f76b621-baf4-4464-8b75-d672c5cfbeca","","no-status-not-started","","folder","TRUE","FALSE","AC","Dunn Rd Intersection I"
"4c0eebb5-b4e8-4dab-8a90-625809dda530","","no-status-not-started","","folder","TRUE","FALSE","AC","Goudies Rd Intersection"
"059bb67d-4d41-450d-a08a-ad7acce6122a","","no-status-not-started","","folder","TRUE","FALSE","AC","Fishermans bend"
"4965aa33-3b47-4849-a7e1-0156490bcbd2","","no-status-not-started","","folder","TRUE","FALSE","AC","Balls Bluff Waterfall"
"0b7e884b-fb67-406e-b608-05d64e86aa95","","no-status-not-started","","folder","TRUE","FALSE","AC","St John Rab"
"c937a8b3-cea8-4318-9198-4ea15232ef83","","no-status-not-started","","folder","TRUE","FALSE","AC","Gauging station corner"
"441d7fa4-ac9b-49a4-bbdd-89e50108285f","","no-status-not-started","","folder","TRUE","FALSE","AC","Reids Road I"
"1939b832-956a-425b-b46e-fc5d659e50a8","","not-started","","folder","TRUE","FALSE","Rehabs"
"54beca20-5b17-4c4c-92f0-19dc9da70c88","","not-started","ITP - Pavement Rehab - SH 02 - Apanui Road East","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 02 - Apanui Road East"
"0dc98042-c189-4b18-90ed-c8144ab3ba65","","not-started","ITP - Pavement Rehab - SH 02 - Waiotahi Valley Road","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 02 - Waiotahi Valley Road"
"26f3e36a-b753-46da-b64c-246f0fab4093","","not-started","ITP - Pavement Rehab - SH 05 - Boundary Road South","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 05 - Boundary Road South"
"b3740b39-8f3d-4db7-acab-44e06e602718","","not-started","ITP - Pavement Rehab - SH 34 - Lambert Road Intersection","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 34 - Lambert Road Intersection"
"574116bd-24af-4e01-8ca9-aa5dca2dce21","","not-started","ITP - Pavement Rehab - SH 35 - Tukaki Marae East","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 35 - Tukaki Marae East"
"efdc5892-29d6-4e3d-90b1-10a2756baaa1","","not-started","ITP - Pavement Rehab - SH 36 - Awahou to Central","checklist","FALSE","FALSE","Rehabs","ITP - Pavement Rehab - SH 36 - Awahou to Central"
